word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
imagination,0,0,0,0,0,3,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,4,0
inspire,0,0,0,0,0,0,0,0,0,5,0
countless,3,0,0,0,0,0,0,0,0,0,0
push,0,0,0,0,0,0,0,0,0,3,0
boundary,0,0,0,0,0,3,0,0,0,0,0
far,0,0,32,0,0,0,0,0,0,0,0
relief,0,0,0,0,0,3,0,0,0,0,0
etching,0,0,0,0,0,1,0,0,0,0,0
sailing,0,0,0,0,0,1,0,0,0,0,0
vessel,0,0,0,0,0,3,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,30,0
sarcophagus,0,0,0,0,0,1,0,0,0,0,0
wrest,0,0,0,0,0,0,0,0,0,1,0
control,0,0,0,0,0,3,0,0,0,3,0
resource,0,0,0,0,0,5,0,0,0,0,0
demonstration,0,0,0,0,0,1,0,0,0,0,0
nation,0,0,0,0,0,10,0,0,0,0,0
tribe,0,0,0,0,0,29,0,0,0,0,0
carthaginian,2,0,0,0,0,0,0,0,0,0,0
explore,0,0,0,0,0,0,0,0,0,7,0
colonize,0,0,0,0,0,0,0,0,0,5,0
western,37,0,0,0,0,0,0,0,0,0,0
coast,0,0,0,0,0,28,0,0,0,0,0
found,0,0,0,0,0,0,0,0,0,17,0
city,0,0,0,0,0,58,0,0,0,0,0
near,2,23,0,0,0,0,0,0,0,0,0
present,15,0,0,0,0,2,0,0,0,6,0
bce,0,0,0,0,0,110,0,0,0,0,0
egyptian,9,0,0,0,0,0,0,0,0,0,0
ruler,0,0,0,0,0,18,0,0,0,0,0
female,4,0,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,39,0,0,0,0,0
score,0,0,0,0,0,0,0,0,0,1,0
military,32,0,0,0,0,0,0,0,0,0,0
victory,0,0,0,0,0,12,0,0,0,0,0
respective,1,0,0,0,0,0,0,0,0,0,0
reign,0,0,0,0,0,5,0,0,0,5,0
broaden,0,0,0,0,0,0,0,0,0,2,0
domain,0,0,0,0,0,1,0,0,0,0,0
roam,0,0,0,0,0,0,0,0,0,1,0
west,3,0,3,0,0,9,0,0,0,0,0
east,4,0,4,0,0,3,0,0,0,0,0
invade,0,0,0,0,0,0,0,0,0,6,0
part,0,0,0,0,0,21,0,0,0,0,0
modern,49,0,0,0,0,0,0,0,0,0,0
late,12,0,1,0,0,0,0,0,0,0,0
force,0,0,0,0,0,22,0,0,0,8,0
migrate,0,0,0,0,0,0,0,0,0,4,0
westward,2,0,10,0,0,0,0,0,0,0,0
germanic,3,0,0,0,0,0,0,0,0,0,0
stronghold,0,0,0,0,0,2,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,0,15,0
scale,0,0,0,0,0,5,0,0,0,0,0
builder,0,0,0,0,0,2,0,0,0,0,0
ascend,0,0,0,0,0,0,0,0,0,1,0
throne,0,0,0,0,0,6,0,0,0,0,0
exile,0,0,0,0,0,3,0,0,0,3,0
immediately,0,0,3,0,0,0,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,6,0
enemy,0,0,0,0,0,14,0,0,0,0,0
destroy,0,0,0,0,0,0,0,0,0,8,0
rival,4,0,0,0,0,6,0,0,0,0,0
state,0,0,0,0,0,25,0,0,0,1,0
embark,0,0,0,0,0,0,0,0,0,5,0
expedition,0,0,0,0,0,22,0,0,0,0,0
entourage,0,0,0,0,0,1,0,0,0,0,0
man,0,0,0,0,0,48,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,37,0
engineer,0,0,0,0,0,2,0,0,0,0,0
architect,0,0,0,0,0,3,0,0,0,0,0
scientist,0,0,0,0,0,4,0,0,0,0,0
historian,0,0,0,0,0,19,0,0,0,0,0
troop,0,0,0,0,0,10,0,0,0,0,0
conquer,0,0,0,0,0,0,0,0,0,18,0
encampment,0,0,0,0,0,2,0,0,0,0,0
southern,15,0,0,0,0,0,0,0,0,0,0
southward,0,0,3,0,0,0,0,0,0,0,0
eastward,0,0,5,0,0,0,0,0,0,0,0
persian,42,0,0,0,0,0,0,0,0,0,0
territory,0,0,0,0,0,16,0,0,0,0,0
death,0,0,0,0,0,27,0,0,0,0,0
despite,0,0,0,0,0,0,0,0,2,0,0
acrimony,0,0,0,0,0,1,0,0,0,0,0
rank,0,0,0,0,0,1,0,0,0,3,0
arduous,1,0,0,0,0,0,0,0,0,0,0
journey,0,0,0,0,0,31,0,0,0,5,0
reach,0,0,0,0,0,3,0,0,0,36,0
northern,24,0,0,0,0,0,0,0,0,0,0
turn,0,0,0,0,0,3,0,0,0,19,0
consolidate,0,0,0,0,0,0,0,0,0,2,0
establish,0,0,0,0,0,0,0,0,0,18,0
dozen,0,0,0,0,0,4,0,0,0,0,0
addition,0,0,0,0,0,5,0,0,0,0,0
vast,8,0,0,0,0,0,0,0,0,0,0
process,0,0,0,0,0,2,0,0,0,1,0
set,0,0,0,0,0,3,0,0,0,27,0
administration,0,0,0,0,0,3,0,0,0,0,0
area,0,0,0,0,0,15,0,0,0,0,0
willing,2,0,0,0,0,0,0,0,0,0,0
improvise,0,0,0,0,0,0,0,0,0,1,0
adapt,0,0,0,0,0,0,0,0,0,2,0
local,9,0,0,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,2,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,6,0
wealth,0,0,0,0,0,13,0,0,0,0,0
pattern,0,0,0,0,0,4,0,0,0,0,0
demonstrate,0,0,0,0,0,0,0,0,0,2,0
confine,0,0,0,0,0,0,0,0,0,2,0
consolidation,0,0,0,0,0,1,0,0,0,0,0
previously,0,0,3,0,0,0,0,0,0,0,0
scatter,0,0,0,0,0,0,0,0,0,3,0
central,11,0,0,0,0,0,0,0,0,0,0
government,0,0,0,0,0,8,0,0,0,0,0
development,0,0,0,0,0,2,0,0,0,0,0
well,3,0,3,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,1,0
oratory,0,0,0,0,0,2,0,0,0,0,0
leadership,0,0,0,0,0,6,0,0,0,0,0
imperial,5,0,0,0,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,5,0
explorer,0,0,0,0,0,25,0,0,0,0,0
incorporate,0,0,0,0,0,0,0,0,0,3,0
acquire,0,0,0,0,0,0,0,0,0,8,0
give,0,0,0,0,0,0,0,0,0,34,0
expansion,0,0,0,0,0,2,0,0,0,0,0
organization,0,0,0,0,0,4,0,0,0,0,0
accomplishment,0,0,0,0,0,2,0,0,0,0,0
successor,0,0,0,0,0,10,0,0,0,0,0
contribute,0,0,0,0,0,0,0,0,0,3,0
significantly,0,0,2,0,0,0,0,0,0,0,0
survival,0,0,0,0,0,1,0,0,0,0,0
greco,18,0,0,0,0,0,0,0,0,0,0
roman,70,0,0,0,0,0,0,0,0,0,0
invader,0,0,0,0,0,2,0,0,0,0,0
hundred,0,0,0,0,0,1,0,0,0,0,0
eastern,25,0,0,0,0,0,0,0,0,0,0
dichotomy,0,0,0,0,0,1,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0,4,0
old,21,0,0,0,0,0,0,0,0,0,0
succession,0,0,0,0,0,3,0,0,0,0,0
centralized,1,0,0,0,0,0,0,0,0,0,0
dynasty,0,0,0,0,0,12,0,0,0,0,0
assortment,0,0,0,0,0,1,0,0,0,0,0
nomadic,11,0,0,0,0,0,0,0,0,0,0
semi,1,0,0,0,0,0,0,0,0,0,0
form,0,0,0,0,0,9,0,0,0,7,0
shift,0,0,0,0,0,0,0,0,0,1,0
politically,0,0,3,0,0,0,0,0,0,0,0
loose,1,0,0,0,0,0,0,0,0,1,0
confederation,0,0,0,0,0,1,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,0,10,0
unite,0,0,0,0,0,0,0,0,0,4,0
mongolian,5,0,0,0,0,0,0,0,0,0,0
steppe,0,0,0,0,0,15,0,0,0,0,0
close,4,0,2,0,0,0,0,0,0,0,0
sophisticated,2,0,0,0,0,0,0,0,0,0,0
simply,0,0,4,0,0,0,0,0,0,0,0
raid,0,0,0,0,0,5,0,0,0,8,0
plunder,0,0,0,0,0,3,0,0,0,3,0
adopt,0,0,0,0,0,0,0,0,0,8,0
useful,2,0,0,0,0,0,0,0,0,0,0
value,0,0,0,0,0,8,0,0,0,0,0
tradition,0,0,0,0,0,11,0,0,0,0,0
usurp,0,0,0,0,0,0,0,0,0,3,0
teach,0,0,0,0,0,0,0,0,0,5,0
literacy,0,0,0,0,0,2,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,16,0
technique,0,0,0,0,0,1,0,0,0,0,0
employ,0,0,0,0,0,1,0,0,0,6,0
vanquish,0,0,0,0,0,0,0,0,0,1,0
town,0,0,0,0,0,11,0,0,0,0,0
inhabitant,0,0,0,0,0,6,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,0,5,0
good,10,0,0,0,0,2,0,0,0,0,0
taxis,0,0,0,0,0,1,0,0,0,0,0
better,0,0,0,0,0,0,0,0,0,1,0
economic,4,0,0,0,0,0,0,0,0,0,0
stability,0,0,0,0,0,1,0,0,0,0,0
subdue,0,0,0,0,0,0,0,0,0,6,0
expand,0,0,0,0,0,0,0,0,0,8,0
kingdom,0,0,0,0,0,9,0,0,0,0,0
stage,0,0,0,0,0,2,0,0,0,0,0
human,8,0,0,0,0,2,0,0,0,0,0
physical,7,0,0,0,0,0,0,0,0,0,0
goal,0,0,0,0,0,3,0,0,0,0,0
travel,0,0,0,0,0,25,0,0,0,25,0
reasonably,0,0,1,0,0,0,0,0,0,0,0
accurate,4,0,0,0,0,0,0,0,0,0,0
measurement,0,0,0,0,0,1,0,0,0,0,0
circumference,0,0,0,0,0,2,0,0,0,0,0
distance,0,0,0,0,0,7,0,0,0,0,0
note,0,0,0,0,0,2,0,0,0,4,0
scientific,6,0,0,0,0,0,0,0,0,0,0
observation,0,0,0,0,0,6,0,0,0,0,0
geographer,0,0,0,0,0,9,0,0,0,0,0
create,0,0,0,0,0,0,0,0,0,6,0
map,0,0,0,0,0,11,0,0,0,0,0
geographic,10,0,0,0,0,0,0,0,0,0,0
text,0,0,0,0,0,23,0,0,0,0,0
intend,0,0,0,0,0,0,0,0,0,7,0
key,1,0,0,0,0,2,0,0,0,0,0
patron,0,0,0,0,0,3,0,0,0,0,0
project,0,0,0,0,0,3,0,0,0,0,0
personally,0,0,3,0,0,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,35,0
artist,0,0,0,0,0,1,0,0,0,0,0
observe,0,0,0,0,0,0,0,0,0,4,0
complete,5,0,0,0,0,0,0,0,0,5,0
work,0,0,0,0,0,44,0,0,0,5,0
flaw,0,0,0,0,0,0,0,0,0,1,0
medieval,11,0,0,0,0,0,0,0,0,0,0
geography,0,0,0,0,0,15,0,0,0,0,0
educated,1,0,0,0,0,0,0,0,0,0,0
consequence,0,0,0,0,0,3,0,0,0,0,0
humanity,0,0,0,0,0,1,0,0,0,0,0
interest,0,0,0,0,0,10,0,0,0,0,0
chinese,19,0,0,0,0,0,0,0,0,0,0
buddhist,27,0,0,0,0,0,0,0,0,0,0
monk,0,0,0,0,0,12,0,0,0,0,0
undertake,0,0,0,0,0,0,0,0,0,7,0
pilgrimage,0,0,0,0,0,8,0,0,0,0,0
order,0,0,0,0,0,12,0,0,0,5,0
visit,0,0,0,0,0,4,0,0,0,36,0
site,0,0,0,0,0,10,0,0,0,0,0
associate,0,0,0,0,0,1,0,0,0,4,0
life,0,0,0,0,0,46,0,0,0,0,0
teaching,0,0,0,0,0,1,0,0,0,0,0
seat,0,0,0,0,0,3,0,0,0,0,0
forth,0,1,2,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,21,0,0,0,0,0
severe,3,0,0,0,0,0,0,0,0,0,0
delay,0,0,0,0,0,1,0,0,0,1,0
bring,0,0,0,0,0,0,0,0,0,25,0
translate,0,0,0,0,0,0,0,0,0,10,0
later,4,0,46,0,0,0,0,0,0,0,0
similar,2,0,0,0,0,0,0,0,0,0,0
trip,0,0,0,0,0,5,0,0,0,0,0
transcription,0,0,0,0,0,1,0,0,0,0,0
sacred,7,0,0,0,0,0,0,0,0,0,0
extensive,3,0,0,0,0,0,0,0,0,0,0
detailed,9,0,0,0,0,0,0,0,0,0,0
account,0,0,0,0,0,43,0,0,0,2,0
hold,0,0,0,0,0,1,0,0,0,26,0
audience,0,0,0,0,0,3,0,0,0,0,0
thrall,0,0,0,0,0,1,0,0,0,0,0
emperor,0,0,0,0,0,17,0,0,0,0,0
boon,0,0,0,0,0,1,0,0,0,0,0
search,0,0,0,0,0,2,0,0,0,1,0
enlightenment,0,0,0,0,0,2,0,0,0,0,0
pioneer,0,0,0,0,0,2,0,0,0,2,0
motivate,0,0,0,0,0,0,0,0,0,2,0
seek,0,0,0,0,0,0,0,0,0,12,0
spread,0,0,0,0,0,0,0,0,0,6,0
instance,0,0,0,0,0,5,0,0,0,0,0
originally,0,0,4,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,6,0
father,0,0,0,0,0,16,0,0,0,0,0
settlement,0,0,0,0,0,9,0,0,0,0,0
young,4,0,0,0,0,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,19,0
sail,0,0,0,0,0,5,0,0,0,20,0
settler,0,0,0,0,0,6,0,0,0,0,0
northeastern,4,0,0,0,0,0,0,0,0,0,0
possibly,0,0,22,0,0,0,0,0,0,0,0
successful,9,0,0,0,0,0,0,0,0,0,0
orginal,1,0,0,0,0,0,0,0,0,0,0
mission,0,0,0,0,0,18,0,0,0,0,0
mother,0,0,0,0,0,6,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,10,0
christian,13,0,0,0,0,0,0,0,0,0,0
church,0,0,0,0,0,3,0,0,0,0,0
island,0,0,0,0,0,14,0,0,0,0,0
franciscan,11,0,0,0,0,0,0,0,0,0,0
friar,0,0,0,0,0,12,0,0,0,0,0
emissary,0,0,0,0,0,3,0,0,0,0,0
papacy,0,0,0,0,0,1,0,0,0,0,0
mongol,29,0,0,0,0,0,0,0,0,0,0
month,0,0,0,0,0,13,0,0,0,0,0
arrival,0,0,0,0,0,4,0,0,0,0,0
political,45,0,0,0,0,0,0,0,0,0,0
instability,0,0,0,0,0,2,0,0,0,0,0
treatise,0,0,0,0,0,2,0,0,0,0,0
missionary,1,0,0,0,0,3,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,13,0
considerable,4,0,0,0,0,0,0,0,0,0,0
success,0,0,0,0,0,9,0,0,0,0,0
archbishop,0,0,0,0,0,4,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,8,0
baptize,0,0,0,0,0,0,0,0,0,3,0
last,0,0,0,0,0,0,0,0,0,4,0
decade,0,0,0,0,0,1,0,0,0,0,0
adventurer,0,0,0,0,0,6,0,0,0,0,0
book,0,0,0,0,0,36,0,0,0,0,0
journal,0,0,0,0,0,1,0,0,0,0,0
document,0,0,0,0,0,6,0,0,0,0,0
experience,0,0,0,0,0,6,0,0,0,0,0
historical,18,0,0,0,0,0,0,0,0,0,0
enable,0,0,0,0,0,0,0,0,0,5,0
study,0,0,0,0,0,3,0,0,0,12,0
thinking,0,0,0,0,0,1,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,6,0
awareness,0,0,0,0,0,1,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,4,0
greek,52,0,0,0,0,1,0,0,0,0,0
manuscript,0,0,0,0,0,11,0,0,0,0,0
icelandic,4,0,0,0,0,0,0,0,0,0,0
saga,0,0,0,0,0,10,0,0,0,0,0
original,8,0,0,0,0,1,0,0,0,0,0
writing,0,0,0,0,0,18,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,19,0
story,0,0,0,0,0,23,0,0,0,0,0
preserve,0,0,0,0,0,0,0,0,0,4,0
case,0,0,0,0,0,6,0,0,0,0,0
indian,6,0,0,0,0,0,0,0,0,0,0
subcontinent,0,0,0,0,0,2,0,0,0,0,0
description,0,0,0,0,0,23,0,0,0,0,0
cite,0,0,0,0,0,0,0,0,0,3,0
chronicle,0,0,0,0,0,2,0,0,0,2,0
war,0,0,0,0,0,39,0,0,0,0,0
insert,0,0,0,0,0,0,0,0,0,2,0
anecdote,0,0,0,0,0,3,0,0,0,0,0
speech,0,0,0,0,0,4,0,0,0,0,0
lively,2,0,0,0,0,0,0,0,0,0,0
narrative,0,0,0,0,0,18,0,0,0,0,0
examination,0,0,0,0,0,2,0,0,0,0,0
impartiality,0,0,0,0,0,1,0,0,0,0,0
humanistic,1,0,0,0,0,0,0,0,0,0,0
slant,0,0,0,0,0,1,0,0,0,0,0
number,0,0,0,0,0,20,0,0,0,1,0
philologist,0,0,0,0,0,3,0,0,0,0,0
hebrew,1,0,0,0,0,0,0,0,0,0,0
tome,0,0,0,0,0,1,0,0,0,0,0
combine,0,0,0,0,0,0,0,0,0,9,0
sociological,2,0,0,0,0,0,0,0,0,0,0
source,0,0,0,0,0,15,0,0,0,0,0
ordinary,2,0,0,0,0,0,0,0,0,0,0
merchant,0,0,0,0,0,10,0,0,0,0,0
information,0,0,0,0,0,17,0,0,0,0,0
transcribe,0,0,0,0,0,0,0,0,0,2,0
comment,0,0,0,0,0,2,0,0,0,1,0
condense,0,0,0,0,0,0,0,0,0,1,0
make,0,0,0,0,0,0,0,0,0,8,0
accessible,1,0,0,0,0,0,0,0,0,0,0
influence,0,0,0,0,0,7,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,23,0
author,0,0,0,0,0,7,0,0,0,0,0
saudi,1,0,0,0,0,0,0,0,0,0,0
arabian,4,0,0,0,0,0,0,0,0,0,0
genealogy,0,0,0,0,0,1,0,0,0,0,0
topography,0,0,0,0,0,1,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,17,0
collection,0,0,0,0,0,2,0,0,0,0,0
poetry,0,0,0,0,0,3,0,0,0,0,0
son,0,0,0,0,0,30,0,0,0,0,0
wealthy,3,0,0,0,0,0,0,0,0,0,0
venetian,5,0,0,0,0,0,0,0,0,0,0
trader,0,0,0,0,0,5,0,0,0,0,0
trade,0,0,0,0,0,11,0,0,0,4,0
uncle,0,0,0,0,0,5,0,0,0,0,0
gain,0,0,0,0,0,1,0,0,0,6,0
confidence,0,0,0,0,0,1,0,0,0,0,0
khan,0,0,0,0,0,13,0,0,0,0,0
court,0,0,0,0,0,17,0,0,0,0,0
ambassador,0,0,0,0,0,2,0,0,0,0,0
fact,0,0,0,0,0,9,0,0,0,0,0
finding,0,0,0,0,0,1,0,0,0,0,0
north,6,0,4,0,0,12,0,0,0,0,0
prompt,1,0,0,0,0,0,0,0,0,1,0
imminent,1,0,0,0,0,0,0,0,0,0,0
age,0,0,0,0,0,14,0,0,0,2,0
possibility,0,0,0,0,0,1,0,0,0,0,0
enjoy,0,0,0,0,0,0,0,0,0,6,0
level,0,0,0,0,0,2,0,0,0,0,0
favour,0,0,0,0,0,4,0,0,0,4,0
roundabout,1,0,0,0,0,0,0,0,0,0,0
route,0,0,0,0,0,16,0,0,0,3,0
lead,0,0,0,0,0,2,0,0,0,35,0
shortly,0,0,7,0,0,0,0,0,0,0,0
imprison,0,0,0,0,0,0,0,0,0,3,0
involvement,0,0,0,0,0,1,0,0,0,0,0
battle,0,0,0,0,0,15,0,0,0,0,0
incarceration,0,0,0,0,0,1,0,0,0,0,0
fortunate,2,0,0,0,0,0,0,0,0,0,0
circumstance,0,0,0,0,0,5,0,0,0,0,0
prison,0,0,0,0,0,3,0,0,0,0,0
writer,0,0,0,0,0,7,0,0,0,0,0
dictate,0,0,0,0,0,0,0,0,0,4,0
tale,0,0,0,0,0,4,0,0,0,0,0
hugely,0,0,1,0,0,0,0,0,0,0,0
valuable,8,0,0,0,0,0,0,0,0,0,0
mar,0,0,0,0,0,0,0,0,0,1,0
inaccuracy,0,0,0,0,0,2,0,0,0,0,0
reworking,0,0,0,0,0,1,0,0,0,0,0
similarly,0,0,3,0,0,0,0,0,0,0,0
morrocan,1,0,0,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,0,0,0,0,5,0
mile,0,0,0,0,0,12,0,0,0,0,0
muslim,18,0,0,0,0,0,0,0,0,0,0
consume,0,0,0,0,0,0,0,0,0,2,0
idea,0,0,0,0,0,8,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,13,0
place,0,0,0,0,0,12,0,0,0,5,0
cover,0,0,0,0,0,0,0,0,0,5,0
appoint,0,0,0,0,0,0,0,0,0,8,0
grand,4,0,0,0,0,0,0,0,0,0,0
qadi,0,0,0,0,0,0,0,0,0,0,1
memoir,0,0,0,0,0,1,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,0,9,0
highly,0,0,4,0,0,0,0,0,0,0,0
geographical,7,0,0,0,0,0,0,0,0,0,0
scope,0,0,0,0,0,4,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,12,0
official,1,0,0,0,0,5,0,0,0,0,0
dignitary,0,0,0,0,0,3,0,0,0,0,0
today,0,0,0,0,0,2,0,0,0,0,0
nearly,0,0,5,0,0,0,0,0,0,0,0
spot,0,0,0,0,0,2,0,0,0,0,0
globe,0,0,0,0,0,1,0,0,0,0,0
satellite,0,0,0,0,0,1,0,0,0,0,0
photography,0,0,0,0,0,1,0,0,0,0,0
gps,0,0,0,0,0,1,0,0,0,0,0
technology,0,0,0,0,0,2,0,0,0,0,0
possible,5,0,0,0,0,0,0,0,0,0,0
difficult,8,0,0,0,0,0,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,1,0
little,12,0,1,0,0,0,0,0,0,0,0
amazing,3,0,0,0,0,0,0,0,0,0,0
welcome,0,0,0,0,0,1,0,0,0,3,0
presence,0,0,0,0,0,4,0,0,0,0,0
pursue,0,0,0,0,0,0,0,0,0,6,0
willingness,0,0,0,0,0,1,0,0,0,0,0
face,0,0,0,0,0,3,0,0,0,3,0
hardship,0,0,0,0,0,2,0,0,0,0,0
uncertainty,0,0,0,0,0,4,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,0,8,0
compile,0,0,0,0,0,0,0,0,0,2,0
share,0,0,0,0,0,0,0,0,0,5,0
lie,0,0,0,0,0,0,0,0,0,9,0
groundwork,0,0,0,0,0,1,0,0,0,0,0
correspond,0,0,0,0,0,0,0,0,0,1,0
adjoin,0,0,0,0,0,0,0,0,0,1,0
notable,3,0,0,0,0,1,0,0,0,0,0
colonizer,0,0,0,0,0,4,0,0,0,0,0
millennium,0,0,0,0,0,3,0,0,0,0,0
chief,8,0,0,0,0,0,0,0,0,0,0
exclude,0,0,0,0,0,0,0,0,0,1,0
colony,0,0,0,0,0,4,0,0,0,0,0
certain,6,0,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,13,0
