word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,PRON,SCONJ,VERB,X
introduction,0,0,0,0,0,4,0,0,0,0,0
flash,0,0,0,0,0,2,0,0,0,2,0
light,4,0,0,0,0,15,0,0,0,0,0
streak,0,0,0,0,0,4,0,0,0,3,0
night,0,0,0,0,0,5,0,0,0,0,0
sky,0,0,0,0,0,18,0,0,0,0,0
disappear,0,0,0,0,0,0,0,0,0,4,0
commonly,0,0,1,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,30,0
shooti,0,0,0,0,0,0,0,0,0,0,1
star,0,0,0,0,0,21,0,0,0,0,0
small,51,0,0,0,0,0,0,0,0,0,0
chunk,0,0,0,0,0,5,0,0,0,0,0
stone,0,0,0,0,0,4,0,0,0,0,0
metal,0,0,0,0,0,9,0,0,0,0,0
material,0,0,0,0,0,43,0,0,0,0,0
orbit,0,0,0,0,0,91,0,0,0,10,0
enter,0,0,0,0,0,0,0,0,0,14,0
atmosphere,0,0,0,0,0,35,0,0,0,0,0
friction,0,0,0,0,0,2,0,0,0,0,0
generate,0,0,0,0,0,0,0,0,0,1,0
great,20,0,0,0,0,0,0,0,0,0,0
speed,0,0,0,0,0,3,0,0,0,0,0
cause,0,0,0,0,0,1,0,0,0,10,0
burn,0,0,0,0,0,0,0,0,0,7,0
fragment,0,0,0,0,0,16,0,0,0,0,0
vaporize,0,0,0,0,0,0,0,0,0,9,0
travel,0,0,0,0,0,0,0,0,0,8,0
far,4,0,10,0,0,0,0,0,0,0,0
actually,0,0,6,0,0,0,0,0,0,0,0
hit,0,0,0,0,0,0,0,0,0,5,0
ground,0,0,0,0,0,11,0,0,0,0,0
object,0,0,0,0,0,71,0,0,0,0,0
different,15,0,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,5,0,0,0,12,0
depend,0,0,0,0,0,0,0,0,0,2,0
location,0,0,0,0,0,4,0,0,0,0,0
meteoroid,0,0,0,0,0,66,0,0,0,0,0
meteor,0,0,0,0,0,59,0,0,0,0,0
land,0,0,0,0,0,1,0,0,0,4,0
surface,0,0,0,0,0,45,0,0,0,0,0
