word,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
world,0,0,0,0,0,0,30,0,0,0,0
grassland,0,0,0,0,0,0,38,0,0,0,0
forest,0,0,0,0,0,0,106,0,0,0,0
farm,0,0,0,0,0,0,13,0,0,1,0
grazer,0,0,0,0,0,0,39,0,0,0,0
ardent,1,0,0,0,0,0,0,0,0,0,0
consumer,0,0,0,0,0,0,1,0,0,0,0
plant,0,0,0,0,0,0,67,0,0,0,0
animal,0,0,0,0,0,0,218,0,0,0,0
roam,0,0,0,0,0,0,0,0,0,10,0
victim,0,0,0,0,0,0,1,0,0,0,0
feed,0,0,0,0,0,0,2,0,0,50,0
case,0,0,0,0,0,0,10,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,23,0
hundred,0,0,0,0,0,0,10,0,0,0,0
specie,0,0,0,0,0,0,328,0,0,0,0
categorize,0,0,0,0,0,0,0,0,0,2,0
number,0,0,0,0,0,0,86,0,0,20,0
group,0,0,0,0,0,0,132,0,0,1,0
specialized,23,0,0,0,0,0,0,0,0,0,0
tooth,0,0,0,0,0,0,97,0,0,0,0
design,0,0,0,0,0,0,1,0,0,4,0
cut,0,0,0,0,0,0,0,0,0,8,0
slice,0,0,0,0,0,0,0,0,0,1,0
tear,0,0,0,0,0,0,0,0,0,1,0
morsel,0,0,0,0,0,0,1,0,0,0,0
thick,45,0,0,0,0,0,0,0,0,0,0
grind,0,0,0,0,0,0,0,0,0,10,0
graze,0,0,0,0,0,0,0,0,0,43,0
spend,0,0,0,0,0,0,0,0,0,22,0
life,0,0,0,0,0,0,36,0,0,0,0
medium,19,0,0,0,0,0,1,0,0,0,0
large,346,0,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,12,0,0,112,0
herd,0,0,0,0,0,0,153,0,0,5,0
serve,0,0,0,0,0,0,0,0,0,25,0
purpose,0,0,0,0,0,0,10,0,0,0,0
notable,8,0,0,0,0,0,0,0,0,0,0
advantage,0,0,0,0,0,0,13,0,0,0,0
protection,0,0,0,0,0,0,22,0,0,0,0
predator,0,0,0,0,0,0,72,0,0,0,0
highly,0,0,33,0,0,0,0,0,0,0,0
visible,3,0,0,0,0,0,0,0,0,0,0
target,0,0,0,0,0,0,1,0,0,0,0
grouping,0,0,0,0,0,0,5,0,0,0,0
reduce,0,0,0,0,0,0,0,0,0,44,0
risk,0,0,0,0,0,0,3,0,0,1,0
attack,0,0,0,0,0,0,7,0,0,10,0
individual,16,0,0,0,0,0,40,0,0,0,0
member,0,0,0,0,0,0,87,0,0,0,0
old,55,0,0,0,0,0,1,0,0,0,0
lead,0,0,0,0,0,0,1,0,0,33,0
young,143,0,0,0,0,0,6,0,0,0,0
feeding,0,0,0,0,0,0,15,0,0,0,0
ground,0,0,0,0,0,0,43,0,0,0,0
breeding,0,0,0,0,0,0,48,0,0,0,0
water,0,0,0,0,0,0,137,0,0,3,0
source,0,0,0,0,0,0,17,0,0,0,0
form,0,0,0,0,0,0,72,0,0,63,0
prefer,0,0,0,0,0,0,0,0,0,34,0
live,1,0,0,0,0,0,0,0,0,225,0
small,272,0,0,0,0,0,0,0,0,0,0
dominant,24,0,0,0,0,0,0,0,0,0,0
male,42,0,0,0,0,0,340,0,0,0,0
female,36,0,0,0,0,0,260,0,0,0,0
gazelle,0,0,0,0,0,0,86,0,0,0,0
example,0,0,0,0,0,0,38,0,0,0,0
typically,0,0,14,0,0,0,0,0,0,0,0
type,0,0,0,0,0,0,26,0,0,0,0
mix,0,0,0,0,0,0,2,0,0,13,0
migration,0,0,0,0,0,0,18,0,0,0,0
time,0,0,0,0,0,0,91,0,0,0,0
govern,0,0,0,0,0,0,0,0,0,3,0
solitary,35,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,31,0
breed,0,0,0,0,0,0,54,0,0,53,0
raise,0,0,0,0,0,0,0,0,0,21,0
rhinocero,0,0,0,0,0,0,7,0,0,0,0
baby,0,0,0,0,0,0,3,0,0,0,0
rhino,0,0,0,0,0,0,4,0,0,0,0
mother,0,0,0,0,0,0,55,0,0,0,0
leave,0,0,0,0,0,0,32,0,0,33,0
find,0,0,0,0,0,0,0,0,0,136,0
territory,0,0,0,0,0,0,73,0,0,0,0
reach,0,0,0,0,0,0,1,0,0,40,0
half,5,0,2,0,10,0,36,1,0,0,0
year,0,0,0,0,0,0,205,0,0,0,0
mating,0,0,0,0,0,0,59,0,0,0,0
season,0,0,0,0,0,0,108,0,0,0,0
white,170,0,0,0,0,0,20,0,0,0,0
rhinoceros,0,0,0,0,0,0,153,0,0,0,0
include,0,0,0,0,0,0,0,0,0,124,0
mammalian,15,0,0,0,0,0,0,0,0,0,0
order,0,0,0,0,0,0,50,0,0,0,0
toed,9,0,0,0,0,0,14,0,0,0,0
ungulate,2,0,0,0,0,0,21,0,0,0,0
odd,8,0,0,0,0,0,0,0,0,0,0
elephant,0,0,0,0,0,0,121,0,0,0,0
rabbit,0,0,0,0,0,0,98,0,0,0,0
hare,0,0,0,0,0,0,53,0,0,0,0
pika,0,0,0,0,0,0,53,0,0,0,0
infraclass,0,0,0,0,0,0,2,0,0,0,0
know,0,0,0,0,0,0,0,0,0,92,0
marsupial,22,0,0,0,0,0,49,0,0,0,0
artiodactyl,0,0,0,0,0,0,92,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,31,0
walk,0,0,0,0,0,0,5,0,0,17,0
toe,0,0,0,0,0,0,67,0,0,0,0
usually,0,0,81,0,0,0,0,0,0,0,0
cover,0,0,0,0,0,0,23,0,0,34,0
hard,18,0,2,0,0,0,0,0,0,0,0
layer,0,0,0,0,0,0,16,0,0,0,0
skin,0,0,0,0,0,0,42,0,0,0,0
combine,0,0,0,0,0,0,0,0,0,7,0
hoof,0,0,0,0,0,0,38,0,0,0,0
foot,0,0,0,0,0,0,174,0,0,0,0
deer,0,0,0,0,0,0,289,0,0,0,0
pig,0,0,0,0,0,0,60,0,0,0,0
camel,0,0,0,0,0,0,92,0,0,0,0
sheep,0,0,0,0,0,0,114,0,0,0,0
antelope,0,0,0,0,0,0,175,0,0,0,0
goat,0,0,0,0,0,0,105,0,0,0,0
cattle,0,0,0,0,0,0,70,0,0,0,0
giraffe,0,0,0,0,0,0,49,0,0,0,0
hippopotamus,0,0,0,0,0,0,27,0,0,0,0
mediumto,1,0,0,0,0,0,0,0,0,0,0
sized,16,0,0,0,0,0,0,0,0,0,0
ruminant,8,0,0,0,0,0,46,0,0,0,0
peccary,0,0,0,0,0,0,29,0,0,0,0
hippo,0,0,0,0,0,0,19,0,0,0,0
support,0,0,0,0,0,0,5,0,0,19,0
weight,0,0,0,0,0,0,40,0,0,0,0
main,21,0,0,0,0,0,0,0,0,0,0
clovenhoofed,1,0,0,0,0,0,0,0,0,0,0
middle,11,0,0,0,0,0,3,0,0,0,0
bear,0,0,0,0,0,0,10,0,0,85,0
refer,0,0,0,0,0,0,0,0,0,19,0
fourth,14,0,0,0,0,0,1,0,0,0,0
evolution,0,0,0,0,0,0,9,0,0,0,0
second,21,0,1,0,0,0,1,0,0,0,0
fifth,7,0,0,0,0,0,1,0,0,0,0
size,0,0,0,0,0,0,78,0,0,0,0
disappear,0,0,0,0,0,0,0,0,0,11,0
altogether,0,0,1,0,0,0,0,0,0,0,0
human,33,0,0,0,0,0,32,0,0,0,0
have,0,0,0,0,0,0,0,0,0,30,0
play,0,0,0,0,0,0,3,0,0,12,0
important,31,0,0,0,0,0,0,0,0,0,0
economic,6,0,0,0,0,0,0,0,0,0,0
cultural,3,0,0,0,0,0,0,0,0,0,0
role,0,0,0,0,0,0,11,0,0,0,0
development,0,0,0,0,0,0,27,0,0,0,0
maintenance,0,0,0,0,0,0,5,0,0,0,0
civilization,0,0,0,0,0,0,7,0,0,0,0
long,246,0,36,0,0,0,0,0,0,0,0
milk,0,0,0,0,0,0,31,0,0,0,0
meat,0,0,0,0,0,0,34,0,0,0,0
wool,0,0,0,0,0,0,33,0,0,0,0
hide,0,0,0,0,0,0,18,0,0,18,0
domesticate,0,0,0,0,0,0,0,0,0,35,0
bce,0,0,0,0,0,0,14,0,0,0,0
likely,6,0,8,0,0,0,0,0,0,0,0
extensively,0,0,3,0,0,0,0,0,0,0,0
hunt,0,0,0,0,0,0,1,0,0,29,0
mammal,0,0,0,0,0,0,104,0,0,0,0
hunting,0,0,0,0,0,0,25,0,0,0,0
pressure,0,0,0,0,0,0,4,0,0,0,0
extinction,0,0,0,0,0,0,30,0,0,0,0
near,5,26,1,0,0,0,0,0,0,1,0
entire,8,0,0,0,0,0,0,0,0,0,0
polar,4,0,0,0,0,0,0,0,0,0,0
region,0,0,0,0,0,0,43,0,0,0,0
devoid,1,0,0,0,0,0,0,0,0,0,0
native,41,0,0,0,0,0,1,0,0,0,0
area,0,0,0,0,0,0,122,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,21,0
seasonal,16,0,0,0,0,0,0,0,0,0,0
bounty,0,0,0,0,0,0,1,0,0,0,0
food,0,0,0,0,0,0,112,0,0,0,0
behaviour,0,0,0,0,0,0,38,0,0,0,0
occur,0,0,0,0,0,0,0,0,0,71,0
wild,128,0,0,0,0,0,22,0,0,0,0
wildebeest,0,0,0,0,0,0,27,0,0,0,0
ten,0,0,0,0,0,0,3,0,0,0,0
thousand,0,0,0,0,0,0,14,22,0,0,0
social,47,0,0,0,0,0,0,0,0,0,0
base,0,0,0,0,0,0,16,0,0,10,0
hierarchy,0,0,0,0,0,0,13,0,0,0,0
maternal,11,0,0,0,0,0,0,0,0,0,0
unit,0,0,0,0,0,0,9,0,0,0,0
cohesive,3,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,6,0,0,1,0
range,0,0,0,0,0,0,120,0,0,53,0
vast,9,0,0,0,0,0,0,0,0,0,0
open,52,1,0,0,0,0,2,0,0,11,0
space,0,0,0,0,0,0,8,0,0,6,0
section,0,0,0,0,0,0,5,0,0,0,0
savanna,0,0,0,0,0,0,35,0,0,0,0
survival,0,0,0,0,0,0,11,0,0,0,0
closely,0,0,50,0,0,0,0,0,0,0,0
tie,0,0,0,0,0,0,1,0,0,2,0
resource,0,0,0,0,0,0,12,0,0,0,0
environment,0,0,0,0,0,0,19,0,0,0,0
inhabit,0,0,0,0,0,0,0,0,0,53,0
abundance,0,0,0,0,0,0,8,0,0,0,0
dictate,0,0,0,0,0,0,0,0,0,1,0
eat,0,0,0,0,0,0,0,0,0,65,0
generally,0,0,57,0,0,0,0,0,0,0,0
easy,10,0,0,0,0,0,0,0,0,0,0
matter,0,0,0,0,0,0,8,0,0,0,0
difficult,10,0,0,0,0,0,0,0,0,0,0
digest,0,0,0,0,0,0,0,0,0,19,0
result,0,0,0,0,0,0,8,0,0,16,0
stomach,0,0,0,0,0,0,32,0,0,0,0
intestine,0,0,0,0,0,0,8,0,0,0,0
addition,0,0,0,0,0,0,21,0,0,0,0
ancestor,0,0,0,0,0,0,13,0,0,0,0
omnivore,0,0,0,0,0,0,3,0,0,0,0
mainly,0,0,33,0,0,0,0,0,0,0,0
advanced,13,0,0,0,0,0,0,0,0,0,0
llama,0,0,0,0,0,0,30,0,0,0,0
swallow,0,0,0,0,0,0,0,0,0,3,0
partially,0,0,6,0,0,0,0,0,0,0,0
chew,0,0,0,0,0,0,0,0,0,12,0
regurgitate,0,0,0,0,0,0,0,0,0,4,0
thoroughly,0,0,3,0,0,0,0,0,0,0,0
later,3,0,15,0,0,0,0,0,0,0,0
process,0,0,0,0,0,0,16,0,0,2,0
advantageous,1,0,0,0,0,0,0,0,0,0,0
digestion,0,0,0,0,0,0,13,0,0,0,0
cellulose,0,0,0,0,0,0,8,0,0,0,0
production,0,0,0,0,0,0,14,0,0,0,0
