word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,X
troop,0,0,0,0,0,0,3,0,0,0,0,0,0
vagabond,0,0,0,0,0,0,4,0,0,0,0,0,0
turn,0,0,0,0,0,0,5,0,0,0,0,43,0
early,2,0,0,0,0,0,0,0,0,0,0,0,0
dawn,0,0,0,0,0,0,2,0,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,0,15,0
forward,0,0,10,0,0,0,0,0,0,0,0,0,0
march,0,0,0,0,0,0,1,0,0,0,0,4,0
lower,0,0,1,0,0,0,0,0,0,0,0,2,0
sky,0,0,0,0,0,0,3,0,0,0,0,0,0
overhead,0,0,2,0,0,0,0,0,0,0,0,0,0
sloppy,1,0,0,0,0,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,0,11,0,0,0,0,0,0
foot,0,0,0,0,0,0,14,0,0,0,0,0,0
winter,0,0,0,0,0,0,3,0,0,0,0,0,0
chill,1,0,0,0,0,0,2,0,0,0,0,2,0
air,0,0,0,0,0,0,9,0,0,0,0,0,0
gaiety,0,0,0,0,0,0,1,0,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,0,54,0
company,0,0,0,0,0,0,11,0,0,0,0,0,0
sullen,1,0,0,0,0,0,0,0,0,0,0,0,0
silent,5,0,0,0,0,0,0,0,0,0,0,0,0
irritable,1,0,0,0,0,0,0,0,0,0,0,0,0
petulant,1,0,0,0,0,0,0,0,0,0,0,0,0
gentle,16,0,0,0,0,0,0,0,0,0,0,0,0
humoured,1,0,0,0,0,0,0,0,0,0,0,0,0
thirsty,1,0,0,0,0,0,0,0,0,0,0,0,0
charge,0,0,0,0,0,0,5,0,0,0,0,3,0
brief,6,0,0,0,0,0,0,0,0,0,0,0,0
instruction,0,0,0,0,0,0,1,0,0,0,0,0,0
command,0,0,0,0,0,0,10,0,0,0,0,8,0
away,0,4,56,0,0,0,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,32,0
warn,0,0,0,0,0,0,0,0,0,0,0,8,0
rough,6,0,0,0,0,0,0,0,0,0,0,0,0
lad,0,0,0,0,0,0,18,0,0,0,0,0,0
weather,0,0,0,0,0,0,2,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,14,0
mild,2,0,0,0,0,0,0,0,0,0,0,0,0
cloud,0,0,0,0,0,0,5,0,0,0,0,1,0
lift,0,0,0,0,0,0,0,0,0,0,0,9,0
somewhat,0,0,6,0,0,0,0,0,0,0,0,0,0
cease,0,0,0,0,0,0,0,0,0,0,0,8,0
shiver,0,0,0,0,0,0,1,0,0,0,0,3,0
spirit,0,0,0,0,0,0,12,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,36,0
improve,0,0,0,0,0,0,0,0,0,0,0,1,0
cheerful,2,0,0,0,0,0,0,0,0,0,0,0,0
finally,0,0,14,0,0,0,0,0,0,0,0,0,0
chaff,0,0,0,0,0,0,0,0,0,0,0,1,0
insult,0,0,0,0,0,0,0,0,0,0,0,3,0
passenger,0,0,0,0,0,0,1,0,0,0,0,0,0
highway,0,0,0,0,0,0,2,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,0,0,12,0
awake,2,0,0,0,0,0,0,0,0,0,0,5,0
appreciation,0,0,0,0,0,0,3,0,0,0,0,0,0
life,0,0,0,0,0,0,30,0,0,0,0,0,0
joy,0,0,0,0,0,0,9,0,0,0,0,0,0
dread,0,0,0,0,0,0,2,0,0,0,0,0,0
sort,0,0,0,0,0,0,13,0,0,0,0,0,0
hold,0,0,0,0,0,0,1,0,0,0,0,23,0
apparent,2,0,0,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,0,2,0,0,0,0,0,0
everybody,0,0,0,0,0,0,0,0,0,4,0,0,0
give,0,0,0,0,0,0,0,0,0,0,0,21,0
road,0,0,0,0,0,0,6,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,39,0
ribald,2,0,0,0,0,0,0,0,0,0,0,0,0
insolence,0,0,0,0,0,0,2,0,0,0,0,0,0
meekly,0,0,1,0,0,0,0,0,0,0,0,0,0
venture,0,0,0,0,0,0,1,0,0,0,0,4,0
talk,0,0,0,0,0,0,2,0,0,0,0,12,0
snatch,0,0,0,0,0,0,0,0,0,0,0,9,0
linen,0,0,0,0,0,0,1,0,0,0,0,0,0
hedge,0,0,0,0,0,0,6,0,0,0,0,0,0
occasionally,0,0,5,0,0,0,0,0,0,0,0,0,0
view,0,0,0,0,0,0,8,0,0,0,0,0,0
owner,0,0,0,0,0,0,3,0,0,0,0,0,0
protest,0,0,0,0,0,0,2,0,0,0,0,0,0
grateful,6,0,0,0,0,0,0,0,0,0,0,0,0
invade,0,0,0,0,0,0,0,0,0,0,0,2,0
small,12,0,0,0,0,0,0,0,0,0,0,0,0
farmhouse,0,0,0,0,0,0,4,0,0,0,0,0,0
home,0,0,3,0,0,0,8,0,0,0,0,0,0
tremble,0,0,0,0,0,0,0,0,0,0,0,8,0
farmer,0,0,0,0,0,0,3,0,0,0,0,0,0
people,0,0,0,0,0,0,33,0,0,0,0,0,0
sweep,0,0,0,0,0,0,0,0,0,0,0,10,0
larder,0,0,0,0,0,0,1,0,0,0,0,0,0
clean,2,0,0,0,0,0,0,0,0,0,0,0,0
furnish,0,0,0,0,0,0,0,0,0,0,0,6,0
breakfast,0,0,0,0,0,0,5,0,0,0,0,0,0
chuck,0,0,0,0,0,0,0,0,0,0,0,1,0
housewife,0,0,0,0,0,0,2,0,0,0,0,0,0
daughter,0,0,0,0,0,0,3,0,0,0,0,0,0
