word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
caption,0,0,0,0,0,25,0,0,0,0,0,10
map,0,0,0,0,0,4,0,0,0,0,0,0
northwest,0,0,1,0,0,6,0,0,0,0,0,0
edition,0,0,0,0,0,3,0,0,0,0,0,0
publish,0,0,0,0,0,0,0,0,0,0,6,0
terrain,0,0,0,0,0,1,0,0,0,0,0,0
western,266,0,0,0,0,0,0,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,61,0
desert,0,0,0,0,0,15,0,0,0,0,0,0
grassland,0,0,0,0,0,5,0,0,0,0,0,0
equatorial,3,0,0,0,0,0,0,0,0,0,0,0
forest,0,0,0,0,0,30,0,0,0,0,0,0
river,0,0,0,0,0,27,0,0,0,0,0,0
basin,0,0,0,0,0,7,0,0,0,0,0,0
thousand,0,0,0,0,0,19,5,0,0,0,0,0
mile,0,0,0,0,0,31,0,0,0,0,0,0
coastline,0,0,0,0,0,8,0,0,0,0,0,0
diverse,3,0,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,154,0,0,0,0,1,0
call,0,0,0,0,0,2,0,0,0,0,40,0
region,0,0,0,0,0,119,0,0,0,0,0,0
home,0,0,4,0,0,20,0,0,0,0,0,0
century,0,0,0,0,0,287,0,0,0,0,0,0
country,0,0,0,0,0,217,0,0,0,0,0,0
area,0,0,0,0,0,82,0,0,0,0,0,0
face,0,0,0,0,0,3,0,0,0,0,23,0
innumerable,2,0,0,0,0,0,0,0,0,0,0,0
hardship,0,0,0,0,0,3,0,0,0,0,0,0
culture,0,0,0,0,0,29,0,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,24,0
strength,0,0,0,0,0,5,0,0,0,0,0,0
past,1,0,0,0,0,4,0,0,0,0,0,0
incorporate,0,0,0,0,0,0,0,0,0,0,13,0
tradition,0,0,0,0,0,28,0,0,0,0,0,0
wide,19,0,1,0,0,0,0,0,0,0,0,0
range,0,0,0,0,0,1,0,0,0,0,2,0
influence,0,0,0,0,0,39,0,0,0,0,8,0
volume,0,0,0,0,0,8,0,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,0,3,0
rich,16,0,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,33,0,0,0,0,0,0
african,227,0,0,0,0,0,0,0,0,0,0,0
kingdom,0,0,0,0,0,134,0,0,0,0,0,0
variously,0,0,4,0,0,0,0,0,0,0,0,0
struggle,0,0,0,0,0,16,0,0,0,0,4,0
invasion,0,0,0,0,0,13,0,0,0,0,0,0
slavery,0,0,0,0,0,18,0,0,0,0,0,0
colonialism,0,0,0,0,0,3,0,0,0,0,0,0
corruption,0,0,0,0,0,18,0,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,0,0,35,0
independent,52,0,0,0,0,0,0,0,0,0,0,0
state,0,0,0,0,0,176,0,0,0,0,1,0
strive,0,0,0,0,0,0,0,0,0,0,1,0
secure,4,0,0,0,0,0,0,0,0,0,46,0
economic,139,0,0,0,0,0,0,0,0,0,0,0
growth,0,0,0,0,0,40,0,0,0,0,0,0
stability,0,0,0,0,0,8,0,0,0,0,0,0
human,22,0,0,0,0,3,0,0,0,0,0,0
civilization,0,0,0,0,0,14,0,0,0,0,0,0
trace,0,0,0,0,0,2,0,0,0,0,6,0
year,0,0,0,0,0,151,0,0,0,0,0,0
archaeologist,0,0,0,0,0,3,0,0,0,0,0,0
find,0,0,0,0,0,2,0,0,0,0,41,0
evidence,0,0,0,0,0,29,0,0,0,0,1,0
agricultural,28,0,0,0,0,0,0,0,0,0,0,0
practice,0,0,0,0,0,10,0,0,0,0,3,0
cattle,0,0,0,0,0,7,0,0,0,0,0,0
herding,0,0,0,0,0,3,0,0,0,0,0,0
date,0,0,0,0,0,2,0,0,0,0,13,0
bce,0,0,0,0,0,11,0,0,0,0,0,0
turn,0,0,0,0,0,9,0,0,0,0,17,0
cultural,8,0,0,0,0,0,0,0,0,0,0,0
development,0,0,0,0,0,86,0,0,0,0,0,0
mirror,0,0,0,0,0,0,0,0,0,0,1,0
occur,0,0,0,0,0,0,0,0,0,0,9,0
time,0,0,0,0,0,90,0,0,0,0,0,0
system,0,0,0,0,0,66,0,0,0,0,0,0
trade,5,0,0,0,0,329,0,0,0,0,24,0
evolve,0,0,0,0,0,0,0,0,0,0,10,0
ancient,19,0,0,0,0,0,0,0,0,0,0,0
population,0,0,0,0,0,75,0,0,0,0,0,0
centre,0,0,0,0,0,43,0,0,0,0,5,0
north,12,0,15,0,0,64,0,0,0,0,0,0
early,86,0,25,0,0,0,0,0,0,0,0,0
persist,0,0,0,0,0,0,0,0,0,0,4,0
trans,22,0,0,0,0,0,0,0,0,0,0,0
saharan,41,0,0,0,0,0,0,0,0,0,0,0
route,0,0,0,0,0,38,0,0,0,0,0,0
link,0,0,0,0,0,5,0,0,0,0,16,0
northern,81,0,0,0,0,0,0,0,0,0,0,0
tradesman,0,0,0,0,0,1,0,0,0,0,0,0
land,0,0,0,0,0,37,0,0,0,0,11,0
crisscross,0,0,0,0,0,0,0,0,0,0,1,0
sand,0,0,0,0,0,2,0,0,0,0,0,0
