word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,SCONJ,VERB
grateful,1,0,0,0,0,0,0,0,0
kindness,0,0,0,0,1,0,0,0,0
kidnap,0,0,0,0,0,0,0,0,2
want,0,0,0,0,0,0,0,0,1
world,0,0,0,0,2,0,0,0,0
probably,0,0,3,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,12
feel,0,0,0,0,0,0,0,0,2
need,0,0,0,0,3,0,0,0,0
stranger,0,0,0,0,1,0,0,0,0
invade,0,0,0,0,0,0,0,0,1
homeland,0,0,0,0,1,0,0,0,0
vanish,0,0,0,0,0,0,0,0,1
important,1,0,0,0,0,0,0,0,0
piece,0,0,0,0,2,0,0,0,0
history,0,0,0,0,7,0,0,0,0
lose,0,0,0,0,0,0,0,0,1
forever,0,0,1,0,0,0,0,0,0
day,0,0,0,0,3,0,0,0,0
sure,5,0,0,0,0,0,0,0,0
exact,1,0,0,0,0,0,0,0,0
guess,0,0,0,0,1,0,0,0,0
birthday,0,0,0,0,1,0,0,0,0
powerful,1,0,0,0,0,0,0,0,0
peak,0,0,0,0,1,0,0,0,0
power,0,0,0,0,1,0,0,0,0
estimate,0,0,0,0,0,0,0,0,2
rule,0,0,0,0,1,0,0,0,1
thirteen,0,0,0,0,0,1,0,0,0
thousand,0,0,0,0,1,2,0,0,0
thirty,0,0,0,0,0,1,0,0,0
preside,0,0,0,0,0,0,0,0,1
empire,0,0,0,0,3,0,0,0,0
sketch,0,0,0,0,1,0,0,0,0
depict,0,0,0,0,0,0,0,0,1
confederacy,0,0,0,0,2,0,0,0,0
rumor,0,0,0,0,0,0,0,0,1
favorite,1,0,0,0,1,0,0,0,0
little,5,0,0,0,0,0,0,0,0
mother,0,0,0,0,2,0,0,0,0
numerous,2,0,0,0,0,0,0,0,0
wife,0,0,0,0,4,0,0,0,0
child,0,0,0,0,9,0,0,0,0
believe,0,0,0,0,0,0,0,0,6
fact,0,0,0,0,5,0,0,0,0
translate,0,0,0,0,0,0,0,0,1
mischievous,1,0,0,0,0,0,0,0,0
indicate,0,0,0,0,0,0,0,0,3
curious,2,0,0,0,0,0,0,0,0
like,0,5,0,0,0,0,0,0,3
adventure,0,0,0,0,1,0,0,0,0
naturally,0,0,1,0,0,0,0,0,0
terribly,0,0,1,0,0,0,0,0,0
inquisitive,1,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,3
land,0,0,0,0,2,0,0,0,0
bay,0,0,0,0,2,0,0,0,0
set,0,0,0,0,0,0,0,0,4
village,0,0,0,0,6,0,0,0,0
seven,0,0,0,0,0,2,0,0,0
council,0,0,0,0,1,0,0,0,0
shortly,0,0,2,0,0,0,0,0,0
arrive,0,0,0,0,0,0,0,0,4
begin,0,0,0,0,0,0,0,0,4
series,0,0,0,0,1,0,0,0,0
voyage,0,0,0,0,2,0,0,0,0
enable,0,0,0,0,0,0,0,0,1
draw,0,0,0,0,0,0,0,0,1
remarkably,0,0,1,0,0,0,0,0,0
accurate,1,0,0,0,0,0,0,0,0
map,0,0,0,0,2,0,0,0,0
party,0,0,0,0,12,0,0,0,0
attack,0,0,0,0,3,0,0,0,2
capture,0,0,0,0,1,0,0,0,3
brother,0,0,0,0,2,0,0,0,0
happen,0,0,0,0,0,0,0,0,2
last,0,0,0,0,0,0,0,0,2
legend,0,0,0,0,5,0,0,0,0
pass,0,0,0,0,0,0,0,0,3
generation,0,0,0,0,1,0,0,0,0
accord,0,0,0,0,0,0,0,0,4
warrior,0,0,0,0,3,0,0,0,0
death,0,0,0,0,4,0,0,0,0
claim,0,0,0,0,0,0,0,0,7
executioner,0,0,0,0,1,0,0,0,0
plead,0,0,0,0,0,0,0,0,1
spare,0,0,0,0,0,0,0,0,1
apparently,0,0,2,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,1
word,0,0,0,0,5,0,0,0,0
action,0,0,0,0,1,0,0,0,0
allow,0,0,0,0,0,0,0,0,2
free,1,0,0,0,0,0,0,0,0
color,0,0,0,0,4,0,0,0,0
lithograph,0,0,0,0,1,0,0,0,0
portrait,0,0,0,0,1,0,0,0,0
play,0,0,0,0,1,0,0,0,3
pivotal,1,0,0,0,0,0,0,0,0
role,0,0,0,0,1,0,0,0,0
misunderstand,0,0,0,0,0,0,0,0,2
intention,0,0,0,0,2,0,0,0,0
entire,1,0,0,0,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,1
include,0,0,0,0,0,0,0,0,9
publish,0,0,0,0,0,0,0,0,1
mention,0,0,0,0,0,0,0,0,2
think,0,0,0,0,0,0,0,0,3
execution,0,0,0,0,1,0,0,0,0
instead,0,0,2,0,0,0,0,0,0
test,0,0,0,0,1,0,0,0,0
courage,0,0,0,0,1,0,0,0,0
adoption,0,0,0,0,1,0,0,0,0
ceremony,0,0,0,0,2,0,0,0,0
welcome,0,0,0,0,0,0,0,0,2
say,0,0,0,0,0,0,0,0,6
invent,0,0,0,0,0,0,0,0,1
rescue,0,0,0,0,2,0,0,0,1
exciting,1,0,0,0,0,0,0,0,0
fine,1,0,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,1
release,0,0,0,0,1,0,0,0,3
carry,0,0,0,0,0,0,0,0,2
resident,0,0,0,0,2,0,0,0,0
thrilled,1,0,0,0,0,0,0,0,0
stockpile,0,0,0,0,2,0,0,0,0
get,0,0,0,0,0,0,0,0,3
dangerously,0,0,2,0,0,0,0,0,0
fire,0,0,0,0,2,0,0,0,0
sweep,0,0,0,0,0,0,0,0,1
colony,0,0,0,0,11,0,0,0,0
burn,0,0,0,0,0,0,0,0,1
ration,0,0,0,0,2,0,0,0,0
view,0,0,0,0,1,0,0,0,0
inside,0,1,0,0,0,0,0,0,0
creation,0,0,0,0,3,0,0,0,0
protect,0,0,0,0,0,0,0,0,1
open,1,0,0,0,0,0,0,0,1
public,0,0,0,0,1,0,0,0,0
live,0,0,0,0,0,0,0,0,9
museum,0,0,0,0,1,0,0,0,0
send,0,0,0,0,0,0,0,0,5
gift,0,0,0,0,4,0,0,0,0
deer,0,0,0,0,1,0,0,0,0
meat,0,0,0,0,1,0,0,0,0
fish,0,0,0,0,1,0,0,0,1
bread,0,0,0,0,1,0,0,0,0
subsequent,1,0,0,0,0,0,0,0,0
curiosity,0,0,0,0,2,0,0,0,0
dim,0,0,0,0,0,0,0,0,1
enjoy,0,0,0,0,0,0,0,0,1
spend,0,0,0,0,0,0,0,0,1
speak,0,0,0,0,0,0,0,0,1
algonquin,1,0,0,0,0,0,0,0,0
turn,0,0,0,0,1,0,0,0,3
cartwheel,0,0,0,0,1,0,0,0,0
boy,0,0,0,0,1,0,0,0,0
old,5,0,0,0,0,0,0,0,0
accompany,0,0,0,0,0,0,0,0,1
reason,0,0,0,0,2,0,0,0,0
adviser,0,0,0,0,1,0,0,0,0
negotiate,0,0,0,0,0,0,0,0,1
agree,0,0,0,0,0,0,0,0,2
care,0,0,0,0,1,0,0,0,0
prisoner,0,0,0,0,3,0,0,0,0
payback,0,0,0,0,1,0,0,0,0
personal,1,0,0,0,0,0,0,0,0
likely,0,0,1,0,0,0,0,0,0
handful,0,0,0,0,2,0,0,0,0
deal,0,0,0,0,1,0,0,0,0
offer,0,0,0,0,0,0,0,0,2
share,0,0,0,0,1,0,0,0,1
store,0,0,0,0,0,0,0,0,1
use,0,0,0,0,1,0,0,0,2
ask,0,0,0,0,0,0,0,0,1
gun,0,0,0,0,2,0,0,0,0
sword,0,0,0,0,1,0,0,0,0
talk,0,0,0,0,0,0,0,0,1
accept,0,0,0,0,0,0,0,0,3
copper,0,0,0,0,1,0,0,0,0
cooking,0,0,0,0,1,0,0,0,0
pot,0,0,0,0,1,0,0,0,0
pretend,0,0,0,0,0,0,0,0,1
rare,1,0,0,0,0,0,0,0,0
valuable,1,0,0,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,1
desire,0,0,0,0,4,0,0,0,0
weapon,0,0,0,0,6,0,0,0,0
constant,1,0,0,0,0,0,0,0,0
refusal,0,0,0,0,2,0,0,0,0
create,0,0,0,0,0,0,0,0,4
tension,0,0,0,0,1,0,0,0,0
trading,0,0,0,0,4,0,0,0,0
partner,0,0,0,0,1,0,0,0,0
timely,1,0,0,0,0,0,0,0,0
warning,0,0,0,0,2,0,0,0,0
citizen,0,0,0,0,2,0,0,0,0
transport,0,0,0,0,0,0,0,0,1
continue,0,0,0,0,0,0,0,0,2
standstill,0,0,0,0,2,0,0,0,0
great,2,0,0,0,0,0,0,0,0
board,0,0,0,0,1,0,0,0,1
barge,0,0,0,0,2,0,0,0,0
message,0,0,0,0,2,0,0,0,0
exchange,0,0,0,0,2,0,0,0,0
build,0,0,0,0,0,0,0,0,1
house,0,0,0,0,1,0,0,0,0
consider,0,0,0,0,0,0,0,0,4
plenty,0,0,0,0,1,0,0,0,0
additional,1,0,0,0,0,0,0,0,0
term,0,0,0,0,1,0,0,0,0
refuse,0,0,0,0,0,0,0,0,3
request,0,0,0,0,1,0,0,0,2
response,0,0,0,0,1,0,0,0,0
basket,0,0,0,0,1,0,0,0,0
load,0,0,0,0,0,0,0,0,1
night,0,0,0,0,4,0,0,0,0
fall,0,0,0,0,0,0,0,0,3
tide,0,0,0,0,1,0,0,0,0
impossible,1,0,0,0,0,0,0,0,0
bronze,0,0,0,0,1,0,0,0,0
statue,0,0,0,0,1,0,0,0,0
commemorate,0,0,0,0,0,0,0,0,1
stand,0,0,0,0,0,0,0,0,1
near,0,2,0,0,0,0,0,0,0
gate,0,0,0,0,1,0,0,0,0
greet,0,0,0,0,0,0,0,0,2
visitor,0,0,0,0,2,0,0,0,0
original,2,0,0,0,0,0,0,0,0
wait,0,0,0,0,0,0,0,0,1
dinner,0,0,0,0,3,0,0,0,0
receive,0,0,0,0,0,0,0,0,6
surprise,0,0,0,0,1,0,0,0,0
friend,0,0,0,0,6,0,0,0,0
guard,0,0,0,0,1,0,0,0,0
plan,0,0,0,0,4,0,0,0,0
afoot,1,0,0,0,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,4
order,0,0,0,0,3,0,0,0,0
steal,0,0,0,0,0,0,0,0,3
big,2,0,0,0,0,0,0,0,0
risk,0,0,0,0,1,0,0,0,0
secretly,0,0,1,0,0,0,0,0,0
warn,0,0,0,0,0,0,0,0,2
possible,1,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,0,0,1
fear,0,0,0,0,1,0,0,0,0
present,1,0,0,0,1,0,0,0,1
tip,0,0,0,0,0,0,0,0,1
suddenly,0,0,1,0,0,0,0,0,0
attacker,0,0,0,0,1,0,0,0,0
show,0,0,0,0,0,0,0,0,9
high,2,0,0,0,0,0,0,0,0
alert,0,0,0,0,1,0,0,0,0
chance,0,0,0,0,1,0,0,0,0
follow,0,0,0,0,0,0,0,0,3
uneasy,1,0,0,0,0,0,0,0,0
sleep,0,0,0,0,1,0,0,0,1
away,0,0,1,0,0,0,0,0,0
morning,0,0,0,0,1,0,0,0,0
safe,1,0,0,0,0,0,0,0,0
strength,0,0,0,0,2,0,0,0,0
dealing,0,0,0,0,1,0,0,0,0
approach,0,0,0,0,1,0,0,0,0
differ,0,0,0,0,0,0,0,0,2
spanish,2,0,0,0,0,0,0,0,0
conquistador,0,0,0,0,2,0,0,0,0
century,0,0,0,0,3,0,0,0,0
leader,0,0,0,0,3,0,0,0,0
conquest,0,0,0,0,1,0,0,0,0
especially,0,0,3,0,0,0,0,0,0
sixteenth,1,0,0,0,1,0,0,0,0
certain,3,0,0,0,0,0,0,0,0
goal,0,0,0,0,2,0,0,0,0
mind,0,0,0,0,1,0,0,0,0
conquer,0,0,0,0,0,0,0,0,1
spread,0,0,0,0,0,0,0,0,1
look,0,0,0,0,0,0,0,0,2
gold,0,0,0,0,1,0,0,0,0
treasure,0,0,0,0,1,0,0,0,0
case,0,0,0,0,1,0,0,0,0
brutally,0,0,1,0,0,0,0,0,0
suppress,0,0,0,0,0,0,0,0,1
powhatan,1,0,0,0,0,0,0,0,0
diplomacy,0,0,0,0,1,0,0,0,0
intimidation,0,0,0,0,1,0,0,0,0
massacre,0,0,0,0,1,0,0,0,0
avoid,0,0,0,0,0,0,0,0,1
bloodshed,0,0,0,0,1,0,0,0,0
project,0,0,0,0,0,0,0,0,1
image,0,0,0,0,4,0,0,0,0
evening,0,0,0,0,1,0,0,0,0
contact,0,0,0,0,1,0,0,0,0
mark,0,0,0,0,1,0,0,0,1
break,0,0,0,0,1,0,0,0,2
accident,0,0,0,0,1,0,0,0,0
late,1,0,1,0,0,0,0,0,0
consequently,0,0,1,0,0,0,0,0,0
hut,0,0,0,0,2,0,0,0,0
large,4,0,0,0,0,0,0,0,0
similar,1,0,0,0,0,0,0,0,0
common,1,0,0,0,0,0,0,0,0
relation,0,0,0,0,2,0,0,0,0
deteriorate,0,0,0,0,0,0,0,0,1
campaign,0,0,0,0,1,0,0,0,0
starve,0,0,0,0,0,0,0,0,1
stop,0,0,0,0,0,0,0,0,1
barter,0,0,0,0,0,0,0,0,1
search,0,0,0,0,1,0,0,0,0
hunting,0,0,0,0,1,0,0,0,0
highly,0,0,2,0,0,0,0,0,0
dangerous,1,0,0,0,0,0,0,0,0
englishman,0,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,0,0,6
outside,0,2,0,0,0,0,0,0,0
fort,0,0,0,0,1,0,0,0,0
reliant,1,0,0,0,0,0,0,0,0
far,0,0,1,0,0,0,0,0,0
winter,0,0,0,0,1,0,0,0,0
period,0,0,0,0,1,0,0,0,0
commonly,0,0,1,0,0,0,0,0,0
new,2,0,0,0,0,0,0,0,0
governor,0,0,0,0,1,0,0,0,0
demand,0,0,0,0,1,0,0,0,1
tool,0,0,0,0,2,0,0,0,0
perpetrator,0,0,0,0,1,0,0,0,0
recent,1,0,0,0,0,0,0,0,0
murder,0,0,0,0,1,0,0,0,0
reply,0,0,0,0,0,0,0,0,1
proud,1,0,0,0,0,0,0,0,0
disdainful,1,0,0,0,0,0,0,0,0
answer,0,0,0,0,1,0,0,0,0
leave,0,0,0,0,0,0,0,0,6
country,0,0,0,0,1,0,0,0,0
war,1,0,0,0,1,0,0,0,0
unwilling,1,0,0,0,0,0,0,0,0
bargaining,0,0,0,0,2,0,0,0,0
teen,0,0,0,0,1,0,0,0,0
catch,0,0,0,0,0,0,0,0,1
attention,0,0,0,0,1,0,0,0,0
employ,0,0,0,0,0,0,0,0,1
originally,0,0,1,0,0,0,0,0,0
commission,0,0,0,0,0,0,0,0,1
short,1,0,0,0,0,0,0,0,0
route,0,0,0,0,1,0,0,0,0
sturgeon,0,0,0,0,1,0,0,0,0
admiral,0,0,0,0,1,0,0,0,0
travel,0,0,0,0,1,0,0,0,4
acquaint,0,0,0,0,0,0,0,0,1
locate,0,0,0,0,0,0,0,0,1
stay,0,0,0,0,1,0,0,0,2
quickly,0,0,1,0,0,0,0,0,0
hatch,0,0,0,0,0,0,0,0,1
chip,0,0,0,0,1,0,0,0,0
win,0,0,0,0,0,0,0,0,2
furthermore,0,0,1,0,0,0,0,0,0
hope,0,0,0,0,0,0,0,0,4
replenish,0,0,0,0,0,0,0,0,1
pitiful,1,0,0,0,0,0,0,0,0
lifetime,0,0,0,0,2,0,0,0,0
artist,0,0,0,0,3,0,0,0,0
imagination,0,0,0,0,1,0,0,0,0
paint,0,0,0,0,1,0,0,0,3
convince,0,0,0,0,0,0,0,0,2
lure,0,0,0,0,0,0,0,0,1
husband,0,0,0,0,6,0,0,0,0
walk,0,0,0,0,0,0,0,0,1
past,0,1,0,0,0,0,0,0,0
shore,0,0,0,0,2,0,0,0,0
fake,0,0,0,0,0,0,0,0,1
fondness,0,0,0,0,1,0,0,0,0
aboard,0,1,0,0,0,0,0,0,0
trick,0,0,0,0,1,0,0,0,0
work,0,0,0,0,1,0,0,0,1
supper,0,0,0,0,1,0,0,0,0
afterward,0,0,2,0,0,0,0,0,0
captain,0,0,0,0,4,0,0,0,0
let,0,0,0,0,0,0,0,0,1
call,0,0,0,0,0,0,0,0,3
honored,1,0,0,0,0,0,0,0,0
guest,0,0,0,0,2,0,0,0,0
scene,0,0,0,0,1,0,0,0,0
captive,1,0,0,0,1,0,0,0,0
painting,0,0,0,0,3,0,0,0,0
arrival,0,0,0,0,1,0,0,0,0
week,0,0,0,0,2,0,0,0,0
hold,0,0,0,0,0,0,0,0,3
messenger,0,0,0,0,1,0,0,0,0
meet,0,0,0,0,0,0,0,0,3
condition,0,0,0,0,1,0,0,0,0
negotiation,0,0,0,0,2,0,0,0,0
bargain,0,0,0,0,0,0,0,0,1
illustrate,0,0,0,0,0,0,0,0,1
conversion,0,0,0,0,2,0,0,0,0
convert,0,0,0,0,1,0,0,0,2
religious,2,0,0,0,0,0,0,0,0
marriage,0,0,0,0,5,0,0,0,0
outpost,0,0,0,0,1,0,0,0,0
treat,0,0,0,0,0,0,0,0,3
courtesy,0,0,0,0,1,0,0,0,0
captivity,0,0,0,0,1,0,0,0,0
christianize,0,0,0,0,0,0,0,0,2
education,0,0,0,0,1,0,0,0,0
lesson,0,0,0,0,1,0,0,0,0
dress,0,0,0,0,2,0,0,0,7
custom,0,0,0,0,1,0,0,0,0
eventually,0,0,3,0,0,0,0,0,0
adopt,0,0,0,0,0,0,0,0,1
captor,0,0,0,0,2,0,0,0,0
choice,0,0,0,0,1,0,0,0,0
matter,0,0,0,0,2,0,0,0,0
baptize,0,0,0,0,0,0,0,0,1
interpretation,0,0,0,0,1,0,0,0,0
wedding,0,0,0,0,2,0,0,0,0
attendance,0,0,0,0,1,0,0,0,0
union,0,0,0,0,1,0,0,0,0
blessing,0,0,0,0,1,0,0,0,0
alike,0,0,1,0,0,0,0,0,0
religion,0,0,0,0,1,0,0,0,0
thing,0,0,0,0,2,0,0,0,0
widower,0,0,0,0,1,0,0,0,0
note,0,0,0,0,0,0,0,0,1
tobacco,0,0,0,0,2,0,0,0,0
crop,0,0,0,0,1,0,0,0,0
permission,0,0,0,0,1,0,0,0,0
marry,0,0,0,0,0,0,0,0,2
readily,0,0,1,0,0,0,0,0,0
please,0,0,0,0,0,0,0,0,1
proposal,0,0,0,0,1,0,0,0,0
envoy,0,0,0,0,1,0,0,0,0
couple,0,0,0,0,1,0,0,0,0
anglican,1,0,0,0,0,0,0,0,0
church,0,0,0,0,1,0,0,0,0
peace,0,0,0,0,1,0,0,0,0
prevail,0,0,0,0,0,0,0,0,1
family,0,0,0,0,4,0,0,0,0
attendant,0,0,0,0,1,0,0,0,0
commercial,1,0,0,0,0,0,0,0,0
shareholder,0,0,0,0,1,0,0,0,0
distinguish,0,0,0,0,0,0,0,0,1
compose,0,0,0,0,0,0,0,0,1
largely,0,0,1,0,0,0,0,0,0
southwestern,1,0,0,0,0,0,0,0,0
purpose,0,0,0,0,2,0,0,0,0
colonize,0,0,0,0,0,0,0,0,2
eastern,1,0,0,0,0,0,0,0,0
stockholder,0,0,0,0,1,0,0,0,0
regard,0,0,0,0,1,0,0,0,1
gain,0,0,0,0,0,0,0,0,1
compete,0,0,0,0,0,0,0,0,1
son,0,0,0,0,3,0,0,0,0
source,0,0,0,0,2,0,0,0,0
report,0,0,0,0,0,0,0,0,2
sister,0,0,0,0,1,0,0,0,0
supposedly,0,0,2,0,0,0,0,0,0
nanny,0,0,0,0,1,0,0,0,0
see,0,0,0,0,0,0,0,0,5
hear,0,0,0,0,0,0,0,0,1
coincidentally,0,0,1,0,0,0,0,0,0
vessel,0,0,0,0,1,0,0,0,0
propose,0,0,0,0,0,0,0,0,1
trip,0,0,0,0,3,0,0,0,0
publicize,0,0,0,0,0,0,0,0,1
support,0,0,0,0,1,0,0,0,0
investor,0,0,0,0,1,0,0,0,0
hurt,0,0,0,0,0,0,0,0,1
breathe,0,0,0,0,0,0,0,0,1
success,0,0,0,0,1,0,0,0,0
effort,0,0,0,0,1,0,0,0,0
imagining,0,0,0,0,1,0,0,0,0
notice,0,0,0,0,0,0,0,0,1
make,0,0,0,0,0,0,0,0,2
facial,2,0,0,0,0,0,0,0,0
feature,0,0,0,0,3,0,0,0,3
lady,0,0,0,0,1,0,0,0,0
delight,0,0,0,0,0,0,0,0,1
honor,0,0,0,0,1,0,0,0,0
grand,1,0,0,0,0,0,0,0,0
event,0,0,0,0,3,0,0,0,0
ball,0,0,0,0,1,0,0,0,0
bishop,0,0,0,0,1,0,0,0,0
proper,1,0,0,0,0,0,0,0,0
respect,0,0,0,0,1,0,0,0,0
savage,0,0,0,0,1,0,0,0,0
entertain,0,0,0,0,0,0,0,0,1
royal,1,0,0,0,2,0,0,0,0
festivity,0,0,0,0,1,0,0,0,0
reliable,1,0,0,0,0,0,0,0,0
introduce,0,0,0,0,0,0,0,0,1
king,0,0,0,0,1,0,0,0,0
attend,0,0,0,0,0,0,0,0,1
nowadays,0,0,1,0,0,0,0,0,0
participatory,1,0,0,0,0,0,0,0,0
theater,0,0,0,0,2,0,0,0,0
masque,0,0,0,0,1,0,0,0,0
stage,0,0,0,0,0,0,0,0,1
observance,0,0,0,0,1,0,0,0,0
write,0,0,0,0,0,0,0,0,2
celebrated,1,0,0,0,0,0,0,0,0
playwright,0,0,0,0,1,0,0,0,0
popular,2,0,0,0,0,0,0,0,0
palace,0,0,0,0,1,0,0,0,0
occur,0,0,0,0,0,0,0,0,1
court,0,0,0,0,2,0,0,0,0
origin,0,0,0,0,1,0,0,0,0
privately,0,0,1,0,0,0,0,0,0
rest,0,0,0,0,0,0,0,0,1
