word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,VERB,X
detect,0,0,0,0,0,0,0,10,0
merging,0,0,0,0,0,1,0,0,0
black,9,0,0,0,0,0,0,0,0
hole,0,0,0,0,0,9,0,0,0
depict,0,0,0,0,0,0,0,2,0
image,0,0,0,0,0,2,0,0,0
astronomy,0,0,0,0,0,40,0,0,0
field,0,0,0,0,0,23,0,0,0
study,0,0,0,0,0,16,0,12,0
physical,45,0,0,0,0,0,0,0,0
science,0,0,0,0,0,55,0,0,0
people,0,0,0,0,0,2,0,0,0
name,0,0,0,0,0,2,0,5,0
familiar,1,0,0,0,0,0,0,0,0
teenager,0,0,0,0,0,1,0,0,0
personal,2,0,0,0,0,0,0,0,0
characteristic,1,0,0,0,0,2,0,0,0
common,2,0,0,0,0,0,0,0,0
intelligent,1,0,0,0,0,0,0,0,0
individual,2,0,0,0,0,1,0,0,0
actively,0,0,1,0,0,0,0,0,0
pursue,0,0,0,0,0,0,0,2,0
education,0,0,0,0,0,1,0,0,0
support,0,0,0,0,0,0,0,3,0
interest,0,0,0,0,0,4,0,0,0
curious,1,0,0,0,0,0,0,0,0
natural,13,0,0,0,0,0,0,0,0
world,0,0,0,0,0,28,0,0,0
persistent,1,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,0,7,0
answer,0,0,0,0,0,2,0,4,0
satisfy,0,0,0,0,0,0,0,4,0
curiosity,0,0,0,0,0,1,0,0,0
believe,0,0,0,0,0,0,0,8,0
think,0,0,0,0,0,0,0,13,0
outside,0,3,1,0,0,1,0,0,0
box,0,0,0,0,0,1,0,0,0
have,0,0,0,0,0,0,0,9,0
scientist,0,0,0,0,0,37,0,0,0
exact,2,0,0,0,0,0,0,0,0
gain,0,0,0,0,0,1,0,1,0
knowledge,0,0,0,0,0,9,0,0,0
observe,0,0,0,0,0,0,0,22,0
event,0,0,0,0,0,4,0,0,0
use,0,0,0,0,0,6,0,1,0
