word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,PRON,SCONJ,VERB,X
approximately,0,0,4,0,0,0,0,0,0,0,0
babylonian,14,0,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,27,0,0,0,0,0
shiny,1,0,0,0,0,0,0,0,0,0,0
black,2,0,0,0,0,0,0,0,0,0,0
basalt,0,0,0,0,0,1,0,0,0,0,0
stela,0,0,0,0,0,2,0,0,0,0,0
pillar,0,0,0,0,0,3,0,0,0,0,0
place,0,0,0,0,0,5,0,0,0,1,0
capital,1,0,0,0,0,12,0,0,0,0,0
city,0,0,0,0,0,49,0,0,0,0,0
astonishing,1,0,0,0,0,0,0,0,0,0,0
object,0,0,0,0,0,6,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,1,0
nearly,0,0,2,0,0,0,0,0,0,0,0
law,0,0,0,0,0,24,0,0,0,0,0
today,0,0,0,0,0,5,0,0,0,0,0
standard,3,0,0,0,0,1,0,0,0,0,0
shockingly,0,0,1,0,0,0,0,0,0,0,0
cruel,1,0,0,0,0,0,0,0,0,0,0
number,0,0,0,0,0,4,0,0,0,1,0
son,0,0,0,0,0,5,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,0,2,0
father,0,0,0,0,0,4,0,0,0,0,0
hand,0,0,0,0,0,6,0,0,0,1,0
shall,0,0,0,2,0,0,0,0,0,0,0
hew,0,0,0,0,0,0,0,0,0,1,0
man,0,0,0,0,0,16,0,0,0,0,0
eye,0,0,0,0,0,2,0,0,0,0,0
downright,0,0,1,0,0,0,0,0,0,0,0
unfair,1,0,0,0,0,0,0,0,0,0,0
patient,0,0,0,0,0,1,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,7,0
surgery,0,0,0,0,0,1,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,0,4,0
doctor,0,0,0,0,0,1,0,0,0,0,0
cut,0,0,0,0,0,0,0,0,0,3,0
hard,2,0,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,4,0
code,0,0,0,0,0,12,0,0,0,0,0
great,33,0,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,0,2,0,0,0,3,0
human,4,0,0,0,0,2,0,0,0,0,0
civilization,0,0,0,0,0,17,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,2,0
effect,0,0,0,0,0,2,0,0,0,1,0
hold,0,0,0,0,0,0,0,0,0,4,0
power,0,0,0,0,0,10,0,0,0,0,0
people,0,0,0,0,0,30,0,0,0,0,0
right,1,0,0,0,0,4,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,7,0
society,0,0,0,0,0,4,0,0,0,0,0
clear,3,0,0,0,0,0,0,0,0,0,0
apply,0,0,0,0,0,0,0,0,0,1,0
surprising,1,0,0,0,0,0,0,0,0,0,0
innovation,0,0,0,0,0,1,0,0,0,0,0
legal,2,0,0,0,0,0,0,0,0,0,0
thought,0,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,16,0
land,0,0,0,0,0,13,0,0,0,0,0
change,0,0,0,0,0,4,0,0,0,2,0
locate,0,0,0,0,0,0,0,0,0,7,0
home,0,0,0,0,0,1,0,0,0,0,0
world,0,0,0,0,0,10,0,0,0,0,0
greek,2,0,0,0,0,0,0,0,0,0,0
river,0,0,0,0,0,24,0,0,0,0,0
overflow,0,0,0,0,0,0,0,0,0,1,0
year,0,0,0,0,0,21,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,3,0
enrich,0,0,0,0,0,0,0,0,0,2,0
soil,0,0,0,0,0,6,0,0,0,0,0
start,0,0,0,0,0,0,0,0,0,4,0
wander,0,0,0,0,0,0,0,0,0,2,0
tribe,0,0,0,0,0,3,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,12,0
grow,0,0,0,0,0,0,0,0,0,4,0
crop,0,0,0,0,0,5,0,0,0,0,0
fertile,4,0,0,0,0,0,0,0,0,0,0
gradually,0,0,4,0,0,0,0,0,0,0,0
stay,0,0,0,0,0,0,0,0,0,1,0
sow,0,0,0,0,0,0,0,0,0,1,0
seed,0,0,0,0,0,2,0,0,0,0,0
domesticate,0,0,0,0,0,0,0,0,0,2,0
animal,0,0,0,0,0,5,0,0,0,0,0
town,0,0,0,0,0,2,0,0,0,0,0
crossroad,0,0,0,0,0,1,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,1,0
region,0,0,0,0,0,11,0,0,0,0,0
trade,0,0,0,0,0,7,0,0,0,1,0
grain,0,0,0,0,0,2,0,0,0,0,0
good,0,0,0,0,0,3,0,0,0,0,0
new,3,0,0,0,0,0,0,0,0,0,0
idea,0,0,0,0,0,3,0,0,0,0,0
group,0,0,0,0,0,7,0,0,0,0,0
schoolchildren,0,0,0,0,0,1,0,0,0,0,0
visit,0,0,0,0,0,0,0,0,0,1,0
site,0,0,0,0,0,7,0,0,0,0,0
sense,0,0,0,0,0,3,0,0,0,0,0
