word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,0,0,5,0,0,0,0
photography,0,0,0,0,0,227,0,0,0,0
generally,0,0,17,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,8,0
birth,0,0,0,0,0,2,0,0,0,0
reveal,0,0,0,0,0,0,0,0,13,0
photographic,45,0,0,0,0,0,0,0,0,0
process,0,0,0,0,0,87,0,0,26,0
public,6,0,0,0,0,12,0,0,0,0
root,0,0,0,0,0,2,0,0,0,0
develop,0,0,0,0,0,0,0,0,46,0
early,16,0,5,0,0,0,0,0,0,0
camera,0,0,0,0,0,492,0,0,0,0
obscura,0,0,0,0,0,6,0,0,0,2
example,0,0,0,0,0,19,0,0,0,0
know,0,0,0,0,0,0,0,0,28,0
ancient,2,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,70,0,0,1,0
mean,0,0,0,0,0,5,0,0,6,0
literally,0,0,2,0,0,0,0,0,0,0
darken,0,0,0,0,0,0,0,0,8,0
room,0,0,0,0,0,6,0,0,0,0
originally,0,0,6,0,0,0,0,0,0,0
completely,0,0,4,0,0,0,0,0,0,0
seal,0,0,0,0,0,0,0,0,5,0
light,52,0,2,0,0,247,0,0,2,0
small,51,0,0,0,0,0,0,0,0,0
hole,0,0,0,0,0,2,0,0,0,0
wall,0,0,0,0,0,7,0,0,0,0
image,0,0,0,0,0,394,0,0,0,0
outside,2,4,0,0,0,0,0,0,0,0
world,1,0,0,0,0,30,0,0,0,0
house,0,0,0,0,0,4,0,0,4,0
tree,0,0,0,0,0,3,0,0,0,0
people,0,0,0,0,0,17,0,0,0,0
project,0,0,0,0,0,0,0,0,13,0
upside,0,0,2,0,0,0,0,0,0,0
reverse,0,0,0,0,0,0,0,0,8,0
right,7,0,5,0,0,5,0,0,0,0
left,4,0,6,0,0,1,0,0,0,0
white,43,0,0,0,0,8,0,0,0,0
screen,0,0,0,0,0,55,0,0,3,0
place,0,0,0,0,0,18,0,0,23,0
opposite,2,2,0,0,0,0,0,0,0,0
opening,0,0,0,0,0,14,0,0,0,0
later,3,0,23,0,0,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0,33,0
size,0,0,0,0,0,46,0,0,0,0
portable,10,0,0,0,0,0,0,0,0,0
box,0,0,0,0,0,8,0,0,0,0
equip,0,0,0,0,0,0,0,0,8,0
lens,0,0,0,0,0,196,0,0,0,0
mirror,0,0,0,0,0,27,0,0,0,0
degree,0,0,0,0,0,10,0,0,0,0
angle,0,0,0,0,0,32,0,0,0,0
reflect,0,0,0,0,0,0,0,0,28,0
upward,0,0,2,0,0,0,0,0,0,0
focus,0,0,0,0,0,33,0,0,41,0
view,0,0,0,0,0,30,0,0,27,0
great,32,0,0,0,0,0,0,0,0,0
aid,0,0,0,0,0,6,0,0,7,0
artist,0,0,0,0,0,6,0,0,0,0
make,0,0,0,0,0,0,0,0,34,0
sketch,0,0,0,0,0,2,0,0,0,0
location,0,0,0,0,0,5,0,0,0,0
way,0,0,0,0,0,26,0,0,0,0
capture,0,0,0,0,0,4,0,0,11,0
directly,0,0,22,0,0,0,0,0,0,0
permanently,0,0,9,0,0,0,0,0,0,0
scientist,0,0,0,0,0,5,0,0,0,0
certain,24,0,0,0,0,0,0,0,0,0
silver,31,0,0,0,0,85,0,0,0,0
compound,0,0,0,0,0,19,0,0,0,0
call,0,0,0,0,0,0,0,0,37,0
salt,0,0,0,0,0,13,0,0,0,0
name,0,0,0,0,0,0,0,0,4,0
halide,0,0,0,0,0,50,0,0,0,0
turn,0,0,0,0,0,5,0,0,13,0
black,24,0,0,0,0,11,0,0,0,0
expose,0,0,0,0,0,0,0,0,26,0
son,0,0,0,0,0,2,0,0,0,0
famous,7,0,0,0,0,0,0,0,0,0
potter,0,0,0,0,0,2,0,0,0,0
