word,ADJ,ADP,ADV,DET,NOUN,PUNCT,SCONJ,VERB,X
travel,0,0,0,0,0,0,0,5,0
world,0,0,0,0,17,0,0,0,0
reveal,0,0,0,0,0,0,0,1,0
constantly,0,0,2,0,0,0,0,0,0
change,0,0,0,0,2,0,0,5,0
landscape,0,0,0,0,4,0,0,0,0
alive,1,0,0,0,0,0,0,0,0
abundant,3,0,0,0,0,0,0,0,0
diverse,2,0,0,0,0,0,0,0,0
plant,0,0,0,0,63,0,0,4,0
animal,0,0,0,0,51,0,0,0,0
climate,0,0,0,0,8,0,0,0,0
landform,0,0,0,0,1,0,0,0,0
biome,0,0,0,0,9,0,0,0,0
major,4,0,0,0,0,0,0,0,0
ecological,5,0,0,0,0,0,0,0,0
community,0,0,0,0,5,0,0,0,0
large,27,0,0,0,0,0,0,0,0
area,0,0,0,0,44,0,0,0,0
particular,4,0,0,0,0,0,0,0,0
environmental,3,0,0,0,0,0,0,0,0
condition,0,0,0,0,10,0,0,0,0
find,0,0,0,0,0,0,0,19,0
desert,0,0,0,0,86,0,0,0,0
grassland,0,0,0,0,19,0,0,0,0
rainforest,0,0,0,0,106,0,0,0,0
cover,0,0,0,0,6,0,0,9,0
significant,3,0,0,0,0,0,0,0,0
lively,1,0,0,0,0,0,0,0,0
varied,3,0,0,0,0,0,0,0,0
planet,0,0,0,0,3,0,0,0,0
volume,0,0,0,0,1,0,0,0,0
investigate,0,0,0,0,0,0,0,1,0
trio,0,0,0,0,1,0,0,0,0
offer,0,0,0,0,0,0,0,1,0
broad,9,0,0,0,0,0,0,0,0
overview,0,0,0,0,1,0,0,0,0
fascinating,1,0,0,0,0,0,0,0,0
region,0,0,0,0,42,0,0,0,0
percent,0,0,0,0,7,0,0,0,0
surface,0,0,0,0,16,0,0,0,0
typically,0,0,4,0,0,0,0,0,0
think,0,0,0,0,0,0,0,2,0
hot,10,0,0,0,0,0,0,0,0
cold,5,0,0,0,1,0,0,0,0
north,2,0,2,0,3,0,0,0,0
south,3,0,2,0,1,0,0,0,0
equator,0,0,0,0,3,0,0,0,0
main,3,0,0,0,0,0,0,0,0
temperate,16,0,0,0,0,0,0,0,0
middle,6,0,0,0,0,0,0,0,0
latitude,0,0,0,0,11,0,0,0,0
range,0,0,0,0,2,0,0,11,0
bare,5,0,0,0,0,0,0,0,0
rock,0,0,0,0,10,0,0,0,0
boulder,0,0,0,0,3,0,0,0,0
sand,0,0,0,0,8,0,0,0,0
arid,11,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,12,0
scanty,2,0,0,0,0,0,0,0,0
precipitation,0,0,0,0,7,0,0,0,0
vegetation,0,0,0,0,8,0,0,0,0
meager,1,0,0,0,0,0,0,0,0
little,4,0,1,0,0,0,0,0,0
entirely,0,0,3,0,0,0,0,0,0
desolate,1,0,0,0,0,0,0,0,0
dwell,0,0,0,0,0,0,0,3,0
expressly,0,0,1,0,0,0,0,0,0
adapt,0,0,0,0,0,0,0,6,0
severe,2,0,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,5,0
good,6,0,0,0,1,0,0,0,0
rain,0,0,0,0,16,0,0,1,0
flower,0,0,0,0,2,0,0,2,0
bloom,0,0,0,0,0,0,0,4,0
vibrant,1,0,0,0,0,0,0,0,0
color,0,0,0,0,1,0,0,2,0
sport,0,0,0,0,0,0,0,1,0
grass,0,0,0,0,34,0,0,0,0
spot,0,0,0,0,2,0,0,1,0
distinctive,3,0,0,0,0,0,0,0,0
saguaro,0,0,0,0,1,0,0,0,0
cactus,0,0,0,0,4,0,0,0,0
cool,5,0,0,0,0,0,0,0,0
home,0,0,0,0,6,0,0,0,0
tree,0,0,0,0,53,0,0,0,0
reptile,0,0,0,0,3,0,0,0,0
marsupial,0,0,0,0,1,0,0,0,0
mammal,0,0,0,0,7,0,0,0,0
camel,0,0,0,0,8,0,0,0,0
iconic,1,0,0,0,0,0,0,0,0
suited,2,0,0,0,0,0,0,0,0
ability,0,0,0,0,2,0,0,0,0
mile,0,0,0,0,8,0,0,0,0
water,0,0,0,0,37,0,0,0,0
people,0,0,0,0,13,0,0,0,0
inhabit,0,0,0,0,0,0,0,4,0
