word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
snow,0,0,0,0,0,23,0,0,0,0,0
mile,0,0,0,0,0,6,0,0,0,0,0
reach,0,0,0,0,0,0,0,0,0,9,0
horizon,0,0,0,0,0,1,0,0,0,0,0
degree,0,0,0,0,0,4,0,0,0,0,0
far,4,0,23,0,0,0,0,0,0,0,0
way,0,0,0,0,0,23,0,0,0,0,0
landmark,0,0,0,0,0,1,0,0,0,0,0
help,0,0,0,0,0,3,0,0,0,5,0
go,0,0,0,0,0,0,0,0,0,5,0
sun,0,0,0,0,0,4,0,0,0,0,0
need,0,0,0,0,0,6,0,0,0,5,0
extra,2,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,3,0,0,0,0,0
protection,0,0,0,0,0,3,0,0,0,0,0
avoid,0,0,0,0,0,0,0,0,0,10,0
blindness,0,0,0,0,0,1,0,0,0,0,0
trouble,0,0,0,0,0,2,0,0,0,0,0
blizzard,0,0,0,0,0,1,0,0,0,0,0
blow,0,0,0,0,0,0,0,0,0,1,0
warning,0,0,0,0,0,1,0,0,0,0,0
hungry,1,0,0,0,0,0,0,0,0,0,0
choice,0,0,0,0,0,2,0,0,0,0,0
food,0,0,0,0,0,60,0,0,0,0,0
hunter,0,0,0,0,0,22,0,0,0,0,0
lucky,1,0,0,0,0,0,0,0,0,0,0
meat,0,0,0,0,0,6,0,0,0,0,0
little,13,0,0,0,0,0,0,0,0,0,0
vegetable,0,0,0,0,0,2,0,0,0,0,0
people,0,0,0,0,0,218,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,10,0
plus,0,0,0,1,0,1,0,0,0,0,0
pretty,0,0,1,0,0,0,0,0,0,0,0
mercy,0,0,0,0,0,1,0,0,0,0,0
family,0,0,0,0,0,57,0,0,0,0,0
tailor,0,0,0,0,0,1,0,0,0,3,0
clothe,0,0,0,0,0,1,0,0,0,0,0
recommend,0,0,0,0,0,0,0,0,0,1,0
alternative,1,0,0,0,0,0,0,0,0,0,0
outfit,0,0,0,0,0,1,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,1,0
like,4,22,0,0,0,0,0,0,0,1,0
live,0,0,0,0,0,0,0,0,0,55,0
visual,2,0,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,11,0,0,0,0,0
look,0,0,0,0,0,1,0,0,0,1,0
film,0,0,0,0,0,3,0,0,0,1,0
set,0,0,0,0,0,2,0,0,0,5,0
give,0,0,0,0,0,0,0,0,0,21,0
great,19,0,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,0,4,0,0,0,0,0
challenge,0,0,0,0,0,1,0,0,0,0,0
life,0,0,0,0,0,24,0,0,0,0,0
idea,0,0,0,0,0,6,0,0,0,0,0
belief,0,0,0,0,0,13,0,0,0,0,0
practice,0,0,0,0,0,9,0,0,0,9,0
area,0,0,0,0,0,75,0,0,0,0,0
aboriginal,11,0,0,0,0,1,0,0,0,0,0
authentic,1,0,0,0,0,0,0,0,0,0,0
story,0,0,0,0,0,3,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,16,0
director,0,0,0,0,0,2,0,0,0,0,0
actor,0,0,0,0,0,1,0,0,0,0,0
crew,0,0,0,0,0,9,0,0,0,0,0
offer,0,0,0,0,0,1,0,0,0,4,0
wealth,0,0,0,0,0,12,0,0,0,0,0
information,0,0,0,0,0,5,0,0,0,0,0
material,4,0,0,0,0,19,0,0,0,0,0
social,37,0,0,0,0,0,0,0,0,0,0
culture,0,0,0,0,0,92,0,0,0,0,0
clear,7,0,0,0,0,0,0,0,0,0,0
choose,0,0,0,0,0,0,0,0,0,6,0
stay,0,0,0,0,0,0,0,0,0,2,0
brutal,1,0,0,0,0,0,0,0,0,0,0
terrifyingly,0,0,1,0,0,0,0,0,0,0,0
gorgeous,1,0,0,0,0,0,0,0,0,0,0
region,0,0,0,0,0,70,0,0,0,0,0
movie,0,0,0,0,0,1,0,0,0,0,0
poetic,1,0,0,0,0,0,0,0,0,0,0
book,0,0,0,0,0,5,0,0,0,0,0
answer,0,0,0,0,0,0,0,0,0,1,0
question,0,0,0,0,0,2,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,4,0
history,0,0,0,0,0,4,0,0,0,0,0
economic,17,0,0,0,0,3,0,0,0,0,0
strategy,0,0,0,0,0,6,0,0,0,0,0
north,8,0,6,0,0,23,0,0,0,0,0
