word,ADJ,ADP,ADV,NOUN,NUM,PRON,SCONJ,VERB,X
soccer,0,0,0,65,0,0,0,0,0
far,0,0,2,0,0,0,0,0,0
world,0,0,0,12,0,0,0,0,0
popular,8,0,0,0,0,0,0,0,0
team,0,0,0,51,0,0,0,0,0
sport,0,0,0,20,0,0,0,1,0
popularity,0,0,0,3,0,0,0,0,0
come,0,0,0,0,0,0,0,6,0
little,2,0,0,0,0,0,0,0,0
equipment,0,0,0,2,0,0,0,0,0
need,0,0,0,1,0,0,0,4,0
start,0,0,0,0,0,0,0,5,0
game,1,0,0,17,0,0,0,0,0
ball,0,0,0,12,0,0,0,0,0
goal,0,0,0,28,0,0,0,0,0
post,1,0,0,2,0,0,0,0,0
improvise,0,0,0,0,0,0,0,1,0
one,0,0,0,2,0,0,0,0,0
go,0,0,0,0,0,0,0,3,0
pretty,0,0,1,0,0,0,0,0,0
important,2,0,0,0,0,0,0,0,0
consideration,0,0,0,1,0,0,0,0,0
economically,0,0,2,0,0,0,0,0,0
develop,0,0,0,0,0,0,0,6,0
country,0,0,0,13,0,0,0,0,0
kid,0,0,0,3,0,0,0,0,0
access,0,0,0,1,0,0,0,0,0
expensive,1,0,0,0,0,0,0,0,0
clubhouse,0,0,0,1,0,0,0,0,0
sporting,0,0,0,1,0,0,0,0,0
match,0,0,0,13,0,0,0,0,0
dazzle,0,0,0,0,0,0,0,2,0
fan,0,0,0,14,0,0,0,0,0
stadium,0,0,0,4,0,0,0,0,0
fancy,2,0,0,0,0,0,0,0,0
footwork,0,0,0,2,0,0,0,0,0
superb,2,0,0,0,0,0,0,0,0
control,0,0,0,2,0,0,0,1,0
skill,0,0,0,5,0,0,0,0,0
live,0,0,0,0,0,0,0,5,0
legend,0,0,0,4,0,0,0,0,0
player,0,0,0,45,0,0,0,0,0
name,0,0,0,1,0,0,0,2,0
show,0,0,0,0,0,0,0,9,0
trait,0,0,0,2,0,0,0,0,0
standout,0,0,0,1,0,0,0,0,0
early,4,0,1,0,0,0,0,0,0
age,0,0,0,15,0,0,0,0,0
intelligence,0,0,0,1,0,0,0,0,0
athleticism,0,0,0,2,0,0,0,0,0
demand,0,0,0,0,0,0,0,1,0
notable,1,0,0,0,0,0,0,0,0
overcome,0,0,0,0,0,0,0,3,0
physical,2,0,0,0,0,0,0,0,0
difficulty,0,0,0,2,0,0,0,0,0
young,19,0,0,0,0,0,0,0,0
man,0,0,0,1,0,0,0,0,0
later,0,0,5,0,0,0,0,0,0
dominate,0,0,0,0,0,0,0,2,0
surpass,0,0,0,0,0,0,0,1,0
peer,0,0,0,2,0,0,0,0,0
today,0,0,0,2,0,0,0,0,0
fact,0,0,0,6,0,0,0,0,0
outside,0,1,1,0,0,0,0,0,0
commonly,0,0,1,0,0,0,0,0,0
know,0,0,0,0,0,0,0,17,0
football,0,0,0,3,0,0,0,0,0
association,0,0,0,3,0,0,0,0,0
word,0,0,0,6,0,0,0,0,0
originally,0,0,1,0,0,0,0,0,0
derive,0,0,0,0,0,0,0,1,0
abbreviation,0,0,0,3,0,0,0,0,0
play,0,0,0,2,0,0,0,25,0
forward,0,0,2,4,0,0,0,0,0
national,11,0,0,0,0,0,0,0,0
coach,0,0,0,7,0,0,0,0,0
call,0,0,0,0,0,0,0,4,0
capable,1,0,0,0,0,0,0,0,0
define,0,0,0,0,0,0,0,1,0
era,0,0,0,1,0,0,0,0,0
critic,0,0,0,2,0,0,0,0,0
suggest,0,0,0,0,0,0,0,1,0
good,14,0,0,1,0,0,0,0,0
time,0,0,0,22,0,0,0,0,0
skilled,2,0,0,0,0,0,0,0,0
playmaker,0,0,0,2,0,0,0,0,0
thoughtful,1,0,0,0,0,0,0,0,0
big,8,0,0,0,0,0,0,0,0
honor,0,0,0,3,0,0,0,0,0
carry,0,0,0,0,0,0,0,1,0
huge,1,0,0,0,0,0,0,0,0
pressure,0,0,0,4,0,0,0,0,0
responsibility,0,0,0,2,0,0,0,0,0
seven,0,0,0,0,2,0,0,0,0
year,0,0,0,16,0,0,0,0,0
old,10,0,0,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,2,0
shoulder,0,0,0,2,0,0,0,0,0
ably,0,0,1,0,0,0,0,0,0
handle,0,0,0,0,0,0,0,1,0
foot,0,0,0,2,0,0,0,0,0
root,0,0,0,1,0,0,0,0,0
beloved,1,0,0,0,0,0,0,0,0
dream,0,0,0,1,0,0,0,1,0
league,0,0,0,2,0,0,0,0,0
bear,0,0,0,0,0,0,0,6,0
nickname,0,0,0,1,0,0,0,2,0
exception,0,0,0,1,0,0,0,0,0
locate,0,0,0,0,0,0,0,1,0
west,1,0,0,0,0,0,0,0,0
bank,0,0,0,1,0,0,0,0,0
large,2,0,0,0,0,0,0,0,0
city,0,0,0,4,0,0,0,0,0
hometown,0,0,0,2,0,0,0,0,0
child,0,0,0,25,0,0,0,0,0
grow,0,0,0,0,0,0,0,3,0
river,0,0,0,1,0,0,0,0,0
port,0,0,0,1,0,0,0,0,0
father,0,0,0,3,0,0,0,0,0
steelworker,0,0,0,1,0,0,0,0,0
mother,0,0,0,1,0,0,0,0,0
work,0,0,0,3,0,0,0,3,0
cleaner,0,0,0,1,0,0,0,0,0
parent,0,0,0,3,0,0,0,0,0
italian,1,0,0,0,0,0,0,0,0
origin,0,0,0,2,0,0,0,0,0
portion,0,0,0,1,0,0,0,0,0
population,0,0,0,2,0,0,0,0,0
brother,0,0,0,2,0,0,0,0,0
sister,0,0,0,1,0,0,0,0,0
like,0,6,0,0,0,0,0,2,0
argentine,15,0,0,0,0,0,0,0,0
boy,0,0,0,6,0,0,0,0,0
look,0,0,0,0,0,0,0,2,0
superstar,0,0,0,5,0,0,0,0,0
quarterfinal,0,0,0,3,0,0,0,0,0
score,0,0,0,1,0,0,0,20,0
famous,5,0,0,0,0,0,0,0,0
illegally,0,0,1,0,0,0,0,0,0
hit,0,0,0,0,0,0,0,1,0
hand,0,0,0,2,0,0,0,1,0
referee,0,0,0,1,0,0,0,0,0
mistakenly,0,0,1,0,0,0,0,0,0
think,0,0,0,0,0,0,0,5,0
head,0,0,0,2,0,0,0,0,0
allow,0,0,0,0,0,0,0,2,0
spectacular,1,0,0,0,0,0,0,0,0
minute,0,0,0,2,0,0,0,0,0
win,0,0,0,3,0,0,0,22,0
celebrate,0,0,0,0,0,0,0,3,0
victory,0,0,0,5,0,0,0,0,0
consider,0,0,0,0,0,0,0,7,0
hero,0,0,0,2,0,0,0,0,0
inspiration,0,0,0,2,0,0,0,0,0
amateur,1,0,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,2,0
pitch,0,0,0,3,0,0,0,0,0
local,2,0,0,0,0,0,0,0,0
club,0,0,0,15,0,0,0,0,0
kick,0,0,0,2,0,0,0,1,0
wall,0,0,0,1,0,0,0,0,0
imitate,0,0,0,0,0,0,0,1,0
move,0,0,0,2,0,0,0,4,0
eventually,0,0,2,0,0,0,0,0,0
notice,0,0,0,0,0,0,0,2,0
flair,0,0,0,2,0,0,0,0,0
effectiveness,0,0,0,1,0,0,0,0,0
ask,0,0,0,0,0,0,0,4,0
join,0,0,0,0,0,0,0,5,0
despite,0,0,0,0,0,0,5,0,0
small,5,0,0,0,0,0,0,0,0
size,0,0,0,3,0,0,0,0,0
grandmother,0,0,0,3,0,0,0,0,0
pass,0,0,0,1,0,0,0,3,0
away,0,0,2,0,0,0,0,0,0
day,0,0,0,2,0,0,0,0,0
point,0,0,0,1,0,0,0,1,0
sky,0,0,0,1,0,0,0,0,0
salute,0,0,0,1,0,0,0,0,0
shy,5,0,0,0,0,0,0,1,0
challenge,0,0,0,2,0,0,0,1,0
encouragement,0,0,0,1,0,0,0,0,0
convince,0,0,0,0,0,0,0,1,0
home,0,0,2,5,0,0,0,0,0
begin,0,0,0,0,0,0,0,4,0
youth,0,0,0,14,0,0,0,0,0
division,0,0,0,6,0,0,0,0,0
base,0,0,0,0,0,0,0,1,0
phenomenal,1,0,0,0,0,0,0,0,0
handful,0,0,0,2,0,0,0,0,0
oppose,0,0,0,0,0,0,0,1,0
masterly,1,0,0,0,0,0,0,0,0
way,0,0,0,5,0,0,0,0,0
strength,0,0,0,2,0,0,0,0,0
playmaking,0,0,0,2,0,0,0,0,0
key,1,0,0,0,0,0,0,0,0
sign,0,0,0,1,0,0,0,4,0
find,0,0,0,0,0,0,0,6,0
field,0,0,0,12,0,0,0,0,0
excel,0,0,0,0,0,0,0,2,0
recall,0,0,0,0,0,0,0,1,0
feel,0,0,0,0,0,0,0,1,0
comfortable,1,0,0,0,0,0,0,0,0
entirely,0,0,1,0,0,0,0,0,0
silent,1,0,0,0,0,0,0,0,0
school,0,0,0,1,0,0,0,0,0
friend,0,0,0,7,0,0,0,0,0
raise,0,0,0,0,0,0,0,2,0
question,0,0,0,2,0,0,0,0,0
interest,0,0,0,2,0,0,0,0,0
activity,0,0,0,1,0,0,0,0,0
example,0,0,0,2,0,0,0,0,0
read,0,0,0,0,0,0,0,2,0
adult,0,0,0,3,0,0,0,0,0
admit,0,0,0,0,0,0,0,1,0
book,0,0,0,2,0,0,0,0,0
cover,0,0,0,2,0,0,0,1,0
family,0,0,0,7,0,0,0,0,0
fútbol,0,0,0,1,0,0,0,0,0
main,2,0,0,0,0,0,0,0,0
food,0,0,0,1,0,0,0,0,0
say,0,0,0,0,0,0,0,9,0
encourage,0,0,0,0,0,0,0,1,0
desire,0,0,0,1,0,0,0,0,0
improve,0,0,0,0,0,0,0,6,0
sweet,1,0,0,0,0,0,0,0,0
treat,0,0,0,1,0,0,0,0,0
incentive,0,0,0,1,0,0,0,0,0
especially,0,0,2,0,0,0,0,0,0
favorite,1,0,0,0,0,0,0,0,0
alfajores,0,0,0,0,0,0,0,0,1
alfajore,0,0,0,1,0,0,0,0,0
sugary,1,0,0,0,0,0,0,0,0
cookie,0,0,0,1,0,0,0,0,0
promise,0,0,0,1,0,0,0,2,0
alfajor,0,0,0,1,0,0,0,0,0
remember,0,0,0,0,0,0,0,3,0
del,0,0,0,0,0,0,0,0,2
teammate,0,0,0,11,0,0,0,0,0
athletic,2,0,0,0,0,0,0,0,0
prowess,0,0,0,1,0,0,0,0,0
machine,0,0,0,1,0,0,0,0,0
quiet,1,0,0,0,0,0,0,0,0
personality,0,0,0,1,0,0,0,0,0
section,0,0,0,1,0,0,0,0,0
championship,0,0,0,4,0,0,0,0,0
nationwide,0,0,1,0,0,0,0,0,0
pay,0,0,0,0,0,0,0,2,0
attention,0,0,0,2,0,0,0,0,0
manage,0,0,0,0,0,0,0,2,0
bloom,0,0,0,0,0,0,0,1,0
career,0,0,0,8,0,0,0,0,0
limit,0,0,0,0,0,0,0,1,0
prestigious,1,0,0,0,0,0,0,0,0
prove,0,0,0,0,0,0,0,3,0
helpful,1,0,0,0,0,0,0,0,0
diagnose,0,0,0,0,0,0,0,3,0
growth,0,0,0,8,0,0,0,0,0
hormone,0,0,0,8,0,0,0,0,0
deficiency,0,0,0,4,0,0,0,0,0
biological,2,0,0,0,0,0,0,0,0
condition,0,0,0,4,0,0,0,0,0
lead,0,0,0,0,0,0,0,9,0
short,3,0,0,0,0,0,0,0,0
height,0,0,0,3,0,0,0,0,0
dwarfism,0,0,0,2,0,0,0,0,0
apparent,2,0,0,0,0,0,0,0,0
debilitating,1,0,0,0,0,0,0,0,0
affect,0,0,0,0,0,0,0,2,0
stamina,0,0,0,1,0,0,0,0,0
treatment,0,0,0,6,0,0,0,0,0
doctor,0,0,0,1,0,0,0,0,0
recommend,0,0,0,0,0,0,0,1,0
month,0,0,0,2,0,0,0,0,0
long,2,0,6,0,0,0,0,0,0
afford,0,0,0,0,0,0,0,1,0
cost,0,0,0,2,0,0,0,0,0
keep,0,0,0,0,0,0,0,2,0
eye,0,0,0,2,0,0,0,0,0
arrange,0,0,0,0,0,0,0,1,0
deal,0,0,0,2,0,0,0,0,0
commit,0,0,0,0,0,0,0,1,0
participate,0,0,0,0,0,0,0,1,0
training,0,0,0,3,0,0,0,0,0
session,0,0,0,2,0,0,0,0,0
bring,0,0,0,0,0,0,0,3,0
public,1,0,0,3,0,0,0,0,0
spotlight,0,0,0,1,0,0,0,0,0
uproot,0,0,0,0,0,0,0,1,0
settle,0,0,0,0,0,0,0,1,0
hard,2,0,0,0,0,0,0,0,0
miss,0,0,0,0,0,0,0,2,0
kill,0,0,0,0,0,0,0,1,0
sleep,0,0,0,0,0,0,0,1,0
video,0,0,0,1,0,0,0,0,0
hang,0,0,0,0,0,0,0,2,0
busy,1,0,0,0,0,0,0,0,0
foster,0,0,0,0,0,0,0,1,0
academy,0,0,0,4,0,0,0,0,0
dizzying,1,0,0,0,0,0,0,0,0
speed,0,0,0,3,0,0,0,0,0
junior,2,0,0,0,0,0,0,0,0
rise,0,0,0,1,0,0,0,1,0
quickly,0,0,5,0,0,0,0,0,0
high,3,0,0,0,0,0,0,0,0
rank,0,0,0,1,0,0,0,0,0
sixteen,0,0,0,0,1,0,0,0,0
informal,1,0,0,0,0,0,0,0,0
debut,0,0,0,1,0,0,0,0,0
friendly,1,0,0,0,0,0,0,0,0
compete,0,0,0,0,0,0,0,1,0
neighbor,0,0,0,0,0,0,0,1,0
found,0,0,0,0,0,0,0,4,0
consist,0,0,0,0,0,0,0,1,0
doubt,0,0,0,1,0,0,0,0,0
gather,0,0,0,0,0,0,0,1,0
milestone,0,0,0,1,0,0,0,0,0
characterize,0,0,0,0,0,0,0,1,0
seventeen,0,0,0,0,1,0,0,0,0
teenager,0,0,0,1,0,0,0,0,0
accomplish,0,0,0,0,0,0,0,2,0
success,0,0,0,5,0,0,0,0,0
calmness,0,0,0,1,0,0,0,0,0
sense,0,0,0,2,0,0,0,0,0
purpose,0,0,0,1,0,0,0,0,0
envy,0,0,0,1,0,0,0,0,0
profession,0,0,0,1,0,0,0,0,0
furthermore,0,0,1,0,0,0,0,0,0
bad,1,0,0,0,0,0,0,0,0
habit,0,0,0,1,0,0,0,0,0
entitlement,0,0,0,1,0,0,0,0,0
remain,0,0,0,0,0,0,0,1,0
focused,1,0,0,0,0,0,0,0,0
continue,0,0,0,0,0,0,0,6,0
climb,0,0,0,1,0,0,0,0,0
floppy,1,0,0,0,0,0,0,0,0
haired,1,0,0,0,0,0,0,0,0
member,0,0,0,4,0,0,0,0,0
band,0,0,0,1,0,0,0,0,0
star,0,0,0,7,0,0,0,1,0
earn,0,0,0,0,0,0,0,4,0
command,0,0,0,0,0,0,0,1,0
respect,0,0,0,1,0,0,0,0,0
end,0,0,0,1,0,0,0,0,0
season,0,0,0,10,0,0,0,0,0
colloquially,0,0,1,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,2,0
astonishing,1,0,0,0,0,0,0,0,0
naturally,0,0,1,0,0,0,0,0,0
leftfooted,1,0,0,0,0,0,0,0,0
quick,2,0,0,0,0,0,0,0,0
total,2,0,0,0,0,0,0,0,0
keen,1,0,0,0,0,0,0,0,0
passer,0,0,0,1,0,0,0,0,0
easily,0,0,1,0,0,0,0,0,0
thread,0,0,0,0,0,0,0,1,0
pack,0,0,0,0,0,0,0,1,0
defense,0,0,0,2,0,0,0,0,0
open,1,0,0,0,0,0,0,0,0
space,0,0,0,1,0,0,0,0,0
trick,0,0,0,2,0,0,0,0,0
bag,0,0,0,1,0,0,0,0,0
iconic,2,0,0,0,0,0,0,0,0
ability,0,0,0,3,0,0,0,0,0
weave,0,0,0,0,0,0,0,1,0
worldwide,0,0,2,0,0,0,0,0,0
jersey,0,0,0,2,0,0,0,0,0
number,0,0,0,1,0,0,0,0,0
absolutely,0,0,1,0,0,0,0,0,0
facet,0,0,0,1,0,0,0,0,0
sorry,1,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,6,0
dethrone,0,0,0,0,0,0,0,1,0
simply,0,0,2,0,0,0,0,0,0
different,2,0,0,0,0,0,0,0,0
rest,0,0,0,2,0,0,0,0,0
popularly,0,0,1,0,0,0,0,0,0
skillful,1,0,0,0,0,0,0,0,0
entertaining,1,0,0,0,0,0,0,0,0
style,0,0,0,4,0,0,0,0,0
tiki,0,0,0,1,0,0,0,0,0
taka,0,0,0,1,0,0,0,0,0
emphasize,0,0,0,0,0,0,0,1,0
passing,1,0,0,0,0,0,0,0,0
artful,1,0,0,0,0,0,0,0,0
flow,0,0,0,1,0,0,0,1,0
movement,0,0,0,1,0,0,0,0,0
recognizable,1,0,0,0,0,0,0,0,0
grant,0,0,0,0,0,0,0,1,0
spanish,4,0,0,0,0,0,0,0,0
citizenship,0,0,0,1,0,0,0,0,0
greet,0,0,0,0,0,0,0,1,0
mixed,1,0,0,0,0,0,0,0,0
feeling,0,0,0,1,0,0,0,0,0
proud,2,0,0,0,0,0,0,0,0
catalan,4,0,0,0,0,0,0,0,0
supporter,0,0,0,2,0,0,0,0,0
learn,0,0,0,0,0,0,0,4,0
basic,1,0,0,0,0,0,0,0,0
language,0,0,0,3,0,0,0,0,0
region,0,0,0,2,0,0,0,0,0
interview,0,0,0,7,0,0,0,0,0
speak,0,0,0,0,0,0,0,1,0
shout,0,0,0,0,0,0,0,1,0
slogan,0,0,0,1,0,0,0,0,0
visca,0,0,0,0,0,0,0,0,2
catalunya,0,0,0,0,0,0,0,0,1
mentor,0,0,0,1,0,0,0,0,0
compare,0,0,0,0,0,0,0,2,0
term,0,0,0,2,0,0,0,0,0
believe,0,0,0,0,0,0,0,3,0
see,0,0,0,0,0,0,0,7,0
major,5,0,0,0,0,0,0,0,0
expression,0,0,0,1,0,0,0,0,0
identity,0,0,0,1,0,0,0,0,0
date,0,0,0,0,0,0,0,2,0
military,1,0,0,0,0,0,0,0,0
dictatorship,0,0,0,1,0,0,0,0,0
last,0,0,0,0,0,0,0,2,0
prohibit,0,0,0,0,0,0,0,1,0
use,0,0,0,1,0,0,0,0,0
suppress,0,0,0,0,0,0,0,1,0
culture,0,0,0,2,0,0,0,0,0
collect,0,0,0,0,0,0,0,1,0
dazzling,1,0,0,0,0,0,0,0,0
landmark,0,0,0,1,0,0,0,0,0
european,2,0,0,0,0,0,0,0,0
title,0,0,0,5,0,0,0,0,0
scorer,0,0,0,3,0,0,0,0,0
particularly,0,0,1,0,0,0,0,0,0
memorable,1,0,0,0,0,0,0,0,0
help,0,0,0,1,0,0,0,7,0
treble,0,0,0,1,0,0,0,0,0
trophy,0,0,0,5,0,0,0,0,0
domestic,1,0,0,0,0,0,0,0,0
champion,0,0,0,2,0,0,0,0,0
award,0,0,0,10,0,0,0,1,0
achievement,0,0,0,4,0,0,0,0,0
independent,1,0,0,0,0,0,0,0,0
rename,0,0,0,0,0,0,0,1,0
covet,0,0,0,0,0,0,0,1,0
row,0,0,0,1,0,0,0,0,0
probably,0,0,1,0,0,0,0,0,0
net,0,0,0,0,0,0,0,1,0
