word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
dear,8,0,0,0,0,2,35,0,0,0,0,1,0
ask,0,0,0,0,0,0,0,0,0,0,0,132,0
strange,10,0,0,0,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,12,0,0,0,0,0,0
story,0,0,0,0,0,0,14,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,0,51,0
character,0,0,0,0,0,0,2,0,0,0,0,0,0
recognize,0,0,0,0,0,0,0,0,0,0,0,2,0
wish,0,0,0,0,0,0,2,0,0,0,0,14,0
little,146,0,3,0,0,0,0,0,0,0,0,0,0
correspondent,0,0,0,0,0,0,1,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,0,4,0
carefully,0,0,9,0,0,0,0,0,0,0,0,0,0
possible,6,0,0,0,0,0,0,0,0,0,0,0,0
exactly,0,0,5,0,0,0,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,0,0,0,0,10,0
remember,0,0,0,0,0,0,0,0,0,0,0,7,0
writer,0,0,0,0,0,0,2,0,0,0,0,0,0
change,0,0,0,0,0,0,1,0,0,0,0,8,0
spoil,0,0,0,0,0,0,0,0,0,0,0,5,0
preface,0,0,0,0,0,0,1,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,303,0
like,0,63,0,0,0,0,0,0,0,0,0,26,0
think,0,0,0,0,0,0,0,0,0,0,0,72,0
long,31,0,19,0,0,0,0,0,0,0,0,4,0
volume,0,0,0,0,0,0,1,0,0,0,0,0,0
publish,0,0,0,0,0,0,0,0,0,0,0,1,0
fairly,0,0,5,0,0,0,0,0,0,0,0,0,0
deluge,0,0,0,0,0,0,0,0,0,0,0,1,0
letter,0,0,0,0,0,0,5,0,0,0,0,0,0
child,0,0,0,0,0,0,30,0,0,0,0,0,0
implore,0,0,0,0,0,0,0,0,0,0,0,2,0
shall,0,0,0,25,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,0,39,0
respect,0,0,0,0,0,0,5,0,0,0,0,1,0
new,34,0,0,0,0,0,0,0,0,0,0,0,0
book,0,0,0,0,0,0,6,0,0,0,0,0,0
