word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB,X
earth,0,0,0,0,31,0,0,0
science,0,0,0,0,45,0,0,0
seek,0,0,0,0,0,0,2,0
understand,0,0,0,0,0,0,12,0
physical,7,0,0,0,0,0,0,0
feature,0,0,0,0,10,0,1,0
develop,0,0,0,0,0,0,25,0
turn,0,0,0,0,5,0,6,0
use,0,0,0,0,4,0,8,0
knowledge,0,0,0,0,11,0,0,0
benefit,0,0,0,0,0,0,3,0
human,7,0,0,0,7,0,0,0
comprise,0,0,0,0,0,0,1,0
field,0,0,0,0,17,0,0,0
study,0,0,0,0,62,0,21,0
concern,0,0,0,0,0,0,6,0
solid,15,0,0,0,2,0,0,0
water,0,0,0,0,118,0,0,0
air,0,0,0,0,73,0,0,0
envelop,0,0,0,0,0,0,1,0
include,0,0,0,0,0,0,15,0
geologic,17,0,0,0,0,0,0,0
hydrologic,5,0,0,0,0,0,0,0
atmospheric,11,0,0,0,0,0,0,0
respectively,0,0,2,0,0,0,0,0
broad,4,0,0,0,0,0,0,0
aim,0,0,0,0,1,0,1,0
present,8,0,0,0,2,0,2,0
past,2,0,1,0,6,0,0,0
evolution,0,0,0,0,3,0,0,0
possible,9,0,0,0,0,0,0,0
humankind,0,0,0,0,1,0,0,0
scientist,0,0,0,0,28,0,0,0
observe,0,0,0,0,0,0,8,0
describe,0,0,0,0,0,0,16,0
classify,0,0,0,0,0,0,3,0
generate,0,0,0,0,0,0,8,0
hypothesis,0,0,0,0,2,0,0,0
explain,0,0,0,0,0,0,18,0
check,0,0,0,0,0,0,1,0
oppose,0,0,0,0,0,0,4,0
idea,0,0,0,0,24,0,0,0
relative,5,0,0,0,0,0,0,0
validity,0,0,0,0,1,0,0,0
way,0,0,0,0,9,0,0,0
plausible,1,0,0,0,0,0,0,0
acceptable,2,0,0,0,0,0,0,0
long,7,0,3,0,0,0,0,0
last,0,0,0,0,0,0,2,0
environment,0,0,0,0,1,0,0,0
live,0,0,0,0,0,0,5,0
immediate,1,0,0,0,0,0,0,0
surface,0,0,0,0,30,0,0,0
ground,0,0,0,0,13,0,0,0
beneath,0,7,0,0,0,0,0,0
early,29,0,13,0,0,0,0,0
involved,1,0,0,0,0,0,0,0
practicality,0,0,0,0,1,0,0,0
life,0,0,0,0,15,0,0,0
theory,0,0,0,0,37,0,0,0
survival,0,0,0,0,3,0,0,0
depend,0,0,0,0,0,0,3,0
ability,0,0,0,0,3,0,0,0
obtain,0,0,0,0,0,0,4,0
metal,0,0,0,0,6,0,0,0
produce,0,0,0,0,0,0,29,0
alloy,0,0,0,0,2,0,0,0
bronze,0,0,0,0,1,0,0,0
