word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
introduction,0,0,0,0,2,0,0,0,0,0
like,0,8,0,0,0,0,0,0,0,0
field,0,0,0,0,11,0,0,0,0,0
academic,2,0,0,0,0,0,0,0,0,0
study,0,0,0,0,15,0,0,0,8,0
science,0,0,0,0,100,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0,3,0
time,0,0,0,0,22,0,0,0,0,0
practitioner,0,0,0,0,1,0,0,0,0,0
new,38,0,0,0,0,0,0,0,0,0
discovery,0,0,0,0,20,0,0,0,0,0
build,0,0,0,0,0,0,0,0,8,0
predecessor,0,0,0,0,2,0,0,0,0,0
practice,0,0,0,0,5,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,13,0
long,10,0,9,0,0,0,0,0,0,0
convoluted,1,0,0,0,0,0,0,0,0,0
history,0,0,0,0,13,0,0,0,0,0
scientific,51,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,13,0,0,0,0,0
century,0,0,0,0,71,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,6,0
countless,2,0,0,0,0,0,0,0,0,0
start,0,0,0,0,3,0,0,0,0,0
stop,0,0,0,0,1,0,0,0,1,0
fact,0,0,0,0,11,0,0,0,0,0
old,11,0,0,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,0,5,0
early,23,0,3,0,0,0,0,0,0,0
human,20,0,0,0,10,0,0,0,0,0
participate,0,0,0,0,0,0,0,0,1,0
nascent,2,0,0,0,0,0,0,0,0,0
endeavour,0,0,0,0,1,0,0,0,0,0
track,0,0,0,0,0,0,0,0,2,0
movement,0,0,0,0,16,0,0,0,0,0
note,0,0,0,0,1,0,0,0,6,0
affect,0,0,0,0,0,0,0,0,3,0
life,0,0,0,0,9,0,0,0,0,0
phenomenon,0,0,0,0,33,0,0,0,0,0
fluctuation,0,0,0,0,1,0,0,0,0,0
day,0,0,0,0,29,0,0,0,0,0
light,2,0,0,0,26,0,0,0,0,0
season,0,0,0,0,4,0,0,0,0,0
recognition,0,0,0,0,2,0,0,0,0,0
cosmic,6,0,0,0,0,0,0,0,0,0
regularity,0,0,0,0,13,0,0,0,0,0
truly,0,0,3,0,0,0,0,0,0,0
enterprise,0,0,0,0,1,0,0,0,0,0
require,0,0,0,0,0,0,0,0,12,0
investigation,0,0,0,0,10,0,0,0,0,0
cause,0,0,0,0,10,0,0,0,8,0
observe,0,0,0,0,0,0,0,0,12,0
natural,44,0,0,0,0,0,0,0,0,0
sapiens,2,0,0,0,0,0,0,0,0,0
content,3,0,0,0,1,0,0,0,0,0
simply,0,0,8,0,0,0,0,0,0,0
chalk,0,0,0,0,0,0,0,0,1,0
agency,0,0,0,0,1,0,0,0,0,0
whim,0,0,0,0,2,0,0,0,0,0
god,0,0,0,0,19,0,0,0,0,0
record,0,0,0,0,1,0,0,0,3,0
activity,0,0,0,0,8,0,0,0,0,0
importance,0,0,0,0,10,0,0,0,0,0
european,1,0,0,0,0,0,0,0,0,0
megalithic,12,0,0,0,0,0,0,0,0,0
structure,0,0,0,0,15,0,0,0,0,0
erect,0,0,0,0,0,0,0,0,3,0
bce,0,0,0,0,11,0,0,0,0,0
massive,2,0,0,0,0,0,0,0,0,0
rock,0,0,0,0,1,0,0,0,1,0
formation,0,0,0,0,1,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,17,0
serve,0,0,0,0,0,0,0,0,14,0
religious,6,0,0,0,0,0,0,0,0,0
astronomical,12,0,0,0,0,0,0,0,0,0
purpose,0,0,0,0,9,0,0,0,0,0
religion,0,0,0,0,22,0,0,0,0,0
astronomy,0,0,0,0,25,0,0,0,0,0
practically,0,0,1,0,0,0,0,0,0,0
interchangeable,1,0,0,0,0,0,0,0,0,0
civilization,0,0,0,0,19,0,0,0,0,0
include,0,0,0,0,0,0,0,0,11,0
heavenly,13,0,0,0,0,0,0,0,0,0
object,0,0,0,0,10,0,0,0,0,0
understandably,0,0,1,0,0,0,0,0,0,0
assume,0,0,0,0,0,0,0,0,8,0
direct,6,0,0,0,0,0,0,0,3,0
work,0,0,0,0,38,0,0,0,5,0
deity,0,0,0,0,6,0,0,0,0,0
pre,2,0,0,0,0,0,0,0,0,0
technological,6,0,0,0,0,0,0,0,0,0
fusion,0,0,0,0,1,0,0,0,0,0
lead,0,0,0,0,1,0,0,0,16,0
follow,0,0,0,0,0,0,0,0,15,0
year,0,0,0,0,13,0,0,0,0,0
ritual,7,0,0,0,1,0,0,0,0,0
dimension,0,0,0,0,2,0,0,0,0,0
base,2,0,0,0,2,0,0,0,8,0
help,0,0,0,0,3,0,0,0,5,0
stimulate,0,0,0,0,0,0,0,0,7,0
rise,0,0,0,0,11,0,0,0,0,0
mathematic,0,0,0,0,16,0,0,0,0,0
astronomer,0,0,0,0,5,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,9,0
plot,0,0,0,0,0,0,0,0,2,0
later,4,0,10,0,0,0,0,0,0,0
predict,0,0,0,0,0,0,0,0,6,0
regular,3,0,0,0,0,0,0,0,0,0
star,0,0,0,0,11,0,0,0,0,0
planet,0,0,0,0,22,0,0,0,0,0
ancient,32,0,0,0,1,0,0,0,0,0
derive,0,0,0,0,0,0,0,0,4,0
math,0,0,0,0,1,0,0,0,0,0
create,0,0,0,0,0,0,0,0,20,0
accurate,6,0,0,0,0,0,0,0,0,0
calendar,0,0,0,0,15,0,0,0,0,0
thoroughly,0,0,2,0,0,0,0,0,0,0
integrate,0,0,0,0,0,0,0,0,1,0
complex,7,0,0,0,0,0,0,0,0,0
chinese,5,0,0,0,0,0,0,0,0,0
bureaucracy,0,0,0,0,2,0,0,0,0,0
millennium,0,0,0,0,9,0,0,0,0,0
need,0,0,0,0,2,0,0,0,4,0
detailed,2,0,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,17,0
precise,7,0,0,0,0,0,0,0,0,0
observation,0,0,0,0,22,0,0,0,0,0
lay,0,0,0,0,0,0,0,0,6,0
groundwork,0,0,0,0,2,0,0,0,0,0
emphasis,0,0,0,0,4,0,0,0,0,0
practicality,0,0,0,0,2,0,0,0,0,0
landmark,0,0,0,0,2,0,0,0,0,0
