word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,SCONJ,VERB,X
little,4,0,1,0,0,0,0,0,0,0
half,0,0,0,4,1,0,0,0,0,0
century,0,0,0,0,10,0,0,0,0,0
electronic,109,0,0,0,2,0,0,0,0,0
game,0,0,0,0,925,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0,12,0
novel,1,0,0,0,9,0,0,0,0,0
curiosity,0,0,0,0,1,0,0,0,0,0
create,0,0,0,0,0,0,0,0,78,0
university,0,0,0,0,7,0,0,0,0,0
computer,0,0,0,0,138,0,0,0,0,0
science,0,0,0,0,9,0,0,0,0,0
department,0,0,0,0,3,0,0,0,0,0
multi,2,0,0,0,0,0,0,0,0,0
billion,0,0,0,0,1,4,0,0,0,0
dollar,0,0,0,0,6,0,0,0,0,0
global,8,0,0,0,0,0,0,0,0,0
entertainment,0,0,0,0,8,0,0,0,0,0
phenomenon,0,0,0,0,6,0,0,0,0,0
iconic,2,0,0,0,0,0,0,0,0,0
character,0,0,0,0,93,0,0,0,0,0
achieve,0,0,0,0,0,0,0,0,11,0
level,0,0,0,0,37,0,0,0,0,0
recognition,0,0,0,0,4,0,0,0,0,0
par,0,0,0,0,1,0,0,0,0,0
celebrity,0,0,0,0,2,0,0,0,0,0
historical,7,0,0,0,0,0,0,0,0,0
figure,0,0,0,0,3,0,0,0,1,0
successful,27,0,0,0,0,0,0,0,0,0
generate,0,0,0,0,0,0,0,0,21,0
revenue,0,0,0,0,3,0,0,0,0,0
single,28,0,0,0,1,0,0,0,0,0
day,0,0,0,0,10,0,0,0,0,0
major,12,0,0,0,0,0,0,0,0,0
movie,0,0,0,0,12,0,0,0,0,0
entire,6,0,0,0,0,0,0,0,0,0
box,0,0,0,0,5,0,0,0,0,0
office,0,0,0,0,1,0,0,0,0,0
run,0,0,0,0,1,0,0,0,13,0
evolution,0,0,0,0,4,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,1,0
vacuum,0,0,0,0,1,0,0,0,0,0
popularity,0,0,0,0,26,0,0,0,0,0
ebb,0,0,0,0,0,0,0,0,1,0
flow,0,0,0,0,0,0,0,0,1,0
number,0,0,0,0,29,0,0,0,0,0
reason,0,0,0,0,2,0,0,0,0,0
player,1,0,0,0,328,0,0,0,0,0
shift,0,0,0,0,1,0,0,0,5,0
arcade,0,0,0,0,73,0,0,0,0,0
home,0,0,0,0,70,0,0,0,0,0
console,0,0,0,0,179,0,0,0,0,0
personal,35,0,0,0,0,0,0,0,0,0
handheld,6,0,0,0,0,0,0,0,0,0
