word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,SCONJ,VERB
picture,0,0,0,0,1,0,0,0,1
deep,2,0,3,0,0,0,0,0,0
forest,0,0,0,0,224,0,0,0,6
look,0,0,0,0,0,0,0,0,7
sunlight,0,0,0,0,3,0,0,0,0
glint,0,0,0,0,0,0,0,0,1
dense,3,0,0,0,0,0,0,0,0
canopy,0,0,0,0,5,0,0,0,0
leave,0,0,0,0,8,0,0,0,15
high,7,0,3,0,0,0,0,0,0
head,0,0,0,0,2,0,0,0,1
clothe,0,0,0,0,1,0,0,0,0
soak,0,0,0,0,0,0,0,0,3
sweat,0,0,0,0,2,0,0,0,0
heat,0,0,0,0,3,0,0,0,0
stifling,1,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,2
buzz,0,0,0,0,1,0,0,0,0
insect,0,0,0,0,3,0,0,0,0
hoot,0,0,0,0,1,0,0,0,0
monkey,0,0,0,0,3,0,0,0,0
call,0,0,0,0,1,0,0,0,3
colorful,2,0,0,0,0,0,0,0,0
bird,0,0,0,0,5,0,0,0,0
dart,0,0,0,0,1,0,0,0,1
occasional,1,0,0,0,0,0,0,0,0
grunt,0,0,0,0,1,0,0,0,0
growl,0,0,0,0,1,0,0,0,0
ground,0,0,0,0,5,0,0,0,0
level,0,0,0,0,5,0,0,0,0
give,0,0,0,0,0,0,0,0,7
cause,0,0,0,0,5,0,0,0,15
concern,0,0,0,0,3,0,0,0,0
suddenly,0,0,1,0,0,0,0,0,0
lightning,0,0,0,0,1,0,0,0,0
flash,0,0,0,0,1,0,0,0,1
overhead,0,0,2,0,0,0,0,0,0
jump,0,0,0,0,0,0,0,0,1
sound,0,0,0,0,1,0,0,0,0
thunder,0,0,0,0,1,0,0,0,0
immediately,0,0,2,0,0,0,0,0,0
drench,0,0,0,0,0,0,0,0,1
heavy,5,0,0,0,0,0,0,0,0
downpour,0,0,0,0,2,0,0,0,0
rain,0,0,0,0,145,0,0,0,2
fascinating,1,0,0,0,0,0,0,0,0
diverse,1,0,0,0,0,0,0,0,0
habitat,0,0,0,0,10,0,0,0,0
planet,0,0,0,0,15,0,0,0,0
lush,1,0,0,0,0,0,0,0,0
green,1,0,0,0,0,0,0,0,0
seemingly,0,0,1,0,0,0,0,0,0
endless,1,0,0,0,0,0,0,0,0
reality,0,0,0,0,1,0,0,0,0
tropical,9,0,0,0,0,0,0,0,0
considerable,2,0,0,0,0,0,0,0,0
threat,0,0,0,0,3,0,0,0,0
cover,0,0,0,0,3,0,0,0,5
percent,0,0,0,0,24,0,0,0,0
world,0,0,0,0,34,0,0,0,0
land,0,0,0,0,32,0,0,0,0
surface,0,0,0,0,2,0,0,0,0
half,0,0,0,3,5,0,0,0,0
area,0,0,0,0,54,0,0,0,0
evergreen,1,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,7
foot,0,0,0,0,5,0,0,0,0
