word,ADJ,ADP,ADV,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
woolly,19,0,0,0,0,0,0,0,0,0
mammoth,0,0,0,0,32,0,0,0,0,0
sabre,1,0,0,0,19,0,0,0,0,0
toothed,19,0,0,0,0,0,0,0,0,0
tiger,0,0,0,0,4,0,0,0,0,0
ice,0,0,0,0,188,0,0,0,0,0
age,1,0,0,0,68,0,0,0,0,0
cover,0,0,0,0,7,0,0,0,34,0
formation,0,0,0,0,19,0,0,0,0,0
major,65,0,0,0,0,0,0,0,0,0
era,2,0,0,0,15,0,0,0,0,0
history,0,0,0,0,24,0,0,0,0,0
know,0,0,0,0,0,0,0,0,97,0
modern,124,0,0,0,0,0,0,0,0,0
life,0,0,0,0,38,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,50,0
great,46,0,0,0,0,0,0,0,0,0
extinction,0,0,0,0,63,0,0,0,0,0
dinosaur,0,0,0,0,12,0,0,0,0,0
end,0,0,0,0,42,0,0,0,10,0
continue,0,0,0,0,0,0,0,0,37,0
today,0,0,0,0,60,0,0,0,0,0
book,0,0,0,0,1,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,34,0
lively,1,0,0,0,0,0,0,0,0,0
journey,0,0,0,0,1,0,0,0,0,0
late,104,0,7,0,0,0,0,0,0,0
chapter,0,0,0,0,1,0,0,0,0,0
planet,0,0,0,0,5,0,0,0,0,0
story,0,0,0,0,1,0,0,0,0,0
evolution,0,0,0,0,45,0,0,0,0,0
change,0,0,0,0,94,0,0,0,23,0
million,0,0,0,0,3,311,0,0,0,0
year,0,0,0,0,377,0,0,0,0,0
ago,0,0,273,0,0,0,0,0,0,0
time,0,0,0,0,182,0,0,0,0,0
climate,0,0,0,0,74,0,0,0,0,0
warm,44,0,0,0,1,0,0,0,8,0
sea,0,0,0,0,104,0,0,0,0,0
level,0,0,0,0,94,0,0,0,0,0
high,78,0,4,0,1,0,0,0,0,0
reptile,0,0,0,0,8,0,0,0,0,0
dominant,8,0,0,0,0,0,0,0,0,0
form,0,0,0,0,89,0,0,0,72,0
ensue,0,0,0,0,0,0,0,0,2,0
mammal,0,0,0,0,107,0,0,0,0,0
prominent,13,0,0,0,0,0,0,0,0,0
human,41,0,0,0,51,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0,34,0
plant,1,0,0,0,35,0,0,0,0,0
diversify,0,0,0,0,0,0,0,0,8,0
sharply,0,0,3,0,0,0,0,0,0,0
differentiate,0,0,0,0,0,0,0,0,4,0
zone,0,0,0,0,36,0,0,0,0,0
norm,0,0,0,0,1,0,0,0,0,0
see,0,0,0,0,0,0,0,0,15,0
mountain,0,0,0,0,26,0,0,0,0,0
range,0,0,0,0,11,0,0,0,8,0
include,0,0,0,0,0,0,0,0,81,0
nineteenth,1,0,0,0,0,0,0,0,0,0
century,0,0,0,0,36,0,0,0,0,0
geologist,0,0,0,0,25,0,0,0,0,0
divide,0,0,0,0,0,0,0,0,16,0
subdivision,0,0,0,0,13,0,0,0,0,0
span,0,0,0,0,2,0,0,0,10,0
interval,0,0,0,0,57,0,0,0,0,0
beginning,0,0,0,0,34,0,0,0,0,0
base,0,0,0,0,42,0,0,0,21,0
quaternary,41,0,0,0,0,0,0,0,0,0
onset,0,0,0,0,10,0,0,0,0,0
present,58,0,0,0,16,0,0,0,1,0
scientist,0,0,0,0,16,0,0,0,0,0
agree,0,0,0,0,0,0,0,0,5,0
period,0,0,0,0,91,0,0,0,0,0
split,0,0,0,0,2,0,0,0,2,0
traditional,6,0,0,0,0,0,0,0,0,0
small,58,0,0,0,0,0,0,0,0,0
encompass,0,0,0,0,0,0,0,0,12,0
epoch,0,0,0,0,56,0,0,0,0,0
early,137,0,18,0,0,0,0,0,0,0
