word,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
caption,0,0,0,0,0,0,42,0,0,0,4
map,0,0,0,0,0,0,7,0,0,0,0
feature,1,0,0,0,0,0,9,0,0,6,0
give,0,0,0,0,0,0,0,0,0,97,0
location,0,0,0,0,0,0,3,0,0,0,0
neighbour,0,0,0,0,0,0,11,0,0,10,0
noteworthy,8,0,0,0,0,0,0,0,0,0,0
seafaring,0,0,0,0,0,0,1,0,0,0,0
tradition,0,0,0,0,0,0,61,0,0,0,0
easy,7,0,0,0,0,0,0,0,0,0,0
country,0,0,0,0,0,0,256,0,0,0,0
able,28,0,0,0,0,0,0,0,0,0,0
exert,0,0,0,0,0,0,0,0,0,6,0
great,165,0,0,0,0,0,0,0,0,0,0
influence,0,0,0,0,0,0,64,0,0,18,0
world,1,0,0,0,0,0,85,0,0,0,0
large,151,0,2,0,0,0,0,0,0,0,0
nestle,0,0,0,0,0,0,0,0,0,1,0
southwestern,10,0,0,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,5,0,0,0,0
european,88,0,0,0,0,0,0,0,0,0,0
continent,0,0,0,0,0,0,3,0,0,0,0
unique,7,0,0,0,0,0,0,0,0,0,0
position,0,0,0,0,0,0,46,0,0,1,0
explore,0,0,0,0,0,0,0,0,0,13,0
new,149,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,82,0,0,10,0
adventurer,0,0,0,0,0,0,5,0,0,0,0
peninsula,0,0,0,0,0,0,57,0,0,0,0
set,0,0,0,0,0,0,5,0,0,45,0
sail,0,0,0,0,0,0,5,0,0,8,0
southward,0,0,7,0,0,0,0,0,0,0,0
west,4,0,14,0,0,0,30,0,0,0,0
spread,0,0,0,0,0,0,6,0,0,11,0
culture,0,0,0,0,0,0,43,0,0,0,0
respective,5,0,0,0,0,0,0,0,0,0,0
homeland,0,0,0,0,0,0,3,0,0,0,0
way,0,0,0,0,0,0,43,0,0,0,0
colonization,0,0,0,0,0,0,11,0,0,0,0
territorial,19,0,0,0,0,0,0,0,0,0,0
claim,0,0,0,0,0,0,40,0,0,28,0
book,0,0,0,0,0,0,10,0,0,0,0
offer,0,0,0,0,0,0,0,0,0,27,0
twofold,1,0,0,0,0,0,0,0,0,0,0
study,0,0,0,0,0,0,14,0,0,1,0
depth,0,0,0,0,0,0,2,0,0,0,0
analysis,0,0,0,0,0,0,3,0,0,0,0
state,0,0,0,0,0,0,104,0,0,4,0
today,0,0,0,0,0,0,11,0,0,0,0
detail,0,0,0,0,0,0,1,0,0,1,0
language,0,0,0,0,0,0,90,0,0,0,0
nation,0,0,0,0,0,0,9,0,0,0,0
element,0,0,0,0,0,0,20,0,0,0,0
share,0,0,0,0,0,0,7,0,0,13,0
hundred,0,0,0,0,0,0,10,0,0,0,0
million,0,0,0,0,0,0,6,48,0,0,0
people,0,0,0,0,0,0,90,0,0,0,0
touch,0,0,0,0,0,0,3,0,0,4,0
iberian,34,0,0,0,0,0,0,0,0,0,0
exploration,0,0,0,0,0,0,15,0,0,0,0
conquest,0,0,0,0,0,0,35,0,0,0,0
age,0,0,0,0,0,0,42,0,0,5,0
additionally,0,0,1,0,0,0,0,0,0,0,0
comprehensive,3,0,0,0,0,0,0,0,0,0,0
portuguese,153,0,0,0,0,0,0,0,0,0,0
spanish,444,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,0,40,0,0,0,0
reveal,0,0,0,0,0,0,0,0,0,8,0
widespread,10,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,90,0
place,0,0,0,0,0,0,40,0,0,17,0
small,80,0,0,0,0,0,0,0,0,0,0
strategically,0,0,3,0,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,89,0
western,62,0,0,0,0,0,1,0,0,0,0
coast,0,0,0,0,0,0,55,0,0,0,0
geography,0,0,0,0,0,0,4,0,0,0,0
climate,0,0,0,0,0,0,23,0,0,0,0
encompass,0,0,0,0,0,0,0,0,0,4,0
northern,74,0,0,0,0,0,0,0,0,0,0
mediterranean,25,0,0,0,0,0,0,0,0,0,0
cold,10,0,0,0,0,0,1,0,0,0,0
mountainous,10,0,0,0,0,0,0,0,0,0,0
dominate,0,0,0,0,0,0,0,0,0,41,0
north,10,0,10,0,0,0,61,0,0,0,0
interior,4,0,0,0,0,0,21,0,0,0,0
south,6,1,13,0,0,0,54,0,0,0,0
warm,6,0,0,0,0,0,0,0,0,1,0
plain,1,0,0,0,0,0,16,0,0,0,0
coastal,23,0,0,0,0,0,0,0,0,0,0
region,0,0,0,0,0,0,98,0,0,0,0
despite,0,0,0,0,0,0,0,0,47,0,0
diverse,11,0,0,0,0,0,0,0,0,0,0
landscape,0,0,0,0,0,0,12,0,0,0,0
population,0,0,0,0,0,0,90,0,0,0,0
homogeneous,6,0,0,0,0,0,0,0,0,0,0
percent,0,0,0,0,0,0,40,0,0,0,0
roman,127,0,0,0,0,0,0,0,0,0,0
catholic,49,0,0,0,0,0,0,0,0,0,0
virtually,0,0,9,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,35,0
similar,26,0,0,0,0,0,0,0,0,0,0
distinct,9,0,0,0,0,0,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0,0,5,0
