word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
early,32,0,8,0,0,0,0,0,0,0,0,0
explorer,0,0,0,0,0,0,64,0,0,0,0,0
sail,0,0,0,0,0,0,8,0,0,0,75,0
map,0,0,0,0,0,0,13,0,0,0,3,0
day,0,0,0,0,0,0,29,0,0,0,0,0
limit,0,0,0,0,0,0,1,0,0,0,2,0
know,0,0,0,0,0,0,0,0,0,0,46,0
civilization,0,0,0,0,0,0,1,0,0,0,0,0
result,0,0,0,0,0,0,5,0,0,0,3,0
world,0,0,0,0,0,0,26,0,0,0,0,0
large,13,0,0,0,0,0,0,0,0,0,0,0
habitable,1,0,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,29,0,0,0,5,0
masse,0,0,0,0,0,0,2,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,31,0
circumnavigate,0,0,0,0,0,0,0,0,0,0,6,0
educate,0,0,0,0,0,0,0,0,0,0,3,0
people,0,0,0,0,0,0,13,0,0,0,1,0
time,0,0,0,0,0,0,35,0,0,0,0,0
reasonable,1,0,0,0,0,0,0,0,0,0,0,0
outline,0,0,0,0,0,0,4,0,0,0,1,0
planet,0,0,0,0,0,0,3,0,0,0,0,0
look,0,0,0,0,0,0,0,0,0,0,3,0
like,1,9,0,0,0,0,0,0,0,0,0,0
late,18,0,1,0,0,0,0,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,0,4,0
subsequent,2,0,0,0,0,0,0,0,0,0,0,0
period,0,0,0,0,0,0,12,0,0,0,0,0
new,18,0,0,0,0,0,0,0,0,0,0,0
wholly,0,0,1,0,0,0,0,0,0,0,0,0
unknown,7,0,0,0,0,0,0,0,0,0,0,0
explore,0,0,0,0,0,0,0,0,0,0,41,0
potential,2,0,0,0,0,0,1,0,0,0,0,0
place,0,0,0,0,0,0,12,0,0,0,3,0
mystery,0,0,0,0,0,0,2,0,0,0,0,0
search,0,0,0,0,0,0,18,0,0,0,5,0
survey,0,0,0,0,0,0,5,0,0,0,9,0
learn,0,0,0,0,0,0,0,0,0,0,12,0
area,0,0,0,0,0,0,15,0,0,0,0,0
fertile,3,0,0,0,0,0,0,0,0,0,0,0
navigable,1,0,0,0,0,0,0,0,0,0,0,0
river,0,0,0,0,0,0,18,0,0,0,0,0
valuable,4,0,0,0,0,0,0,0,0,0,0,0
natural,11,0,0,0,0,0,0,0,0,0,0,0
resource,0,0,0,0,0,0,2,0,0,0,0,0
effort,0,0,0,0,0,0,7,0,0,0,0,0
help,0,0,0,0,0,0,2,0,0,0,16,0
determine,0,0,0,0,0,0,0,0,0,0,6,0
hundred,0,0,0,0,0,0,2,0,0,0,0,0
million,0,0,0,0,0,0,1,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,10,0
today,0,0,0,0,0,0,2,0,0,0,0,0
history,0,0,0,0,0,0,16,0,0,0,0,0
owe,0,0,0,0,0,0,0,0,0,0,2,0
great,37,0,0,0,0,0,0,0,0,0,0,0
debt,0,0,0,0,0,0,4,0,0,0,0,0
intrepid,3,0,0,0,0,0,0,0,0,0,0,0
soul,0,0,0,0,0,0,1,0,0,0,0,0
motive,0,0,0,0,0,0,1,0,0,0,0,0
method,0,0,0,0,0,0,3,0,0,0,0,0
noble,1,0,0,0,0,0,0,0,0,0,0,0
wealth,0,0,0,0,0,0,7,0,0,0,0,0
conquest,0,0,0,0,0,0,4,0,0,0,0,0
country,0,0,0,0,0,0,25,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,0,0,15,0
little,14,0,2,0,0,0,0,0,0,0,0,0
regard,0,0,0,0,0,0,2,0,0,0,3,0
right,1,0,1,0,0,0,5,0,0,0,0,0
life,0,0,0,0,0,0,20,0,0,0,0,0
native,7,0,0,0,0,0,1,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,45,0
make,0,0,0,0,0,0,0,0,0,0,7,0
complicated,1,0,0,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,0,8,0,0,0,0,0
last,0,0,0,0,0,0,0,0,0,0,3,0
founder,0,0,0,0,0,0,3,0,0,0,0,0
old,9,0,0,0,0,0,0,0,0,0,0,0
city,0,0,0,0,0,0,11,0,0,0,0,0
nonetheless,0,0,1,0,0,0,0,0,0,0,0,0
brutal,3,0,0,0,0,0,0,0,0,0,0,0
military,7,0,0,0,0,0,0,0,0,0,0,0
commander,0,0,0,0,0,0,14,0,0,0,0,0
instance,0,0,0,0,0,0,1,0,0,0,0,0
slaughter,0,0,0,0,0,0,0,0,0,0,1,0
vanquish,0,0,0,0,0,0,0,0,0,0,1,0
enemy,0,0,0,0,0,0,6,0,0,0,0,0
steep,1,0,0,0,0,0,0,0,0,0,0,0
price,0,0,0,0,0,0,1,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,0,4,0
european,13,0,0,0,0,0,0,0,0,0,0,0
supremacy,0,0,0,0,0,0,1,0,0,0,0,0
entitle,0,0,0,0,0,0,0,0,0,0,1,0
create,0,0,0,0,0,0,0,0,0,0,3,0
dutch,21,0,0,0,0,0,0,0,0,0,0,0
cartographer,0,0,0,0,0,0,4,0,0,0,0,0
renaissance,0,0,0,0,0,0,2,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,0,0,35,0
foothold,0,0,0,0,0,0,3,0,0,0,0,0
colonial,7,0,0,0,0,0,0,0,0,0,0,0
empire,0,0,0,0,0,0,10,0,0,0,0,0
intent,2,0,0,0,0,0,0,0,0,0,0,0
further,0,0,0,0,0,0,0,0,0,0,2,0
trade,0,0,0,0,0,0,30,0,0,0,5,0
venture,0,0,0,0,0,0,11,0,0,0,3,0
mixed,1,0,0,0,0,0,0,0,0,0,0,0
agreement,0,0,0,0,0,0,3,0,0,0,0,0
foster,0,0,0,0,0,0,0,0,0,0,1,0
relationship,0,0,0,0,0,0,4,0,0,0,0,0
nation,0,0,0,0,0,0,6,0,0,0,0,0
introduce,0,0,0,0,0,0,0,0,0,0,3,0
slave,0,0,0,0,0,0,9,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,23,0
rise,0,0,0,0,0,0,1,0,0,0,1,0
predatory,1,0,0,0,0,0,0,0,0,0,0,0
class,0,0,0,0,0,0,1,0,0,0,0,0
sea,0,0,0,0,0,0,38,0,0,0,0,0
privateer,0,0,0,0,0,0,12,0,0,0,0,0
essentially,0,0,2,0,0,0,0,0,0,0,0,0
pirate,0,0,0,0,0,0,8,0,0,0,0,0
sanction,0,0,0,0,0,0,0,0,0,0,1,0
license,0,0,0,0,0,0,5,0,0,0,0,0
prey,0,0,0,0,0,0,0,0,0,0,2,0
ship,0,0,0,0,0,0,90,0,0,0,2,0
exchange,0,0,0,0,0,0,2,0,0,0,0,0
board,0,0,0,0,0,0,2,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,5,0
hero,0,0,0,0,0,0,7,0,0,0,0,0
rogue,0,0,0,0,0,0,1,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,0,0,1,0
point,0,0,0,0,0,0,7,0,0,0,2,0
view,0,0,0,0,0,0,6,0,0,0,0,0
achieve,0,0,0,0,0,0,0,0,0,0,1,0
legendary,4,0,0,0,0,0,0,0,0,0,0,0
status,0,0,0,0,0,0,3,0,0,0,0,0
case,0,0,0,0,0,0,4,0,0,0,0,0
century,0,0,0,0,0,0,23,0,0,0,0,0
rule,0,0,0,0,0,0,3,0,0,0,2,0
contemporary,1,0,0,0,0,0,3,0,0,0,0,0
fortune,0,0,0,0,0,0,6,0,0,0,0,0
plunder,0,0,0,0,0,0,2,0,0,0,6,0
possession,0,0,0,0,0,0,5,0,0,0,0,0
spectacular,1,0,0,0,0,0,0,0,0,0,0,0
fashion,0,0,0,0,0,0,1,0,0,0,0,0
ocean,0,0,0,0,0,0,7,0,0,0,0,0
southern,15,0,0,0,0,0,0,0,0,0,0,0
tip,0,0,0,0,0,0,3,0,0,0,0,0
ultimately,0,0,6,0,0,0,0,0,0,0,0,0
second,24,0,0,0,0,0,0,0,0,0,0,0
captain,0,0,0,0,0,0,15,0,0,0,0,0
globe,0,0,0,0,0,0,3,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,32,0
advantage,0,0,0,0,0,0,1,0,0,0,0,0
element,0,0,0,0,0,0,3,0,0,0,0,0
surprise,0,0,0,0,0,0,1,0,0,0,0,0
enrich,0,0,0,0,0,0,0,0,0,0,1,0
strike,0,0,0,0,0,0,0,0,0,0,6,0
blow,0,0,0,0,0,0,2,0,0,0,0,0
adversary,0,0,0,0,0,0,1,0,0,0,0,0
prior,0,0,1,0,0,0,0,0,0,0,0,0
voyage,0,0,0,0,0,0,73,0,0,0,3,1
spanish,41,0,0,0,0,0,0,0,0,0,0,0
western,20,0,0,0,0,0,0,0,0,0,0,0
expedition,0,0,0,0,0,0,78,0,0,0,0,0
small,18,0,0,0,0,0,0,0,0,0,0,0
succeed,0,0,0,0,0,0,0,0,0,0,8,0
raid,0,0,0,0,0,0,3,0,0,0,2,0
unsuspecting,1,0,0,0,0,0,0,0,0,0,0,0
settlement,0,0,0,0,0,0,25,0,0,0,0,0
coast,0,0,0,0,0,0,66,0,0,0,3,0
exploit,0,0,0,0,0,0,4,0,0,0,1,0
factor,0,0,0,0,0,0,1,0,0,0,0,0
elevate,0,0,0,0,0,0,0,0,0,0,1,0
tension,0,0,0,0,0,0,1,0,0,0,0,0
prepare,0,0,0,0,0,0,0,0,0,0,6,0
invade,0,0,0,0,0,0,0,0,0,0,3,0
massive,1,0,0,0,0,0,0,0,0,0,0,0
fleet,0,0,0,0,0,0,22,0,0,0,0,0
forever,0,0,1,0,0,0,0,0,0,0,0,0
link,0,0,0,0,0,0,0,0,0,0,1,0
defeat,0,0,0,0,0,0,4,0,0,0,5,0
role,0,0,0,0,0,0,4,0,0,0,0,0
victory,0,0,0,0,0,0,3,0,0,0,0,0
lead,0,0,0,0,0,0,1,0,0,0,33,0
damage,0,0,0,0,0,0,3,0,0,0,1,0
advance,0,0,0,0,0,0,5,0,0,0,2,0
attempt,0,0,0,0,0,0,6,0,0,0,4,0
invasion,0,0,0,0,0,0,4,0,0,0,0,0
career,0,0,0,0,0,0,10,0,0,0,0,0
prominent,6,0,0,0,0,0,0,0,0,0,0,0
era,0,0,0,0,0,0,4,0,0,0,0,0
walk,0,0,0,0,0,0,0,0,0,0,2,0
thin,1,0,0,0,0,0,0,0,0,0,0,0
line,0,0,0,0,0,0,3,0,0,0,0,0
ruthless,2,0,0,0,0,0,0,0,0,0,0,0
national,4,0,0,0,0,0,0,0,0,0,0,0
feat,0,0,0,0,0,0,2,0,0,0,0,0
west,8,0,9,0,0,0,7,0,0,0,0,0
south,3,0,10,0,0,0,5,0,0,0,0,0
reach,0,0,0,0,0,0,2,0,0,0,50,0
unusual,3,0,0,0,0,0,0,0,0,0,0,0
journey,0,0,0,0,0,0,18,0,0,0,3,0
long,10,0,8,0,0,0,0,0,0,0,0,0
dangerous,3,0,0,0,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,25,0
seek,0,0,0,0,0,0,0,0,0,0,19,0
alternate,1,0,0,0,0,0,0,0,0,0,0,0
route,0,0,0,0,0,0,19,0,0,0,0,0
idea,0,0,0,0,0,0,6,0,0,0,0,0
north,11,0,9,0,0,0,14,0,0,0,0,0
american,18,0,0,0,0,0,0,0,0,0,0,0
landmass,0,0,0,0,0,0,3,0,0,0,0,0
fast,2,0,0,0,0,0,0,0,0,0,0,0
objective,0,0,0,0,0,0,1,0,0,0,0,0
