word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB,X
people,0,0,0,0,12,0,0,0
explore,0,0,0,0,0,0,47,0
settle,0,0,0,0,0,0,5,0
ancestor,0,0,0,0,2,0,0,0
early,7,0,6,0,0,0,0,0
explorer,0,0,0,0,31,0,0,0
member,0,0,0,0,3,0,0,0
nomadic,1,0,0,0,0,0,0,0
hunter,0,0,0,0,2,0,0,0
gatherer,0,0,0,0,2,0,0,0
cultural,2,0,0,0,0,0,0,0
group,0,0,0,0,6,0,0,0
move,0,0,0,0,0,0,4,0
ice,0,0,0,0,6,0,0,0
age,0,0,0,0,28,0,0,0
thick,1,0,0,0,0,0,0,0
sheet,0,0,0,0,2,0,0,0
cover,0,0,0,0,0,0,1,0
northern,10,0,0,0,0,0,0,0
absorb,0,0,0,0,0,0,1,0
water,0,0,0,0,8,0,1,0
sea,0,0,0,0,11,0,0,0
level,0,0,0,0,1,0,0,0
drop,0,0,0,0,0,0,1,0
land,0,0,0,0,34,0,11,0
bridge,0,0,0,0,2,0,0,0
emerge,0,0,0,0,0,0,1,0
year,0,0,0,0,13,0,0,0
ago,0,0,1,0,0,0,0,0
connect,0,0,0,0,0,0,1,0
northeastern,6,0,0,0,0,0,0,0
come,0,0,0,0,0,0,5,0
follow,0,0,0,0,0,0,9,0
coast,0,0,0,0,35,0,1,0
southward,0,0,6,0,0,0,0,0
combine,0,0,0,0,0,0,1,0
walking,0,0,0,0,1,0,0,0
boat,0,0,0,0,3,0,0,0
travel,0,0,0,0,2,0,12,0
walk,0,0,0,0,0,0,1,0
glacierfree,1,0,0,0,0,0,0,0
area,0,0,0,0,7,0,0,0
center,0,0,0,0,3,0,0,0
introduction,0,0,0,0,2,0,0,0
continue,0,0,0,0,0,0,9,0
melting,0,0,0,0,1,0,0,0
gradually,0,0,3,0,0,0,0,0
open,2,0,0,0,0,0,1,0
allow,0,0,0,0,0,0,2,0
spread,0,0,0,0,0,0,2,0
single,2,0,0,0,0,0,0,0
person,0,0,0,0,1,0,0,0
large,4,0,0,0,0,0,0,0
long,2,0,0,0,0,0,0,0
journey,0,0,0,0,6,0,3,0
march,0,0,0,0,2,0,0,0
century,0,0,0,0,9,0,0,0
arrive,0,0,0,0,0,0,7,0
thousand,0,0,0,0,1,0,0,0
later,3,0,16,0,0,0,0,0
time,0,0,0,0,12,0,0,0
portion,0,0,0,0,1,0,0,0
rediscover,0,0,0,0,0,0,1,0
period,0,0,0,0,3,0,0,0
maritime,1,0,0,0,0,0,0,0
exploration,0,0,0,0,30,0,0,0
know,0,0,0,0,0,0,18,0
begin,0,0,0,0,0,0,10,0
late,6,0,0,0,0,0,0,0
send,0,0,0,0,0,0,11,0
ship,0,0,0,0,43,0,0,0
directly,0,0,2,0,0,0,0,0
sail,0,0,0,0,6,0,43,0
globe,0,0,0,0,2,0,0,0
european,9,0,0,0,0,0,0,0
usher,0,0,0,0,0,0,2,0
globalization,0,0,0,0,1,0,0,0
development,0,0,0,0,1,0,0,0
economic,1,0,0,0,0,0,0,0
link,0,0,0,0,2,0,0,0
world,0,0,0,0,6,0,0,0
conquer,0,0,0,0,0,0,3,0
colonize,0,0,0,0,0,0,6,0
distant,1,0,0,0,0,0,0,0
establish,0,0,0,0,0,0,13,0
vast,4,0,0,0,0,0,0,0
empire,0,0,0,0,2,0,0,0
violent,1,0,0,0,0,0,0,0
conquest,0,0,0,0,2,0,0,0
disease,0,0,0,0,2,0,0,0
accidentally,0,0,1,0,0,0,0,0
bring,0,0,0,0,0,0,6,0
kill,0,0,0,0,0,0,6,0
enormous,1,0,0,0,0,0,0,0
number,0,0,0,0,3,0,0,0
smallpox,0,0,0,0,1,0,0,0
yellow,1,0,0,0,0,0,0,0
fever,0,0,0,0,2,0,0,0
malaria,0,0,0,0,1,0,0,0
influenza,0,0,0,0,1,0,0,0
measles,0,0,0,0,1,0,0,0
indian,16,0,0,0,0,0,0,0
population,0,0,0,0,2,0,0,0
decrease,0,0,0,0,0,0,1,0
force,0,0,0,0,3,0,5,0
work,0,0,0,0,0,0,2,0
plantation,0,0,0,0,2,0,0,0
mine,0,0,0,0,2,0,0,0
harsh,1,0,0,0,0,0,0,0
condition,0,0,0,0,1,0,0,0
import,0,0,0,0,0,0,2,0
african,1,0,0,0,0,0,0,0
slave,0,0,0,0,5,0,0,0
replace,0,0,0,0,0,0,2,0
labor,0,0,0,0,1,0,0,0
source,0,0,0,0,5,0,0,0
gold,0,0,0,0,22,0,0,0
silver,0,0,0,0,2,0,0,0
pour,0,0,0,0,0,0,1,0
enrich,0,0,0,0,0,0,1,0
economy,0,0,0,0,1,0,0,0
caption,0,0,0,0,15,0,0,6
scientist,0,0,0,0,1,0,0,0
underwater,1,0,0,0,0,0,0,0
stretch,0,0,0,0,1,0,0,0
cross,0,0,0,0,0,0,5,0
image,0,0,0,0,2,0,0,0
modern,1,0,0,0,0,0,0,0
artist,0,0,0,0,1,0,0,0
show,0,0,0,0,0,0,4,0
lead,0,0,0,0,0,0,25,0
exchange,0,0,0,0,2,0,0,0
plant,0,0,0,0,2,0,0,0
animal,0,0,0,0,5,0,0,0
germ,0,0,0,0,1,0,0,0
technology,0,0,0,0,1,0,0,0
idea,0,0,0,0,3,0,0,0
continent,0,0,0,0,3,0,0,0
call,0,0,0,0,0,0,11,0
potato,0,0,0,0,2,0,0,0
corn,0,0,0,0,1,0,0,0
tomato,0,0,0,0,1,0,0,0
sweet,1,0,0,0,0,0,0,0
squash,0,0,0,0,1,0,0,0
cassava,0,0,0,0,1,0,0,0
cacao,0,0,0,0,1,0,0,0
chocolate,0,0,0,0,1,0,0,0
hot,1,0,0,0,0,0,0,0
pepper,0,0,0,0,2,0,0,0
peanut,0,0,0,0,1,0,0,0
pineapple,0,0,0,0,1,0,0,0
tobacco,0,0,0,0,1,0,0,0
crop,0,0,0,0,3,0,0,0
introduce,0,0,0,0,0,0,3,0
new,20,0,0,0,0,0,0,0
food,0,0,0,0,5,0,0,0
productive,1,0,0,0,0,0,0,0
boom,0,0,0,0,1,0,0,0
domesticate,0,0,0,0,0,0,1,0
horse,0,0,0,0,4,0,0,0
cattle,0,0,0,0,2,0,0,0
sheep,0,0,0,0,2,0,0,0
pig,0,0,0,0,2,0,0,0
wheat,0,0,0,0,1,0,0,0
rice,0,0,0,0,1,0,0,0
oats,0,0,0,0,1,0,0,0
banana,0,0,0,0,1,0,0,0
olive,0,0,0,0,1,0,0,0
sugarcane,0,0,0,0,1,0,0,0
coffee,0,0,0,0,1,0,0,0
steel,0,0,0,0,1,0,0,0
gun,0,0,0,0,1,0,0,0
produce,0,0,0,0,0,0,1,0
sugar,0,0,0,0,2,0,0,0
cotton,0,0,0,0,2,0,0,0
great,15,0,0,0,0,0,0,0
quantity,0,0,0,0,2,0,0,0
creation,0,0,0,0,1,0,0,0
processing,0,0,0,0,1,0,0,0
textile,0,0,0,0,1,0,0,0
industry,0,0,0,0,2,0,0,0
chapter,0,0,0,0,4,0,0,0
find,0,0,0,0,0,0,33,0
mistake,0,0,0,0,1,0,0,0
look,0,0,0,0,0,0,2,0
route,0,0,0,0,18,0,1,0
mainly,0,0,3,0,0,0,0,0
want,0,0,0,0,0,0,6,0
well,2,0,0,0,0,0,0,0
trade,0,0,0,0,8,0,2,0
value,0,0,0,0,1,0,1,0
product,0,0,0,0,1,0,0,0
include,0,0,0,0,0,0,7,0
clove,0,0,0,0,1,0,0,0
spice,0,0,0,0,4,0,0,0
taste,0,0,0,0,0,0,1,0
good,2,0,0,0,3,0,0,0
spoil,0,0,0,0,0,0,1,0
demand,0,0,0,0,1,0,0,0
luxury,0,0,0,0,1,0,0,0
sheer,1,0,0,0,0,0,0,0
colorful,2,0,0,0,0,0,0,0
silken,1,0,0,0,0,0,0,0
cloth,0,0,0,0,2,0,0,0
rich,4,0,0,0,4,0,0,0
carpet,0,0,0,0,1,0,0,0
sparkling,1,0,0,0,0,0,0,0
jewelry,0,0,0,0,1,0,0,0
wealth,0,0,0,0,5,0,0,0
trickle,0,0,0,0,0,0,1,0
