word,ADJ,ADP,ADV,NOUN,NUM,VERB,X
hurricane,1,0,0,112,0,0,0
furious,1,0,0,0,0,0,0
spiral,0,0,0,0,0,2,0
tropical,20,0,0,0,0,0,0
storm,0,0,0,57,0,0,0
system,0,0,0,14,0,0,0
smash,0,0,0,0,0,5,0
building,0,0,0,15,0,0,0
apart,0,0,1,0,0,0,0
hurl,0,0,0,0,0,3,0
tree,0,0,0,7,0,0,0
car,0,0,0,2,0,0,0
massive,2,0,0,0,0,0,0
chunk,0,0,0,2,0,0,0
debris,0,0,0,5,0,0,0
far,0,0,6,0,0,0,0
air,0,0,0,24,0,0,0
wind,0,0,0,60,0,0,0
speed,0,0,0,11,0,0,0
reach,0,0,0,0,0,7,0
mile,0,0,0,32,0,0,0
kilometer,0,0,0,30,0,0,0
hour,0,0,0,24,0,0,0
bring,0,0,0,0,0,4,0
torrential,4,0,0,0,0,0,0
rain,0,0,0,15,0,0,0
thunderstorm,0,0,0,2,0,0,0
roar,0,0,0,0,0,1,0
ocean,0,0,0,4,0,0,0
lash,0,0,0,0,0,2,0
coast,0,0,0,16,0,0,0
cause,0,0,0,0,0,17,0
terrible,4,0,0,0,0,0,0
damage,0,0,0,14,0,5,0
die,0,0,0,0,0,6,0
quickly,0,0,3,0,0,0,0
move,0,0,0,0,0,2,0
inland,0,0,6,3,0,0,0
angry,1,0,0,0,0,0,0
god,0,0,0,2,0,0,0
big,1,0,0,0,0,0,0
call,0,0,0,0,0,8,0
know,0,0,0,0,0,4,0
different,7,0,0,0,0,0,0
name,0,0,0,9,0,1,0
world,0,0,0,5,0,0,0
people,0,0,0,54,0,0,0
ancient,2,0,0,0,0,0,0
mayan,1,0,0,0,0,0,0
destruction,0,0,0,3,0,0,0
southeast,2,0,0,0,0,0,0
come,0,0,0,0,0,5,0
typhoon,0,0,0,17,0,0,0
japanese,1,0,0,0,0,0,0
tai,0,0,0,0,0,0,1
foon,0,0,0,1,0,0,0
mean,0,0,0,0,0,1,0
great,5,0,0,0,0,0,0
cyclone,0,0,0,11,0,0,0
sand,0,0,0,3,0,0,0
whip,0,0,0,0,0,4,0
parking,0,0,0,1,0,0,0
lot,0,0,0,1,0,0,0
hit,0,0,0,0,0,12,0
officially,0,0,1,0,0,0,0
class,0,0,0,0,0,2,0
blow,0,0,0,0,0,7,0
fast,1,0,1,0,0,0,0
history,0,0,0,2,0,0,0
happen,0,0,0,0,0,9,0
strike,0,0,0,1,0,13,0
area,0,0,0,27,0,0,0
write,0,0,0,0,0,1,0
record,1,0,0,1,0,3,0
detailed,1,0,0,0,0,0,0
account,0,0,0,1,0,0,0
go,0,0,0,0,0,2,0
time,0,0,0,7,0,0,0
soon,0,0,5,0,0,0,0
begin,0,0,0,0,0,4,0
visit,0,0,0,0,0,1,0
encounter,0,0,0,0,0,1,0
ship,0,0,0,5,0,0,0
shelter,0,0,0,5,0,2,0
bay,0,0,0,1,0,0,0
sink,0,0,0,0,0,4,0
way,0,0,0,5,0,0,0
result,0,0,0,1,0,1,0
sea,0,0,0,34,0,0,0
flood,0,0,0,12,0,9,0
destroy,0,0,0,0,0,13,0
town,0,0,0,1,0,0,0
kill,0,0,0,0,0,8,0
bad,10,0,0,0,0,0,0
day,0,0,0,3,0,0,0
make,0,0,0,0,0,9,0
deadly,5,0,0,0,0,0,0
nearly,0,0,2,0,0,0,0
flatten,0,0,0,0,0,1,0
demolish,0,0,0,0,0,2,0
capital,0,0,0,1,0,0,0
send,0,0,0,0,0,1,0
surge,0,0,0,5,0,0,0
foot,0,0,0,5,0,0,0
meter,0,0,0,5,0,0,0
high,9,0,0,0,0,0,0
wash,0,0,0,0,0,5,0
village,0,0,0,1,0,0,0
british,1,0,0,0,0,0,0
fleet,0,0,0,3,0,0,0
dutch,1,0,0,0,0,0,0
year,0,0,0,10,0,0,0
claim,0,0,0,0,0,1,0
life,0,0,0,5,0,0,0
occur,0,0,0,0,0,5,0
region,0,0,0,1,0,0,0
atlantic,1,0,0,0,0,0,0
indian,1,0,0,0,0,0,0
pacific,1,0,0,0,0,0,0
water,0,0,0,19,0,0,0
temperature,0,0,0,7,0,0,0
able,2,0,0,0,0,0,0
gather,0,0,0,0,0,3,0
strength,0,0,0,4,0,0,0
form,0,0,0,0,0,8,0
west,3,0,0,0,0,0,0
drift,0,0,0,0,0,2,0
westward,0,0,1,0,0,0,0
land,0,0,0,21,0,0,0
landfall,0,0,0,3,0,0,0
wreak,0,0,0,0,0,1,0
continue,0,0,0,0,0,3,0
path,0,0,0,3,0,0,0
rapidly,0,0,3,0,0,0,0
lose,0,0,0,0,0,5,0
power,0,0,0,2,0,0,0
long,0,0,1,0,0,0,0
heat,0,0,0,4,0,1,0
beneath,0,4,0,0,0,0,0
force,0,0,0,3,0,0,0
spend,0,0,0,0,0,1,0
travel,0,0,0,0,0,4,0
depend,0,0,0,0,0,2,0
rainstorm,0,0,0,3,0,0,0
disruptive,1,0,0,0,0,0,0
zone,0,0,0,5,0,0,0
destructive,2,0,0,0,0,0,0
plague,0,0,0,0,0,1,0
part,0,0,0,2,0,0,0
east,0,0,0,1,0,0,0
common,2,0,0,0,0,0,0
eastern,1,0,0,0,0,0,0
impact,0,0,0,4,0,0,0
live,0,0,0,0,0,6,0
island,0,0,0,5,0,0,0
chain,0,0,0,1,0,0,0
north,0,0,0,2,0,0,0
large,12,0,0,0,0,0,0
number,0,0,0,3,0,0,0
boost,0,0,0,0,0,1,0
supply,0,0,0,4,0,0,0
country,0,0,0,2,0,0,0
frequently,0,0,1,0,0,0,0
red,2,0,0,0,0,0,0
spot,0,0,0,2,0,1,0
giant,1,0,0,1,0,0,0
solar,1,0,0,0,0,0,0
planet,0,0,0,4,0,0,0
actually,0,0,1,0,0,0,0
like,0,2,0,0,0,0,0
consist,0,0,0,0,0,1,0
whirl,0,0,0,0,0,3,0
circle,0,0,0,2,0,3,0
gas,0,0,0,4,0,0,0
entirely,0,0,1,0,0,0,0
rage,0,0,0,0,0,3,0
cover,0,0,0,0,0,1,0
half,0,0,0,1,0,0,0
surface,0,0,0,3,0,0,0
build,0,0,0,0,0,7,0
equatorial,1,0,0,0,0,0,0
direction,0,0,0,4,0,0,0
meet,0,0,0,0,0,1,0
warm,11,0,0,0,0,3,0
upward,0,0,2,0,0,0,0
take,0,0,0,0,0,3,0
