word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB
clean,2,0,0,0,0,0,0
inexhaustible,1,0,0,0,0,0,0
source,0,0,0,0,12,0,0
energy,0,0,0,0,27,0,0
harness,0,0,0,0,0,0,3
produce,0,0,0,0,0,0,10
power,0,0,0,0,48,0,0
historically,0,0,1,0,0,0,0
wind,0,0,0,0,144,0,0
form,0,0,0,0,2,0,1
windmill,0,0,0,0,23,0,0
century,0,0,0,0,9,0,0
task,0,0,0,0,1,0,0
grind,0,0,0,0,0,0,1
grain,0,0,0,0,1,0,0
pump,0,0,0,0,3,0,2
water,0,0,0,0,9,0,0
today,0,0,0,0,3,0,0
sophisticated,1,0,0,0,0,0,0
machine,0,0,0,0,6,0,0
know,0,0,0,0,0,0,10
turbine,0,0,0,0,55,0,0
part,0,0,0,0,2,0,0
world,0,0,0,0,6,0,0
convert,0,0,0,0,0,0,1
kinetic,3,0,0,0,0,0,0
electric,8,0,0,0,0,0,0
farm,0,0,0,0,16,0,0
western,1,0,0,0,0,0,0
long,2,0,0,0,0,0,0
history,0,0,0,0,1,0,0
grow,0,0,0,0,0,0,1
importance,0,0,0,0,1,0,0
alternative,2,0,0,0,1,0,0
modern,4,0,0,0,0,0,0
commercial,2,0,0,0,0,0,0
electricity,0,0,0,0,17,0,0
rotational,1,0,0,0,0,0,0
drive,0,0,0,0,2,0,6
generator,0,0,0,0,6,0,0
blade,0,0,0,0,19,0,0
rotor,0,0,0,0,9,0,0
enclosure,0,0,0,0,1,0,0
call,0,0,0,0,0,0,6
nacelle,0,0,0,0,1,0,0
contain,0,0,0,0,0,0,2
train,0,0,0,0,1,0,0
atop,0,1,0,0,0,0,0
tall,2,0,0,0,0,0,0
tower,0,0,0,0,9,0,0
large,10,0,0,0,0,0,0
megawatt,0,0,0,0,4,0,0
length,0,0,0,0,2,0,0
foot,0,0,0,0,11,0,0
meter,0,0,0,0,3,0,0
place,0,0,0,0,3,0,2
small,5,0,0,0,0,0,0
provide,0,0,0,0,0,0,4
individual,1,0,0,0,0,0,0
home,0,0,0,0,2,0,0
area,0,0,0,0,14,0,0
number,0,0,0,0,4,0,0
group,0,0,0,0,2,0,2
total,6,0,0,0,0,0,0
resource,0,0,0,0,4,0,0
calculate,0,0,0,0,0,0,1
base,0,0,0,0,0,0,4
average,2,0,0,0,0,0,0
speed,0,0,0,0,12,0,0
distribution,0,0,0,0,3,0,0
value,0,0,0,0,1,0,0
occur,0,0,0,0,0,0,7
particular,1,0,0,0,0,0,0
class,0,0,0,0,3,0,0
range,0,0,0,0,1,0,2
equivalent,1,0,0,0,0,0,0
density,0,0,0,0,1,0,0
watt,0,0,0,0,1,0,0
square,2,0,0,0,1,0,0
mean,1,0,0,0,2,0,4
mile,0,0,0,0,8,0,0
hour,0,0,0,0,11,0,0
second,3,0,0,0,1,0,0
height,0,0,0,0,2,0,0
