word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
child,0,0,0,0,0,0,0,42,0,0,0,0,0
name,0,0,0,0,0,0,0,5,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,64,0
book,0,0,0,0,0,0,0,4,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,29,0
remarkable,1,0,0,0,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,0,8,0,0,0,1,0
open,23,1,0,0,0,0,0,0,0,0,0,8,0
door,0,0,0,0,0,0,0,24,0,0,0,0,0
magic,6,0,0,0,0,0,0,12,0,0,0,0,0
wardrobe,0,0,0,0,0,0,0,3,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,0,70,0
different,15,0,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,0,30,0,0,0,0,0
country,0,0,0,0,0,0,0,24,0,0,0,0,0
reign,0,0,0,0,0,0,0,2,0,0,0,6,0
year,0,0,0,0,0,0,0,34,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,0,226,0
take,0,0,0,0,0,0,0,0,0,0,0,46,0
time,0,0,0,0,0,0,0,79,0,0,0,0,0
rate,0,0,0,0,0,0,0,4,0,0,0,0,0
notice,0,0,0,0,0,0,0,3,0,0,0,8,0
away,0,7,46,0,0,0,0,0,0,0,0,0,0
wise,9,0,0,0,0,0,0,0,0,0,0,0,0
grown,0,0,0,0,0,0,0,3,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,0,25,0
ago,0,0,27,0,0,0,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,37,0
seat,0,0,0,0,0,0,0,8,0,0,0,1,0
railway,0,0,0,0,0,0,0,4,0,0,0,0,0
station,0,0,0,0,0,0,0,9,0,0,0,0,0
trunk,0,0,0,0,0,0,0,6,0,0,0,0,0
playbox,0,0,0,0,0,0,0,1,0,0,0,0,0
pile,0,0,0,0,0,0,0,3,0,0,0,2,0
round,2,35,22,0,0,0,0,0,0,0,0,2,0
fact,0,0,0,0,0,0,0,7,0,0,0,0,0
way,0,0,0,0,0,0,0,61,0,0,0,0,0
school,0,0,0,0,0,0,0,14,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,0,0,3,0
far,13,0,32,0,0,0,0,0,0,0,0,0,0
junction,0,0,0,0,0,0,0,1,0,0,0,0,0
minute,0,0,0,0,0,0,0,20,0,0,0,0,0
train,0,0,0,0,0,0,0,3,0,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,0,9,0
girl,0,0,0,0,0,0,0,21,0,0,0,0,0
half,3,0,9,0,0,13,0,4,0,0,0,0,0
hour,0,0,0,0,0,0,0,30,0,0,0,0,0
boy,0,0,0,0,0,0,0,40,0,0,0,0,0
journey,0,0,0,0,0,0,0,13,0,0,0,0,0
holiday,0,0,0,0,0,0,0,3,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,727,0
goodbye,0,0,0,0,0,0,1,3,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,0,128,0
soon,0,0,41,0,0,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,1,0,0,0,66,0
term,0,0,0,0,0,0,0,2,0,0,0,0,0
feeling,0,0,0,0,0,0,0,6,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,79,0
gloomy,3,0,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,0,137,0
boarding,0,0,0,0,0,0,0,2,0,0,0,0,0
sleepy,4,0,0,0,0,0,0,0,0,0,0,0,0
hardly,0,0,16,0,0,0,0,0,0,0,0,0,0
platform,0,0,0,0,0,0,0,5,0,0,0,0,0
suddenly,0,0,22,0,0,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,0,26,0
sharp,11,0,0,0,0,0,0,0,0,0,0,0,0
little,108,0,3,0,0,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,0,0,6,0,0,0,25,0
like,10,124,0,0,0,0,0,0,0,0,0,31,0
sting,0,0,0,0,0,0,0,1,0,0,0,1,0
wasp,0,0,0,0,0,0,0,1,0,0,0,0,0
break,0,0,0,0,0,0,0,1,0,0,0,23,0
noise,0,0,0,0,0,0,0,23,0,0,0,1,0
earth,0,0,0,0,0,0,0,15,0,0,0,0,0
change,0,0,0,0,0,0,0,2,0,0,0,9,0
instead,0,0,12,0,0,0,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,1,0,0,0,50,0
drag,0,0,0,0,0,0,0,1,0,0,0,4,0
touch,0,0,0,0,0,0,0,0,0,0,0,8,0
pull,0,0,0,0,0,0,0,1,0,0,0,5,0
stop,0,0,0,0,0,0,0,0,0,0,0,28,0
white,9,0,0,0,0,0,0,0,0,0,0,0,0
breathless,3,0,0,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,0,79,0,0,0,0,0
frightful,1,0,0,0,0,0,0,0,0,0,0,0,0
pulling,0,0,0,0,0,0,0,1,0,0,0,0,0
ugh,0,0,0,0,0,0,2,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,16,0,0,0,6,0
look,0,0,0,0,0,0,0,8,0,0,0,133,0
shout,0,0,0,0,0,0,0,1,0,0,0,16,0
catch,0,0,0,0,0,0,0,1,0,0,0,15,0
hand,0,0,0,0,0,0,0,44,0,0,0,4,0
quick,2,0,11,0,0,0,0,0,0,0,0,0,0
yes,0,0,0,0,0,0,26,0,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,0,0,0,26,0
wish,0,0,0,0,0,0,0,3,0,0,0,22,0
moment,0,0,0,0,0,0,0,53,0,0,0,0,0
luggage,0,0,0,0,0,0,0,2,0,0,0,0,0
completely,0,0,6,0,0,0,0,0,0,0,0,0,0
vanish,0,0,0,0,0,0,0,0,0,0,0,6,0
pant,0,0,0,0,0,0,0,0,0,0,0,7,0
stand,0,0,0,0,0,0,0,0,0,0,0,47,0
woody,2,0,0,0,0,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,0,73,0,0,0,1,0
branch,0,0,0,0,0,0,0,18,0,0,0,0,0
stick,0,0,0,0,0,0,0,12,0,0,0,7,0
room,0,0,0,0,0,0,0,8,0,0,0,0,0
rub,0,0,0,0,0,0,0,0,0,0,0,5,0
eye,0,0,0,0,0,0,0,41,0,0,0,0,0
deep,19,0,2,0,0,0,0,0,0,0,0,0,0
breath,0,0,0,0,0,0,0,15,0,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,0,7,0
possibly,0,0,2,0,0,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,0,78,0
yard,0,0,0,0,0,0,0,8,0,0,0,0,0
tree,0,0,0,0,0,0,0,94,0,0,0,0,0
try,0,0,0,0,0,0,0,1,0,0,0,35,0
difficulty,0,0,0,0,0,0,0,8,0,0,0,0,0
nettle,0,0,0,0,0,0,0,2,0,0,0,0,0
prick,0,0,0,0,0,0,0,1,0,0,0,1,0
thorn,0,0,0,0,0,0,0,1,0,0,0,0,0
struggle,0,0,0,0,0,0,0,0,0,0,0,2,0
thicket,0,0,0,0,0,0,0,2,0,0,0,0,0
surprise,0,0,0,0,0,0,0,2,0,0,0,1,0
bright,14,0,0,0,0,0,0,0,0,0,0,0,0
step,0,0,0,0,0,0,0,10,0,0,0,7,0
edge,0,0,0,0,0,0,0,19,0,0,0,1,0
wood,0,0,0,0,0,0,0,77,0,0,0,0,0
sandy,1,0,0,0,0,0,0,0,0,0,0,0,0
beach,0,0,0,0,0,0,0,6,0,0,0,0,0
calm,1,0,0,0,0,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,0,30,0,0,0,0,0
fall,0,0,0,0,0,0,0,0,0,0,0,38,0
sand,0,0,0,0,0,0,0,5,0,0,0,0,0
tiny,6,0,0,0,0,0,0,0,0,0,0,0,0
