word,ADJ,ADP,ADV,DET,INTJ,NOUN,VERB,X
pretty,0,0,1,0,0,0,0,0
straightforward,1,0,0,0,0,0,0,0
interesting,1,0,0,0,0,0,0,0
violin,0,0,0,0,0,7,0,0
automobile,0,0,0,0,0,2,0,0
horn,0,0,0,0,0,2,0,0
disturb,0,0,0,0,0,0,1,0
expand,0,0,0,0,0,0,1,0
balloonlike,1,0,0,0,0,0,0,0
fashion,0,0,0,0,0,1,0,0
happen,0,0,0,0,0,0,6,0
set,0,0,0,0,0,1,6,0
perceive,0,0,0,0,0,0,3,0
medium,0,0,0,0,0,4,0,0
carry,0,0,0,0,0,0,5,0
receiver,0,0,0,0,0,7,0,0
detect,0,0,0,0,0,0,7,0
vacuum,0,0,0,0,0,1,0,0
age,0,0,0,0,0,4,0,0
old,1,0,0,0,0,0,0,0
question,0,0,0,0,0,1,0,0
concern,0,0,0,0,0,0,2,0
definition,0,0,0,0,0,2,0,0
tree,0,0,0,0,0,3,0,0
fall,0,0,0,0,0,0,2,0
forest,0,0,0,0,0,1,0,0
far,1,0,4,0,0,0,0,0
detector,0,0,0,0,0,1,0,0
microphone,0,0,0,0,0,3,0,0
crash,0,0,0,0,0,2,0,0
noise,0,0,0,0,0,18,0,0
answer,0,0,0,0,0,3,0,0
course,0,0,0,0,0,2,0,0
define,0,0,0,0,0,0,3,0
think,0,0,0,0,0,0,2,0
yes,0,0,0,0,1,0,0,0
subjectively,0,0,1,0,0,0,0,0
sensation,0,0,0,0,0,3,0,0
example,0,0,0,0,0,9,0,0
case,0,0,0,0,0,3,0,0
exist,0,0,0,0,0,0,1,0
present,2,0,0,0,0,0,0,0
equally,0,0,1,0,0,0,0,0
correct,1,0,0,0,0,0,1,0
easy,3,0,0,0,0,0,0,0
radio,0,0,0,0,0,3,0,0
loudspeaker,0,0,0,0,0,1,0,0
strongly,0,0,1,0,0,0,0,0
especially,0,0,2,0,0,0,0,0
volume,0,0,0,0,0,2,0,0
lightly,0,0,1,0,0,0,0,0
touch,0,0,0,0,0,0,2,0
speaker,0,0,0,0,0,2,0,0
cone,0,0,0,0,0,1,0,0
tickle,0,0,0,0,0,0,1,0
fingertip,0,0,0,0,0,1,0,0
throat,0,0,0,0,0,1,0,0
singe,0,0,0,0,0,0,2,0
note,0,0,0,0,0,15,0,0
vocal,1,0,0,0,0,0,0,0
cord,0,0,0,0,0,1,0,0
experiment,0,0,0,0,0,1,0,0
physics,0,0,0,0,0,1,0,0
class,0,0,0,0,0,2,0,0
tuning,0,0,0,0,0,1,0,0
fork,0,0,0,0,0,2,0,0
dip,0,0,0,0,0,0,1,0
end,0,0,0,0,0,6,0,0
water,0,0,0,0,0,9,0,0
splash,0,0,0,0,0,0,1,0
little,3,0,0,0,0,0,0,0
gong,0,0,0,0,0,8,0,0
initiate,0,0,0,0,0,0,1,0
create,0,0,0,0,0,0,3,0
outward,1,0,6,0,0,0,0,0
eventually,0,0,1,0,0,0,0,0
fade,0,0,0,0,0,0,2,0
away,0,0,8,0,0,0,0,0
compare,0,0,0,0,0,0,2,0
actually,0,0,3,0,0,0,0,0
sort,0,0,0,0,0,1,0,0
see,0,0,0,0,0,0,1,0
consider,0,0,0,0,0,0,4,0
suppose,0,0,0,0,0,0,2,0
alternately,0,0,1,0,0,0,0,0
bend,0,0,0,0,0,0,3,0
inward,0,0,2,0,0,0,0,0
rapidly,0,0,1,0,0,0,0,0
metal,0,0,0,0,0,5,0,0
billion,0,0,0,0,0,1,0,0
cubic,2,0,0,0,0,0,0,0
inch,0,0,0,0,0,4,0,0
centimeter,0,0,0,0,0,4,0,0
close,1,0,0,0,0,0,0,0
motion,0,0,0,0,0,4,0,0
weak,2,0,0,0,0,0,0,0
die,0,0,0,0,0,0,2,0
single,3,0,0,0,0,0,0,0
continue,0,0,0,0,0,0,2,0
bending,0,0,0,0,0,1,0,0
new,3,0,0,0,0,0,0,0
area,0,0,0,0,0,11,0,0
spread,0,0,0,0,0,0,2,0
apart,0,0,4,0,0,0,0,0
widely,0,0,1,0,0,0,0,0
normal,6,0,0,0,0,0,0,0
rarefaction,0,0,0,0,0,4,0,0
correspond,0,0,0,0,0,0,3,0
moment,0,0,0,0,0,2,0,0
instead,0,0,2,0,0,0,0,0
light,1,0,0,0,0,6,0,0
cliff,0,0,0,0,0,2,0,0
well,2,0,2,0,0,0,0,0
irregular,2,0,1,0,0,0,0,0
tend,0,0,0,0,0,0,4,0
break,0,0,0,0,0,0,3,0
useful,2,0,0,0,0,0,0,0
fog,0,0,0,0,0,1,0,0
ship,0,0,0,0,0,2,0,0
captain,0,0,0,0,0,1,0,0
tell,0,0,0,0,0,0,2,0
hilly,1,0,0,0,0,0,0,0
shoreline,0,0,0,0,0,1,0,0
listen,0,0,0,0,0,0,1,0
underwater,2,0,0,0,0,0,0,0
sonar,0,0,0,0,0,1,0,0
equipment,0,0,0,0,0,3,0,0
use,0,0,0,0,0,6,5,0
supersonic,3,0,0,0,0,0,0,0
signal,0,0,0,0,0,6,0,0
similarly,0,0,3,0,0,0,0,0
submarine,0,0,0,0,0,3,0,0
device,0,0,0,0,0,5,0,0
automatically,0,0,1,0,0,0,0,0
time,0,0,0,0,0,7,2,0
hull,0,0,0,0,0,1,0,0
compute,0,0,0,0,0,0,1,0
distance,0,0,0,0,0,5,0,0
depth,0,0,0,0,0,2,0,0
finder,0,0,0,0,0,1,0,0
ocean,0,0,0,0,0,3,0,0
measure,0,0,0,0,0,0,5,0
firework,0,0,0,0,0,1,0,0
explode,0,0,0,0,0,0,1,0
band,0,0,0,0,0,6,0,0
orchestra,0,0,0,0,0,1,0,0
perform,0,0,0,0,0,0,3,0
construction,0,0,0,0,0,2,0,0
ampitheater,0,0,0,0,0,1,0,0
stage,0,0,0,0,0,1,0,0
headlight,0,0,0,0,0,2,0,0
reflector,0,0,0,0,0,2,0,0
parabolic,1,0,0,0,0,0,0,0
curve,0,0,0,0,0,2,0,0
spherical,2,0,0,0,0,0,0,0
beam,0,0,0,0,0,1,0,0
concentrate,0,0,0,0,0,0,1,0
audience,0,0,0,0,0,1,0,0
prevent,0,0,0,0,0,0,2,0
dissipate,0,0,0,0,0,0,1,0
inside,0,5,0,0,0,2,0,0
building,0,0,0,0,0,1,0,0
whisper,0,0,0,0,0,0,3,0
gallery,0,0,0,0,0,1,0,0
spot,0,0,0,0,0,2,0,0
chamber,0,0,0,0,0,1,0,0
clearly,0,0,1,0,0,0,0,0
yard,0,0,0,0,0,1,0,0
speak,0,0,0,0,0,0,6,0
megaphone,0,0,0,0,0,5,0,0
intensify,0,0,0,0,0,0,2,0
voice,0,0,0,0,0,4,0,0
hold,0,0,0,0,0,0,4,0
channel,0,0,0,0,0,2,1,0
accord,0,0,0,0,0,0,1,0
greek,3,0,0,0,0,0,0,0
myth,0,0,0,0,0,1,0,0
beautiful,1,0,0,0,0,0,0,0
nymph,0,0,0,0,0,1,0,0
name,0,0,0,0,0,0,1,0
hopelessly,0,0,1,0,0,0,0,0
love,0,0,0,0,0,2,1,0
image,0,0,0,0,0,7,0,0
word,0,0,0,0,0,2,0,0
poetical,1,0,0,0,0,0,0,0
scientific,1,0,0,0,0,0,0,0
rocky,1,0,0,0,0,0,0,0
shore,0,0,0,0,0,1,0,0
spray,0,0,0,0,0,1,0,0
lose,0,0,0,0,0,0,3,0
original,1,0,0,0,0,0,0,0
cease,0,0,0,0,0,0,1,0
stand,0,0,0,0,0,0,4,0
foot,0,0,0,0,0,10,0,0
final,1,0,0,0,0,0,0,0
syllable,0,0,0,0,0,2,0,0
corridor,0,0,0,0,0,4,0,0
speed,0,0,0,0,0,11,0,0
start,0,0,0,0,0,0,1,0
group,0,0,0,0,0,1,0,0
stamp,0,0,0,0,0,0,2,0
throw,0,0,0,0,0,0,2,0
interval,0,0,0,0,0,1,0,0
factor,0,0,0,0,0,3,0,0
calculate,0,0,0,0,0,0,1,0
second,1,0,0,0,0,12,0,0
modern,5,0,0,0,0,0,0,0
science,0,0,0,0,0,6,0,0
large,2,0,0,0,0,0,0,0
pipe,0,0,0,0,0,3,0,0
closely,0,0,1,0,0,0,0,0
tune,0,0,0,0,0,0,2,0
subject,1,0,0,0,0,0,0,0
interference,0,0,0,0,0,3,0,0
cancel,0,0,0,0,0,0,2,0
beat,0,0,0,0,0,2,0,0
quiet,2,0,0,0,0,0,1,0
pause,0,0,0,0,0,1,0,0
stethoscope,0,0,0,0,0,2,0,0
side,0,0,0,0,0,1,0,0
allow,0,0,0,0,0,0,2,0
escape,0,0,0,0,0,0,1,0
reverse,0,0,0,0,0,1,0,0
funnel,0,0,0,0,0,0,2,0
relatively,0,0,2,0,0,0,0,0
wide,3,0,1,0,0,0,0,0
resemble,0,0,0,0,0,0,2,0
phenomenon,0,0,0,0,0,3,0,0
identical,1,0,0,0,0,0,0,0
tone,0,0,0,0,0,27,0,0
phase,0,0,0,0,0,5,0,0
arrive,0,0,0,0,0,0,1,0
listener,0,0,0,0,0,1,0,0
formation,0,0,0,0,0,1,0,0
throb,0,0,0,0,0,0,1,0
difference,0,0,0,0,0,3,0,0
equal,2,0,0,0,0,0,2,0
number,0,0,0,0,0,3,0,0
comparative,1,0,0,0,0,0,0,0
silence,0,0,0,0,0,1,0,0
reinforce,0,0,0,0,0,0,2,0
increase,0,0,0,0,0,3,4,0
intensity,0,0,0,0,0,10,0,0
barely,0,0,1,0,0,0,0,0
audible,5,0,0,0,0,0,0,0
pleasant,2,0,0,0,0,0,0,0
harsh,2,0,0,0,0,0,0,0
basic,2,0,0,0,0,0,0,0
pure,1,0,0,0,0,0,0,0
quality,0,0,0,0,0,4,0,0
rate,0,0,0,0,0,1,1,0
usually,0,0,5,0,0,0,0,0
express,0,0,0,0,0,0,1,0
hertz,0,0,0,0,0,1,0,0
cycle,0,0,0,0,0,2,0,0
forth,0,0,3,0,0,0,0,0
saxophone,0,0,0,0,0,1,0,0
reed,0,0,0,0,0,1,0,0
mouthpiece,0,0,0,0,0,1,0,0
twice,0,0,1,1,0,0,0,0
give,0,0,0,0,0,0,3,0
octave,0,0,0,0,0,3,0,0
half,0,0,0,1,0,0,0,0
lower,0,0,1,0,0,0,0,0
wavelength,0,0,0,0,0,5,0,0
particular,2,0,0,0,0,0,0,0
velocity,0,0,0,0,0,1,0,0
divide,0,0,0,0,0,0,3,0
roughly,0,0,1,0,0,0,0,0
meter,0,0,0,0,0,6,0,0
shorten,0,0,0,0,0,0,2,0
lengthen,0,0,0,0,0,0,1,0
opposite,1,0,0,0,0,0,0,0
shortening,0,0,0,0,0,1,0,0
lengthening,0,0,0,0,0,1,0,0
change,0,0,0,0,0,3,2,0
effect,0,0,0,0,0,9,0,0
austrian,2,0,0,0,0,0,0,0
physicist,0,0,0,0,0,3,0,0
locomotive,0,0,0,0,0,4,0,0
go,0,0,0,0,0,0,1,0
evenly,0,0,1,0,0,0,0,0
space,0,0,0,0,0,3,1,0
observer,0,0,0,0,0,4,0,0
bunch,0,0,0,0,0,0,1,0
ahead,0,0,1,0,0,0,0,0
rise,0,0,0,0,0,3,1,0
suddenly,0,0,1,0,0,0,0,0
drop,0,0,0,0,0,0,1,0
representation,0,0,0,0,0,1,0,0
vary,0,0,0,0,0,0,2,0
length,0,0,0,0,0,3,0,0
amplitude,0,0,0,0,0,2,0,0
piano,0,0,0,0,0,6,0,0
string,0,0,0,0,0,19,0,0
gently,0,0,1,0,0,0,0,0
key,0,0,0,0,0,3,0,0
softly,0,0,2,0,0,0,0,0
swing,0,0,0,0,0,0,2,0
narrow,1,0,0,0,0,0,0,0
arc,0,0,0,0,0,2,0,0
forcefully,0,0,2,0,0,0,0,0
great,5,0,0,0,0,0,0,0
compress,0,0,0,0,0,0,1,0
energy,0,0,0,0,0,1,0,0
enter,0,0,0,0,0,0,2,0
loudness,0,0,0,0,0,6,0,0
decibel,0,0,0,0,0,10,0,0
scale,0,0,0,0,0,4,0,0
indicate,0,0,0,0,0,0,2,0
rustle,0,0,0,0,0,1,0,0
average,1,0,0,0,0,0,0,0
street,0,0,0,0,0,1,0,0
nearby,1,0,0,0,0,0,0,0
thunder,0,0,0,0,0,3,0,0
level,0,0,0,0,0,5,0,0
begin,0,0,0,0,0,0,3,0
painful,1,0,0,0,0,0,0,0
prolonged,2,0,0,0,0,0,0,0
exposure,0,0,0,0,0,7,0,0
damage,0,0,0,0,0,6,5,0
hearing,0,0,0,0,0,45,0,0
term,0,0,0,0,0,1,0,0
refer,0,0,0,0,0,0,1,0
apparent,1,0,0,0,0,0,0,0
relative,1,0,0,0,0,0,0,0
astronomical,1,0,0,0,0,0,0,0
measurement,0,0,0,0,0,2,0,0
radar,0,0,0,0,0,1,0,0
navigation,0,0,0,0,0,1,0,0
describe,0,0,0,0,0,0,2,0
approach,0,0,0,0,0,0,2,0
mention,0,0,0,0,0,0,1,0
section,0,0,0,0,0,4,0,0
star,0,0,0,0,0,3,0,0
observe,0,0,0,0,0,0,1,0
shift,0,0,0,0,0,0,1,0
red,2,0,0,0,0,0,0,0
spectrum,0,0,0,0,0,1,0,0
recede,0,0,0,0,0,0,1,0
violet,0,0,0,0,0,1,0,0
short,1,0,0,0,0,0,0,0
study,0,0,0,0,0,2,6,0
integral,1,0,0,0,0,0,0,0
theory,0,0,0,0,0,2,0,0
universe,0,0,0,0,0,1,0,0
timbre,0,0,0,0,0,1,0,0
complicated,1,0,0,0,0,0,0,0
flute,0,0,0,0,0,5,0,0
screech,0,0,0,0,0,1,0,0
bluejay,0,0,0,0,0,2,0,0
unpleasant,2,0,0,0,0,0,0,0
simple,2,0,0,0,0,0,0,0
addition,0,0,0,0,0,1,0,0
overtone,0,0,0,0,0,7,0,0
main,1,0,0,0,0,0,0,0
harmonize,0,0,0,0,0,0,4,0
principal,1,0,0,0,0,0,0,0
fundamental,4,0,0,0,0,0,0,0
account,0,0,0,0,0,0,1,0
sweet,1,0,0,0,0,0,0,0
show,0,0,0,0,0,0,3,0
hammer,0,0,0,0,0,3,0,0
press,0,0,0,0,0,0,1,0
associate,0,0,0,0,0,0,3,0
hit,0,0,0,0,0,0,1,0
result,0,0,0,0,0,2,7,0
instrument,0,0,0,0,0,8,0,0
combination,0,0,0,0,0,4,0,0
special,2,0,0,0,0,0,0,0
stringed,2,0,0,0,0,0,0,0
rich,1,0,0,0,0,0,0,0
musical,3,0,0,0,0,0,0,0
wind,0,0,0,0,0,1,0,0
percussion,0,0,0,0,0,1,0,0
electronic,2,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,2,0
tension,0,0,0,0,0,3,0,0
practically,0,0,1,0,0,0,0,0
constant,2,0,0,0,0,0,0,0
violinist,0,0,0,0,0,1,0,0
raise,0,0,0,0,0,0,1,0
finger,0,0,0,0,0,1,0,0
hand,0,0,0,0,0,1,0,0
bow,0,0,0,0,0,1,1,0
pluck,0,0,0,0,0,0,1,0
part,0,0,0,0,0,4,0,0
faintly,0,0,1,0,0,0,0,0
resonance,0,0,0,0,0,2,0,0
body,0,0,0,0,0,13,0,0
construct,0,0,0,0,0,0,1,0
sympathy,0,0,0,0,0,1,0,0
transmit,0,0,0,0,0,0,10,0
wood,0,0,0,0,0,1,0,0
massive,1,0,0,0,0,0,0,0
intense,2,0,0,0,0,0,0,0
sounding,0,0,0,0,0,1,0,0
board,0,0,0,0,0,1,0,0
raucous,1,0,0,0,0,0,0,0
analyze,0,0,0,0,0,0,1,0
find,0,0,0,0,0,0,1,0
extremely,0,0,4,0,0,0,0,0
discordant,2,0,0,0,0,0,0,0
miscellaneous,1,0,0,0,0,0,0,0
unrelated,2,0,0,0,0,0,0,0
softness,0,0,0,0,0,1,0,0
temperature,0,0,0,0,0,2,0,0
room,0,0,0,0,0,2,0,0
degree,0,0,0,0,0,5,0,0
fahrenheit,0,0,0,0,0,1,0,0
celsius,0,0,0,0,0,1,0,0
pressure,0,0,0,0,0,1,0,0
humidity,0,0,0,0,0,1,0,0
slight,1,0,0,0,0,0,0,0
somewhat,0,0,1,0,0,0,0,0
humid,2,0,0,0,0,0,0,0
dry,1,0,0,0,0,0,0,0
fifth,0,0,0,0,0,1,0,0
mile,0,0,0,0,0,4,0,0
kilometer,0,0,0,0,0,2,0,0
lightning,0,0,0,0,0,2,0,0
count,0,0,0,0,0,0,1,0
flash,0,0,0,0,0,1,1,0
approximate,1,0,0,0,0,0,0,0
woman,0,0,0,0,0,6,0,0
play,0,0,0,0,0,0,1,0
design,0,0,0,0,0,3,4,0
resonate,0,0,0,0,0,0,1,0
blue,1,0,0,0,0,0,0,0
jay,0,0,0,0,0,1,0,0
perch,0,0,0,0,0,0,1,0
stump,0,0,0,0,0,1,0,0
bird,0,0,0,0,0,1,0,0
blend,0,0,0,0,0,0,1,0
fast,2,0,1,0,0,0,0,0
accompany,0,0,0,0,0,0,1,0
storm,0,0,0,0,0,1,0,0
test,0,0,0,0,0,1,2,0
padded,1,0,0,0,0,0,0,0
soundproof,1,0,0,0,0,0,0,0
certain,5,0,0,0,0,0,0,0
material,0,0,0,0,0,4,0,0
rubber,0,0,0,0,0,2,0,0
foam,0,0,0,0,0,1,0,0
absorb,0,0,0,0,0,0,2,0
ridge,0,0,0,0,0,1,0,0
absorption,0,0,0,0,0,1,0,0
substance,0,0,0,0,0,3,0,0
conductor,0,0,0,0,0,3,0,0
gas,0,0,0,0,0,4,0,0
poor,2,0,0,0,0,0,0,0
liquid,0,0,0,0,0,5,0,0
rigid,1,0,0,0,0,0,0,0
iron,0,0,0,0,0,1,0,0
stone,0,0,0,0,0,2,0,0
good,5,0,0,0,0,0,0,0
freely,0,0,2,0,0,0,0,0
cork,0,0,0,0,0,1,0,0
cotton,0,0,0,0,0,1,0,0
felt,0,0,0,0,0,1,0,0
reason,0,0,0,0,0,1,0,0
soundproofing,0,0,0,0,0,1,0,0
deaden,0,0,0,0,0,0,1,0
unwanted,1,0,0,0,0,0,0,0
message,0,0,0,0,0,1,0,0
recognize,0,0,0,0,0,0,3,0
complex,2,0,0,0,0,1,0,0
important,4,0,0,0,0,0,0,0
sense,0,0,0,0,0,1,1,0
equilibrium,0,0,0,0,0,1,0,0
balance,0,0,0,0,0,2,0,0
mechanism,0,0,0,0,0,5,0,0
locate,0,0,0,0,0,0,3,0
hollow,2,0,0,0,0,0,0,0
skull,0,0,0,0,0,4,0,0
temporal,3,0,0,0,0,0,0,0
separate,1,0,0,0,0,0,2,0
specific,3,0,0,0,0,0,0,0
relate,0,0,0,0,0,0,2,0
auricle,0,0,0,0,0,1,0,0
pinna,0,0,0,0,0,2,0,0
tympanic,2,0,0,0,0,0,0,0
collect,0,0,0,0,0,0,2,0
tube,0,0,0,0,0,5,0,0
lead,0,0,0,0,0,0,2,0
fill,0,0,0,0,0,0,5,0
chainlike,1,0,0,0,0,0,0,0
link,0,0,0,0,0,1,0,0
span,0,0,0,0,0,0,1,0
illustration,0,0,0,0,0,1,0,0
portion,0,0,0,0,0,4,0,0
base,0,0,0,0,0,1,0,0
structure,0,0,0,0,0,7,0,0
mechanically,0,0,1,0,0,0,0,0
malleus,0,0,0,0,0,1,0,0
incus,0,0,0,0,0,1,0,0
anvil,0,0,0,0,0,1,0,0
stape,0,0,0,0,0,1,0,0
stirrup,0,0,0,0,0,1,0,0
relay,0,0,0,0,0,0,1,0
opening,0,0,0,0,0,2,0,0
model,0,0,0,0,0,3,0,0
direct,0,0,0,0,0,0,1,0
fluid,0,0,0,0,0,4,0,0
coiled,2,0,0,0,0,0,0,0
snail,0,0,0,0,0,1,0,0
straighten,0,0,0,0,0,0,1,0
slightly,0,0,1,0,0,0,0,0
true,1,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,3,0
hairlike,1,0,0,0,0,0,0,0
anchor,0,0,0,0,0,0,1,0
basilar,1,0,0,0,0,0,0,0
extend,0,0,0,0,0,0,1,0
unattached,1,0,0,0,0,0,0,0
contact,0,0,0,0,0,1,0,0
overhang,0,0,0,0,0,0,1,0
roof,0,0,0,0,0,1,0,0
tectorial,1,0,0,0,0,0,0,0
cochlear,0,0,0,0,0,6,0,0
receptor,0,0,0,0,0,1,0,0
cell,0,0,0,0,0,3,0,0
highly,0,0,1,0,0,0,0,0
sensitive,1,0,0,0,0,0,0,0
specialized,1,0,0,0,0,0,0,0
electrochemical,1,0,0,0,0,1,0,0
branch,0,0,0,0,0,1,0,0
disease,0,0,0,0,0,5,0,0
tissue,0,0,0,0,0,6,0,0
skin,0,0,0,0,0,5,0,0
cartilage,0,0,0,0,0,2,0,0
gland,0,0,0,0,0,1,0,0
follicle,0,0,0,0,0,1,0,0
tumor,0,0,0,0,0,2,0,0
earwax,0,0,0,0,0,1,0,0
infect,0,0,0,0,0,0,1,0
condition,0,0,0,0,0,7,0,0
frostbite,0,0,0,0,0,2,0,0
expose,0,0,0,0,0,0,2,0
frozen,1,0,0,0,0,0,0,0
numb,1,0,0,0,0,0,0,0
temporary,5,0,0,0,0,0,0,0
loss,0,0,0,0,0,14,0,0
injury,0,0,0,0,0,2,0,0
bleeding,0,0,0,0,0,1,0,0
hematoma,0,0,0,0,0,2,0,0
rounded,1,0,0,0,0,0,0,0
non,1,0,0,0,0,0,0,0
tender,2,0,0,0,0,0,0,0
purplish,1,0,0,0,0,0,0,0
swelling,0,0,0,0,0,2,0,0
otitis,0,0,0,0,0,4,0,0
infection,0,0,0,0,0,7,0,0
mold,0,0,0,0,0,1,0,0
