word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,X
sea,0,0,0,0,0,0,21,0,0,0,0,0,0
time,0,0,0,0,0,0,65,0,0,0,0,0,0
beloved,2,0,0,0,0,0,4,0,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,0,39,0
fish,0,0,0,0,0,0,28,0,0,0,0,3,0
starfish,0,0,0,0,0,0,1,0,0,0,0,0,0
garfish,0,0,0,0,0,0,1,0,0,0,0,0,0
crab,0,0,0,0,0,0,4,0,0,0,0,0,0
dab,0,0,0,0,0,0,1,0,0,0,0,0,0
plaice,0,0,0,0,0,0,1,0,0,0,0,0,0
dace,0,0,0,0,0,0,1,0,0,0,0,0,0
skate,0,0,0,0,0,0,1,0,0,0,0,0,0
mate,0,0,0,0,0,0,1,0,0,0,0,0,0
mackereel,0,0,0,0,0,0,1,0,0,0,0,0,0
pickereel,0,0,0,0,0,0,1,0,0,0,0,0,0
truly,0,0,13,0,0,0,0,0,0,0,0,0,0
twirly,1,0,0,0,0,0,0,0,0,0,0,0,0
whirly,1,0,0,0,0,0,0,0,0,0,0,0,0
eel,0,0,0,0,0,0,1,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,0,40,0
till,0,0,0,0,0,0,0,0,0,0,61,0,0
small,17,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,6,0,0,0,0,23,0
swim,0,0,0,0,0,0,0,0,0,0,0,18,0
little,100,0,3,0,0,0,0,0,0,0,0,0,0
right,14,0,6,0,0,0,0,0,0,0,0,0,0
ear,0,0,0,0,0,0,4,0,0,0,0,0,0
way,0,0,0,0,0,0,22,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,0,19,0
tail,0,0,0,0,0,0,44,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,525,0
voice,0,0,0,0,0,0,5,0,0,0,0,0,0
generous,1,0,0,0,0,0,0,0,0,0,0,0,0
taste,0,0,0,0,0,0,0,0,0,0,0,4,0
fetch,0,0,0,0,0,0,0,0,0,0,0,8,0
froth,0,0,0,0,0,0,0,0,0,0,0,1,0
latitude,0,0,0,0,0,0,2,0,0,0,0,0,0
longitude,0,0,0,0,0,0,2,0,0,0,0,0,0
magic,5,0,0,0,0,0,22,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,46,0
raft,0,0,0,0,0,0,4,0,0,0,0,0,0
middle,0,0,0,0,0,0,16,0,0,0,0,0,0
pair,0,0,0,0,0,0,5,0,0,0,0,0,0
blue,11,0,0,0,0,0,1,0,0,0,0,0,0
canvas,0,0,0,0,0,0,4,0,0,0,0,0,0
breech,0,0,0,0,0,0,4,0,0,0,0,0,0
suspender,0,0,0,0,0,0,9,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,0,19,0
jack,0,0,0,0,0,0,5,0,0,0,0,0,0
knife,0,0,0,0,0,0,5,0,0,0,0,0,0
ship,0,0,0,0,0,0,2,0,0,0,0,0,0
wreck,0,0,0,0,0,0,0,0,0,0,0,1,0
fair,4,0,0,0,0,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,56,0
man,0,0,0,0,0,0,88,0,0,0,0,0,0
infinite,5,0,0,0,0,0,0,0,0,0,0,0,0
resource,0,0,0,0,0,0,5,0,0,0,0,0,0
fast,0,0,4,0,0,0,0,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,0,7,0
particularly,0,0,2,0,0,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,0,19,0
single,3,0,0,0,0,0,0,0,0,0,0,0,0
solitary,1,0,0,0,0,0,0,0,0,0,0,0,0
shipwrecked,3,0,0,0,0,0,0,0,0,0,0,0,0
trail,0,0,0,0,0,0,0,0,0,0,0,2,0
toe,0,0,0,0,0,0,3,0,0,0,0,0,0
water,0,0,0,0,0,0,54,0,0,0,0,1,0
paddle,0,0,0,0,0,0,2,0,0,0,0,4,0
sagacity,0,0,0,0,0,0,3,0,0,0,0,0,0
whale,0,0,0,0,0,0,5,0,0,0,0,0,0
open,5,0,0,0,0,0,0,0,0,0,0,6,0
mouth,0,0,0,0,0,0,42,0,0,0,0,0,0
nearly,0,0,5,0,0,0,0,0,0,0,0,0,0
touch,0,0,0,0,0,0,2,0,0,0,0,10,0
swallow,0,0,0,0,0,0,0,0,0,0,0,4,0
warm,17,0,0,0,0,0,0,0,0,0,0,0,0
dark,14,0,0,0,0,0,5,0,0,0,0,0,0
inside,2,4,2,0,0,0,0,0,0,0,0,0,0
cup,0,0,0,0,0,0,2,0,0,0,0,0,0
board,0,0,0,0,0,0,2,0,0,0,0,0,0
smack,0,0,0,0,0,0,0,0,0,0,0,1,0
turn,0,0,0,0,0,0,0,0,0,0,0,14,0
round,8,12,8,0,0,0,0,0,0,0,0,0,0
soon,0,0,7,0,0,0,0,0,0,0,0,0,0
stump,0,0,0,0,0,0,0,0,0,0,0,1,0
jump,0,0,0,0,0,0,0,0,0,0,0,14,0
thump,0,0,0,0,0,0,0,0,0,0,0,3,0
bump,0,0,0,0,0,0,1,0,0,0,0,2,0
prance,0,0,0,0,0,0,0,0,0,0,0,2,0
dance,0,0,0,0,0,0,0,0,0,0,0,12,0
bang,0,0,0,0,0,0,0,0,0,0,0,1,0
clang,0,0,0,0,0,0,0,0,0,0,0,1,0
hit,0,0,0,0,0,0,0,0,0,0,0,4,0
