word,ADJ,ADP,ADV,DET,NOUN,NUM,PUNCT,VERB
introduction,0,0,0,0,1,0,0,0
statistic,0,0,0,0,21,0,0,0
probability,0,0,0,0,47,0,0,0
useful,5,0,0,0,0,0,0,0
branch,0,0,0,0,2,0,0,0
math,0,0,0,0,2,0,0,0
statistics,0,0,0,0,3,0,0,0
gathering,0,0,0,0,2,0,0,0
analysis,0,0,0,0,1,0,0,0
interpretation,0,0,0,0,3,0,0,0
presentation,0,0,0,0,1,0,0,0
numerical,5,0,0,0,0,0,0,0
datum,0,0,0,0,30,0,0,0
mathematical,1,0,0,0,0,0,0,0
study,0,0,0,0,7,0,0,9
chance,0,0,0,0,10,0,0,0
event,0,0,0,0,3,0,0,0
occur,0,0,0,0,0,0,0,14
real,1,0,0,0,0,0,0,0
world,0,0,0,0,4,0,0,0
application,0,0,0,0,3,0,0,0
discovery,0,0,0,0,1,0,0,0
fascinating,2,0,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,2
wonderful,1,0,0,0,0,0,0,0
invention,0,0,0,0,1,0,0,0
human,0,0,0,0,1,0,0,0
actually,0,0,5,0,0,0,0,0
use,0,0,0,0,3,0,0,10
people,0,0,0,0,13,0,0,0
idea,0,0,0,0,4,0,0,0
place,0,0,0,0,3,0,0,2
example,0,0,0,0,28,0,0,0
major,1,0,0,0,0,0,0,0
league,0,0,0,0,1,0,0,0
baseball,0,0,0,0,2,0,0,0
team,0,0,0,0,6,0,0,0
suddenly,0,0,1,0,0,0,0,0
begin,0,0,0,0,0,0,0,5
win,0,0,0,0,2,0,0,9
game,0,0,0,0,15,0,0,0
hire,0,0,0,0,0,0,0,1
statistician,0,0,0,0,20,0,0,0
find,0,0,0,0,0,0,0,8
important,7,0,0,0,0,0,0,0
follow,0,0,0,0,1,0,0,4
old,1,0,0,0,0,0,0,0
result,0,0,0,0,10,0,0,6
disaster,0,0,0,0,1,0,0,0
inspiring,1,0,0,0,0,0,0,0
recent,1,0,0,0,0,0,0,0
development,0,0,0,0,1,0,0,0
youth,0,0,0,0,1,0,0,0
basketball,0,0,0,0,3,0,0,0
provide,0,0,0,0,0,0,0,3
glimpse,0,0,0,0,1,0,0,0
power,0,0,0,0,1,0,0,0
dad,0,0,0,0,2,0,0,0
recently,0,0,1,0,0,0,0,0
coach,0,0,0,0,0,0,0,1
daughter,0,0,0,0,1,0,0,0
strangely,0,0,1,0,0,0,0,0
dribble,0,0,0,0,0,0,0,1
shoot,0,0,0,0,0,0,0,2
ball,0,0,0,0,2,0,0,0
matter,0,0,0,0,2,0,0,0
state,0,0,0,0,1,0,0,2
championship,0,0,0,0,1,0,0,0
discover,0,0,0,0,0,0,0,2
high,17,0,0,0,0,0,0,0
correlation,0,0,0,0,21,0,0,0
defense,0,0,0,0,2,0,0,0
success,0,0,0,0,5,0,0,0
focus,0,0,0,0,0,0,0,2
purely,0,0,1,0,0,0,0,0
girl,0,0,0,0,1,0,0,0
score,0,0,0,0,59,0,0,8
basket,0,0,0,0,1,0,0,0
