word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB
way,0,0,0,0,8,0,0
plant,0,0,0,0,296,0,2
like,0,11,0,0,0,0,0
live,0,0,0,0,0,0,17
organism,0,0,0,0,10,0,0
bear,0,0,0,0,0,0,8
grow,0,0,0,0,0,0,66
develop,0,0,0,0,0,0,16
reproduce,0,0,0,0,0,0,15
animal,0,0,0,0,17,0,0
human,1,0,0,0,6,0,0
play,0,0,0,0,0,0,11
vital,5,0,0,0,0,0,0
role,0,0,0,0,11,0,0
sustain,0,0,0,0,0,0,1
environment,0,0,0,0,14,0,0
number,0,0,0,0,7,0,0
life,0,0,0,0,12,0,0
process,0,0,0,0,32,0,0
set,0,0,0,0,1,0,3
apart,0,0,1,0,0,0,0
thing,0,0,0,0,6,0,0
book,0,0,0,0,1,0,0
detail,0,0,0,0,0,0,1
habit,0,0,0,0,1,0,0
survival,0,0,0,0,5,0,0
method,0,0,0,0,3,0,0
range,0,0,0,0,0,0,1
simply,0,0,2,0,0,0,0
curious,1,0,0,0,0,0,0
truly,0,0,1,0,0,0,0
remarkable,1,0,0,0,0,0,0
consider,0,0,0,0,0,0,1
create,0,0,0,0,0,0,7
joining,0,0,0,0,1,0,0
parent,0,0,0,0,11,0,0
male,7,0,0,0,1,0,0
sex,0,0,0,0,8,0,0
cell,0,0,0,0,72,0,0
female,8,0,0,0,0,0,0
reproduction,0,0,0,0,17,0,0
depend,0,0,0,0,0,0,11
matter,0,0,0,0,2,0,0
leave,0,0,0,0,48,0,2
stem,0,0,0,0,45,0,0
break,0,0,0,0,0,0,8
cut,1,0,0,0,1,0,4
purpose,0,0,0,0,1,0,0
naturally,0,0,2,0,0,0,0
underground,6,0,1,0,0,0,0
case,0,0,0,0,5,0,0
tuber,0,0,0,0,3,0,0
bulb,0,0,0,0,2,0,0
capable,4,0,0,0,0,0,0
sprout,0,0,0,0,2,0,2
root,0,0,0,0,50,0,1
give,0,0,0,0,0,0,5
birth,0,0,0,0,1,0,0
new,20,0,0,0,0,0,0
independent,2,0,0,0,0,0,0
water,0,0,0,0,91,0,0
especially,0,0,2,0,0,0,0
true,4,0,0,0,0,0,0
lot,0,0,0,0,1,0,0
blood,0,0,0,0,1,0,0
carry,0,0,0,0,0,0,13
nutrient,0,0,0,0,10,0,0
molecule,0,0,0,0,20,0,0
alive,2,0,0,0,0,0,0
organ,0,0,0,0,1,0,0
heart,0,0,0,0,3,0,0
system,0,0,0,0,6,0,0
instead,0,0,3,0,0,0,0
rely,0,0,0,0,0,0,1
transpiration,0,0,0,0,7,0,0
diffusion,0,0,0,0,8,0,0
allow,0,0,0,0,0,0,7
reach,0,0,0,0,0,0,3
constantly,0,0,2,0,0,0,0
lose,0,0,0,0,0,0,4
sweat,0,0,0,0,0,0,1
tiny,3,0,0,0,0,0,0
opening,0,0,0,0,3,0,0
cause,0,0,0,0,0,0,19
low,9,0,0,0,0,0,0
concentration,0,0,0,0,11,0,0
leaf,0,0,0,0,25,0,0
respond,0,0,0,0,0,0,1
