word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
emerge,0,0,0,0,0,0,0,0,0,14,0
world,1,0,0,0,0,0,60,0,0,0,0
thriving,1,0,0,0,0,0,0,0,0,0,0
nation,0,0,0,0,0,0,9,0,0,0,0
future,5,0,0,0,0,0,4,0,0,0,0
bright,3,0,0,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,13,0,0,0,0
summer,0,0,0,0,0,0,25,0,0,0,0
sun,0,0,0,0,0,0,5,0,0,0,0
volume,0,0,0,0,0,0,6,0,0,0,0
reader,0,0,0,0,0,0,3,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,3,0
country,3,0,0,0,0,0,293,0,0,0,0
successful,15,0,0,0,0,0,0,0,0,0,0
locate,0,0,0,0,0,0,0,0,0,30,0
baltic,34,0,0,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,30,0,0,0,0
attach,0,0,0,0,0,0,0,0,0,4,0
count,0,0,0,0,0,0,7,0,0,3,0
island,0,0,0,0,0,0,73,0,0,0,0
geographic,3,0,0,0,0,0,0,0,0,0,0
territory,0,0,0,0,0,0,29,0,0,0,0
include,0,0,0,0,0,0,0,0,0,147,0
large,133,0,0,0,0,0,0,0,0,0,0
square,28,0,0,0,0,0,2,0,0,0,0
mile,0,0,0,0,0,0,43,0,0,0,0
nordic,28,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,86,0,0,3,0
crush,0,0,0,0,0,0,0,0,0,2,0
level,1,0,0,0,0,0,22,0,0,0,0
weight,0,0,0,0,0,0,3,0,0,1,0
glacier,0,0,0,0,0,0,8,0,0,0,0
leave,0,0,0,0,0,0,5,0,0,28,0
rocky,5,0,0,0,0,0,0,0,0,0,0
soil,0,0,0,0,0,0,26,0,0,0,0
peat,0,0,0,0,0,0,21,0,0,0,0
bog,0,0,0,0,0,0,11,0,0,0,0
marsh,0,0,0,0,0,0,4,0,0,0,0
lake,0,0,0,0,0,0,36,0,0,0,0
jagged,2,0,0,0,0,0,0,0,0,0,0
coastline,0,0,0,0,0,0,7,0,0,0,0
predominant,5,0,0,0,0,0,0,0,0,0,0
geologic,2,0,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,11,0,0,5,0
today,0,0,0,0,0,0,12,0,0,0,0
travel,0,0,0,0,0,0,4,0,0,8,0
bicycle,0,0,0,0,0,0,3,0,0,0,0
popular,30,0,0,0,0,0,0,0,0,0,0
relatively,0,0,20,0,0,0,0,0,0,0,0
flat,8,0,0,0,0,0,3,0,0,0,0
high,122,0,1,0,0,0,0,0,0,0,0
point,0,0,0,0,0,0,14,0,0,2,0
foot,0,0,0,0,0,0,20,0,0,0,0
metre,0,0,0,0,0,0,21,0,0,0,0
home,0,0,1,0,0,0,23,0,0,0,0
rule,0,0,0,0,0,0,33,0,0,29,0
ruler,0,0,0,0,0,0,19,0,0,0,0
real,7,0,0,0,0,0,0,0,0,0,0
governmental,2,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,168,0,0,0,0
hold,0,0,0,0,0,0,5,0,0,51,0
parliament,0,0,0,0,0,0,41,0,0,0,0
taxis,0,0,0,0,0,0,35,0,0,0,0
pay,0,0,0,0,0,0,3,0,0,32,0
social,57,0,0,0,0,0,0,0,0,0,0
welfare,0,0,0,0,0,0,16,0,0,0,0
service,0,0,0,0,0,0,57,0,0,0,0
value,0,0,0,0,0,0,16,0,0,3,0
public,56,0,0,0,0,0,4,0,0,0,0
health,0,0,0,0,0,0,26,0,0,0,0
program,0,0,0,0,0,0,35,0,0,0,0
pension,0,0,0,0,0,0,17,0,0,0,0
economy,0,0,0,0,0,0,52,0,0,0,0
revolve,0,0,0,0,0,0,0,0,0,3,0
industry,0,0,0,0,0,0,72,0,0,0,0
trade,0,0,0,0,0,0,93,0,0,13,1
manufacturing,0,0,0,0,0,0,20,0,0,0,0
item,0,0,0,0,0,0,3,0,0,0,0
produce,0,0,0,0,0,0,1,0,0,28,0
clothing,0,0,0,0,0,0,5,0,0,0,0
furniture,0,0,0,0,0,0,9,0,0,0,0
electronic,2,0,0,0,0,0,1,0,0,0,0
windmill,0,0,0,0,0,0,2,0,0,0,0
culturally,0,0,5,0,0,0,0,0,0,0,0
contribution,0,0,0,0,0,0,8,0,0,0,0
art,0,0,0,0,0,0,30,0,0,0,0
science,0,0,0,0,0,0,11,0,0,0,0
fairy,0,0,0,0,0,0,5,0,0,0,0
tale,0,0,0,0,0,0,9,0,0,0,0
scribe,0,0,0,0,0,0,1,0,0,0,0
arguably,0,0,3,0,0,0,0,0,0,0,0
famous,19,0,0,0,0,0,0,0,0,0,0
danish,210,0,0,0,0,0,0,0,0,0,0
export,0,0,0,0,0,0,50,0,0,5,0
realm,0,0,0,0,0,0,10,0,0,0,0
authorship,0,0,0,0,0,0,1,0,0,0,0
notable,15,0,0,0,0,0,0,0,0,0,0
composer,0,0,0,0,0,0,8,0,0,0,0
film,0,0,0,0,0,0,12,0,0,0,0
director,0,0,0,0,0,0,10,0,0,0,0
respectively,0,0,5,0,0,0,0,0,0,0,0
physicist,0,0,0,0,0,0,1,0,0,0,0
renowned,4,0,0,0,0,0,0,0,0,0,0
philosopher,0,0,0,0,0,0,2,0,0,0,0
sign,0,0,0,0,0,0,5,0,0,18,0
human,11,0,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,35,0,0,0,0
know,0,0,0,0,0,0,0,0,0,62,0
date,0,0,0,0,0,0,2,0,0,14,0
far,8,0,27,0,0,0,0,0,0,0,0
bce,0,0,0,0,0,0,21,0,0,0,0
early,107,0,11,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,7,0
panoply,0,0,0,0,0,0,1,0,0,0,0
norse,2,0,0,0,0,0,0,0,0,0,0
god,0,0,0,0,0,0,5,0,0,0,0
thunder,0,0,0,0,0,0,1,0,0,0,0
love,0,0,0,0,0,0,4,0,0,2,0
goddess,0,0,0,0,0,0,1,0,0,0,0
century,0,0,0,0,0,0,284,0,0,0,0
claim,0,0,0,0,0,0,4,0,0,5,0
unify,0,0,0,0,0,0,0,0,0,5,0
convert,0,0,0,0,0,0,5,0,0,6,0
accord,0,0,0,0,0,0,0,0,0,13,0
inscribe,0,0,0,0,0,0,0,0,0,2,0
gravestone,0,0,0,0,0,0,2,0,0,0,0
reign,0,0,0,0,0,0,35,0,0,7,0
occur,0,0,0,0,0,0,0,0,0,15,0
era,0,0,0,0,0,0,19,0,0,0,0
addition,0,0,0,0,0,0,32,0,0,0,0
merchant,0,0,0,0,0,0,20,0,0,0,0
explorer,0,0,0,0,0,0,1,0,0,0,0
notorious,1,0,0,0,0,0,0,0,0,0,0
plundering,0,0,0,0,0,0,1,0,0,0,0
conquest,0,0,0,0,0,0,3,0,0,0,0
settle,0,0,0,0,0,0,0,0,0,14,0
eastern,25,0,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,50,0
temporarily,0,0,5,0,0,0,0,0,0,0,0
unite,0,0,0,0,0,0,0,0,0,11,0
southern,50,0,0,0,0,0,0,0,0,0,0
part,0,0,0,0,0,0,25,0,0,2,0
alliance,0,0,0,0,0,0,24,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,92,0
crumble,0,0,0,0,0,0,0,0,0,1,0
year,0,0,0,0,0,0,177,0,0,0,0
resistance,0,0,0,0,0,0,16,0,0,0,0
contend,0,0,0,0,0,0,0,0,0,2,0
punish,0,0,0,0,0,0,0,0,0,2,0
opposition,0,0,0,0,0,0,31,0,0,0,0
finally,0,0,17,0,0,0,0,0,0,0,0
defeat,0,0,0,0,0,0,17,0,0,19,0
regent,0,0,0,0,0,0,18,0,0,0,0
usurp,0,0,0,0,0,0,0,0,0,3,0
crown,0,0,0,0,0,0,43,0,0,5,0
kill,0,0,0,0,0,0,0,0,0,6,0
supporter,0,0,0,0,0,0,4,0,0,0,0
incident,0,0,0,0,0,0,4,0,0,0,0
refer,0,0,0,0,0,0,0,0,0,6,0
outrage,0,0,0,0,0,0,2,0,0,1,0
rebel,1,0,0,0,0,0,3,0,0,6,0
declare,0,0,0,0,0,0,0,0,0,15,0
independence,0,0,0,0,0,0,24,0,0,0,0
tear,0,0,0,0,0,0,0,0,0,2,0
asunder,0,0,1,0,0,0,0,0,0,0,0
relation,0,0,0,0,0,0,21,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,64,0
strain,0,0,0,0,0,0,1,0,0,2,0
result,0,0,0,0,0,0,40,0,0,27,0
outright,1,0,0,0,0,0,0,0,0,0,0
warfare,0,0,0,0,0,0,9,0,0,1,0
destroy,0,0,0,0,0,0,0,0,0,7,0
fleet,0,0,0,0,0,0,14,0,0,0,0
blockade,0,0,0,0,0,0,7,0,0,2,0
route,0,0,0,0,0,0,22,0,0,0,0
fourth,4,0,1,0,0,0,13,0,0,0,0
capital,0,0,0,0,0,0,32,0,0,0,0
interrupt,0,0,0,0,0,0,0,0,0,5,0
bankruptcy,0,0,0,0,0,0,3,0,0,0,0
step,0,0,0,0,0,0,6,0,0,2,0
economic,91,0,0,0,0,0,0,0,0,0,0
recovery,0,0,0,0,0,0,10,0,0,0,0
formation,0,0,0,0,0,0,8,0,0,0,0
independent,35,0,0,0,0,0,0,0,0,0,0
national,98,0,0,0,0,0,1,0,0,0,0
bank,0,0,0,0,0,0,16,0,0,1,0
able,12,0,0,0,0,0,0,0,0,0,0
remain,0,0,0,0,0,0,1,0,0,74,0
neutral,14,0,0,0,0,0,0,0,0,0,0
course,0,0,0,0,0,0,21,0,0,0,0
force,0,0,0,0,0,0,35,0,0,58,0
enter,0,0,0,0,0,0,0,0,0,30,0
german,67,0,0,0,0,0,0,0,0,0,0
troop,0,0,0,0,0,0,25,0,0,0,0
invade,0,0,0,0,0,0,0,0,0,10,0
group,0,0,0,0,0,0,64,0,0,0,0
create,0,0,0,0,0,0,0,0,0,26,0
illegal,5,0,0,0,0,0,0,0,0,0,0
newspaper,0,0,0,0,0,0,21,0,0,0,0
spy,0,0,0,0,0,0,0,0,0,1,0
sabotage,0,0,0,0,0,0,3,0,0,1,0
plan,0,0,0,0,0,0,15,0,0,6,0
fine,4,0,0,0,0,0,2,0,0,0,0
round,1,0,1,0,0,0,7,0,0,3,0
hide,0,0,0,0,0,0,0,0,0,2,0
help,0,0,0,0,0,0,10,0,0,13,0
escape,0,0,0,0,0,0,0,0,0,5,0
later,10,0,59,0,0,0,0,0,0,0,0
portion,0,0,0,0,0,0,15,0,0,0,0
mixed,6,0,0,0,0,0,0,0,0,0,0
bag,0,0,0,0,0,0,1,0,0,0,0
term,0,0,0,0,0,0,24,0,0,1,0
progressive,1,0,0,0,0,0,0,0,0,0,0
political,84,0,0,0,0,0,0,0,0,0,0
reform,0,0,0,0,0,0,73,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,28,0
register,0,0,0,0,0,0,2,0,0,2,0
partnership,0,0,0,0,0,0,2,0,0,0,0
sex,0,0,0,0,0,0,4,0,0,0,0
couple,0,0,0,0,0,0,2,0,0,1,0
gender,0,0,0,0,0,0,1,0,0,0,0
marriage,0,0,0,0,0,0,10,0,0,0,0
law,0,0,0,0,0,0,53,0,0,0,0
enact,0,0,0,0,0,0,0,0,0,3,0
election,0,0,0,0,0,0,74,0,0,0,0
centre,7,0,3,0,0,0,45,0,0,2,0
left,9,0,1,0,0,0,1,0,0,0,0
coalition,0,0,0,0,0,0,41,0,0,0,0
take,0,0,0,0,0,0,0,0,0,71,0
female,9,0,0,0,0,0,0,0,0,0,0
prime,41,0,0,0,0,0,2,0,0,0,0
minister,0,0,0,0,0,0,80,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,19,0
massive,3,0,0,0,0,0,0,0,0,0,0
ice,0,0,0,0,0,0,22,0,0,0,0
sheet,0,0,0,0,0,0,5,0,0,0,0
landscape,0,0,0,0,0,0,10,0,0,0,0
dot,0,0,0,0,0,0,0,0,0,3,0
thousand,0,0,0,0,0,0,11,2,0,0,0
rich,13,0,0,0,0,0,0,0,0,0,0
student,0,0,0,0,0,0,13,0,0,0,0
achiever,0,0,0,0,0,0,1,0,0,0,0
architect,0,0,0,0,0,0,9,0,0,0,0
occasion,0,0,0,0,0,0,3,0,0,0,0
stir,0,0,0,0,0,0,0,0,0,1,0
feeling,0,0,0,0,0,0,7,0,0,0,0
nationalist,6,0,0,0,0,0,1,0,0,0,0
pride,0,0,0,0,0,0,5,0,0,0,0
republic,0,0,0,0,0,0,5,0,0,0,0
lead,0,0,0,0,0,0,2,0,0,118,0
president,0,0,0,0,0,0,45,0,0,0,0
member,0,0,0,0,0,0,70,0,0,0,0
nomad,0,0,0,0,0,0,1,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,10,0
ago,0,0,12,0,0,0,0,0,0,0,0
ancestor,0,0,0,0,0,0,8,0,0,0,0
present,8,0,0,0,0,0,1,0,0,4,0
crusade,0,0,0,0,0,0,6,0,0,1,0
bring,0,0,0,0,0,0,0,0,0,51,0
come,0,0,0,0,0,0,0,0,0,61,0
swedish,263,0,0,0,0,0,0,0,0,0,0
turn,0,0,0,0,0,0,10,0,0,17,0
transformation,0,0,0,0,0,0,2,0,0,0,0
largely,0,0,16,0,0,0,0,0,0,0,0
bolster,0,0,0,0,0,0,0,0,0,2,0
effort,0,0,0,0,0,0,20,0,0,0,0
finnish,150,0,0,0,0,0,0,0,0,0,0
reformer,0,0,0,0,0,0,4,0,0,0,0
study,0,0,0,0,0,0,8,0,0,13,0
leader,0,0,0,0,0,0,35,0,0,0,0
accomplishment,0,0,0,0,0,0,4,0,0,0,0
have,0,0,0,0,0,0,1,0,0,14,0
translate,0,0,0,0,0,0,0,0,0,6,0
occupy,0,0,0,0,0,0,0,0,0,21,0
southeastern,9,0,0,0,0,0,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,23,0
completely,0,0,7,0,0,0,0,0,0,0,0
autonomous,10,0,0,0,0,0,0,0,0,0,0
