word,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,0,0,0,6,0,0,0,0
throbbing,1,0,0,0,0,0,0,0,0,0,0
music,1,0,0,0,0,0,602,0,0,0,0
emanate,0,0,0,0,0,0,0,0,0,2,0
brick,0,0,0,0,0,0,1,0,0,0,0
wall,0,0,0,0,0,0,5,0,0,0,0
concert,1,0,0,0,0,0,31,0,0,0,0
hall,0,0,0,0,0,0,12,0,0,0,0
merely,0,0,9,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,0,11,0,0,0,0
ear,0,0,0,0,0,0,9,0,0,0,0
uninterested,1,0,0,0,0,0,0,0,0,0,0
passersby,0,0,0,0,0,0,1,0,0,0,0
young,10,0,0,0,0,0,0,0,0,0,0
enthusiast,0,0,0,0,0,0,1,0,0,0,0
inside,0,1,1,0,0,0,2,0,0,0,0
invigorating,1,0,0,0,0,0,0,0,0,0,0
provocative,2,0,0,0,0,0,0,0,0,0,0
heavy,2,0,0,0,0,0,0,0,0,0,0
metal,0,0,0,0,0,0,21,0,0,0,0
band,0,0,0,0,0,0,19,0,0,0,0
onstage,0,0,1,0,0,0,0,0,0,0,0
blend,0,0,0,0,0,0,1,0,0,5,0
electric,14,0,0,0,0,0,0,0,0,0,0
guitar,0,0,0,0,0,0,19,0,0,0,0
bass,1,0,0,0,0,0,68,0,0,0,0
drum,0,0,0,0,0,0,50,0,0,0,0
electronic,56,0,0,0,0,0,5,0,0,0,0
keyboard,1,0,0,0,0,0,61,0,0,0,0
produce,0,0,0,0,0,0,0,0,0,99,0
unique,10,0,0,0,0,0,0,0,0,0,0
drive,0,0,0,0,0,0,0,0,0,2,0
sound,5,0,0,0,0,0,142,0,0,18,0
metallic,1,0,0,0,0,0,0,0,0,0,0
precision,0,0,0,0,0,0,3,0,0,0,0
tour,0,0,0,0,0,0,0,0,0,3,1
force,0,0,0,0,0,0,13,0,0,2,0
modern,44,0,0,0,0,0,0,0,0,0,0
instrumentation,0,0,0,0,0,0,28,0,0,0,0
ramp,0,0,0,0,0,0,0,0,0,1,0
eardrum,0,0,0,0,0,0,1,0,0,0,0
pierce,0,0,0,0,0,0,0,0,0,1,0
decibel,0,0,0,0,0,0,1,0,0,0,0
vocalist,0,0,0,0,0,0,1,0,0,0,0
shrill,2,0,0,0,0,0,0,0,0,1,0
dark,2,0,0,0,0,0,0,0,0,0,0
lyric,4,0,0,0,0,0,3,0,0,0,0
morose,1,0,0,0,0,0,0,0,0,0,0
message,0,0,0,0,0,0,3,0,0,0,0
romantic,50,0,0,0,0,0,0,0,0,0,0
passion,0,0,0,0,0,0,4,0,0,0,0
mingle,0,0,0,0,0,0,0,0,0,1,0
despair,0,0,0,0,0,0,1,0,0,0,0
city,0,0,0,0,0,0,4,0,0,0,0
moment,0,0,0,0,0,0,4,0,0,0,0
different,65,0,0,0,0,0,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,6,0
similarly,0,0,7,0,0,0,0,0,0,0,0
sobering,1,0,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,0,26,0,0,0,0
listener,0,0,0,0,0,0,19,0,0,0,0
symphony,0,0,0,0,0,0,45,0,0,0,0
orchestra,0,0,0,0,0,0,83,0,0,0,0
set,1,0,0,0,0,0,18,0,0,26,0
audience,0,0,0,0,0,0,17,0,0,0,0
edge,0,0,0,0,0,0,3,0,0,0,0
dramatic,37,0,0,0,0,0,0,0,0,0,0
opening,0,0,0,0,0,0,7,0,0,0,0
chord,0,0,0,0,0,0,55,0,0,0,0
dah,0,0,0,0,0,8,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,0,17,0
secretary,0,0,0,0,0,0,1,0,0,0,0
composer,0,0,0,0,0,0,240,0,0,0,0
intention,0,0,0,0,0,0,1,0,0,0,0
musically,0,0,5,0,0,0,0,0,0,0,0
depict,0,0,0,0,0,0,0,0,0,6,0
fate,0,0,0,0,0,0,1,0,0,0,0
knock,0,0,0,0,0,0,0,0,0,1,0
door,0,0,0,0,0,0,4,0,0,0,0
compose,0,0,0,0,0,0,0,0,0,31,0
minor,38,0,0,0,0,0,1,0,0,0,0
key,6,0,0,0,0,0,70,0,0,1,0
dub,0,0,0,0,0,0,0,0,0,1,0
death,0,0,0,0,0,0,7,0,0,0,0
adapt,0,0,0,0,0,0,0,0,0,3,0
musician,0,0,0,0,0,0,52,0,0,0,0
rock,0,0,0,0,0,0,15,0,0,0,0
disco,0,0,0,0,0,0,1,0,0,0,0
genre,0,0,0,0,0,0,22,0,0,0,0
create,0,0,0,0,0,0,0,0,0,35,0
ominous,1,0,0,0,0,0,0,0,0,0,0
mood,0,0,0,0,0,0,3,0,0,0,0
know,0,0,0,0,0,0,0,0,0,58,0
globe,0,0,0,0,0,0,2,0,0,0,0
perform,0,0,0,0,0,0,0,0,0,66,0
century,1,0,0,0,0,0,371,0,0,0,0
ago,0,0,3,0,0,0,0,0,0,0,0
caption,0,0,0,0,0,0,9,0,0,0,17
award,0,0,0,0,0,0,3,0,0,1,0
ceremony,0,0,0,0,0,0,5,0,0,0,0
researcher,0,0,0,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,1,0,0,39,0
education,0,0,0,0,0,0,6,0,0,0,0
improve,0,0,0,0,0,0,0,0,0,8,0
people,0,0,0,0,0,0,20,0,0,0,0
learning,0,0,0,0,0,0,3,0,0,0,0
mathematic,0,0,0,0,0,0,4,0,0,0,0
half,30,0,0,0,6,0,22,0,0,0,0
world,0,0,0,0,0,0,20,0,0,0,0
away,0,0,4,0,0,0,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,37,0
clap,0,0,0,0,0,0,0,0,0,2,0
dance,0,0,0,0,0,0,44,0,0,3,0
rhythm,0,0,0,0,0,0,63,0,0,0,0
djembe,0,0,0,0,0,0,1,0,0,0,1
konkoni,0,0,0,0,0,0,1,0,0,0,0
tribal,1,0,0,0,0,0,0,0,0,0,0
subject,9,0,0,0,0,0,10,0,0,2,0
sinister,1,0,0,0,0,0,0,0,0,0,0
enliven,0,0,0,0,0,0,0,0,0,3,0
wedding,0,0,0,0,0,0,2,0,0,0,0
celebration,0,0,0,0,0,0,1,0,0,0,0
family,0,0,0,0,0,0,34,0,0,0,0
friend,0,0,0,0,0,0,2,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,3,0
child,0,0,0,0,0,0,6,0,0,0,0
violin,0,0,0,0,0,0,51,0,0,0,0
recital,0,0,0,0,0,0,1,0,0,0,0
render,0,0,0,0,0,0,0,0,0,3,0
increasingly,0,0,14,0,0,0,0,0,0,0,0
complex,16,0,0,0,0,0,0,0,0,0,0
composition,0,0,0,0,0,0,131,0,0,0,0
seemingly,0,0,3,0,0,0,0,0,0,0,0
effortless,1,0,0,0,0,0,0,0,0,0,0
confidence,0,0,0,0,0,0,1,0,0,0,0
finale,0,0,0,0,0,0,7,0,0,0,0
unite,0,0,0,0,0,0,0,0,0,1,0
smile,0,0,0,0,0,0,0,0,0,1,0
sway,0,0,0,0,0,0,0,0,0,2,0
play,0,0,0,0,0,0,2,0,0,100,0
grand,7,0,0,0,0,0,0,0,0,0,0
waltz,0,0,0,0,0,0,4,0,0,0,0
performer,0,0,0,0,0,0,74,0,0,0,0
age,0,0,0,0,0,0,22,0,0,0,0
professional,7,0,0,0,0,0,0,0,0,0,0
