word,ADJ,ADP,ADV,NOUN,NUM,VERB,X
introduction,0,0,0,1,0,0,0
early,6,0,1,0,0,0,0
fourteenth,2,0,0,0,0,0,0
century,0,0,0,26,0,0,0
turkish,17,0,0,0,0,0,0
tribal,1,0,0,0,0,0,0
chieftain,0,0,0,1,0,0,0
name,0,0,0,0,0,2,0
found,0,0,0,0,0,2,0
empire,0,0,0,41,0,0,0
continue,0,0,0,0,0,3,0
year,0,0,0,12,0,0,0
center,0,0,0,2,0,0,0
western,8,0,0,0,0,0,0
come,0,0,0,0,0,9,0
know,0,0,0,0,0,10,0
grow,0,0,0,0,0,7,0
conquer,0,0,0,0,0,12,0
land,0,0,0,6,0,0,0
include,0,0,0,0,0,10,0
height,0,0,0,4,0,0,0
southeastern,4,0,0,0,0,0,0
portion,0,0,0,1,0,0,0
far,0,0,1,0,0,0,0
west,0,0,1,2,0,0,0
large,4,0,0,0,0,0,0
part,0,0,0,6,0,0,0
ancestor,0,0,0,1,0,0,0
band,0,0,0,2,0,0,0
horseman,0,0,0,1,0,0,0
invade,0,0,0,0,0,3,0
eleventh,2,0,0,0,0,0,0
central,10,0,0,0,0,0,0
asian,2,0,0,0,0,0,0
tribe,0,0,0,1,0,0,0
establish,0,0,0,0,0,11,0
small,2,0,0,0,0,0,0
state,0,0,0,17,0,0,0
call,0,0,0,0,0,8,0
sultanate,0,0,0,6,0,0,0
attack,0,0,0,4,0,4,0
recent,1,0,0,0,0,0,0
convert,0,0,0,1,0,2,0
fight,0,0,0,1,0,7,0
christian,6,0,0,0,0,0,0
byzantine,5,0,0,0,0,0,0
occupy,0,0,0,0,0,3,0
warrior,0,0,0,3,0,0,0
defeat,0,0,0,3,0,6,0
emperor,0,0,0,3,0,0,0
take,0,0,0,0,0,10,0
prisoner,0,0,0,2,0,0,0
map,0,0,0,2,0,0,0
show,0,0,0,0,0,5,0
expansion,0,0,0,6,0,0,0
hold,0,0,0,0,0,3,0
capital,0,0,0,6,0,0,0
appeal,0,0,0,0,0,1,0
pope,0,0,0,1,0,0,0
help,0,0,0,2,0,3,0
seven,0,0,0,0,1,0,0
crusade,0,0,0,1,0,0,0
stand,0,0,0,0,0,3,0
ground,0,0,0,1,0,0,0
holy,3,0,0,0,0,0,0
war,0,0,0,8,0,0,0
new,15,0,0,0,0,0,0
assailant,0,0,0,1,0,0,0
leader,0,0,0,4,0,0,0
invasion,0,0,0,2,0,0,0
dynasty,0,0,0,5,0,0,0
carry,0,0,0,0,0,3,0
history,0,0,0,7,0,0,0
characterize,0,0,0,0,0,1,0
rule,0,0,0,9,0,21,0
control,0,0,0,18,0,4,0
spread,0,0,0,0,0,2,0
sixteenth,6,0,0,0,0,0,0
conquest,0,0,0,9,0,0,0
extend,0,0,0,0,0,5,0
domain,0,0,0,3,0,0,0
achieve,0,0,0,0,0,3,0
degree,0,0,0,1,0,0,0
wealth,0,0,0,4,0,0,0
power,0,0,0,20,0,0,0
grandeur,0,0,0,2,0,0,0
unparalleled,2,0,0,0,0,0,0
ottoman,31,0,0,0,0,0,0
custom,0,0,0,1,0,0,0
society,0,0,0,3,0,0,0
islamic,4,0,0,0,0,0,0
merge,0,0,0,0,0,1,0
inherit,0,0,0,0,0,1,0
great,10,0,0,0,0,0,0
reestablish,0,0,0,0,0,1,0
form,0,0,0,2,0,2,0
persist,0,0,0,0,0,1,0
modern,6,0,0,0,0,0,0
time,0,0,0,8,0,0,0
inset,0,0,0,1,0,0,0
circa,0,0,5,0,0,0,0
depiction,0,0,0,2,0,0,0
create,0,0,0,0,0,5,0
italian,4,0,0,0,0,0,0
cartographer,0,0,0,1,0,0,0
date,0,0,0,0,0,2,0
fifteenth,1,0,0,0,0,0,0
city,0,0,0,11,0,0,0
capture,0,0,0,1,0,9,0
change,0,0,0,1,0,0,0
reign,0,0,0,9,0,1,0
bring,0,0,0,0,0,8,0
start,0,0,0,1,0,1,0
slow,1,0,0,0,0,0,0
steady,1,0,0,0,0,0,0
decline,0,0,0,5,0,0,0
follow,0,0,0,0,0,2,0
death,0,0,0,5,0,0,0
military,14,0,0,3,0,0,0
government,0,0,0,8,0,0,0
diminish,0,0,0,0,0,1,0
weaken,0,0,0,0,0,1,0
region,0,0,0,5,0,0,0
begin,0,0,0,0,0,13,0
act,0,0,0,0,0,2,0
independently,0,0,2,0,0,0,0
display,0,0,0,0,0,1,0
minimal,1,0,0,0,0,0,0
loyalty,0,0,0,4,0,0,0
sultan,0,0,0,20,0,0,0
weakness,0,0,0,4,0,0,0
meet,0,0,0,0,0,1,0
assertiveness,0,0,0,1,0,0,0
late,3,0,1,0,0,0,0
seventeenth,2,0,0,0,0,0,0
precede,0,0,0,0,0,1,0
decade,0,0,0,3,0,0,0
conflict,0,0,0,2,0,1,0
european,13,0,0,0,0,0,0
nation,0,0,0,2,0,0,0
lead,0,0,0,0,0,11,0
loss,0,0,0,2,0,0,0
territory,0,0,0,9,0,0,0
wage,0,0,0,0,0,1,0
nineteenth,1,0,0,0,0,0,0
gain,0,0,0,2,0,8,0
survive,0,0,0,0,0,2,0
russo,2,0,0,0,0,0,0
largely,0,0,2,0,0,0,0
aid,0,0,0,4,0,0,0
twentieth,1,0,0,0,0,0,0
brink,0,0,0,1,0,0,0
collapse,0,0,0,1,0,0,0
side,0,0,0,0,0,1,0
fail,0,0,0,0,0,2,0
strategic,1,0,0,0,0,0,0
area,0,0,0,5,0,0,0
sign,0,0,0,0,0,4,0
abolish,0,0,0,0,0,3,0
right,0,0,0,4,0,0,0
boundary,0,0,0,3,0,0,0
end,0,0,0,3,0,1,0
family,0,0,0,2,0,0,0
foothold,0,0,0,1,0,0,0
peninsula,0,0,0,1,0,0,0
today,0,0,0,2,0,0,0
constitute,0,0,0,0,0,1,0
principality,0,0,0,4,0,0,0
northwestern,1,0,0,0,0,0,0
cover,0,0,0,0,0,1,0
peak,0,0,0,4,0,0,0
swath,0,0,0,1,0,0,0
mean,0,0,0,0,0,1,0
son,0,0,0,12,0,0,0
derive,0,0,0,0,0,1,0
arabic,1,0,0,0,0,0,0
successor,0,0,0,8,0,0,0
nomadic,1,0,0,0,0,0,0
emerge,0,0,0,0,0,4,0
home,0,0,0,4,0,0,0
raid,0,0,0,1,0,2,0
fierce,1,0,0,0,0,0,0
group,0,0,0,3,0,0,0
soon,0,0,2,0,0,0,0
twelfth,1,0,0,0,0,0,0
thirteenth,1,0,0,0,0,0,0
eastern,4,0,0,0,0,0,0
remainder,0,0,0,2,0,0,0
independent,2,0,0,0,0,0,0
turkmen,1,0,0,0,0,0,0
strong,4,0,0,0,0,0,0
northwest,0,0,0,2,0,0,0
feature,0,0,0,1,0,2,0
miniature,0,0,0,5,0,0,0
manuscript,0,0,0,2,0,0,0
illustrate,0,0,0,0,0,1,0
initial,1,0,0,0,0,0,0
primarily,0,0,1,0,0,0,0
major,5,0,0,0,0,0,0
muslim,7,0,0,0,0,0,0
rival,0,0,0,1,0,0,0
attract,0,0,0,0,0,4,0
masse,0,0,0,1,0,0,0
nomad,0,0,0,1,0,0,0
unemployed,1,0,0,0,0,0,0
dweller,0,0,0,1,0,0,0
search,0,0,0,0,0,1,0
way,0,0,0,2,0,0,0
earn,0,0,0,0,0,1,0
living,0,0,0,1,0,0,0
seek,0,0,0,0,0,2,0
fulfill,0,0,0,0,0,2,0
religious,4,0,0,0,0,0,0
desire,0,0,0,1,0,0,0
expand,0,0,0,0,0,8,0
key,3,0,0,1,0,0,0
allow,0,0,0,0,0,5,0
holding,0,0,0,1,0,0,0
real,2,0,0,0,0,0,0
army,0,0,0,14,0,0,0
fill,0,0,0,0,0,1,0
mercenary,1,0,0,0,0,0,0
troop,0,0,0,2,0,0,0
party,0,0,0,2,0,0,0
regularly,0,0,1,0,0,0,0
huge,1,0,0,0,0,0,0
quantity,0,0,0,1,0,0,0
treasure,0,0,0,1,0,0,0
strengthen,0,0,0,0,0,1,0
thousand,0,0,0,3,0,0,0
uproot,0,0,0,0,0,1,0
people,0,0,0,5,0,0,0
service,0,0,0,4,0,0,0
move,0,0,0,0,0,3,0
effectively,0,0,1,0,0,0,0
cut,0,0,0,0,0,1,0
outside,1,0,0,0,0,0,0
world,0,0,0,6,0,0,0
principal,1,0,0,0,0,0,0
route,0,0,0,3,0,0,0
give,0,0,0,0,0,3,0
access,0,0,0,4,0,0,0
north,1,0,0,1,0,0,0
critical,2,0,0,0,0,0,0
grain,0,0,0,1,0,0,0
tax,0,0,0,1,0,0,0
revenue,0,0,0,4,0,0,0
try,0,0,0,0,0,1,0
mobilize,0,0,0,0,0,1,0
assistance,0,0,0,1,0,0,0
unite,0,0,0,0,0,1,0
church,0,0,0,2,0,0,0
effort,0,0,0,5,0,0,0
divide,0,0,0,0,0,2,0
assure,0,0,0,0,0,2,0
concrete,1,0,0,0,0,0,0
mosque,0,0,0,5,0,0,0
prominent,1,0,0,0,0,0,0
work,0,0,0,3,0,2,0
incorporate,0,0,0,0,0,1,0
landowner,0,0,0,1,0,0,0
rapidly,0,0,1,0,0,0,0
retain,0,0,0,0,0,2,0
local,6,0,0,0,0,0,0
native,1,0,0,0,0,0,0
ruler,0,0,0,8,0,0,0
return,0,0,0,2,0,0,0
accept,0,0,0,0,0,2,0
pay,0,0,0,0,0,3,0
annual,1,0,0,0,0,0,0
tribute,0,0,0,1,0,0,0
provide,0,0,0,0,0,4,0
soldier,0,0,0,1,0,0,0
require,0,0,0,0,0,1,0
policy,0,0,0,3,0,0,0
keep,0,0,0,0,0,5,0
place,0,0,0,5,0,0,0
enable,0,0,0,0,0,2,0
avoid,0,0,0,0,0,1,0
resistance,0,0,0,1,0,0,0
subject,2,0,0,4,0,0,0
life,0,0,0,4,0,0,0
property,0,0,0,2,0,0,0
tradition,0,0,0,2,0,0,0
position,0,0,0,3,0,0,0
preserve,0,0,0,0,0,1,0
peacefully,0,0,1,0,0,0,0
govern,0,0,0,0,0,3,0
newly,0,0,3,0,0,0,0
build,0,0,0,0,0,9,0
vast,3,0,0,0,0,0,0
administrative,2,0,0,0,0,0,0
system,0,0,0,4,0,0,0
maintain,0,0,0,0,0,1,0
occupation,0,0,0,1,0,0,0
kill,0,0,0,0,0,6,0
consolidate,0,0,0,0,0,4,0
series,0,0,0,1,0,0,0
battle,0,0,0,4,0,0,0
balkan,6,0,0,0,0,0,0
climactic,1,0,0,0,0,0,0
ally,0,0,0,1,0,2,0
succeed,0,0,0,0,0,4,0
force,0,0,0,9,0,2,0
conduct,0,0,0,0,0,2,0
campaign,0,0,0,5,0,0,0
turn,0,0,0,0,0,3,0
attention,0,0,0,4,0,0,0
threat,0,0,0,2,0,0,0
pose,0,0,0,0,0,1,0
annex,0,0,0,0,0,1,0
anatolian,1,0,0,0,0,0,0
success,0,0,0,1,0,0,0
mongolian,1,0,0,0,0,0,0
conqueror,0,0,0,1,0,0,0
powerful,7,0,0,0,0,0,0
encourage,0,0,0,0,0,2,0
prince,0,0,0,2,0,0,0
flee,0,0,0,0,0,2,0
court,0,0,0,5,0,0,0
incursion,0,0,0,1,0,0,0
decide,0,0,0,0,0,1,0
destroy,0,0,0,0,0,2,0
east,0,0,0,3,0,0,0
overwhelm,0,0,0,0,0,1,0
captive,1,0,0,0,0,0,0
die,0,0,0,0,0,1,0
portrait,0,0,0,4,0,0,0
dedicate,0,0,0,0,0,2,0
objective,0,0,0,1,0,0,0
secure,0,0,0,0,0,4,0
leave,0,0,0,0,0,3,0
greatly,0,0,2,0,0,0,0
divided,1,0,0,0,0,0,0
restore,0,0,0,0,0,7,0
support,0,0,0,0,0,1,0
southwestern,1,0,0,0,0,0,0
remain,0,0,0,0,0,4,0
internal,2,0,0,0,0,0,0
division,0,0,0,1,0,0,0
hinder,0,0,0,0,0,1,0
period,0,0,0,5,0,0,0
compete,0,0,0,0,0,1,0
entire,2,0,0,0,0,0,0
throne,0,0,0,3,0,0,0
mark,0,0,0,0,0,3,0
add,0,0,0,0,0,3,0
reunify,0,0,0,0,0,1,0
pursue,0,0,0,0,0,1,0
relative,1,0,0,0,0,0,0
restraint,0,0,0,1,0,0,0
path,0,0,0,1,0,0,0
recovery,0,0,0,1,0,0,0
smell,0,0,0,0,0,1,0
rose,0,0,0,1,0,0,0
task,0,0,0,2,0,0,0
finish,0,0,0,0,0,1,0
seize,0,0,0,0,0,3,0
fall,0,0,0,0,0,2,0
set,0,0,0,0,0,1,0
heartland,0,0,0,1,0,0,0
south,0,0,1,0,0,0,0
southern,1,0,0,0,0,0,0
illustration,0,0,0,1,0,0,0
depict,0,0,0,0,0,1,0
procession,0,0,0,2,0,0,0
janissary,0,0,0,2,0,0,0
