word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,SCONJ,VERB
winter,0,0,0,0,0,18,0,0,1
explorer,0,0,0,0,0,23,0,0,0
lock,0,0,0,0,0,0,0,0,1
race,0,0,0,0,0,1,0,0,0
reach,0,0,0,0,0,0,0,0,21
norwegian,6,0,0,0,0,0,0,0,0
beat,0,0,0,0,0,0,0,0,1
british,2,0,0,0,0,0,0,0,0
month,0,0,0,0,0,16,0,0,0
way,0,0,0,0,0,8,0,0,0
man,0,0,0,0,0,13,0,0,0
trap,0,0,0,0,0,0,0,0,3
blizzard,0,0,0,0,0,2,0,0,0
die,0,0,0,0,0,0,0,0,4
mile,0,0,0,0,0,30,0,0,0
kilometer,0,0,0,0,0,30,0,0,0
away,0,0,2,0,0,0,0,0,0
spot,0,0,0,0,0,1,0,0,0
leave,0,0,0,0,0,0,0,0,7
pile,0,0,0,0,0,1,0,0,1
supply,0,0,0,0,0,1,0,0,0
save,0,0,0,0,0,0,0,0,1
life,0,0,0,0,0,11,0,0,0
journal,0,0,0,0,0,1,0,0,0
entry,0,0,0,0,0,2,0,0,0
pen,0,0,0,0,0,0,0,0,1
shall,0,0,0,1,0,0,0,0,0
stick,0,0,0,0,0,0,0,0,1
end,0,0,0,0,0,8,0,0,2
get,0,0,0,0,0,0,0,0,1
weak,1,0,0,0,0,0,0,0,0
course,0,0,0,0,0,2,0,0,0
far,3,0,10,0,0,0,0,0,0
pity,0,0,0,0,0,1,0,0,0
think,0,0,0,0,0,0,0,0,4
write,0,0,0,0,0,0,0,0,3
ironically,0,0,1,0,0,0,0,0,0
year,0,0,0,0,0,39,0,0,0
later,0,0,10,0,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,3
plane,0,0,0,0,0,3,0,0,0
crash,0,0,0,0,0,1,0,0,1
face,0,0,0,0,0,0,0,0,2
frostbite,0,0,0,0,0,1,0,0,0
cruel,1,0,0,0,0,0,0,0,0
whipping,0,0,0,0,0,1,0,0,0
wind,0,0,0,0,0,4,0,0,0
danger,0,0,0,0,0,3,0,0,0
death,0,0,0,0,0,3,0,0,0
learn,0,0,0,0,0,0,0,0,6
forbidding,2,0,0,0,0,0,0,0,0
region,0,0,0,0,0,29,0,0,0
volume,0,0,0,0,0,2,0,0,0
polar,27,0,0,0,0,0,0,0,0
biome,0,0,0,0,0,9,0,0,0
trouble,0,0,0,0,0,1,0,0,0
put,0,0,0,0,0,0,0,0,1
snowshoe,0,0,0,0,0,1,0,0,0
warm,12,0,0,0,0,0,0,0,3
jacket,0,0,0,0,0,1,0,0,0
major,6,0,0,0,0,0,0,0,0
ecological,1,0,0,0,0,0,0,0,0
community,0,0,0,0,0,1,0,0,0
type,0,0,0,0,0,1,0,0,0
forest,0,0,0,0,0,4,0,0,0
grassland,0,0,0,0,0,1,0,0,0
desert,0,0,0,0,0,3,0,0,0
define,0,0,0,0,0,0,0,0,4
area,0,0,0,0,0,24,0,0,0
extend,0,0,0,0,0,0,0,0,3
geographic,7,0,0,0,0,0,0,0,0
northern,9,0,0,0,0,0,0,0,0
mean,7,0,0,0,0,1,0,0,1
temperature,0,0,0,0,0,22,0,0,0
pole,0,0,0,0,0,21,0,0,0
cover,0,0,0,0,0,1,0,0,8
ice,0,0,0,0,0,68,0,0,0
land,0,0,0,0,0,29,0,0,1
thickness,0,0,0,0,0,2,0,0,0
vary,0,0,0,0,0,0,0,0,1
season,0,0,0,0,0,9,0,0,0
ecotourist,0,0,0,0,0,1,0,0,0
maneuver,0,0,0,0,0,0,0,0,1
iceberg,0,0,0,0,0,9,0,0,0
boat,0,0,0,0,0,2,0,0,0
consider,0,0,0,0,0,0,0,0,2
special,1,0,0,0,0,0,0,0,0
kind,0,0,0,0,0,1,0,0,0
cold,15,0,0,0,0,4,0,0,0
weather,0,0,0,0,0,8,0,0,0
ecosystem,0,0,0,0,0,3,0,0,0
boreal,1,0,0,0,0,0,0,0,0
large,24,0,0,0,0,0,0,0,0
permafrost,0,0,0,0,0,5,0,0,0
permanently,0,0,2,0,0,0,0,0,0
frozen,9,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,5,0,0,0
home,0,0,0,0,0,2,0,0,0
number,0,0,0,0,0,8,0,0,1
native,4,0,0,0,0,0,0,0,0
people,0,0,0,0,0,17,0,0,0
right,0,0,1,0,0,2,0,0,0
traditionally,0,0,3,0,0,0,0,0,0
hunt,0,0,0,0,0,1,0,0,5
fish,0,0,0,0,0,9,0,0,3
continue,0,0,0,0,0,0,0,0,8
herd,0,0,0,0,0,3,0,0,2
reindeer,0,0,0,0,0,12,0,0,0
frigid,4,0,0,0,0,0,0,0,0
part,0,0,0,0,0,5,0,0,0
unlike,0,1,0,0,0,0,0,0,0
explore,0,0,0,0,0,0,0,0,6
continent,0,0,0,0,0,20,0,0,0
percent,0,0,0,0,0,10,0,0,0
see,0,0,0,0,0,0,0,0,8
naked,1,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,1,0,0,0
rest,0,0,0,0,0,4,0,0,2
thick,8,0,0,0,0,0,0,0,0
sheet,0,0,0,0,0,7,0,0,0
point,0,0,0,0,0,6,0,0,0
deep,7,0,1,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,5
world,0,0,0,0,0,26,0,0,0
fresh,3,0,0,0,0,0,0,0,0
water,0,0,0,0,0,26,0,0,0
record,0,0,0,0,0,4,0,0,4
low,3,0,1,0,0,0,0,0,0
coast,0,0,0,0,0,15,0,0,0
extremely,0,0,2,0,0,0,0,0,0
windy,3,0,0,0,0,0,0,0,0
gust,0,0,0,0,0,2,0,0,0
nearly,0,0,7,0,0,0,0,0,0
hour,0,0,0,0,0,8,0,0,0
interior,0,0,0,0,0,5,0,0,0
precipitation,0,0,0,0,0,2,0,0,0
average,6,0,0,0,0,0,0,0,5
inch,0,0,0,0,0,3,0,0,0
centimeter,0,0,0,0,0,3,0,0,0
little,7,0,1,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,2
tiny,1,0,0,0,0,0,0,0,0
creature,0,0,0,0,0,1,0,0,0
mite,0,0,0,0,0,3,0,0,0
ocean,0,0,0,0,0,12,0,0,0
surround,0,0,0,0,0,0,0,0,3
teem,0,0,0,0,0,0,0,0,2
include,0,0,0,0,0,0,0,0,14
krill,0,0,0,0,0,8,0,0,0
feed,0,0,0,0,0,0,0,0,4
whale,0,0,0,0,0,12,0,0,0
seal,0,0,0,0,0,24,0,0,1
penguin,0,0,0,0,0,22,0,0,0
antarctic,30,0,0,0,0,0,0,0,0
cod,0,0,0,0,0,3,0,0,0
blood,0,0,0,0,0,2,0,0,0
let,0,0,0,0,0,0,0,0,2
live,0,0,0,0,0,0,0,0,18
seawater,0,0,0,0,0,2,0,0,0
desire,0,0,0,0,0,1,0,0,0
conquer,0,0,0,0,0,0,0,0,1
understand,0,0,0,0,0,0,0,0,3
new,10,0,0,0,0,0,0,0,0
frontier,0,0,0,0,0,3,0,0,0
summer,0,0,0,0,0,22,0,0,0
nation,0,0,0,0,0,23,0,0,0
send,0,0,0,0,0,0,0,0,3
approximately,0,0,2,0,0,0,0,0,0
thousand,0,0,0,0,0,1,3,0,0
scientist,0,0,0,0,0,20,0,0,0
