word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,VERB,X
introduction,0,0,0,0,0,1,0,0,0
virtually,0,0,6,0,0,0,0,0,0
galaxy,0,0,0,0,0,421,0,0,0
appear,0,0,0,0,0,0,0,17,0
form,0,0,0,0,0,15,0,42,0
soon,0,0,3,0,0,0,0,0,0
universe,0,0,0,0,0,46,0,0,0
begin,0,0,0,0,0,0,0,11,0
approximately,0,0,16,0,0,0,0,0,0
billion,0,0,0,0,0,2,19,0,0
year,0,0,0,0,0,116,0,0,0
ago,0,0,6,0,0,0,0,0,0
measurement,0,0,0,0,0,16,0,0,0
tend,0,0,0,0,0,0,0,15,0
suggest,0,0,0,0,0,0,0,13,0
nearly,0,0,24,0,0,0,0,0,0
age,0,0,0,0,0,20,0,0,1
consist,0,0,0,0,0,0,0,16,0
star,0,0,0,0,0,232,0,0,0
interstellar,38,0,0,0,0,0,0,0,0
matter,0,0,0,0,0,34,0,0,0
cloud,0,0,0,0,0,44,0,0,0
gas,0,0,0,0,0,88,0,0,0
particle,0,0,0,0,0,13,0,0,0
dust,0,0,0,0,0,64,0,0,0
space,0,0,0,0,0,20,0,1,0
small,65,0,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,30,0
million,0,0,0,0,0,4,30,0,0
large,82,0,0,0,0,0,0,0,0
trillion,0,0,0,0,0,4,4,0,0
find,0,0,0,0,0,1,0,51,0
sky,0,0,0,0,0,15,0,0,0
depth,0,0,0,0,0,3,0,0,0
farth,4,0,0,0,0,0,0,0,0
reach,0,0,0,0,0,2,0,3,0
penetrate,0,0,0,0,0,0,0,4,0
powerful,10,0,0,0,0,0,0,0,0
modern,7,0,0,0,0,0,0,0,0
telescope,0,0,0,0,0,22,0,0,0
solar,17,0,0,0,0,0,0,0,0
system,0,0,0,0,0,77,0,0,0
include,0,0,0,0,0,0,0,33,0
spiral,84,0,0,0,0,29,0,2,0
take,0,0,0,0,0,0,0,18,0
irregular,22,0,0,0,0,8,0,0,0
luminous,23,0,0,0,0,0,0,0,0
band,0,0,0,0,0,4,0,0,0
stretch,0,0,0,0,0,0,0,3,0
see,0,0,0,0,0,0,0,22,0
belong,0,0,0,0,0,0,0,7,0
example,0,0,0,0,0,19,0,0,0
shape,0,0,0,0,0,22,0,3,0
like,2,24,0,0,0,0,0,0,0
pinwheel,0,0,0,0,0,2,0,0,0
immense,13,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,63,0,0,0
locate,0,0,0,0,0,0,0,9,0
inner,7,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,8,0,1,0
light,40,0,0,0,0,70,0,0,0
nucleus,0,0,0,0,0,61,0,0,0
centre,0,0,0,0,0,56,0,4,0
disk,0,0,0,0,0,41,0,0,0
diameter,0,0,0,0,0,21,0,0,0
roughly,0,0,6,0,0,0,0,0,0
orbit,0,0,0,0,0,14,0,12,0
