word,ADJ,ADP,ADV,AUX,NOUN,NUM,PRON,SCONJ,VERB,X
establish,0,0,0,0,0,0,0,0,7,0
domination,0,0,0,0,3,0,0,0,0,0
conquer,0,0,0,0,0,0,0,0,8,0
land,0,0,0,0,9,0,0,0,1,0
far,0,0,9,0,0,0,0,0,0,0
away,0,0,2,0,0,0,0,0,0,0
conquest,0,0,0,0,7,0,0,0,0,0
culture,0,0,0,0,9,0,0,0,0,0
wide,1,0,1,0,0,0,0,0,0,0
process,0,0,0,0,1,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,2,0
death,0,0,0,0,4,0,0,0,0,0
era,0,0,0,0,4,0,0,0,0,0
know,0,0,0,0,0,0,0,0,30,0
time,0,0,0,0,22,0,0,0,0,0
fine,5,0,0,0,0,0,0,0,0,0
sophisticated,1,0,0,0,0,0,0,0,0,0
regain,0,0,0,0,0,0,0,0,2,0
plentiful,1,0,0,0,0,0,0,0,0,0
gift,0,0,0,0,1,0,0,0,0,0
democracy,0,0,0,0,10,0,0,0,0,0
geometry,0,0,0,0,3,0,0,0,0,0
drama,0,0,0,0,6,0,0,0,0,0
lyric,2,0,0,0,2,0,0,0,0,0
poetry,0,0,0,0,4,0,0,0,0,0
creative,2,0,0,0,0,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,10,0
way,0,0,0,0,6,0,0,0,0,0
thinking,0,0,0,0,1,0,0,0,0,0
shape,0,0,0,0,0,0,0,0,2,0
today,0,0,0,0,10,0,0,0,0,0
american,1,0,0,0,0,0,0,0,0,0
writer,0,0,0,0,9,0,0,0,0,0
short,2,0,2,0,0,0,0,0,0,0
confine,0,0,0,0,0,0,0,0,1,0
small,7,0,0,0,0,0,0,0,0,0
geographic,1,0,0,0,0,0,0,0,0,0
area,0,0,0,0,3,0,0,0,0,0
growth,0,0,0,0,3,0,0,0,0,0
proportion,0,0,0,0,5,0,0,0,0,0
size,0,0,0,0,3,0,0,0,0,0
duration,0,0,0,0,1,0,0,0,0,0
praise,0,0,0,0,1,0,0,0,1,0
primarily,0,0,1,0,0,0,0,0,0,0
strictly,0,0,1,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,3,0
heart,0,0,0,0,1,0,0,0,0,0
english,1,0,0,0,0,0,0,0,0,0
poet,0,0,0,0,10,0,0,0,0,0
eye,0,0,0,0,1,0,0,0,1,0
mother,0,0,0,0,2,0,0,0,0,0
eloquence,0,0,0,0,1,0,0,0,0,0
flourish,0,0,0,0,0,0,0,0,7,0
attract,0,0,0,0,0,0,0,0,1,0
want,0,0,0,0,0,0,0,0,2,0
work,0,0,0,0,24,0,0,0,4,0
think,0,0,0,0,0,0,0,0,2,0
environment,0,0,0,0,1,0,0,0,0,0
freedom,0,0,0,0,5,0,0,0,0,0
rarefied,1,0,0,0,0,0,0,0,0,0
atmosphere,0,0,0,0,1,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,6,0
idea,0,0,0,0,8,0,0,0,0,0
human,10,0,0,0,0,0,0,0,0,0
nature,0,0,0,0,4,0,0,0,0,0
society,0,0,0,0,3,0,0,0,0,0
fundamental,1,0,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,7,0
rocky,1,0,0,0,0,0,0,0,0,0
mountainous,1,0,0,0,0,0,0,0,0,0
southern,5,0,0,0,0,0,0,0,0,0
unit,0,0,0,0,3,0,0,0,0,0
vie,0,0,0,0,0,0,0,0,2,0
wealth,0,0,0,0,7,0,0,0,0,0
plant,0,0,0,0,0,0,0,0,2,0
northern,2,0,0,0,0,0,0,0,0,0
chief,1,0,0,0,0,0,0,0,0,0
prominent,1,0,0,0,0,0,0,0,0,0
building,0,0,0,0,8,0,0,0,0,0
site,0,0,0,0,3,0,0,0,0,0
aegean,6,0,0,0,0,0,0,0,0,0
name,0,0,0,0,2,0,0,0,4,0
border,0,0,0,0,0,0,0,0,1,0
begin,0,0,0,0,0,0,0,0,14,0
origin,0,0,0,0,2,0,0,0,0,0
unknown,1,0,0,0,0,0,0,0,0,0
dominate,0,0,0,0,0,0,0,0,2,0
region,0,0,0,0,3,0,0,0,0,0
prosperity,0,0,0,0,2,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,3,0
seafaring,0,0,0,0,1,0,0,0,0,0
trade,0,0,0,0,3,0,0,0,0,0
especially,0,0,3,0,0,0,0,0,0,0
fresco,0,0,0,0,1,0,0,0,0,0
depict,0,0,0,0,0,0,0,0,2,0
man,0,0,0,0,14,0,0,0,0,0
leap,0,0,0,0,0,0,0,0,1,0
bull,0,0,0,0,1,0,0,0,0,0
adorn,0,0,0,0,0,0,0,0,2,0
wall,0,0,0,0,4,0,0,0,0,0
legendary,4,0,0,0,0,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,2,0
mythology,0,0,0,0,1,0,0,0,0,0
son,0,0,0,0,4,0,0,0,0,0
god,0,0,0,0,10,0,0,0,0,0
phoenician,1,0,0,0,0,0,0,0,0,0
princess,0,0,0,0,1,0,0,0,0,0
capital,0,0,0,0,6,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,3,0
acre,0,0,0,0,1,0,0,0,0,0
hectare,0,0,0,0,1,0,0,0,0,0
ruin,0,0,0,0,3,0,0,0,0,0
evidence,0,0,0,0,1,0,0,0,0,0
paved,1,0,0,0,0,0,0,0,0,0
street,0,0,0,0,4,0,0,0,0,0
piped,1,0,0,0,0,0,0,0,0,0
water,0,0,0,0,1,0,0,0,0,0
protect,0,0,0,0,0,0,0,0,1,0
navy,0,0,0,0,1,0,0,0,0,0
notable,1,0,0,0,0,0,0,0,0,0
use,0,0,0,0,4,0,0,0,0,0
writing,0,0,0,0,6,0,0,0,0,0
pottery,0,0,0,0,2,0,0,0,0,0
invade,0,0,0,0,0,0,0,0,2,0
north,0,0,0,0,3,0,0,0,0,0
important,4,0,0,0,0,0,0,0,0,0
engage,0,0,0,0,0,0,0,0,3,0
agriculture,0,0,0,0,2,0,0,0,0,0
industry,0,0,0,0,1,0,0,0,0,0
commerce,0,0,0,0,3,0,0,0,0,0
route,0,0,0,0,1,0,0,0,0,0
extend,0,0,0,0,0,0,0,0,1,0
heavily,0,0,1,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,0,8,0
massive,1,0,0,0,0,0,0,0,0,0
walled,1,0,0,0,0,0,0,0,0,0
goldwork,0,0,0,0,1,0,0,0,0,0
vase,0,0,0,0,5,0,0,0,0,0
adapt,0,0,0,0,0,0,0,0,1,0
create,0,0,0,0,0,0,0,0,6,0
language,0,0,0,0,4,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,4,0
form,0,0,0,0,10,0,0,0,2,0
myth,0,0,0,0,2,0,0,0,0,0
legend,0,0,0,0,5,0,0,0,0,0
oral,1,0,0,0,0,0,0,0,0,0
transmission,0,0,0,0,1,0,0,0,0,0
stage,0,0,0,0,5,0,0,0,1,0
gold,0,0,0,0,3,0,0,0,0,0
funeral,0,0,0,0,1,0,0,0,0,0
mask,0,0,0,0,1,0,0,0,0,0
heroic,3,0,0,0,0,0,0,0,0,0
nearby,1,0,0,0,0,0,0,0,0,0
display,0,0,0,0,0,0,0,0,1,0
conflict,0,0,0,0,2,0,0,0,0,0
battle,0,0,0,0,15,0,0,0,0,0
take,0,0,0,0,0,0,0,0,4,0
stir,0,0,0,0,0,0,0,0,1,0
imagination,0,0,0,0,1,0,0,0,0,0
event,0,0,0,0,8,0,0,0,0,0
celebrate,0,0,0,0,0,0,0,0,3,0
truth,0,0,0,0,5,0,0,0,0,0
story,0,0,0,0,6,0,0,0,0,0
base,0,0,0,0,3,0,0,0,3,0
struggle,0,0,0,0,4,0,0,0,0,0
control,0,0,0,0,3,0,0,0,0,0
strait,0,0,0,0,2,0,0,0,0,0
procession,0,0,0,0,1,0,0,0,0,0
traditional,2,0,0,0,0,0,0,0,0,0
account,0,0,0,0,3,0,0,0,0,0
trojan,1,0,0,0,0,0,0,0,0,0
run,0,0,0,0,0,0,0,0,2,0
wife,0,0,0,0,3,0,0,0,0,0
brother,0,0,0,0,3,0,0,0,0,0
expedition,0,0,0,0,3,0,0,0,0,0
ensue,0,0,0,0,0,0,0,0,1,0
finally,0,0,3,0,0,0,0,0,0,0
pretend,0,0,0,0,0,0,0,0,1,0
withdraw,0,0,0,0,0,0,0,0,1,0
large,10,0,0,0,0,0,0,0,0,0
wooden,1,0,0,0,0,0,0,0,0,0
horse,0,0,0,0,2,0,0,0,0,0
raiding,0,0,0,0,1,0,0,0,0,0
party,0,0,0,0,2,0,0,0,0,0
conceal,0,0,0,0,0,0,0,0,1,0
inside,0,1,1,0,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,1,0
open,2,0,0,0,0,0,0,0,2,0
gate,0,0,0,0,1,0,0,0,0,0
comrade,0,0,0,0,2,0,0,0,0,0
sack,0,0,0,0,0,0,0,0,1,0
massacre,0,0,0,0,0,0,0,0,1,0
carry,0,0,0,0,0,0,0,0,5,0
woman,0,0,0,0,6,0,0,0,0,0
certain,5,0,0,0,0,0,0,0,0,0
closely,0,0,1,0,0,0,0,0,0,0
reflect,0,0,0,0,0,0,0,0,2,0
actual,1,0,0,0,0,0,0,0,0,0
historical,2,0,0,0,0,0,0,0,0,0
overrun,0,0,0,0,0,0,0,0,2,0
invasion,0,0,0,0,5,0,0,0,0,0
tribe,0,0,0,0,2,0,0,0,0,0
dorian,1,0,0,0,0,0,0,0,0,0
sweep,0,0,0,0,0,0,0,0,1,0
decline,0,0,0,0,0,0,0,0,1,0
plunge,0,0,0,0,0,0,0,0,1,0
chaotic,1,0,0,0,0,0,0,0,0,0
movement,0,0,0,0,1,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,3,0
divide,0,0,0,0,0,0,0,0,2,0
nation,0,0,0,0,2,0,0,0,0,0
term,0,0,0,0,3,0,0,0,0,0
modern,4,0,0,0,0,0,0,0,0,0
coin,0,0,0,0,0,0,0,0,2,0
probably,0,0,5,0,0,0,0,0,0,0
historian,0,0,0,0,6,0,0,0,0,0
book,0,0,0,0,5,0,0,0,0,0
polis,0,0,0,0,1,0,0,0,0,2
mean,0,0,0,0,1,0,0,0,4,0
sovereignty,0,0,0,0,2,0,0,0,0,0
politic,0,0,0,0,5,0,0,0,0,0
derive,0,0,0,0,0,0,0,0,2,0
write,0,0,0,0,0,0,0,0,16,0
entitle,0,0,0,0,0,0,0,0,2,0
entirely,0,0,1,0,0,0,0,0,0,0
governing,0,0,0,0,1,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,1,0
type,0,0,0,0,5,0,0,0,0,0
self,0,0,0,0,4,0,0,0,0,0
govern,0,0,0,0,0,0,0,0,1,0
village,0,0,0,0,2,0,0,0,0,0
moderate,1,0,0,0,0,0,0,0,0,0
strongly,0,0,1,0,0,0,0,0,0,0
course,0,0,0,0,2,0,0,0,0,0
development,0,0,0,0,1,0,0,0,0,0
country,0,0,0,0,4,0,0,0,0,0
mountain,0,0,0,0,2,0,0,0,0,0
valley,0,0,0,0,2,0,0,0,0,0
communication,0,0,0,0,1,0,0,0,0,0
difficult,3,0,0,0,0,0,0,0,0,0
ideal,2,0,0,0,3,0,0,0,0,0
locale,0,0,0,0,1,0,0,0,0,0
completely,0,0,2,0,0,0,0,0,0,0
geographically,0,0,1,0,0,0,0,0,0,0
separate,1,0,0,0,0,0,0,0,3,0
community,0,0,0,0,1,0,0,0,0,0
single,3,0,0,0,0,0,0,0,0,0
plain,0,0,0,0,8,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,4,0
surround,0,0,0,0,0,0,0,0,2,0
acropolis,0,0,0,0,1,0,0,0,0,0
hilltop,0,0,0,0,1,0,0,0,0,0
fortress,0,0,0,0,1,0,0,0,0,0
flattopped,1,0,0,0,0,0,0,0,0,0
inaccessible,1,0,0,0,0,0,0,0,0,0
rock,0,0,0,0,3,0,0,0,0,0
mound,0,0,0,0,2,0,0,0,0,0
characteristic,2,0,0,0,1,0,0,0,0,0
refuge,0,0,0,0,1,0,0,0,0,0
corinthian,2,0,0,0,0,0,0,0,0,0
isthmus,0,0,0,0,1,0,0,0,0,0
rise,0,0,0,0,1,0,0,0,3,0
lofty,1,0,0,0,0,0,0,0,0,0
loftier,0,0,1,0,0,0,0,0,0,0
house,0,0,0,0,6,0,0,0,0,0
cluster,0,0,0,0,0,0,0,0,2,0
natural,1,0,0,0,0,0,0,0,0,0
barrier,0,0,0,0,1,0,0,0,0,0
local,1,0,0,0,0,0,0,0,0,0
conceive,0,0,0,0,0,0,0,0,1,0
embark,0,0,0,0,0,0,0,0,1,0
career,0,0,0,0,2,0,0,0,0,0
attempt,0,0,0,0,0,0,0,0,2,0
mistress,0,0,0,0,1,0,0,0,0,0
rest,0,0,0,0,7,0,0,0,2,0
unity,0,0,0,0,1,0,0,0,0,0
common,4,0,0,0,0,0,0,0,0,0
religion,0,0,0,0,1,0,0,0,0,0
literature,0,0,0,0,7,0,0,0,0,0
similar,3,0,0,0,0,0,0,0,0,0
custom,0,0,0,0,3,0,0,0,0,0
religious,4,0,0,0,0,0,0,0,0,0
league,0,0,0,0,1,0,0,0,0,0
festival,0,0,0,0,7,0,0,0,0,0
foreign,2,0,0,0,0,0,0,0,0,0
induce,0,0,0,0,0,0,0,0,1,0
act,0,0,0,0,1,0,0,0,3,0
consider,0,0,0,0,0,0,0,0,4,0
winner,0,0,0,0,2,0,0,0,0,0
record,0,0,0,0,0,0,0,0,5,0
popularity,0,0,0,0,1,0,0,0,0,0
game,0,0,0,0,10,0,0,0,0,0
period,0,0,0,0,13,0,0,0,0,0
means,0,0,0,0,1,0,0,0,0,0
wooded,1,0,0,0,0,0,0,0,0,0
renowne,0,0,0,0,0,0,0,0,2,0
spiritual,1,0,0,0,0,0,0,0,0,0
gathering,0,0,0,0,1,0,0,0,0,0
dedicate,0,0,0,0,0,0,0,0,1,0
credit,0,0,0,0,0,0,0,0,2,0
start,0,0,0,0,3,0,0,0,3,0
poem,0,0,0,0,7,0,0,0,0,0
order,0,0,0,0,6,0,0,0,2,0
victory,0,0,0,0,6,0,0,0,0,0
date,0,0,0,0,1,0,0,0,2,0
olympic,3,0,0,0,0,0,0,0,0,0
runner,0,0,0,0,1,0,0,0,0,0
stade,0,0,0,0,2,0,0,0,0,0
footrace,0,0,0,0,1,0,0,0,0,0
yard,0,0,0,0,1,0,0,0,0,0
meter,0,0,0,0,1,0,0,0,0,0
eventually,0,0,1,0,0,0,0,0,0,0
race,0,0,0,0,1,0,0,0,0,0
twice,0,0,1,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0,2,0
racing,0,0,0,0,2,0,0,0,0,0
wrestling,0,0,0,0,2,0,0,0,0,0
pentathlon,0,0,0,0,1,0,0,0,0,0
jump,0,0,0,0,0,0,0,0,1,0
throw,0,0,0,0,0,0,0,0,2,0
discus,0,0,0,0,1,0,0,0,0,0
javelin,0,0,0,0,1,0,0,0,0,0
boxing,0,0,0,0,1,0,0,0,0,0
chariot,0,0,0,0,1,0,0,0,0,0
crown,0,0,0,0,0,0,0,0,2,0
wreath,0,0,0,0,1,0,0,0,0,0
wild,1,0,0,0,0,0,0,0,0,0
olive,2,0,0,0,1,0,0,0,0,0
branch,0,0,0,0,1,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,4,0
priestess,0,0,0,0,1,0,0,0,0,0
watch,0,0,0,0,0,0,0,0,1,0
competition,0,0,0,0,1,0,0,0,0,0
sporting,1,0,0,0,0,0,0,0,0,0
athlete,0,0,0,0,2,0,0,0,0,0
original,1,0,0,0,0,0,0,0,0,0
stadium,0,0,0,0,1,0,0,0,0,0
seat,0,0,0,0,1,0,0,0,1,0
spectator,0,0,0,0,2,0,0,0,0,0
popular,3,0,0,0,0,0,0,0,0,0
ekecheiria,0,0,0,0,0,0,0,0,0,1
truce,0,0,0,0,2,0,0,0,0,0
announce,0,0,0,0,0,0,0,0,1,0
require,0,0,0,0,0,0,0,0,1,0
warfare,0,0,0,0,1,0,0,0,0,0
cease,0,0,0,0,0,0,0,0,1,0
safe,1,0,0,0,0,0,0,0,0,0
passage,0,0,0,0,1,0,0,0,0,0
roman,2,0,0,0,0,0,0,0,0,0
pagan,1,0,0,0,0,0,0,0,0,0
abolish,0,0,0,0,0,0,0,0,1,0
case,0,0,0,0,3,0,0,0,0,0
push,0,0,0,0,0,0,0,0,2,0
holding,0,0,0,0,1,0,0,0,0,0
narrow,4,0,0,0,0,0,0,0,0,0
limit,0,0,0,0,2,0,0,0,0,0
attic,2,0,0,0,0,0,0,0,0,0
villager,0,0,0,0,1,0,0,0,0,0
athenian,17,0,0,0,0,0,0,0,0,0
citizen,0,0,0,0,9,0,0,0,0,0
fertile,1,0,0,0,0,0,0,0,0,0
people,0,0,0,0,9,0,0,0,0,0
subject,1,0,0,0,3,0,0,0,0,0
find,0,0,0,0,0,0,0,0,4,0
fling,0,0,0,0,0,0,0,0,1,0
outpost,0,0,0,0,1,0,0,0,0,0
mine,0,0,0,0,3,0,0,0,0,0
colonist,0,0,0,0,1,0,0,0,0,0
inhabit,0,0,0,0,0,0,0,0,1,0
home,0,0,2,0,4,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,1,0
near,0,3,1,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,2,0
circle,0,0,0,0,1,0,0,0,0,0
encircle,0,0,0,0,0,0,0,0,1,0
sacred,2,0,0,0,0,0,0,0,0,0
theater,0,0,0,0,3,0,0,0,0,0
shore,0,0,0,0,4,0,0,0,0,0
fringe,0,0,0,0,0,0,0,0,1,0
past,1,1,0,0,1,0,0,0,0,0
town,0,0,0,0,3,0,0,0,0,0
trading,0,0,0,0,1,0,0,0,0,0
post,0,0,0,0,1,0,0,0,0,0
colonize,0,0,0,0,0,0,0,0,1,0
come,0,0,0,0,0,0,0,0,8,0
press,0,0,0,0,0,0,0,0,2,0
found,0,0,0,0,0,0,0,0,2,0
notably,0,0,1,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,2,0
disappear,0,0,0,0,0,0,0,0,3,0
monarchy,0,0,0,0,1,0,0,0,0,0
give,0,0,0,0,0,0,0,0,8,0
oligarchy,0,0,0,0,1,0,0,0,0,0
oligarchic,1,0,0,0,0,0,0,0,0,0
successor,0,0,0,0,1,0,0,0,0,0
wealthy,3,0,0,0,0,0,0,0,0,0
landowne,0,0,0,0,0,0,0,0,1,0
noble,0,0,0,0,4,0,0,0,0,0
eupatridae,0,0,0,0,1,0,0,0,0,1
wellborn,1,0,0,0,0,0,0,0,0,0
rivalry,0,0,0,0,1,0,0,0,0,0
discontent,0,0,0,0,2,0,0,0,0,0
oppressed,2,0,0,0,0,0,0,0,0,0
masse,0,0,0,0,1,0,0,0,0,0
soon,0,0,4,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,3,0
tyranny,0,0,0,0,1,0,0,0,0,0
eupatrid,0,0,0,0,0,0,0,0,0,1
seize,0,0,0,0,0,0,0,0,3,0
absolute,1,0,0,0,0,0,0,0,0,0
usually,0,0,3,0,0,0,0,0,0,0
promise,0,0,0,0,0,0,0,0,1,0
right,1,0,0,0,1,0,0,0,1,0
wrong,1,0,0,0,1,0,0,0,0,0
inflict,0,0,0,0,0,0,0,0,1,0
landholding,0,0,0,0,1,0,0,0,0,0
tyrant,0,0,0,0,5,0,0,0,0,0
reproach,0,0,0,0,1,0,0,0,0,0
merely,0,0,1,0,0,0,0,0,0,0
kingly,1,0,0,0,0,0,0,0,0,0
qualification,0,0,0,0,1,0,0,0,0,0
royal,1,0,0,0,0,0,0,0,0,0
descent,0,0,0,0,1,0,0,0,0,0
stepping,0,0,0,0,1,0,0,0,0,0
stone,0,0,0,0,3,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,1,0
beginning,0,0,0,0,4,0,0,0,0,0
go,0,0,0,0,0,0,0,0,5,0
official,1,0,0,0,1,0,0,0,0,0
archon,0,0,0,0,1,0,0,0,0,0
elect,0,0,0,0,0,0,0,0,3,0
aristocratic,2,0,0,0,0,0,0,0,0,0
statesman,0,0,0,0,6,0,0,0,0,0
explain,0,0,0,0,0,0,0,0,1,0
law,0,0,0,0,6,0,0,0,0,0
step,0,0,0,0,1,0,0,0,0,0
direction,0,0,0,0,2,0,0,0,0,0
compile,0,0,0,0,0,0,0,0,1,0
reform,0,0,0,0,4,0,0,0,0,0
force,0,0,0,0,6,0,0,0,2,0
peasant,0,0,0,0,2,0,0,0,0,0
relieve,0,0,0,0,0,0,0,0,1,0
oppression,0,0,0,0,1,0,0,0,0,0
new,4,0,0,0,0,0,0,0,0,0
code,0,0,0,0,2,0,0,0,0,0
severe,1,0,0,0,0,0,0,0,0,0
adjective,0,0,0,0,1,0,0,0,0,0
draconic,1,0,0,0,0,0,0,0,0,0
compiler,0,0,0,0,1,0,0,0,0,0
synonym,0,0,0,0,1,0,0,0,0,0
harsh,1,0,0,0,0,0,0,0,0,0
unfortunately,0,0,2,0,0,0,0,0,0,0
sufficient,1,0,0,0,0,0,0,0,0,0
relief,0,0,0,0,1,0,0,0,0,0
revolution,0,0,0,0,1,0,0,0,0,0
avert,0,0,0,0,0,0,0,0,1,0
wise,3,0,0,0,0,0,0,0,0,0
generation,0,0,0,0,3,0,0,0,0,0
delay,0,0,0,0,0,0,0,0,1,0
overthrow,0,0,0,0,1,0,0,0,0,0
aristocracy,0,0,0,0,1,0,0,0,0,0
support,0,0,0,0,1,0,0,0,1,0
