word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,VERB,X
binary,6,0,2,0,0,0,1,0,0,0
code,0,0,0,0,0,0,53,0,13,0
world,0,0,0,0,0,0,10,0,0,0
secret,32,0,0,0,0,0,7,0,0,0
message,0,0,0,0,0,0,82,0,0,0
breaker,0,0,0,0,0,0,5,0,0,0
like,4,6,0,0,0,0,0,0,0,0
high,11,0,0,0,0,0,0,0,0,0
tech,0,0,0,0,0,0,1,0,0,0
espionage,0,0,0,0,0,0,1,0,0,0
thriller,0,0,0,0,0,0,1,0,0,0
fascination,0,0,0,0,0,0,1,0,0,0
cryptology,0,0,0,0,0,0,44,0,0,0
method,0,0,0,0,0,0,23,0,0,0
novel,1,0,0,0,0,0,1,0,0,0
inspire,0,0,0,0,0,0,0,0,1,0
real,3,0,0,0,0,0,0,0,0,0
practice,0,0,0,0,0,0,6,0,0,0
time,0,0,0,0,0,0,27,0,0,0
help,0,0,0,0,0,0,2,0,5,0
change,0,0,0,0,0,0,4,0,13,0
history,0,0,0,0,0,0,21,0,0,0
continue,0,0,0,0,0,0,0,0,11,0
adapt,0,0,0,0,0,0,0,0,2,0
cutting,1,0,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,1,0,0,0
technology,0,0,0,0,0,0,6,0,0,0
science,0,0,0,0,0,0,8,0,0,0
extent,0,0,0,0,0,0,3,0,0,0
art,0,0,0,0,0,0,6,0,0,0
root,0,0,0,0,0,0,3,0,0,0
ancient,4,0,0,0,0,0,1,0,0,0
book,0,0,0,0,0,0,17,0,0,0
let,0,0,0,0,0,0,0,0,1,0
cryptography,0,0,0,0,0,0,62,0,0,0
breaking,0,0,0,0,0,0,2,0,0,0
include,0,0,0,0,0,0,0,0,13,0
colourful,2,0,0,0,0,0,0,0,0,0
extremely,0,0,2,0,0,0,0,0,0,0
intricate,1,0,0,0,0,0,0,0,0,0
structure,0,0,0,0,0,0,9,0,1,0
cryptographic,13,0,0,0,0,0,0,0,0,0
system,0,0,0,0,0,0,79,0,0,0
level,0,0,0,0,0,0,9,0,0,0
puzzle,0,0,0,0,0,0,1,0,0,0
solving,0,0,0,0,0,0,1,0,0,0
require,0,0,0,0,0,0,0,0,14,0
break,0,0,0,0,0,0,0,0,13,0
process,0,0,0,0,0,0,11,0,4,0
side,0,0,0,0,0,0,2,0,0,0
cat,0,0,0,0,0,0,2,0,0,0
mouse,0,0,0,0,0,0,3,0,0,0
game,0,0,0,0,0,0,7,0,0,0
try,0,0,0,0,0,0,0,0,9,0
devise,0,0,0,0,0,0,0,0,19,0
impenetrable,1,0,0,0,0,0,0,0,0,0
crack,0,0,0,0,0,0,0,0,6,0
give,0,0,0,0,0,0,0,0,17,0
long,8,0,6,0,0,0,0,0,0,0
appropriate,2,0,0,0,0,0,0,0,0,0
word,0,0,0,0,0,0,30,0,0,0
come,0,0,0,0,0,0,0,0,9,0
literally,0,0,2,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,6,0,6,0
hidden,1,0,0,0,0,0,0,0,0,0
writing,0,0,0,0,0,0,2,0,0,0
conceal,0,0,0,0,0,0,0,0,13,0
plain,2,0,0,0,0,0,0,0,0,0
sight,0,0,0,0,0,0,1,0,0,0
cryptanalysis,0,0,0,0,0,0,37,0,0,0
represent,0,0,0,0,0,0,0,0,6,0
decipher,0,0,0,0,0,0,0,0,7,0
forge,0,0,0,0,0,0,0,0,3,0
write,0,0,0,0,0,0,0,0,14,0
broad,1,0,0,0,0,0,0,0,0,0
description,0,0,0,0,0,0,3,0,0,0
overall,3,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,8,0,0,0
encompass,0,0,0,0,0,0,0,0,3,0
talk,0,0,0,0,0,0,1,0,0,0
evoke,0,0,0,0,0,0,0,0,1,0
