word,ADJ,ADP,ADV,CCONJ,NOUN,VERB,X
hard,1,0,0,0,0,0,0
imagine,0,0,0,0,0,1,0
world,0,0,0,0,3,0,0
light,31,0,0,0,210,0,0
grant,0,0,0,0,0,1,0
complex,2,0,0,0,0,0,0
intriguing,2,0,0,0,0,0,0
form,0,0,0,0,10,12,0
energy,0,0,0,0,50,0,0
volume,0,0,0,0,3,0,0
investigate,0,0,0,0,0,1,0
nature,0,0,0,0,6,0,0
basic,3,0,0,0,0,0,0
behavior,0,0,0,0,8,0,0
reflection,0,0,0,0,9,0,0
refraction,0,0,0,0,5,0,0
relationship,0,0,0,0,2,0,0
concept,0,0,0,0,3,0,0
space,0,0,0,0,3,0,0
time,0,0,0,0,13,3,0
property,0,0,0,0,4,0,0
puzzle,0,0,0,0,0,1,0
scientist,0,0,0,0,14,0,0
century,0,0,0,0,11,0,0
believe,0,0,0,0,0,5,0
compose,0,0,0,0,0,3,0
particle,0,0,0,0,25,0,0
travel,0,0,0,0,2,26,0
wave,0,0,0,0,68,0,0
early,6,0,0,0,0,0,0
explain,0,0,0,0,0,13,0
conform,0,0,0,0,0,1,0
theory,0,0,0,0,36,0,0
forth,0,2,0,0,0,0,0
idea,0,0,0,0,7,0,0
necessary,2,0,0,0,0,0,0
know,0,0,0,0,0,9,0
electromagnetic,13,0,0,0,0,0,0
radiation,0,0,0,0,30,0,0
arrange,0,0,0,0,0,1,0
spectrum,0,0,0,0,35,0,0
accord,0,0,0,0,0,4,0
wavelength,0,0,0,0,27,0,0
fall,0,0,0,0,0,8,0
wide,2,0,0,0,0,0,0
range,0,0,0,0,8,2,0
visible,23,0,0,0,0,0,0
human,5,0,0,0,6,0,0
eye,0,0,0,0,11,0,0
occupy,0,0,0,0,0,3,0
narrow,1,0,0,0,0,0,0
band,0,0,0,0,6,0,0
broad,2,0,0,0,0,0,0
nanometer,0,0,0,0,1,0,0
billionth,0,0,0,0,1,0,0
meter,0,0,0,0,6,0,0
invisible,6,0,0,0,0,0,0
include,0,0,0,0,0,5,0
gamma,0,0,0,0,4,0,0
ray,0,0,0,0,38,0,0
ultraviolet,4,0,0,0,4,0,0
infrared,10,0,0,0,0,0,0
radio,0,0,0,0,5,0,0
word,0,0,0,0,2,0,0
watch,0,0,0,0,0,1,0
sunset,0,0,0,0,2,0,0
read,0,0,0,0,0,1,0
book,0,0,0,0,1,0,0
portion,0,0,0,0,2,0,0
exist,0,0,0,0,0,2,0
vision,0,0,0,0,3,0,0
impossible,1,0,0,0,0,0,0
object,0,0,0,0,31,0,0
friend,0,0,0,0,1,0,0
face,0,0,0,0,4,0,0
dog,0,0,0,0,1,0,0
run,0,0,0,0,0,1,0
street,0,0,0,0,1,0,0
bounce,0,0,0,0,0,7,0
surface,0,0,0,0,30,0,0
color,0,0,0,0,32,2,0
result,0,0,0,0,3,2,0
reach,0,0,0,0,0,3,0
different,23,0,0,0,0,0,0
appear,0,0,0,0,0,9,0
example,0,0,0,0,11,0,0
red,8,0,0,0,7,0,0
long,8,0,3,0,0,0,0
violet,4,0,0,0,8,0,0
short,7,0,0,0,0,0,0
normally,0,0,2,0,0,0,0
white,16,0,0,0,0,0,0
separate,4,0,0,0,0,4,0
individual,4,0,0,0,0,0,0
strike,0,0,0,0,0,7,0
ripe,1,0,0,0,0,0,0
tomato,0,0,0,0,3,0,0
instance,0,0,0,0,1,0,0
reflect,0,0,0,0,0,18,0
absorb,0,0,0,0,0,13,0
cause,0,0,0,0,0,13,0
look,0,0,0,0,0,5,0
aspect,0,0,0,0,2,0,0
prove,0,0,0,0,0,1,0
central,1,0,0,0,0,0,0
study,0,0,0,0,2,2,0
physics,0,0,0,0,3,0,0
speed,0,0,0,0,41,0,0
measure,0,0,0,0,2,20,0
stand,0,0,0,0,0,1,0
challenge,0,0,0,0,1,0,0
breakthrough,0,0,0,0,1,0,0
special,4,0,0,0,0,0,0
relativity,0,0,0,0,4,0,0
observer,0,0,0,0,5,0,0
consider,0,0,0,0,0,1,0
fundamental,3,0,0,0,0,0,0
constant,1,0,0,0,3,0,0
famous,1,0,0,0,0,0,0
equation,0,0,0,0,2,0,0
serve,0,0,0,0,0,1,0
link,0,0,0,0,0,1,0
mass,0,0,0,0,1,0,0
work,0,0,0,0,2,2,0
late,2,0,0,0,0,0,0
refine,0,0,0,0,0,2,0
measurement,0,0,0,0,6,0,0
eventually,0,0,2,0,0,0,0
define,0,0,0,0,0,5,0
exactly,0,0,1,0,0,0,0
mile,0,0,0,0,10,0,0
second,10,0,0,0,5,0,0
explore,0,0,0,0,0,1,0
mysterious,1,0,0,0,0,0,0
physical,1,0,0,0,0,0,0
characteristic,5,0,0,0,1,0,0
provide,0,0,0,0,0,6,0
strong,2,0,0,0,0,0,0
foundation,0,0,0,0,1,0,0
crucial,2,0,0,0,0,0,0
fundamentally,0,0,1,0,0,0,0
shape,0,0,0,0,1,1,0
everyday,1,0,0,0,0,0,0
life,0,0,0,0,6,0,0
grand,1,0,0,0,0,0,0
scale,0,0,0,0,1,0,0
window,0,0,0,0,3,0,0
structure,0,0,0,0,6,0,0
universe,0,0,0,0,3,0,0
familiar,2,0,0,0,0,0,0
important,5,0,0,0,0,0,0
totally,0,0,1,0,0,0,0
absent,1,0,0,0,0,0,0
reason,0,0,0,0,2,0,0
million,0,0,0,0,1,0,0
year,0,0,0,0,3,0,0
ago,0,0,1,0,0,0,0
trigger,0,0,0,0,0,1,0
chemical,6,0,0,0,3,0,0
reaction,0,0,0,0,2,0,0
lead,0,0,0,0,0,3,0
development,0,0,0,0,1,0,0
live,0,0,0,0,0,4,0
thing,0,0,0,0,4,0,0
unable,2,0,0,0,0,0,0
survive,0,0,0,0,0,1,0
plant,0,0,0,0,4,0,0
change,0,0,0,0,2,7,0
sunlight,0,0,0,0,8,0,0
food,0,0,0,0,4,0,0
green,2,0,0,0,4,0,0
use,0,0,0,0,2,1,0
air,0,0,0,0,9,0,0
mineral,0,0,0,0,1,0,0
process,0,0,0,0,2,0,0
call,0,0,0,0,0,29,0
photosynthesis,0,0,0,0,3,0,0
nearly,0,0,1,0,0,0,0
organism,0,0,0,0,1,0,0
depend,0,0,0,0,0,7,0
directly,0,0,2,0,0,0,0
indirectly,0,0,1,0,0,0,0
atmosphere,0,0,0,0,2,0,0
heat,0,0,0,0,6,3,0
help,0,0,0,0,0,2,0
warm,0,0,0,0,0,1,0
planet,0,0,0,0,1,0,0
keep,0,0,0,0,0,1,0
temperature,0,0,0,0,9,0,0
adapt,0,0,0,0,0,1,0
kind,0,0,0,0,5,0,0
specie,0,0,0,0,1,0,0
begin,0,0,0,0,0,1,0
continue,0,0,0,0,0,3,0
orange,0,0,0,0,5,0,0
yellow,2,0,0,0,4,0,0
blue,4,0,0,0,5,0,0
people,0,0,0,0,8,0,0
far,0,0,3,0,0,0,0
region,0,0,0,0,3,0,0
animal,0,0,0,0,3,0,0
sensory,1,0,0,0,0,0,0
pit,0,0,0,0,2,0,0
viper,0,0,0,0,1,0,0
sense,0,0,0,0,1,1,0
organ,0,0,0,0,1,0,0
feel,0,0,0,0,0,2,0
bee,0,0,0,0,1,0,0
hand,0,0,0,0,2,0,0
sensitive,1,0,0,0,0,0,0
detect,0,0,0,0,0,4,0
relate,0,0,0,0,0,3,0
instrument,0,0,0,0,3,0,0
build,0,0,0,0,0,2,0
photograph,0,0,0,0,0,2,0
mean,0,0,0,0,1,1,0
display,0,0,0,0,0,2,0
breathtaking,1,0,0,0,0,0,0
way,0,0,0,0,13,0,0
learn,0,0,0,0,0,3,0
microwave,0,0,0,0,1,0,0
consist,0,0,0,0,0,2,0
electrical,5,0,0,0,0,0,0
magnetic,3,0,0,0,0,0,0
field,0,0,0,0,4,0,0
unlike,0,1,0,0,0,0,0
primarily,0,0,1,0,0,0,0
sight,0,0,0,0,3,0,0
day,0,0,0,0,1,0,0
come,0,0,0,0,0,3,0
night,0,0,0,0,2,0,0
bring,0,0,0,0,0,2,0
darkness,0,0,0,0,3,0,0
danger,0,0,0,0,1,0,0
step,0,0,0,0,2,0,0
take,0,0,0,0,0,4,0
control,0,0,0,0,0,2,0
environment,0,0,0,0,1,0,0
occur,0,0,0,0,0,8,0
conquer,0,0,0,0,0,1,0
dark,10,0,0,0,2,0,0
fire,0,0,0,0,2,0,0
source,0,0,0,0,27,0,0
rainbow,0,0,0,0,1,0,0
raindrop,0,0,0,0,2,0,0
distant,1,0,0,0,0,0,0
rain,0,0,0,0,1,0,0
cloud,0,0,0,0,1,0,0
actually,0,0,2,0,0,0,0
inside,0,1,0,0,0,0,0
torch,0,0,0,0,1,0,0
candle,0,0,0,0,7,0,0
oil,0,0,0,0,1,0,0
lamp,0,0,0,0,4,0,0
burning,0,0,0,0,1,0,0
release,0,0,0,0,0,1,0
glow,0,0,0,0,1,2,0
glowworm,0,0,0,0,1,0,0
firefly,0,0,0,0,1,0,0
mushroom,0,0,0,0,1,0,0
store,0,0,0,0,0,1,0
tissue,0,0,0,0,1,0,0
creature,0,0,0,0,1,0,0
bioluminescent,2,0,0,0,0,0,0
electric,6,0,0,0,0,0,0
lightbulb,0,0,0,0,3,0,0
neon,1,0,0,0,1,0,0
produce,0,0,0,0,0,7,0
mechanical,2,0,0,0,0,0,0
atomic,4,0,0,0,0,0,0
reveal,0,0,0,0,0,1,0
bone,0,0,0,0,1,0,0
general,1,0,0,0,0,0,0
category,0,0,0,0,1,0,0
refer,0,0,0,0,0,1,0
radiant,1,0,0,0,0,0,0
vacuum,0,0,0,0,6,0,0
easily,0,0,2,0,0,0,0
pass,0,0,0,0,0,23,0
material,0,0,0,0,11,0,0
glass,0,0,0,0,12,0,0
think,0,0,0,0,0,4,0
solid,1,0,0,0,0,0,0
possible,5,0,0,0,0,0,0
bathe,0,0,0,0,0,1,0
create,0,0,0,0,0,1,0
climate,0,0,0,0,1,0,0
sustain,0,0,0,0,0,1,0
interact,0,0,0,0,0,2,0
cell,0,0,0,0,1,0,0
skin,0,0,0,0,1,0,0
stimulate,0,0,0,0,0,1,0
production,0,0,0,0,1,0,0
vitamin,0,0,0,0,1,0,0
orderly,1,0,0,0,0,0,0
arrangement,0,0,0,0,1,0,0
move,0,0,0,0,0,9,0
start,0,0,0,0,0,1,0
low,4,0,0,0,0,0,0
high,6,0,0,0,0,0,0
subcategorie,0,0,0,0,1,0,0
see,0,0,0,0,0,10,0
luminous,5,0,0,0,0,0,0
illuminate,0,0,0,0,0,6,0
hit,0,0,0,0,0,6,0
spacecraft,0,0,0,0,1,0,0
sea,0,0,0,0,1,0,0
worm,0,0,0,0,1,0,0
completely,0,0,2,0,0,0,0
room,0,0,0,0,2,0,0
flashlight,0,0,0,0,1,0,0
turn,0,0,0,0,0,4,0
bulb,0,0,0,0,3,0,0
beam,0,0,0,0,20,0,0
bright,8,0,0,0,0,0,0
overhead,1,0,0,0,0,0,0
switch,0,0,0,0,0,1,0
wall,0,0,0,0,2,0,0
ceiling,0,0,0,0,1,0,0
floor,0,0,0,0,2,0,0
furniture,0,0,0,0,1,0,0
make,0,0,0,0,0,6,0
path,0,0,0,0,4,0,0
case,0,0,0,0,1,0,0
filament,0,0,0,0,2,0,0
hot,3,0,0,0,0,0,0
burner,0,0,0,0,2,0,0
stove,0,0,0,0,1,0,0
coal,0,0,0,0,1,0,0
incandescent,7,0,0,0,0,0,0
emit,0,0,0,0,0,10,0
luminescent,2,0,0,0,0,0,0
cold,1,0,0,0,0,0,0
fluorescent,3,0,0,0,0,0,0
total,3,0,0,0,0,0,0
give,0,0,0,0,0,13,0
flux,0,0,0,0,1,0,0
unit,0,0,0,0,3,0,0
lumen,0,0,0,0,5,0,0
watt,0,0,0,0,2,0,0
compact,1,0,0,0,0,0,0
interested,1,0,0,0,0,0,0
desktop,0,0,0,0,1,0,0
leave,0,0,0,0,0,3,0
fixture,0,0,0,0,2,0,0
illumination,0,0,0,0,6,0,0
distance,0,0,0,0,9,0,0
foot,0,0,0,0,8,0,0
express,0,0,0,0,0,1,0
equal,4,0,0,0,0,4,0
square,2,0,0,0,2,2,0
international,1,0,0,0,0,0,0
counterpart,0,0,0,0,1,0,0
lux,0,0,0,0,3,0,0
metric,1,0,0,0,0,0,0
instead,0,0,3,0,0,0,0
powerful,2,0,0,0,0,0,0
theater,0,0,0,0,1,0,0
spotlight,0,0,0,0,1,0,0
clarity,0,0,0,0,1,0,0
intensity,0,0,0,0,2,0,0
direction,0,0,0,0,12,0,0
factor,0,0,0,0,2,0,0
determine,0,0,0,0,0,3,0
candela,0,0,0,0,2,0,0
carefully,0,0,1,0,0,0,0
construct,0,0,0,0,0,1,0
wax,0,0,0,0,1,1,0
precisely,0,0,1,0,0,0,0
steradian,0,0,0,0,1,0,1
sphere,0,0,0,0,2,0,0
radius,0,0,0,0,1,0,0
divide,0,0,0,0,0,1,0
area,0,0,0,0,7,0,0
affect,0,0,0,0,0,1,0
slant,0,0,0,0,1,1,0
relation,0,0,0,0,1,0,0
outward,0,0,1,0,0,0,0
exception,0,0,0,0,1,0,0
laser,0,0,0,0,1,0,0
searchlight,0,0,0,0,2,0,0
spread,0,0,0,0,0,7,0
cover,0,0,0,0,0,2,0
large,3,0,0,0,0,0,0
greatly,0,0,3,0,0,0,0
weaken,0,0,0,0,0,1,0
away,0,0,2,0,0,0,0
weak,1,0,0,0,0,0,0
follow,0,0,0,0,0,1,0
inverse,0,0,0,0,3,0,0
law,0,0,0,0,1,0,0
double,2,0,0,0,0,1,0
reduce,0,0,0,0,0,3,0
fourth,0,0,0,0,1,0,0
triple,0,0,0,0,0,1,0
receive,0,0,0,0,0,1,0
ninth,0,0,0,0,1,0,0
original,1,0,0,0,0,0,0
substance,0,0,0,0,22,0,0
happen,0,0,0,0,0,1,0
transparent,9,0,0,0,0,0,0
clearly,0,0,2,0,0,0,0
scatter,0,0,0,0,0,3,0
stop,0,0,0,0,0,1,0
