word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,SCONJ,VERB,X
introduction,0,0,0,0,6,0,0,0,0,0
art,0,0,0,0,125,0,0,0,0,0
means,0,0,0,0,3,0,0,0,0,0
organize,0,0,0,0,0,0,0,0,2,0
experience,0,0,0,0,8,0,0,0,2,0
ordered,2,0,0,0,0,0,0,0,0,0
form,0,0,0,0,182,0,0,0,26,0
translate,0,0,0,0,0,0,0,0,2,0
sculpture,0,0,0,0,579,0,0,0,2,0
song,0,0,0,0,2,0,0,0,0,0
painting,0,0,0,0,29,0,0,0,0,0
poem,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,0,0,16,0
life,0,0,0,0,38,0,0,0,0,0
consciousness,0,0,0,0,1,0,0,0,0,0
people,0,0,0,0,19,0,0,0,0,0
truly,0,0,2,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,6,0
sharing,0,0,0,0,1,0,0,0,0,0
take,0,0,0,0,0,0,0,0,22,0
place,0,0,0,0,10,0,0,0,21,0
work,0,0,0,0,182,0,0,0,52,0
fully,0,0,9,0,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,1,0
properly,0,0,6,0,0,0,0,0,0,0
regard,0,0,0,0,0,0,0,0,6,0
language,0,0,0,0,4,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,1,0
artist,0,0,0,0,77,0,0,0,0,0
require,0,0,0,0,0,0,0,0,33,0
little,8,0,1,0,0,0,0,0,0,0
effort,0,0,0,0,4,0,0,0,0,0
look,0,0,0,0,1,0,0,0,6,0
like,6,24,0,0,0,0,0,0,1,0
listen,0,0,0,0,0,0,0,0,2,0
music,0,0,0,0,4,0,0,0,0,0
rewarding,1,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,17,0,0,0,2,0
alert,1,0,0,0,0,0,0,0,0,0
quality,0,0,0,0,23,0,0,0,0,0
purpose,0,0,0,0,14,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,16,0
learn,0,0,0,0,0,0,0,0,3,0
record,0,0,0,0,2,0,0,0,4,0
human,43,0,0,0,1,0,0,0,0,0
early,50,0,9,0,0,0,0,0,0,0
time,0,0,0,0,45,0,0,0,0,0
day,0,0,0,0,9,0,0,0,0,0
range,0,0,0,0,16,0,0,0,8,0
war,0,0,0,0,4,0,0,0,0,0
worship,0,0,0,0,4,0,0,0,0,0
simple,14,0,0,0,0,0,0,0,0,0
joy,0,0,0,0,1,0,0,0,0,0
see,0,0,0,0,0,0,0,0,21,0
touch,0,0,0,0,4,0,0,0,3,0
suspend,0,0,0,0,0,0,0,0,4,0
shape,0,0,0,0,19,0,0,0,12,0
design,0,0,0,0,55,0,0,0,25,0
wind,0,0,0,0,2,0,0,0,0,0
marble,0,0,0,0,75,0,0,0,0,0
god,0,0,0,0,17,0,0,0,0,0
mobile,0,0,0,0,5,0,0,0,0,0
find,0,0,0,0,2,0,0,0,38,0
need,0,0,0,0,4,0,0,0,7,0
play,0,0,0,0,5,0,0,0,6,0
prayer,0,0,0,0,1,0,0,0,0,0
desire,0,0,0,0,4,0,0,0,4,0
commemorate,0,0,0,0,0,0,0,0,2,0
deed,0,0,0,0,4,0,0,0,0,0
nation,0,0,0,0,4,0,0,0,0,0
individual,5,0,0,0,1,0,0,0,0,0
monument,0,0,0,0,12,0,0,0,0,0
historic,2,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,4,0,0,0,0,0
french,11,0,0,0,0,0,0,0,0,0
dignity,0,0,0,0,4,0,0,0,0,0
courage,0,0,0,0,1,0,0,0,0,0
express,0,0,0,0,0,0,0,0,15,0
figure,0,0,0,0,147,0,0,0,1,0
trial,0,0,0,0,1,0,0,0,0,0
triumph,0,0,0,0,3,0,0,0,0,0
year,0,0,0,0,36,0,0,0,0,0
depict,0,0,0,0,0,0,0,0,13,0
masterpiece,0,0,0,0,6,0,0,0,0,0
outside,0,3,1,0,3,0,0,0,0,0
gate,0,0,0,0,3,0,0,0,0,0
heavily,0,0,2,0,0,0,0,0,0,0
invade,0,0,0,0,0,0,0,0,1,0
port,0,0,0,0,1,0,0,0,0,0
town,0,0,0,0,14,0,0,0,0,0
lead,0,0,0,0,5,0,0,0,18,0
king,0,0,0,0,6,0,0,0,0,0
lay,0,0,0,0,0,0,0,0,3,0
siege,0,0,0,0,1,0,0,0,0,0
starve,0,0,0,0,0,0,0,0,1,0
submission,0,0,0,0,2,0,0,0,0,0
term,0,0,0,0,17,0,0,0,1,0
surrender,0,0,0,0,1,0,0,0,0,0
man,0,0,0,0,18,0,0,0,0,0
halter,0,0,0,0,2,0,0,0,0,0
neck,0,0,0,0,5,0,0,0,0,0
deliver,0,0,0,0,0,0,0,0,2,0
key,0,0,0,0,2,0,0,0,2,0
caption,0,0,0,0,25,0,0,0,0,7
poignant,1,0,0,0,0,0,0,0,0,0
tragic,3,0,0,0,0,0,0,0,0,0
heroic,5,0,0,0,0,0,0,0,0,0
execute,0,0,0,0,0,0,0,0,6,0
bronze,0,0,0,0,51,0,0,0,0,0
locate,0,0,0,0,0,0,0,0,5,0
near,1,11,1,0,0,0,0,0,0,0
hall,0,0,0,0,3,0,0,0,0,0
fate,0,0,0,0,1,0,0,0,0,0
clear,6,0,1,0,0,0,0,0,0,0
pay,0,0,0,0,1,0,0,0,2,0
penalty,0,0,0,0,1,0,0,0,0,0
resistance,0,0,0,0,5,0,0,0,0,0
hostage,0,0,0,0,1,0,0,0,0,0
assure,0,0,0,0,0,0,0,0,2,0
safety,0,0,0,0,1,0,0,0,0,0
rest,0,0,0,0,4,0,0,0,5,0
memory,0,0,0,0,3,0,0,0,0,0
volunteer,0,0,0,0,0,0,0,0,2,0
rich,15,0,0,0,0,0,0,0,0,0
burgher,0,0,0,0,1,0,0,0,0,0
grateful,1,0,0,0,0,0,0,0,0,0
order,0,0,0,0,10,0,0,0,2,0
statue,0,0,0,0,41,0,0,0,0,0
idea,0,0,0,0,17,0,0,0,0,0
move,0,0,0,0,0,0,0,0,16,0
incident,0,0,0,0,1,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,2,0
add,0,0,0,0,0,0,0,0,12,0
accompany,0,0,0,0,0,0,0,0,2,0
leader,0,0,0,0,5,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,21,0
give,0,0,0,0,0,0,0,0,25,0
finally,0,0,4,0,0,0,0,0,0,0
cast,0,0,0,0,26,0,0,0,30,0
determination,0,0,0,0,1,0,0,0,0,0
poise,0,0,0,0,2,0,0,0,2,0
hold,0,0,0,0,0,0,0,0,15,0
city,0,0,0,0,4,0,0,0,0,0
rope,0,0,0,0,1,0,0,0,0,0
prescribe,0,0,0,0,0,0,0,0,4,0
conqueror,0,0,0,0,2,0,0,0,0,0
companion,0,0,0,0,1,0,0,0,0,0
head,0,0,0,0,18,0,0,0,1,0
bury,0,0,0,0,0,0,0,0,4,0
hand,0,0,0,0,20,0,0,0,1,0
right,8,0,0,0,7,0,0,0,0,0
exemplify,0,0,0,0,0,0,0,0,3,0
great,69,0,0,0,0,0,0,0,0,0
contrast,0,0,0,0,5,0,0,0,2,0
feeling,0,0,0,0,10,0,0,0,0,0
group,0,0,0,0,13,0,0,0,1,0
