word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
period,0,0,0,0,0,0,39,0,0,0,0,0
expand,0,0,0,0,0,0,0,0,0,0,4,0
knowledge,0,0,0,0,0,0,6,0,0,0,0,0
alongside,0,3,0,0,0,0,0,0,0,0,0,0
resurgence,0,0,0,0,0,0,1,0,0,0,0,0
interest,0,0,0,0,0,0,11,0,0,0,0,0
classical,9,0,0,0,0,0,0,0,0,0,0,0
learning,0,0,0,0,0,0,1,0,0,0,0,0
new,50,0,0,0,0,0,0,0,0,0,0,0
idea,0,0,0,0,0,0,7,0,0,0,0,0
science,0,0,0,0,0,0,1,0,0,0,0,0
religion,0,0,0,0,0,0,1,0,0,0,0,0
art,0,0,0,0,0,0,19,0,0,0,0,0
flourish,0,0,0,0,0,0,0,0,0,0,13,0
spread,0,0,0,0,0,0,0,0,0,0,7,0
humanism,0,0,0,0,0,0,2,0,0,0,0,0
focus,0,0,0,0,0,0,2,0,0,0,0,0
human,4,0,0,0,0,0,0,0,0,0,0,0
value,0,0,0,0,0,0,4,0,0,0,0,0
steer,0,0,0,0,0,0,0,0,0,0,1,0
prevail,0,0,0,0,0,0,0,0,0,0,7,0
thought,0,0,0,0,0,0,1,0,0,0,0,0
nature,0,0,0,0,0,0,8,0,0,0,0,0
individual,4,0,0,0,0,0,0,0,0,0,0,0
empirical,1,0,0,0,0,0,0,0,0,0,0,0
musician,0,0,0,0,0,0,42,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,0,0,29,0
variety,0,0,0,0,0,0,22,0,0,0,0,0
musical,130,0,0,0,0,0,0,0,0,0,0,0
form,0,0,0,0,0,0,77,0,0,0,7,0
respect,0,0,0,0,0,0,3,0,0,0,1,0
traditional,14,0,0,0,0,0,0,0,0,0,0,0
mode,0,0,0,0,0,0,11,0,0,0,0,0
expression,0,0,0,0,0,0,8,0,0,0,0,0
book,0,0,0,0,0,0,39,0,0,0,0,0
detail,0,0,0,0,0,0,3,0,0,0,1,0
reflect,0,0,0,0,0,0,0,0,0,0,15,0
degree,0,0,0,0,0,0,13,0,0,0,0,0
rapidly,0,0,4,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,14,0,0,0,8,0
world,0,0,0,0,0,0,7,0,0,0,0,0
western,16,0,0,0,0,0,0,0,0,0,0,0
music,0,0,0,0,0,0,336,0,0,0,0,0
influence,0,0,0,0,0,0,26,0,0,0,8,0
eastern,6,0,0,0,0,0,0,0,0,0,0,0
number,0,0,0,0,0,0,33,0,0,0,2,0
way,0,0,0,0,0,0,17,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,80,0
widespread,3,0,0,0,0,0,0,0,0,0,0,0
adoption,0,0,0,0,0,0,1,0,0,0,0,0
diatonic,3,0,0,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,0,14,0,0,0,0
note,0,0,0,0,0,0,38,0,0,0,14,0
scale,0,0,0,0,0,0,13,0,0,0,0,0
replace,0,0,0,0,0,0,0,0,0,0,3,0
prevailing,1,0,0,0,0,0,0,0,0,0,0,0
church,0,0,0,0,0,0,57,0,0,0,0,0
commonly,0,0,6,0,0,0,0,0,0,0,0,0
use,0,0,0,0,0,0,32,0,0,0,10,0
metre,0,0,0,0,0,0,18,0,0,0,0,0
means,0,0,0,0,0,0,3,0,0,0,0,0
divide,0,0,0,0,0,0,0,0,0,0,3,0
composition,0,0,0,0,0,0,68,0,0,0,0,0
equal,4,0,0,0,0,0,0,0,0,0,0,0
portion,0,0,0,0,0,0,6,0,0,0,0,0
time,0,0,0,0,0,0,71,0,0,0,0,0
basic,11,0,0,0,0,0,0,0,0,0,0,0
structural,4,0,0,0,0,0,0,0,0,0,0,0
element,0,0,0,0,0,0,9,0,0,0,0,0
vehicle,0,0,0,0,0,0,3,0,0,0,0,0
evolution,0,0,0,0,0,0,7,0,0,0,0,0
dispersion,0,0,0,0,0,0,1,0,0,0,0,0
regional,2,0,0,0,0,0,0,0,0,0,0,0
style,0,0,0,0,0,0,128,0,0,0,0,0
chant,0,0,0,0,0,0,19,0,0,0,0,1
unison,1,0,0,0,0,0,3,0,0,0,0,1
song,0,0,0,0,0,0,73,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,0,23,0
mass,2,0,0,0,0,0,43,0,0,0,0,0
gregorian,5,0,0,0,0,0,0,0,0,0,0,0
standard,6,0,0,0,0,0,4,0,0,0,0,0
originate,0,0,0,0,0,0,0,0,0,0,9,0
late,42,0,4,0,0,0,0,0,0,0,0,0
century,0,0,0,0,0,0,176,0,0,0,0,0
liturgical,18,0,0,0,0,0,0,0,0,0,0,0
adopt,0,0,0,0,0,0,0,0,0,0,11,0
year,0,0,0,0,0,0,73,0,0,0,0,0
modify,0,0,0,0,0,0,0,0,0,0,5,0
addition,0,0,0,0,0,0,11,0,0,0,0,0
melodic,39,0,0,0,0,0,0,0,0,0,0,0
line,0,0,0,0,0,0,36,0,0,0,0,0
polyphony,0,0,0,0,0,0,20,0,0,0,0,0
simultaneous,5,0,0,0,0,0,0,0,0,0,0,0
contrapuntal,14,0,0,0,0,0,0,0,0,0,0,0
document,0,0,0,0,0,0,3,0,0,0,3,0
work,0,0,0,0,0,0,104,0,0,0,12,0
