word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB
earthquake,0,0,0,0,131,0,0,0
ground,0,0,0,0,32,0,0,0
move,0,0,0,0,0,0,0,15
shake,0,0,0,0,0,0,0,5
violently,0,0,1,0,0,0,0,0
bring,0,0,0,0,0,0,0,2
building,0,0,0,0,28,0,0,0
crash,0,0,0,0,0,0,0,1
twist,0,0,0,0,0,0,0,2
break,0,0,0,0,0,0,0,3
road,0,0,0,0,10,0,0,0
railway,0,0,0,0,5,0,0,0
line,0,0,0,0,9,0,0,0
bridge,0,0,0,0,4,0,0,0
people,0,0,0,0,49,0,0,0
experience,0,0,0,0,1,0,0,2
terrifying,3,0,0,0,0,0,0,0
dangerous,6,0,0,0,0,0,0,0
event,0,0,0,0,2,0,0,0
major,8,0,0,0,0,0,0,0
quake,0,0,0,0,26,0,0,0
hit,0,0,0,0,0,0,0,7
densely,0,0,2,0,0,0,0,0
populate,0,0,0,0,0,0,0,1
area,0,0,0,0,25,0,0,0
kill,0,0,0,0,0,0,0,7
hundred,0,0,0,0,3,0,0,0
thousand,0,0,0,0,3,0,0,0
rippling,1,0,0,0,0,0,0,0
shock,0,0,0,0,5,0,0,0
wave,0,0,0,0,25,0,0,0
travel,0,0,0,0,0,0,0,8
long,4,0,4,0,0,0,0,0
way,0,0,0,0,14,0,0,0
spread,0,0,0,0,0,0,0,10
like,0,8,0,0,0,0,0,0
ripple,0,0,0,0,5,0,0,1
water,0,0,0,0,10,0,0,0
mean,0,0,0,0,0,0,0,2
live,0,0,0,0,0,0,0,6
start,0,0,0,0,1,0,0,4
affect,0,0,0,0,0,0,0,2
year,0,0,0,0,21,0,0,0
earth,0,0,0,0,17,0,0,0
small,5,0,0,0,0,0,0,0
completely,0,0,3,0,0,0,0,0
unnoticed,1,0,0,0,0,0,0,0
detect,0,0,0,0,0,0,0,2
scientist,0,0,0,0,3,0,0,0
sensitive,3,0,0,0,0,0,0,0
measure,0,0,0,0,1,0,0,7
instrument,0,0,0,0,3,0,0,0
massive,6,0,0,0,0,0,0,0
rock,0,0,0,0,13,0,0,3
history,0,0,0,0,2,0,0,0
happen,0,0,0,0,0,0,0,19
form,0,0,0,0,0,0,0,6
solid,3,0,0,0,0,0,0,0
surface,0,0,0,0,13,0,0,0
billion,0,0,0,0,1,1,0,0
ago,0,0,6,0,0,0,0,0
historical,1,0,0,0,0,0,0,0
record,0,0,0,0,4,0,0,3
human,3,0,0,0,1,0,0,0
geological,1,0,0,0,0,0,0,0
evidence,0,0,0,0,1,0,0,0
early,3,0,0,0,0,0,0,0
time,0,0,0,0,4,0,0,0
know,0,0,0,0,0,0,0,1
cause,0,0,0,0,0,0,0,15
legend,0,0,0,0,4,0,0,0
believe,0,0,0,0,0,0,0,2
god,0,0,0,0,3,0,0,0
responsible,2,0,0,0,0,0,0,0
danger,1,0,0,0,11,0,0,0
strike,0,0,0,0,0,0,0,12
build,0,0,0,0,0,0,0,11
fall,0,0,0,0,2,0,0,11
injury,0,0,0,0,5,0,0,0
death,0,0,0,0,3,0,0,0
open,1,0,0,0,0,0,0,0
countryside,0,0,0,0,3,0,0,0
trigger,0,0,0,0,0,0,0,3
hazard,0,0,0,0,2,0,0,0
landslide,0,0,0,0,3,0,0,0
flood,0,0,0,0,3,0,0,2
avalanche,0,0,0,0,2,0,0,0
giant,2,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,13
tsunami,0,0,0,0,9,0,0,0
devastate,0,0,0,0,0,0,0,2
make,0,0,0,0,0,0,0,8
rescue,0,0,0,0,9,0,0,2
operation,0,0,0,0,1,0,0,0
difficult,3,0,0,0,0,0,0,0
survivor,0,0,0,0,10,0,0,0
original,1,0,0,0,0,0,0,0
die,0,0,0,0,0,0,0,8
trouble,0,0,0,0,0,0,0,1
keep,0,0,0,0,0,0,0,3
century,0,0,0,0,1,0,0,0
japanese,3,0,0,0,0,0,0,0
account,0,0,0,0,0,0,0,1
story,0,0,0,0,2,0,0,0
catfish,0,0,0,0,1,0,0,0
accord,0,0,0,0,0,0,0,2
mud,0,0,0,0,4,0,0,0
island,0,0,0,0,2,0,0,0
fish,0,0,0,0,1,0,0,0
press,0,0,0,0,0,0,0,2
weight,0,0,0,0,1,0,0,0
huge,5,0,0,0,0,0,0,0
stone,0,0,0,0,2,0,0,0
fail,0,0,0,0,0,0,0,1
hold,0,0,0,0,0,0,0,3
thrash,0,0,0,0,0,0,0,1
wildly,0,0,1,0,0,0,0,0
patchwork,0,0,0,0,1,0,0,0
single,5,0,0,0,0,0,0,0
piece,0,0,0,0,3,0,0,1
skin,0,0,0,0,2,0,0,0
orange,0,0,0,0,2,0,0,0
probably,0,0,1,0,0,0,0,0
actually,0,0,2,0,0,0,0,0
fit,0,0,0,0,0,0,0,2
jigsaw,0,0,0,0,1,0,0,0
puzzle,0,0,0,0,1,0,0,0
peel,0,0,0,0,0,0,0,1
tectonic,16,0,0,0,0,0,0,0
plate,0,0,0,0,36,0,0,0
hard,2,0,0,0,0,0,0,0
rocky,1,0,0,0,0,0,0,0
layer,0,0,0,0,4,0,0,0
crust,0,0,0,0,12,0,0,0
beneath,0,8,1,0,0,0,0,0
slowly,0,0,4,0,0,0,0,0
semi,3,0,0,0,0,0,0,0
molten,2,0,0,0,0,0,0,0
hot,5,0,0,0,0,0,0,0
mile,0,0,0,0,11,0,0,0
deep,3,0,0,0,0,0,0,0
divide,0,0,0,0,0,0,0,1
lot,0,0,0,0,2,0,0,0
chunk,0,0,0,0,2,0,0,0
cover,0,0,0,0,0,0,0,1
seven,0,0,0,0,0,2,0,0
large,11,0,0,0,0,0,0,0
one,0,0,0,0,1,0,0,0
fault,0,0,0,0,22,0,0,0
meet,0,0,0,0,0,0,0,2
volcano,0,0,0,0,6,0,0,0
find,0,0,0,0,0,0,0,1
near,0,7,0,0,0,0,0,0
red,1,0,0,0,0,0,0,0
dot,0,0,0,0,1,0,0,0
map,0,0,0,0,1,0,0,0
site,0,0,0,0,2,0,0,0
occur,0,0,0,0,0,0,0,5
edge,0,0,0,0,5,0,0,0
show,0,0,0,0,0,0,0,3
gray,0,0,0,0,1,0,0,0
sea,0,0,0,0,12,0,0,0
carry,0,0,0,0,0,0,0,7
land,0,0,0,0,25,0,0,0
mix,0,0,0,0,1,0,0,0
vast,4,0,0,0,0,0,0,0
thick,4,0,0,0,0,0,0,0
old,4,0,0,0,0,0,0,0
ocean,1,0,0,0,9,0,0,0
bear,0,0,0,0,0,0,0,2
light,1,0,0,0,0,0,0,0
float,0,0,0,0,0,0,0,1
higher,0,0,1,0,0,0,0,0
underneath,0,0,1,0,0,0,0,0
thin,2,0,0,0,0,0,0,0
dense,1,0,0,0,0,0,0,0
sink,0,0,0,0,0,0,0,1
far,0,0,4,0,0,0,0,0
liquid,3,0,0,0,0,0,0,0
low,4,0,0,0,0,0,0,0
run,0,0,0,0,0,0,0,6
high,4,0,0,0,0,0,0,0
scald,0,0,0,0,0,0,0,1
metal,0,0,0,0,3,0,0,0
percent,0,0,0,0,2,0,0,0
thickness,0,0,0,0,1,0,0,0
mantle,0,0,0,0,6,0,0,0
upper,2,0,0,0,0,0,0,0
descend,0,0,0,0,0,0,0,1
roughly,0,0,1,0,0,0,0,0
span,0,0,0,0,0,0,0,1
region,0,0,0,0,1,0,0,0
contain,0,0,0,0,0,0,0,1
weak,2,0,0,0,0,0,0,0
fluid,1,0,0,0,0,0,0,0
outer,1,0,0,0,0,0,0,0
core,0,0,0,0,3,0,0,0
center,0,0,0,0,1,0,0,0
inner,2,0,0,0,0,0,0,0
ball,0,0,0,0,1,0,0,0
sun,0,0,0,0,1,0,0,0
despite,0,0,0,0,0,0,2,0
heat,0,0,0,0,3,0,0,0
immense,1,0,0,0,0,0,0,0
pressure,0,0,0,0,2,0,0,0
lithosphere,0,0,0,0,1,0,0,0
gradually,0,0,2,0,0,0,0,0
creep,0,0,0,0,0,0,0,1
inch,0,0,0,0,6,0,0,0
centimeter,0,0,0,0,4,0,0,0
quickly,0,0,2,0,0,0,0,0
continental,1,0,0,0,0,0,0,0
drift,0,0,0,0,1,0,0,0
continent,0,0,0,0,6,0,0,0
seafloor,0,0,0,0,4,0,0,0
shift,0,0,0,0,1,0,0,4
globe,0,0,0,0,1,0,0,0
million,0,0,0,0,3,4,0,0
position,0,0,0,0,2,0,0,0
landmass,0,0,0,0,3,0,0,0
change,0,0,0,0,1,0,0,1
moment,0,0,0,0,1,0,0,0
grow,0,0,0,0,0,0,0,5
wide,2,0,0,0,0,0,0,0
away,0,0,1,0,0,0,0,0
cluster,0,0,0,0,0,0,0,1
type,0,0,0,0,6,0,0,0
create,0,0,0,0,0,0,0,2
different,7,0,0,0,0,0,0,0
relative,2,0,0,0,0,0,0,0
neighbor,0,0,0,0,1,0,0,0
convergent,1,0,0,0,0,0,0,0
destructive,2,0,0,0,0,0,0,0
push,0,0,0,0,0,0,0,6
force,0,0,0,0,0,0,0,3
upward,0,0,3,0,0,0,0,0
mountain,0,0,0,0,2,0,0,0
range,0,0,0,0,1,0,0,0
tall,2,0,0,0,0,0,0,0
world,0,0,0,0,3,0,0,0
begin,0,0,0,0,0,0,0,3
north,0,0,1,0,1,0,0,0
rate,0,0,0,0,1,0,0,0
divergent,1,0,0,0,0,0,0,0
constructive,1,0,0,0,0,0,0,0
apart,0,1,2,0,0,0,0,0
new,11,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,5
middle,0,0,0,0,4,0,0,0
right,1,0,2,0,0,0,0,0
lava,0,0,0,0,2,0,0,0
rift,0,0,0,0,3,0,0,0
zone,0,0,0,0,7,0,0,0
mid,2,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,0,1
conservative,1,0,0,0,0,0,0,0
grind,0,0,0,0,0,0,0,2
direction,0,0,0,0,3,0,0,0
south,0,0,0,0,1,0,0,0
movement,0,0,0,0,10,0,0,0
devastating,1,0,0,0,0,0,0,0
atlantic,1,0,0,0,0,0,0,0
visible,3,0,0,0,0,0,0,0
volcanic,1,0,0,0,0,0,0,0
activity,0,0,0,0,1,0,0,0
forge,0,0,0,0,0,0,0,1
group,0,0,0,0,0,0,0,1
speed,0,0,0,0,2,0,0,0
fingernail,0,0,0,0,1,0,0,0
relentless,1,0,0,0,0,0,0,0
reshape,0,0,0,0,0,0,0,1
arrangement,0,0,0,0,1,0,0,0
process,0,0,0,0,1,0,0,0
go,0,0,0,0,0,0,0,2
place,0,0,0,0,12,0,0,0
repeatedly,0,0,1,0,0,0,0,0
expect,0,0,0,0,0,0,0,2
border,0,0,0,0,1,0,0,0
boundary,0,0,0,0,2,0,0,0
oceanic,3,0,0,0,0,0,0,0
vulnerable,1,0,0,0,0,0,0,0
west,2,0,0,0,0,0,0,0
coast,0,0,0,0,3,0,0,0
part,0,0,0,0,3,0,0,0
western,1,0,0,0,0,0,0,0
eastern,3,0,0,0,0,0,0,0
rim,0,0,0,0,1,0,0,0
diagram,0,0,0,0,1,0,0,0
indicate,0,0,0,0,0,0,0,2
yellow,1,0,0,0,0,0,0,0
arrow,0,0,0,0,1,0,0,0
heavy,1,0,0,0,0,0,0,0
subduction,0,0,0,0,1,0,0,0
underground,1,0,2,0,0,0,0,0
melt,0,0,0,0,0,0,0,1
rise,0,0,0,0,1,0,0,1
burst,0,0,0,0,0,0,0,1
base,0,0,0,0,0,0,0,1
northern,1,0,0,0,0,0,0,0
prone,3,0,0,0,0,0,0,0
city,0,0,0,0,23,0,0,0
community,0,0,0,0,7,0,0,0
existence,0,0,0,0,1,0,0,0
relationship,0,0,0,0,1,0,0,0
discover,0,0,0,0,0,0,0,1
settle,0,0,0,0,0,0,0,4
badly,0,0,1,0,0,0,0,0
damage,0,0,0,0,7,0,0,5
destroy,0,0,0,0,0,0,0,12
collapse,0,0,0,0,0,0,0,3
junction,0,0,0,0,2,0,0,0
suffer,0,0,0,0,0,0,0,3
last,0,0,0,0,0,0,0,2
second,0,0,0,0,4,0,0,0
southern,2,0,0,0,0,0,0,0
horizontally,0,0,1,0,0,0,0,0
vertically,0,0,1,0,0,0,0,0
topple,0,0,0,0,0,0,0,3
leave,0,0,0,0,0,0,0,6
homeless,4,0,0,0,0,0,0,0
fire,0,0,0,0,9,0,0,0
rage,0,0,0,0,0,0,0,3
fuel,0,0,0,0,0,0,0,1
wooden,2,0,0,0,0,0,0,0
