word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
long,9,0,3,0,0,0,0,0,0,0,0
ago,0,0,7,0,0,0,0,0,0,0,0
subject,1,0,0,0,0,5,0,0,0,1,0
great,14,0,0,0,0,0,0,0,0,0,0
speculation,0,0,0,0,0,1,0,0,0,0,0
ancient,8,0,0,0,0,0,0,0,0,0,0
astronomer,0,0,0,0,0,11,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,13,0
center,0,0,0,0,0,17,0,0,0,2,0
universe,0,0,0,0,0,9,0,0,0,0,0
likewise,0,0,2,0,0,0,0,0,0,0,0
sort,0,0,0,0,0,2,0,0,0,0,0
assumption,0,0,0,0,0,1,0,0,0,0,0
satellite,0,0,0,0,0,8,0,0,0,0,0
interesting,2,0,0,0,0,0,0,0,0,0,0
belief,0,0,0,0,0,3,0,0,0,0,0
moonlight,0,0,0,0,0,2,0,0,0,0,0
capable,1,0,0,0,0,0,0,0,0,0,0
drive,0,0,0,0,0,0,0,0,0,2,0
person,0,0,0,0,0,3,0,0,0,0,0
crazy,1,0,0,0,0,0,0,0,0,0,0
telescope,0,0,0,0,0,4,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,3,0
actually,0,0,15,0,0,0,0,0,0,0,0
folk,0,0,0,0,0,1,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,11,0
bring,0,0,0,0,0,0,0,0,0,5,0
weird,1,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,9,0,0,0,0,0
plenty,0,0,0,0,0,2,0,0,0,0,0
solid,5,0,0,0,0,0,0,0,0,0,0
evidence,0,0,0,0,0,2,0,0,0,1,0
prove,0,0,0,0,0,0,0,0,0,1,0
real,1,0,0,0,0,0,0,0,0,0,0
natural,7,0,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,14,0,0,0,0,0
instance,0,0,0,0,0,2,0,0,0,0,0
gravitational,12,0,0,0,0,0,0,0,0,0,0
pull,0,0,0,0,0,5,0,0,0,2,0
phase,0,0,0,0,0,9,0,0,0,0,0
influence,0,0,0,0,0,2,0,0,0,1,0
ocean,0,0,0,0,0,51,0,0,0,0,0
tide,0,0,0,0,0,12,0,0,0,0,0
additional,3,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,11,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,7,0
year,0,0,0,0,0,48,0,0,0,0,0
result,0,0,0,0,0,6,0,0,0,6,0
research,0,0,0,0,0,2,0,0,0,0,0
nature,0,0,0,0,0,4,0,0,0,0,0
book,0,0,0,0,0,2,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,25,0
planet,0,0,0,0,0,49,0,0,0,0,0
solar,22,0,0,0,0,0,0,0,0,0,0
system,0,0,0,0,0,15,0,0,0,0,0
mainly,0,0,14,0,0,0,0,0,0,0,0
scientist,0,0,0,0,0,19,0,0,0,0,0
advantage,0,0,0,0,0,1,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,7,0
advent,0,0,0,0,0,1,0,0,0,0,0
helpful,1,0,0,0,0,0,0,0,0,0,0
technology,0,0,0,0,0,1,0,0,0,0,0
computer,0,0,0,0,0,1,0,0,0,0,0
manage,0,0,0,0,0,0,0,0,0,1,0
find,0,0,0,0,0,0,0,0,0,16,0
way,0,0,0,0,0,18,0,0,0,0,0
figure,0,0,0,0,0,2,0,0,0,1,0
certain,5,0,0,0,0,0,0,0,0,0,0
characteristic,3,0,0,0,0,4,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,14,0
size,0,0,0,0,0,14,0,0,0,0,0
shape,0,0,0,0,0,6,0,0,0,0,0
movement,0,0,0,0,0,4,0,0,0,0,0
measure,0,0,0,0,0,0,0,0,0,2,0
shadow,0,0,0,0,0,9,0,0,0,0,0
length,0,0,0,0,0,2,0,0,0,0,0
factor,0,0,0,0,0,1,0,0,0,1,0
distance,0,0,0,0,0,22,0,0,0,0,0
city,0,0,0,0,0,2,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,0,1,0
rough,1,0,0,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,5,0,0,0,2,0
circumference,0,0,0,0,0,4,0,0,0,0,0
physical,6,0,0,0,0,0,0,0,0,0,0
structure,0,0,0,0,0,10,0,0,0,0,0
test,0,0,0,0,0,1,0,0,0,1,0
observe,0,0,0,0,0,0,0,0,0,1,0
surface,1,0,0,0,0,60,0,0,0,0,0
layer,0,0,0,0,0,31,0,0,0,0,0
crust,0,0,0,0,0,21,0,0,0,0,0
material,0,0,0,0,0,18,0,0,0,0,0
deep,15,0,4,0,0,0,0,0,0,0,0
mantle,0,0,0,0,0,14,0,0,0,0,0
work,0,0,0,0,0,1,0,0,0,2,0
formula,0,0,0,0,0,2,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,1,0
happen,0,0,0,0,0,0,0,0,0,6,0
core,0,0,0,0,0,8,0,0,0,0,0
study,0,0,0,0,0,5,0,0,0,4,0
atmosphere,0,0,0,0,0,57,0,0,0,0,0
envelope,0,0,0,0,0,2,0,0,0,0,0
gas,0,0,0,0,0,20,0,0,0,0,0
surround,0,0,0,0,0,0,0,0,0,4,0
array,0,0,0,0,0,1,0,0,0,0,0
technique,0,0,0,0,0,2,0,0,0,0,0
tool,0,0,0,0,0,1,0,0,0,0,0
radar,0,0,0,0,0,1,0,0,0,0,0
tether,0,0,0,0,0,0,0,0,0,1,0
balloon,0,0,0,0,0,1,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,9,0
sophisticated,2,0,0,0,0,0,0,0,0,0,0
instrument,0,0,0,0,0,3,0,0,0,0,0
manned,3,0,0,0,0,0,0,0,0,0,0
space,0,0,0,0,0,11,0,0,0,0,0
mission,0,0,0,0,0,13,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,2,0
information,0,0,0,0,0,1,0,0,0,0,0
testing,0,0,0,0,0,1,0,0,0,0,0
rock,0,0,0,0,0,86,0,0,0,0,0
reveal,0,0,0,0,0,0,0,0,0,5,0
age,0,0,0,0,0,4,0,0,0,0,0
composition,0,0,0,0,0,11,0,0,0,0,0
rocket,0,0,0,0,0,1,0,0,0,0,0
math,0,0,0,0,0,1,0,0,0,0,0
observation,0,0,0,0,0,7,0,0,0,0,0
simple,3,0,0,0,0,0,0,0,0,0,0
deduction,0,0,0,0,0,1,0,0,0,0,0
guesstimate,0,0,0,0,0,0,0,0,0,1,0
measurement,0,0,0,0,0,4,0,0,0,0,0
exploration,0,0,0,0,0,2,0,0,0,0,0
experimentation,0,0,0,0,0,1,0,0,0,0,0
answer,0,0,0,0,0,0,0,0,0,1,0
question,0,0,0,0,0,3,0,0,0,0,0
dispel,0,0,0,0,0,0,0,0,0,1,0
myth,0,0,0,0,0,1,0,0,0,0,0
concern,0,0,0,0,0,0,0,0,0,1,0
mystery,0,0,0,0,0,1,0,0,0,0,0
solve,0,0,0,0,0,0,0,0,0,1,0
evolve,0,0,0,0,0,0,0,0,0,1,0
moon,0,0,0,0,0,4,0,0,0,0,0
home,0,0,0,0,0,2,0,0,0,0,0
life,0,0,0,0,0,17,0,0,0,0,0
share,0,0,0,0,0,0,0,0,0,1,0
property,0,0,0,0,0,6,0,0,0,0,0
history,0,0,0,0,0,6,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,6,0
support,0,0,0,0,0,0,0,0,0,2,0
near,13,14,1,0,0,0,0,0,0,0,0
environment,0,0,0,0,0,9,0,0,0,0,0
liquid,5,0,0,0,0,6,0,0,0,0,0
water,0,0,0,0,0,63,0,0,0,0,0
