word,ADJ,ADP,ADV,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
medieval,59,0,0,0,0,0,0,0,0,0
era,0,0,0,0,6,0,0,0,0,0
fall,0,0,0,0,1,0,0,0,2,0
century,0,0,0,0,77,0,0,0,0,0
beginning,0,0,0,0,3,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,2,0
isolated,1,0,0,0,0,0,0,0,0,0
backward,1,0,0,0,0,0,0,0,0,0
period,0,0,0,0,24,0,0,0,0,0
technologically,0,0,2,0,0,0,0,0,0,0
truth,0,0,0,0,1,0,0,0,0,0
invention,0,0,0,0,22,0,0,0,0,0
horse,0,0,0,0,22,0,0,0,0,0
collar,0,0,0,0,6,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,12,0
moldboard,0,0,0,0,2,0,0,0,0,0
turn,0,0,0,0,4,0,0,0,8,0
plow,0,0,0,0,12,0,0,0,1,0
vastly,0,0,1,0,0,0,0,0,0,0
improve,0,0,0,0,0,0,0,0,11,0
agricultural,14,0,0,0,0,0,0,0,0,0
output,0,0,0,0,2,0,0,0,0,0
use,0,0,0,0,22,0,0,0,4,0
watermill,0,0,0,0,1,0,0,0,0,0
mill,1,0,0,0,28,0,0,0,1,0
grain,0,0,0,0,3,0,0,0,0,0
aid,0,0,0,0,0,0,0,0,2,0
food,0,0,0,0,4,0,0,0,0,0
production,0,0,0,0,8,0,0,0,0,0
windmill,0,0,0,0,6,0,0,0,0,0
major,8,0,0,0,0,0,0,0,0,0
energy,0,0,0,0,7,0,0,0,0,0
source,0,0,0,0,13,0,0,0,0,0
mechanical,9,0,0,0,0,0,0,0,0,0
clock,0,0,0,0,20,0,0,0,0,0
later,4,0,13,0,0,0,0,0,0,0
watch,0,0,0,0,1,0,0,0,0,0
improvement,0,0,0,0,12,0,0,0,0,0
early,38,0,4,0,0,0,0,0,0,0
time,0,0,0,0,18,0,0,0,0,0
measure,0,0,0,0,0,0,0,0,5,0
device,0,0,0,0,10,0,0,0,0,0
lumber,0,0,0,0,1,0,0,0,0,0
flourish,0,0,0,0,0,0,0,0,4,0
construction,0,0,0,0,10,0,0,0,0,0
