word,ADJ,ADP,ADV,AUX,NOUN,NUM,PRON,SCONJ,VERB,X
rapid,12,0,0,0,0,0,0,0,0,0
pace,0,0,0,0,4,0,0,0,0,0
technological,47,0,0,0,0,0,0,0,0,0
change,0,0,0,0,11,0,0,0,6,0
century,0,0,0,0,62,0,0,0,0,0
make,0,0,0,0,0,0,0,0,12,0
difficult,5,0,0,0,0,0,0,0,0,0
recent,5,0,0,0,0,0,0,0,0,0
development,0,0,0,0,45,0,0,0,0,0
historical,3,0,0,0,0,0,0,0,0,0
perspective,0,0,0,0,2,0,0,0,0,0
new,37,0,0,0,0,0,0,0,0,0
material,1,0,0,0,20,0,0,0,0,0
range,0,0,0,0,9,0,0,0,1,0
synthetic,3,0,0,0,0,0,0,0,0,0
rubber,0,0,0,0,2,0,0,0,0,0
plastic,0,0,0,0,3,0,0,0,0,0
artificial,6,0,0,0,0,0,0,0,0,0
fabric,0,0,0,0,1,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,2,0
way,0,0,0,0,20,0,0,0,0,0
life,0,0,0,0,17,0,0,0,0,0
fashion,0,0,0,0,1,0,0,0,0,0
introduction,0,0,0,0,9,0,0,0,0,0
electric,11,0,0,0,0,0,0,0,0,0
streetcar,0,0,0,0,1,0,0,0,0,0
city,0,0,0,0,2,0,0,0,0,0
extend,0,0,0,0,0,0,0,0,2,0
distance,0,0,0,0,2,0,0,0,0,0
easily,0,0,3,0,0,0,0,0,0,0
cover,0,0,0,0,1,0,0,0,1,0
horse,0,0,0,0,1,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,14,0
establishment,0,0,0,0,5,0,0,0,0,0
assembly,0,0,0,0,8,0,0,0,0,0
line,0,0,0,0,7,0,0,0,0,0
automobile,0,0,0,0,11,0,0,0,0,0
inexpensive,1,0,0,0,0,0,0,0,0,0
afford,0,0,0,0,0,0,0,0,2,0
landscape,0,0,0,0,1,0,0,0,0,0
industrialize,0,0,0,0,0,0,0,0,2,0
nation,0,0,0,0,7,0,0,0,0,0
aircraft,0,0,0,0,14,0,0,0,0,0
industry,0,0,0,0,13,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,7,0
decade,0,0,0,0,10,0,0,0,0,0
powered,3,0,0,0,0,0,0,0,0,0
flight,0,0,0,0,11,0,0,0,0,0
brother,0,0,0,0,3,0,0,0,0,0
age,0,0,0,0,22,0,0,0,0,0
electronic,11,0,0,0,3,0,0,0,0,0
usher,0,0,0,0,0,0,0,0,1,0
send,0,0,0,0,0,0,0,0,3,0
transatlantic,2,0,0,0,0,0,0,0,0,0
radio,0,0,0,0,10,0,0,0,0,0
message,0,0,0,0,3,0,0,0,0,0
later,1,0,7,0,0,0,0,0,0,0
television,0,0,0,0,7,0,0,0,0,0
communication,0,0,0,0,22,0,0,0,0,0
entertainment,0,0,0,0,2,0,0,0,0,0
habit,0,0,0,0,2,0,0,0,0,0
early,15,0,6,0,0,0,0,0,0,0
compute,0,0,0,0,0,0,0,0,1,0
machine,0,0,0,0,14,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,3,0
take,0,0,0,0,0,0,0,0,16,0
invention,0,0,0,0,11,0,0,0,0,0
transistor,0,0,0,0,6,0,0,0,0,0
modern,24,0,0,0,0,0,0,0,0,0
computer,0,0,0,0,19,0,0,0,0,0
office,0,0,0,0,3,0,0,0,0,0
reality,0,0,0,0,4,0,0,0,0,0
nuclear,21,0,0,0,0,0,0,0,0,0
power,0,0,0,0,44,0,0,0,5,0
introduce,0,0,0,0,0,0,0,0,6,0
space,0,0,0,0,45,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,18,0
soviet,8,0,0,0,0,0,0,0,0,0
spacecraft,0,0,0,0,5,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,7,0
advance,0,0,0,0,11,0,0,0,4,0
science,0,0,0,0,24,0,0,0,0,0
require,0,0,0,0,0,0,0,0,4,0
adaptation,0,0,0,0,4,0,0,0,0,0
engineer,0,0,0,0,3,0,0,0,1,0
caption,0,0,0,0,4,0,0,0,0,21
technology,1,1,0,0,149,0,0,0,1,1
allow,0,0,0,0,0,0,0,0,5,0
exploration,0,0,0,0,9,0,0,0,0,0
rover,0,0,0,0,3,0,0,0,0,0
explore,0,0,0,0,0,0,0,0,8,0
selfie,0,0,0,0,1,0,0,0,0,0
start,0,0,0,0,0,0,0,0,1,0
well,2,0,1,0,0,0,0,0,0,0
sanitary,1,0,0,0,0,0,0,0,0,0
practice,0,0,0,0,1,0,0,0,1,0
expand,0,0,0,0,0,0,0,0,1,0
use,0,0,0,0,26,0,0,0,6,0
medicine,0,0,0,0,1,0,0,0,0,0
