word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
lady,0,0,0,0,0,0,0,9,0,0,0,0,0,0
reader,0,0,0,0,0,0,0,29,0,0,0,0,0,0
pardon,0,0,0,0,0,0,0,2,0,0,0,0,3,0
pause,0,0,0,0,0,0,0,2,0,0,0,0,5,0
moment,0,0,0,0,0,0,0,95,0,0,0,0,0,0
seek,0,0,0,0,0,0,0,0,0,0,0,0,12,0
thought,0,0,0,0,0,0,0,50,0,0,0,0,0,0
conceal,0,0,0,0,0,0,0,0,0,0,0,0,10,0
beneath,0,39,0,0,0,0,0,0,0,0,0,0,0,0
enigmatic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
word,0,0,0,0,0,0,0,59,0,0,0,0,0,0
archdeacon,0,0,0,0,0,0,0,77,0,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,0,0,0,12,0
book,0,0,0,0,0,0,0,37,0,0,0,0,0,0
edifice,0,0,0,0,0,0,0,37,0,0,0,0,0,0
mind,0,0,0,0,0,0,0,10,0,0,0,0,0,0
face,0,0,0,0,0,0,0,55,0,0,0,0,1,0
place,0,0,0,0,0,0,0,28,0,0,0,0,22,0
priestly,2,0,0,0,0,0,0,0,0,0,0,0,0,0
affright,0,0,0,0,0,0,0,4,0,0,0,0,0,0
priest,0,0,0,0,0,0,0,79,0,0,0,0,0,0
presence,0,0,0,0,0,0,0,12,0,0,0,0,0,0
new,17,0,0,0,0,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,0,0,0,1,0,0,0,0,0,0
print,0,0,0,0,0,0,0,0,0,0,0,0,9,0
press,0,0,0,0,0,0,0,11,0,0,0,0,13,0
terror,0,0,0,0,0,0,0,12,0,0,0,0,0,0
dazzle,0,0,0,0,0,0,0,0,0,0,0,0,7,0
amazement,0,0,0,0,0,0,0,7,0,0,0,0,0,0
man,0,0,0,0,0,0,0,140,0,0,0,0,0,0
sanctuary,0,0,0,0,0,0,0,4,0,0,0,0,0,0
luminous,5,0,0,0,0,0,0,0,0,0,0,0,0,0
pulpit,0,0,0,0,0,0,0,1,0,0,0,0,0,0
manuscript,0,0,0,0,0,0,0,7,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,0,62,0
alarm,0,0,0,0,0,0,0,1,0,0,0,0,4,0
similar,3,0,0,0,0,0,0,0,0,0,0,0,0,0
stupor,0,0,0,0,0,0,0,3,0,0,0,0,0,0
sparrow,0,0,0,0,0,0,0,3,0,0,0,0,0,0
behold,0,0,0,0,0,0,0,0,0,0,0,0,58,0
angel,0,0,0,0,0,0,0,8,0,0,0,0,0,0
unfold,0,0,0,0,0,0,0,0,0,0,0,0,2,0
million,0,0,0,0,0,0,0,1,2,0,0,0,0,0
wing,0,0,0,0,0,0,0,8,0,0,0,0,0,0
cry,0,0,0,0,0,0,0,12,0,0,0,0,27,0
prophet,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,0,0,43,0
emancipate,0,0,0,0,0,0,0,0,0,0,0,0,3,0
humanity,0,0,0,0,0,0,0,12,0,0,0,0,0,0
roar,0,0,0,0,0,0,0,0,0,0,0,0,1,0
swarm,0,0,0,0,0,0,0,1,0,0,0,0,5,0
future,1,0,0,0,0,0,0,2,0,0,0,0,0,0
intelligence,0,0,0,0,0,0,0,12,0,0,0,0,0,0
sap,0,0,0,0,0,0,0,3,0,0,0,0,1,0
faith,0,0,0,0,0,0,0,7,0,0,0,0,0,0
opinion,0,0,0,0,0,0,0,5,0,0,0,0,0,0
dethrone,0,0,0,0,0,0,0,0,0,0,0,0,2,0
belief,0,0,0,0,0,0,0,1,0,0,0,0,0,0
world,0,0,0,0,0,0,0,24,0,0,0,0,0,0
shake,0,0,0,0,0,0,0,1,0,0,0,0,18,0
prognostication,0,0,0,0,0,0,0,1,0,0,0,0,0,0
philosopher,0,0,0,0,0,0,0,11,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,0,75,0
human,40,0,0,0,0,0,0,0,0,0,0,0,0,0
volatilize,0,0,0,0,0,0,0,0,0,0,0,0,1,0
evaporate,0,0,0,0,0,0,0,0,0,0,0,0,1,0
theocratic,4,0,0,0,0,0,0,0,0,0,0,0,0,0
