word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
perspective,0,0,0,0,0,0,2,0,0,0,0,0,0
early,148,0,7,0,0,0,0,0,0,0,0,0,0
century,0,0,0,0,0,0,28,0,0,0,0,0,0
difficult,4,0,0,0,0,0,0,0,0,0,0,0,0
appreciate,0,0,0,0,0,0,0,0,0,0,0,2,0
threatening,2,0,0,0,0,0,0,0,0,0,0,0,0
rock,0,0,0,0,0,0,264,0,0,0,0,8,0
roll,0,0,0,0,0,0,133,0,0,0,0,4,0
mainstream,6,0,0,0,0,0,4,0,0,0,0,0,0
culture,0,0,0,0,0,0,26,0,0,0,0,0,0
exciting,3,0,0,0,0,0,0,0,0,0,0,0,0
young,62,0,0,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,22,0,0,0,0,0,0
inception,0,0,0,0,0,0,1,0,0,0,0,0,0
surprising,2,0,0,0,0,0,0,0,0,0,0,0,0
longtime,3,0,0,0,0,0,0,0,0,0,0,0,0
director,0,0,0,0,0,0,5,0,0,0,0,0,0
man,0,0,0,0,0,0,33,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,0,26,0
calm,1,0,0,0,0,0,0,0,0,0,0,1,0
assessment,0,0,0,0,0,0,1,0,0,0,0,0,0
social,19,0,0,0,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,19,0,0,0,0,27,0
believe,0,0,0,0,0,0,0,0,0,0,0,5,0
repulsive,1,0,0,0,0,0,0,0,0,0,0,0,0
right,11,0,14,0,0,0,13,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,0,4,0
whip,0,0,0,0,0,0,0,0,0,0,0,1,0
bobby,0,0,0,0,0,0,2,0,0,0,0,0,0
soxer,0,0,0,0,0,0,2,0,0,0,0,0,0
fan,0,0,0,0,0,0,18,0,0,0,0,0,0
frenzy,0,0,0,0,0,0,2,0,0,0,0,0,0
call,0,0,0,0,0,0,2,0,0,0,0,40,0
phony,1,0,0,0,0,0,0,0,0,0,0,0,0
false,1,0,0,0,0,0,0,0,0,0,0,0,0
sing,0,0,0,0,0,0,1,0,0,0,0,59,0
write,0,0,0,0,0,0,0,0,0,0,0,79,0
play,0,0,0,0,0,0,6,0,0,0,0,163,0
cretinous,1,0,0,0,0,0,0,0,0,0,0,0,0
goon,0,0,0,0,0,0,1,0,0,0,0,0,0
unholy,1,0,0,0,0,0,0,0,0,0,0,0,0
salacious,2,0,0,0,0,0,0,0,0,0,0,0,0
plot,0,0,0,0,0,0,4,0,0,0,0,0,0
undermine,0,0,0,0,0,0,0,0,0,0,0,2,0
