word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
planet,0,0,0,0,0,262,0,0,0,0
solar,72,0,0,0,0,0,0,0,0,0
system,0,0,0,0,0,94,0,0,0,0
call,0,0,0,0,0,0,0,0,13,0
outer,43,0,0,0,0,0,0,0,0,0
large,87,0,0,0,0,0,0,0,0,0
inner,25,0,0,0,0,0,0,0,0,0
deep,15,0,3,0,0,0,0,0,0,0
gaseous,8,0,0,0,0,0,0,0,0,0
atmosphere,0,0,0,0,0,112,0,0,0,0
nickname,0,0,0,0,0,0,0,0,1,0
gas,0,0,0,0,0,30,0,0,0,0
giant,25,0,0,0,0,3,0,0,0,0
outstanding,1,0,0,0,0,0,0,0,0,0
representative,0,0,0,0,0,1,0,0,0,0
group,0,0,0,0,0,9,0,0,0,0
know,0,0,0,0,0,0,0,0,39,0
jovian,18,0,0,0,0,0,0,0,0,0
like,1,31,0,0,0,0,0,0,0,0
solid,25,0,0,0,0,2,0,0,0,0
surface,0,0,0,0,0,79,0,0,0,0
consist,0,0,0,0,0,0,0,0,14,0
mainly,0,0,3,0,0,0,0,0,0,0
liquid,12,0,0,0,0,6,0,0,0,0
hydrogen,0,0,0,0,0,73,0,0,0,0
helium,0,0,0,0,0,38,0,0,0,0
melt,0,0,0,0,0,0,0,0,4,0
ice,0,0,0,0,0,57,0,0,0,0
molten,5,0,0,0,0,0,0,0,0,0
rock,0,0,0,0,0,9,0,0,1,0
twice,0,0,3,0,4,0,0,0,0,0
dense,17,0,0,0,0,0,0,0,0,0
water,0,0,0,0,0,57,0,0,0,0
fact,0,0,0,0,0,10,0,0,0,0
density,0,0,0,0,0,38,0,0,0,0
low,38,0,0,0,0,0,0,0,0,0
float,0,0,0,0,0,0,0,0,2,0
form,0,0,0,0,0,7,0,0,36,0
temperature,0,0,0,0,0,39,0,0,0,0
high,37,0,1,0,0,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,7,0
abundant,7,0,0,0,0,0,0,0,0,0
volatile,4,0,0,0,0,0,0,0,0,0
substance,0,0,0,0,0,4,0,0,0,0
comparatively,0,0,2,0,0,0,0,0,0,0
freezing,1,0,0,0,0,1,0,0,0,0
carbon,0,0,0,0,0,14,0,0,0,0
dioxide,0,0,0,0,0,8,0,0,0,0
ammonia,0,0,0,0,0,18,0,0,0,0
condense,0,0,0,0,0,0,0,0,8,0
remain,0,0,0,0,0,0,0,0,11,0
small,70,0,0,0,0,0,0,0,0,0
rocky,10,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,24,0,0,0,0
contrast,0,0,0,0,0,12,0,0,0,0
rich,9,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,42,0,0,0,0
astronomer,0,0,0,0,0,21,0,0,0,0
dub,0,0,0,0,0,0,0,0,2,0
snow,0,0,0,0,0,2,0,0,0,0
line,0,0,0,0,0,12,0,0,0,0
minimum,1,0,0,0,0,1,0,0,0,0
radius,0,0,0,0,0,31,0,0,0,0
accretion,0,0,0,0,0,6,0,0,0,0
icy,13,0,0,0,0,0,0,0,0,0
planetesimal,1,0,0,0,0,9,0,0,0,0
produce,0,0,0,0,0,0,0,0,21,0
object,0,0,0,0,0,28,0,0,0,0
masse,0,0,0,0,0,5,0,0,0,0
time,0,0,0,0,0,43,0,0,0,0
sufficient,2,0,0,0,0,0,0,0,0,0
cause,0,0,0,0,0,3,0,0,13,0
gravitational,14,0,0,0,0,0,0,0,0,0
collapse,0,0,0,0,0,3,0,0,0,0
surround,0,0,0,0,0,0,0,0,13,0
dust,0,0,0,0,0,14,0,0,0,0
nebula,0,0,0,0,0,9,0,0,0,0
grow,0,0,0,0,0,0,0,0,3,0
composition,0,0,0,0,0,26,0,0,0,0
approach,0,0,0,0,0,3,0,0,3,0
dominant,1,0,0,0,0,0,0,0,0,0
element,0,0,0,0,0,15,0,0,0,0
magnetic,67,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,95,0,0,0,0
ring,0,0,0,0,0,164,0,0,0,0
moon,0,0,0,0,0,155,0,0,0,0
likely,6,0,3,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,26,0
respective,4,0,0,0,0,0,0,0,0,0
direction,0,0,0,0,0,22,0,0,0,0
orbit,0,0,0,0,0,78,0,0,33,0
extremely,0,0,5,0,0,0,0,0,0,0
diverse,1,0,0,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,5,0
wide,4,0,1,0,0,0,0,0,0,0
range,0,0,0,0,0,13,0,0,7,0
environment,0,0,0,0,0,3,0,0,0,0
wrack,0,0,0,0,0,0,0,0,1,0
intense,4,0,0,0,0,0,0,0,0,0
volcanism,0,0,0,0,0,3,0,0,0,0
exhibit,0,0,0,0,0,0,0,0,8,0
primitive,3,0,0,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,9,0
retrograde,11,0,0,0,0,1,0,0,1,0
opposite,11,1,3,0,0,0,0,0,0,0
feature,0,0,0,0,0,18,0,0,1,0
plume,0,0,0,0,0,5,0,0,0,0
material,0,0,0,0,0,30,0,0,0,0
rise,0,0,0,0,0,3,0,0,5,0
tenuous,3,0,0,0,0,0,0,0,0,0
book,0,0,0,0,0,1,0,0,0,0
explore,0,0,0,0,0,0,0,0,3,0
characteristic,3,0,0,0,0,7,0,0,0,0
massive,18,0,0,0,0,0,0,0,0,0
fit,0,0,0,0,0,0,0,0,3,0
inside,0,7,0,0,0,1,0,0,0,0
fifth,2,0,1,0,0,0,0,0,0,0
world,0,0,0,0,0,8,0,0,0,0
extreme,2,0,1,0,0,0,0,0,0,0
complex,11,0,0,0,0,1,0,0,0,0
weather,0,0,0,0,0,3,0,0,0,0
pattern,0,0,0,0,0,13,0,0,1,0
include,0,0,0,0,0,0,0,0,12,0
orange,2,0,0,0,0,1,0,0,0,0
red,9,0,0,0,0,0,0,0,0,0
oval,1,0,0,0,0,3,0,0,0,0
long,3,0,9,0,0,0,0,0,0,0
last,0,0,0,0,0,0,0,0,3,0
storm,0,0,0,0,0,13,0,0,0,0
big,3,0,0,0,0,0,0,0,0,0
bright,19,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,2,0,0,0,0
sky,0,0,0,0,0,2,0,0,0,0
brilliant,1,0,0,0,0,0,0,0,0,0
easily,0,0,2,0,0,0,0,0,0,0
visible,19,0,0,0,0,0,0,0,0,0
unaided,3,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,4,0,0,0,0
nontwinkling,1,0,0,0,0,0,0,0,0,0
point,0,0,0,0,0,7,0,0,5,0
light,8,0,1,0,0,12,0,0,0,0
gird,0,0,0,0,0,0,0,0,1,0
extraordinary,2,0,0,0,0,0,0,0,0,0
compose,0,0,0,0,0,0,0,0,13,0
dusty,2,0,0,0,0,0,0,0,0,0
chunk,0,0,0,0,0,2,0,0,0,0
arguably,0,0,1,0,0,0,0,0,0,0
sublime,1,0,0,0,0,0,0,0,0,0
seventh,2,0,0,0,0,0,0,0,0,0
dazzle,0,0,0,0,0,0,0,0,2,0
blue,9,0,0,0,0,1,0,0,0,0
green,5,0,0,0,0,0,0,0,0,0
methane,0,0,0,0,0,25,0,0,0,0
wind,0,0,0,0,0,30,0,0,0,0
strong,10,0,0,0,0,0,0,0,0,0
eighth,2,0,0,0,0,0,0,0,0,0
diameter,0,0,0,0,0,19,0,0,0,0
stormy,2,0,0,0,0,0,0,0,0,0
windswept,2,0,0,0,0,0,0,0,0,0
vivid,4,0,0,0,0,0,0,0,0,0
hue,0,0,0,0,0,2,0,0,0,0
highly,0,0,14,0,0,0,0,0,0,0
active,10,0,0,0,0,0,0,0,0,0
surprising,3,0,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,10,0
little,8,0,2,0,0,0,0,0,0,0
sunlight,0,0,0,0,0,18,0,0,0,0
power,0,0,0,0,0,0,0,0,2,0
unique,5,0,0,0,0,0,0,0,0,0
exotic,1,0,0,0,0,0,0,0,0,0
scientist,0,0,0,0,0,17,0,0,0,0
gain,0,0,0,0,0,1,0,0,2,0
ability,0,0,0,0,0,1,0,0,0,0
distant,4,0,0,0,0,0,0,0,0,0
neighbour,0,0,0,0,0,3,0,0,1,0
well,1,0,3,0,0,0,0,0,0,0
understanding,0,0,0,0,0,2,0,0,0,0
history,0,0,0,0,0,6,0,0,0,0
formation,0,0,0,0,0,12,0,0,0,0
ancient,3,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0,12,0
roman,8,0,0,0,0,0,0,0,0,0
ruler,0,0,0,0,0,1,0,0,0,0
god,0,0,0,0,0,7,0,0,0,0
heaven,0,0,0,0,0,1,0,0,0,0
idea,0,0,0,0,0,1,0,0,0,0
true,5,0,0,0,0,0,0,0,0,0
dimension,0,0,0,0,0,4,0,0,0,0
appropriate,1,0,0,0,0,0,0,0,0,0
combine,0,0,0,0,0,0,0,0,5,0
take,0,0,0,0,0,0,0,0,15,0
nearly,0,0,26,0,0,0,0,0,0,0
year,0,0,0,0,0,40,0,0,0,0
rotate,0,0,0,0,0,0,0,0,14,0
hour,0,0,0,0,0,32,0,0,0,0
fast,4,0,2,0,0,0,0,0,0,0
colourful,1,0,0,0,0,0,0,0,0,0
cloud,0,0,0,0,0,69,0,0,0,0
band,0,0,0,0,0,9,0,0,0,0
see,0,0,0,0,0,0,0,0,23,0
telescope,0,0,0,0,0,19,0,0,0,0
narrow,8,0,0,0,0,0,0,0,0,0
speculate,0,0,0,0,0,0,0,0,2,0
hide,0,0,0,0,0,0,0,0,2,0
ocean,0,0,0,0,0,9,0,0,0,0
warm,4,0,0,0,0,0,0,0,1,0
possibly,0,0,9,0,0,0,0,0,0,0
kind,0,0,0,0,0,3,0,0,0,0
life,0,0,0,0,0,6,0,0,0,0
beneath,0,4,0,0,0,0,0,0,0,0
crust,0,0,0,0,0,9,0,0,0,0
give,0,0,0,0,0,0,0,0,12,0
proportion,0,0,0,0,0,9,0,0,0,0
huge,7,0,0,0,0,0,0,0,0,0
mass,0,0,0,0,0,27,0,0,0,0
traditional,2,0,0,0,0,0,0,0,0,0
assume,0,0,0,0,0,0,0,0,4,0
condensation,0,0,0,0,0,2,0,0,0,0
primordial,5,0,0,0,0,0,0,0,0,0
hypothesis,0,0,0,0,0,2,0,0,0,0
imply,0,0,0,0,0,0,0,0,10,0
present,28,0,0,0,0,0,0,0,0,0
occur,0,0,0,0,0,0,0,0,22,0
recent,8,0,0,0,0,0,0,0,0,0
evidence,0,0,0,0,0,14,0,0,0,0
indicate,0,0,0,0,0,0,0,0,20,0
elemental,4,0,0,0,0,0,0,0,0,0
differ,0,0,0,0,0,0,0,0,3,0
