word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PUNCT,SCONJ,VERB,X
spice,0,0,0,0,0,16,0,0,0,0,0
decision,0,0,0,0,0,6,0,0,0,0,0
fact,0,0,0,0,0,12,0,0,0,0,0
compel,0,0,0,0,0,0,0,0,0,1,0
practical,4,0,0,0,0,0,0,0,0,0,0
matter,0,0,0,0,0,7,0,0,0,0,0
proposal,0,0,0,0,0,5,0,0,0,0,0
ruler,0,0,0,0,0,36,0,0,0,0,0
block,0,0,0,0,0,0,0,0,0,3,0
dominate,0,0,0,0,0,0,0,0,0,3,0
idea,0,0,0,0,0,14,0,0,0,0,0
globe,0,0,0,0,0,14,0,0,0,0,0
see,0,0,0,0,0,1,0,0,0,17,0
wealth,0,0,0,0,0,16,0,0,0,0,0
security,0,0,0,0,0,3,0,0,0,0,0
expect,0,0,0,0,0,0,0,0,0,5,0
clear,13,0,0,0,0,0,0,0,0,1,0
path,0,0,0,0,0,2,0,0,0,0,0
explain,0,0,0,0,0,0,0,0,0,5,0
faulty,1,0,0,0,0,0,0,0,0,0,0
assumption,0,0,0,0,0,1,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,6,0
island,0,0,0,0,0,36,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,0,13,0
mainland,0,0,0,0,0,6,0,0,0,0,0
return,0,0,0,0,0,29,0,0,0,55,0
justify,0,0,0,0,0,0,0,0,0,1,0
trans,1,0,0,0,0,0,0,0,0,0,0
atlantic,7,0,0,0,0,0,0,0,0,0,0
popularly,0,0,1,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,1,0
brief,6,0,0,0,0,0,0,0,0,0,0
initial,2,0,0,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,3,0,0,0,37,0
foreshadow,0,0,0,0,0,0,0,0,0,1,0
negative,1,0,0,0,0,0,0,0,0,0,0
aspect,0,0,0,0,0,4,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,20,0
treasure,0,0,0,0,0,1,0,0,0,0,0
loot,0,0,0,0,0,0,0,0,0,1,0
human,7,0,0,0,0,0,0,0,0,0,0
captive,0,0,0,0,0,4,0,0,0,0,0
conversion,0,0,0,0,0,5,0,0,0,0,0
settlement,0,0,0,0,0,5,0,0,0,0,0
colonization,0,0,0,0,0,7,0,0,0,0,0
total,1,0,0,0,0,1,0,0,0,0,0
insist,0,0,0,0,0,0,0,0,0,2,0
discover,0,0,0,0,0,0,0,0,0,38,0
course,0,0,0,0,0,10,0,0,0,0,0
entirely,0,0,7,0,0,0,0,0,0,0,0
mass,0,0,0,0,0,2,0,0,0,0,0
type,0,0,0,0,0,3,0,0,0,0,0
mistake,0,0,0,0,0,3,0,0,0,1,0
unique,1,0,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,6,0,0,0,0,0
late,12,0,4,0,0,0,0,0,0,0,0
accidentally,0,0,1,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,6,0
hospitable,2,0,0,0,0,0,0,0,0,0,0
acknowledge,0,0,0,0,0,0,0,0,0,3,0
error,0,0,0,0,0,4,0,0,0,0,0
complete,2,0,0,0,0,0,0,0,0,8,0
comprehension,0,0,0,0,0,1,0,0,0,0,0
importance,0,0,0,0,0,7,0,0,0,0,0
piece,0,0,0,0,0,3,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,5,0
puzzle,0,0,0,0,0,1,0,0,0,1,0
map,0,0,0,0,0,34,0,0,0,0,0
behalf,0,0,0,0,0,5,0,0,0,0,0
demonstrate,0,0,0,0,0,0,0,0,0,6,0
write,0,0,0,0,0,0,0,0,0,22,0
notion,0,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,18,0
derive,0,0,0,0,0,0,0,0,0,3,0
country,0,0,1,0,0,22,0,0,0,0,0
falling,0,0,0,0,0,1,0,0,0,0,0
transfer,0,0,0,0,0,1,0,0,0,1,0
allegiance,0,0,0,0,0,3,0,0,0,0,0
rivalry,0,0,0,0,0,2,0,0,0,0,0
propose,0,0,0,0,0,0,0,0,0,5,0
circumnavigate,0,0,0,0,0,0,0,0,0,1,0
essentially,0,0,1,0,0,0,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,9,0
line,0,0,0,0,0,13,0,0,0,0,0
designate,0,0,0,0,0,0,0,0,0,2,0
eye,0,0,0,0,0,6,0,0,0,0,0
eastern,21,0,0,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,2,0,0,0,12,0
kill,0,0,0,0,0,0,0,0,0,10,0
eventually,0,0,8,0,0,0,0,0,0,0,0
circumnavigation,0,0,0,0,0,7,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,26,0
commercial,4,0,0,0,0,0,0,0,0,0,0
jockey,0,0,0,0,0,0,0,0,0,1,0
member,0,0,0,0,0,5,0,0,0,0,0
royal,18,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,6,0,0,0,0,0
frequently,0,0,4,0,0,0,0,0,0,0,0
back,0,0,0,0,0,0,0,0,0,2,0
earn,0,0,0,0,0,0,0,0,0,3,0
sobriquet,0,0,0,0,0,1,0,0,0,0,0
finance,0,0,0,0,0,1,0,0,0,10,0
participate,0,0,0,0,0,0,0,0,0,4,0
interest,0,0,0,0,0,8,0,0,0,1,0
enhance,0,0,0,0,0,0,0,0,0,3,0
old,15,0,0,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,21,0,0,0,0,0
translate,0,0,0,0,0,0,0,0,0,5,0
motive,0,0,0,0,0,8,0,0,0,0,0
offshore,0,0,2,0,0,0,0,0,0,0,0
primarily,0,0,4,0,0,0,0,0,0,0,0
base,0,0,0,0,0,2,0,0,0,9,0
revive,0,0,0,0,0,0,0,0,0,3,0
tradition,0,0,0,0,0,6,0,0,0,0,0
southward,1,0,12,0,0,0,0,0,0,0,0
lay,0,0,0,0,0,0,0,0,0,5,0
groundwork,0,0,0,0,0,2,0,0,0,0,0
power,0,0,0,0,0,23,0,0,0,0,0
desire,0,0,0,0,0,4,0,0,0,0,0
thirst,0,0,0,0,0,2,0,0,0,0,0
varied,1,0,0,0,0,0,0,0,0,0,0
motivation,0,0,0,0,0,1,0,0,0,0,0
sufficient,2,0,0,0,0,0,0,0,0,0,0
drive,0,0,0,0,0,0,0,0,0,5,0
geographic,5,0,0,0,0,0,0,0,0,0,0
evolution,0,0,0,0,0,1,0,0,0,0,0
global,1,0,0,0,0,0,0,0,0,0,0
society,0,0,0,0,0,3,0,0,0,0,0
page,0,0,0,0,0,2,0,0,0,0,0
ahead,0,0,1,0,0,0,0,0,0,0,0
rank,0,0,0,0,0,3,0,0,0,0,0
king,0,0,0,0,0,44,0,0,0,0,0
commoner,0,0,0,0,0,1,0,0,0,0,0
scholar,0,0,0,0,0,12,0,0,0,0,0
seaman,0,0,0,0,0,8,0,0,0,0,0
dream,0,0,0,0,0,1,0,0,0,1,0
combination,0,0,0,0,0,3,0,0,0,0,0
circumstance,0,0,0,0,0,3,0,0,0,0,0
stimulate,0,0,0,0,0,0,0,0,0,1,0
pursuit,0,0,0,0,0,3,0,0,0,0,0
end,0,0,0,0,0,22,0,0,0,6,0
vast,10,0,0,0,0,0,0,0,0,0,0
break,0,0,0,0,0,0,0,0,0,8,0
merchant,0,0,0,0,0,21,0,0,0,0,0
assure,0,0,0,0,0,0,0,0,0,4,0
safe,2,0,0,0,0,0,0,0,0,0,0
passage,0,0,0,0,0,11,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,20,0
compound,0,0,0,0,0,0,0,0,0,3,0
problem,0,0,0,0,0,9,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,5,0
hostile,3,0,0,0,0,0,0,0,0,0,0
access,0,0,0,0,0,1,0,0,0,1,0
ancient,3,0,0,0,0,0,0,0,0,0,0
close,6,0,1,0,0,2,0,0,0,3,0
lure,0,0,0,0,0,1,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,7,0
reign,0,0,0,0,0,9,0,0,0,3,0
roman,11,0,0,0,0,0,0,0,0,0,0
emperor,0,0,0,0,0,20,0,0,0,0,0
bce,0,0,0,0,0,1,0,0,0,0,0
penetrate,0,0,0,0,0,0,0,0,0,1,0
northward,0,0,2,0,0,0,0,0,0,0,0
accord,0,0,0,0,0,2,0,0,0,20,0
chinese,7,0,0,0,0,0,0,0,0,0,0
record,0,0,0,0,0,4,0,0,0,6,0
embassy,0,0,0,0,0,2,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,18,0
good,14,0,0,0,0,5,0,0,0,0,0
gratefully,0,0,1,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,20,0
tribute,0,0,0,0,0,2,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,18,0
decline,0,0,0,0,0,0,0,0,0,1,0
cease,0,0,0,0,0,0,0,0,0,1,0
gradually,0,0,2,0,0,0,0,0,0,0,0
derring,0,0,0,0,0,1,0,0,0,0,0
hero,0,0,0,0,0,4,0,0,0,0,0
collection,0,0,0,0,0,4,0,0,0,0,0
arabian,1,0,0,0,0,0,0,0,0,0,0
fiction,0,0,0,0,0,1,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,6,0
adventurous,2,0,0,0,0,0,0,0,0,0,0
arab,13,0,0,0,0,0,0,0,0,0,0
sailor,0,0,0,0,0,14,0,0,0,0,0
outline,0,0,0,0,0,1,0,0,0,0,0
depict,0,0,0,0,0,0,0,0,0,3,0
horizon,0,0,0,0,0,3,0,0,0,0,0
geographer,0,0,0,0,0,9,0,0,0,0,0
courtesy,0,0,0,0,0,1,0,0,0,0,0
trustee,0,0,0,0,0,1,0,0,0,0,0
photograph,0,0,0,0,0,1,0,0,0,0,0
flourish,0,0,0,0,0,0,0,0,0,2,0
history,0,0,0,0,0,11,0,0,0,0,0
mainly,0,0,5,0,0,0,0,0,0,0,0
astronomer,0,0,0,0,0,2,0,0,0,0,0
mathematician,0,0,0,0,0,3,0,0,0,0,0
fame,0,0,0,0,0,5,0,0,0,0,0
hardly,0,0,5,0,0,0,0,0,0,0,0
monumental,1,0,0,0,0,0,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,0,7,0
volume,0,0,0,0,0,4,0,0,0,0,0
discuss,0,0,0,0,0,0,0,0,0,1,0
principle,0,0,0,0,0,3,0,0,0,0,0
deal,0,0,0,0,0,0,0,0,0,2,0
projection,0,0,0,0,0,1,0,0,0,0,0
construction,0,0,0,0,0,1,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,10,0
list,0,0,0,0,0,3,0,0,0,0,0
place,0,0,0,0,0,14,0,0,0,6,0
approximate,2,0,0,0,0,0,0,0,0,0,0
latitude,0,0,0,0,0,7,0,0,0,0,0
longitude,0,0,0,0,0,2,0,0,0,0,0
observation,0,0,0,0,0,2,0,0,0,0,0
number,0,0,0,0,0,12,0,0,0,0,0
location,0,0,0,0,0,3,0,0,0,0,0
determine,0,0,0,0,0,0,0,0,0,2,0
approximation,0,0,0,0,0,1,0,0,0,0,0
distance,0,0,0,0,0,12,0,0,0,0,0
direction,0,0,0,0,0,6,0,0,0,0,0
eighth,1,0,0,0,0,0,0,0,0,0,0
contribution,0,0,0,0,0,3,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,4,0
instruction,0,0,0,0,0,5,0,0,0,0,0
prepare,0,0,0,0,0,0,0,0,0,7,0
discussion,0,0,0,0,0,1,0,0,0,0,0
mathematical,1,0,0,0,0,0,0,0,0,0,0
fundamental,3,0,0,0,0,0,0,0,0,0,0
cartography,0,0,0,0,0,1,0,0,0,0,0
information,0,0,0,0,0,10,0,0,0,0,0
require,0,0,0,0,0,0,0,0,0,5,0
portion,0,0,0,0,0,3,0,0,0,0,0
contemporary,5,0,0,0,0,6,0,0,0,0,0
