word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
wild,3,0,0,0,0,0,0,0,0,0,0,0,0
burst,0,0,0,0,0,0,2,0,0,0,0,8,0
laughter,0,0,0,0,0,0,5,0,0,0,0,0,0
face,0,0,0,0,0,0,43,0,0,0,0,2,0
world,0,0,0,0,0,0,18,0,0,0,0,0,0
true,9,0,0,0,0,0,0,0,0,0,0,0,0
capture,0,0,0,0,0,0,3,0,0,0,0,3,0
big,5,0,0,0,0,0,0,0,0,0,0,0,0
sensation,0,0,0,0,0,0,6,0,0,0,0,0,0
public,9,0,0,0,0,0,11,0,0,0,0,0,0
grudge,0,0,0,0,0,0,0,0,0,0,0,1,0
police,0,0,0,0,0,0,24,0,0,0,0,0,0
praise,0,0,0,0,0,0,2,0,0,0,0,0,0
deserve,0,0,0,0,0,0,0,0,0,0,0,1,0
revenge,0,0,0,0,0,0,3,0,0,0,0,2,0
long,26,0,28,0,0,0,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,4,0,0,0,0,11,0
fully,0,0,3,0,0,0,0,0,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,0,0,0,12,0
great,46,0,0,0,0,0,0,0,0,0,0,0,0
adventurer,0,0,0,0,0,0,6,0,0,0,0,0,0
catch,0,0,0,0,0,0,0,0,0,0,0,19,0
extraordinary,5,0,0,0,0,0,0,0,0,0,0,0,0
genial,1,0,0,0,0,0,0,0,0,0,0,0,0
invisible,7,0,0,0,0,0,0,0,0,0,0,0,0
hero,0,0,0,0,0,0,3,0,0,0,0,0,0
shiver,0,0,0,0,0,0,0,0,0,0,0,3,0
like,1,56,0,0,0,0,0,0,0,0,0,20,0
ordinary,4,0,0,0,0,0,1,0,0,0,0,0,0
criminal,3,0,0,0,0,0,4,0,0,0,0,0,0
wall,0,0,0,0,0,0,30,0,0,0,0,0,0
prison,0,0,0,0,0,0,40,0,0,0,0,0,0
cell,0,0,0,0,0,0,22,0,0,0,0,0,0
crush,0,0,0,0,0,0,0,0,0,0,0,7,0
turn,0,0,0,0,0,0,15,0,0,0,0,39,0
formidable,12,0,0,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,27,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,24,0
