word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
late,1,0,4,0,0,0,0,0,0,0,0,0,0,0
afternoon,0,0,0,0,0,0,7,0,0,0,0,0,0,0
chilly,1,0,0,0,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,65,0,0,0,0,0,0,0
gentleman,0,0,0,0,0,0,42,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,0,70,0
wine,0,0,0,0,0,0,3,0,0,0,0,0,0,0
furnish,0,0,0,0,0,0,0,0,0,0,0,0,2,0
dining,0,0,0,0,0,0,2,0,0,0,0,0,0,0
parlor,0,0,0,0,0,0,17,0,0,0,0,0,0,0
town,0,0,0,0,0,0,3,0,0,0,0,0,0,0
servant,0,0,0,0,0,0,17,0,0,0,0,0,1,0
present,15,0,0,0,0,0,3,0,0,0,0,0,4,0
chair,0,0,0,0,0,0,35,0,0,0,0,0,0,0
closely,0,0,1,0,0,0,0,0,0,0,0,0,0,0
approach,0,0,0,0,0,0,4,0,0,0,0,0,9,0
discuss,0,0,0,0,0,0,0,0,0,0,0,0,2,0
subject,1,0,0,0,0,0,8,0,0,0,0,0,0,0
great,86,0,0,0,0,0,0,0,0,0,0,0,0,0
earnestness,0,0,0,0,0,0,6,0,0,0,0,0,0,0
convenience,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sake,0,0,0,0,0,0,10,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,0,768,0
hitherto,0,0,2,0,0,0,0,0,0,0,0,0,0,0
party,0,0,0,0,0,0,7,0,0,0,0,0,0,0
critically,0,0,2,0,0,0,0,0,0,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,0,0,0,6,0
strictly,0,0,4,0,0,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,0,0,40,0
come,0,0,0,0,0,0,0,0,0,0,0,0,227,0
specie,0,0,0,0,0,0,2,0,0,0,0,0,0,0
short,18,0,0,0,0,0,0,0,0,0,0,0,0,0
thick,6,0,0,0,0,0,0,0,0,0,0,0,0,0
set,1,0,0,0,0,0,4,0,0,0,0,0,34,0
man,0,0,0,0,0,0,231,0,0,0,0,0,0,0
coarse,7,0,0,0,0,0,0,0,0,0,0,0,0,0
commonplace,1,0,0,0,0,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,9,0,0,0,0,0,0,0
swaggering,1,0,0,0,0,0,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,43,0,0,0,0,0,0,0
pretension,0,0,0,0,0,0,4,0,0,0,0,0,0,0
mark,0,0,0,0,0,0,6,0,0,0,0,0,10,0
low,19,0,1,0,0,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,0,0,39,0
elbow,0,0,0,0,0,0,3,0,0,0,0,0,2,0
way,0,0,4,0,0,0,122,0,0,0,0,0,0,0
upward,0,0,3,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,33,0,0,0,0,0,0,0
dress,0,0,0,0,0,0,8,0,0,0,0,0,13,0
gaudy,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vest,0,0,0,0,0,0,1,0,0,0,0,0,0,0
color,0,0,0,0,0,0,9,0,0,0,0,0,1,0
blue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
neckerchief,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bedroppe,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gayly,0,0,3,0,0,0,0,0,0,0,0,0,0,0
yellow,6,0,0,0,0,0,0,0,0,0,0,0,0,0
spot,0,0,0,0,0,0,8,0,0,0,0,0,0,0
arrange,0,0,0,0,0,0,0,0,0,0,0,0,10,0
flaunting,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tie,0,0,0,0,0,0,3,0,0,0,0,0,8,0
keeping,0,0,0,0,0,0,3,0,0,0,0,0,0,0
general,17,0,0,0,0,0,1,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,141,0,0,0,0,0,10,0
large,41,0,0,0,0,0,0,0,0,0,0,0,0,0
plentifully,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bedeck,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ring,0,0,0,0,0,0,3,0,0,0,0,0,5,0
wear,0,0,0,0,0,0,2,0,0,0,0,0,13,0
heavy,23,0,0,0,0,0,0,0,0,0,0,0,0,0
gold,0,0,0,0,0,0,5,0,0,0,0,0,0,0
watch,0,0,0,0,0,0,4,0,0,0,0,0,9,0
chain,0,0,0,0,0,0,5,0,0,0,0,0,5,0
bundle,0,0,0,0,0,0,9,0,0,0,0,0,0,0
seal,0,0,0,0,0,0,1,0,0,0,0,0,0,0
portentous,2,0,0,0,0,0,0,0,0,0,0,0,0,0
size,0,0,0,0,0,0,3,0,0,0,0,0,0,0
variety,0,0,0,0,0,0,8,0,0,0,0,0,0,0
attach,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ardor,0,0,0,0,0,0,1,0,0,0,0,0,0,0
conversation,0,0,0,0,0,0,20,0,0,0,0,0,0,0
habit,0,0,0,0,0,0,7,0,0,0,0,0,0,0
flourish,0,0,0,0,0,0,4,0,0,0,0,0,6,0
jingle,0,0,0,0,0,0,0,0,0,0,0,0,1,0
