word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
live,0,0,0,0,0,0,0,0,0,35,0
floor,0,0,0,0,0,12,0,0,0,1,0
remember,0,0,0,0,0,0,0,0,0,23,0
move,0,0,0,0,0,0,0,0,0,10,0
lot,0,0,0,0,0,14,0,0,0,0,0
time,0,0,0,0,0,43,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,58,0
sister,0,0,0,0,0,23,0,0,0,0,0
house,0,0,0,0,0,66,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,3,0
rent,0,0,0,0,0,2,0,0,0,3,0
anybody,0,0,0,0,0,0,0,7,0,0,0
share,0,0,0,0,0,0,0,0,0,2,0
yard,0,0,0,0,0,7,0,0,0,0,0
people,0,0,0,0,0,14,0,0,0,0,0
downstairs,0,0,3,0,0,0,0,0,0,0,0
careful,2,0,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,1,0,0,0,0,0
landlord,0,0,0,0,0,3,0,0,0,0,0
bang,0,0,0,0,0,0,0,0,0,1,0
ceiling,0,0,0,0,0,4,0,0,0,0,0
broom,0,0,0,0,0,4,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,42,0
leave,0,0,0,0,0,0,0,0,0,26,0
flat,0,0,0,0,0,4,0,0,0,0,0
quick,0,0,4,0,0,0,0,0,0,0,0
water,0,0,0,0,0,17,0,0,0,0,0
pipe,0,0,0,0,0,2,0,0,0,0,0
break,0,0,0,0,0,1,0,0,0,8,0
fix,0,0,0,0,0,0,0,0,0,4,0
old,35,0,0,0,0,0,0,0,0,0,0
fast,2,0,10,0,0,0,0,0,0,0,0
washroom,0,0,0,0,0,4,0,0,0,0,0
door,0,0,0,0,0,19,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,3,0
milk,0,0,0,0,0,1,0,0,0,0,0
gallon,0,0,0,0,0,1,0,0,0,0,0
look,0,0,0,0,0,0,0,0,0,90,0
far,1,0,16,0,0,0,0,0,0,0,0
away,0,3,34,0,0,0,0,0,0,0,0
town,0,0,0,0,0,3,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,42,0
day,0,0,0,0,0,64,0,0,0,0,0
real,7,0,3,0,0,0,0,0,0,0,0
year,0,0,0,0,0,11,0,0,0,0,0
run,0,0,0,0,0,0,0,0,0,25,0
work,0,0,0,0,0,5,0,0,0,14,0
inside,0,9,7,0,0,1,0,0,0,0,0
stair,0,0,0,0,0,14,0,0,0,0,0
hallway,0,0,0,0,0,2,0,0,0,0,0
like,0,168,0,0,0,0,0,0,0,48,0
