word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,VERB,X
day,0,0,0,0,0,6,0,0,0
walk,0,0,0,0,0,0,0,1,0
surface,0,0,0,0,0,9,0,1,0
admire,0,0,0,0,0,0,0,1,0
variety,0,0,0,0,0,2,0,0,0
plant,0,0,0,0,0,31,0,0,0
animal,0,0,0,0,0,25,0,0,0
landscape,0,0,0,0,0,2,0,0,0
take,0,0,0,0,0,0,0,7,0
billion,0,0,0,0,0,3,34,0,0
year,0,0,0,0,0,101,0,0,0
evolve,0,0,0,0,0,0,0,13,0
planet,0,0,0,0,0,26,0,0,0
inhabit,0,0,0,0,0,0,0,1,0
volume,0,0,0,0,0,2,0,0,0
examine,0,0,0,0,0,0,0,1,0
long,8,0,3,0,0,0,0,0,0
history,0,0,0,0,0,6,0,0,0
origin,0,0,0,0,0,3,0,0,0
cloud,0,0,0,0,0,11,0,0,0
gas,0,0,0,0,0,13,0,0,0
dust,0,0,0,0,0,8,0,0,0
place,0,0,0,0,0,7,0,1,0
teem,0,0,0,0,0,0,0,1,0
life,0,0,0,0,0,40,0,0,0
address,0,0,0,0,0,0,0,1,0
question,0,0,0,0,0,2,0,0,0
scientist,0,0,0,0,0,21,0,0,0
debate,0,0,0,0,0,1,0,2,0
form,0,0,0,0,0,10,0,40,0
develop,0,0,0,0,0,0,0,14,0
complex,4,0,0,0,0,0,0,0,0
intriguing,1,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,20,0
rest,0,0,0,0,0,4,0,0,0
solar,13,0,0,0,0,0,0,0,0
system,0,0,0,0,0,12,0,0,0
begin,0,0,0,0,0,0,0,27,0
ago,0,0,53,0,0,0,0,0,0
call,0,0,0,0,0,0,0,26,0
nebula,0,0,0,0,0,10,0,0,0
force,0,0,0,0,0,2,0,0,0
gravity,0,0,0,0,0,4,0,0,0
particle,0,0,0,0,0,4,0,0,0
come,0,0,0,0,0,0,0,2,0
object,0,0,0,0,0,6,0,0,0
grow,0,0,0,0,0,0,0,10,0
large,31,0,0,0,0,0,0,0,0
eventually,0,0,16,0,0,0,0,0,0
unstable,1,0,0,0,0,0,0,0,0
cover,0,0,0,0,0,0,0,6,0
sea,0,0,0,0,0,29,0,0,0
molten,2,0,0,0,0,0,0,0,0
rock,0,0,0,0,0,36,0,0,0
cool,2,0,0,0,0,0,0,4,0
crust,0,0,0,0,0,7,0,0,0
solid,4,0,0,0,0,0,0,0,0
outer,6,0,0,0,0,0,0,0,0
layer,0,0,0,0,0,17,0,1,0
know,0,0,0,0,0,0,0,13,0
generally,0,0,4,0,0,0,0,0,0
date,0,0,0,0,0,0,0,11,0
old,19,0,0,0,0,0,0,0,0
discovery,0,0,0,0,0,3,0,0,0
mineral,0,0,0,0,0,6,0,0,0
lead,0,0,0,0,0,1,0,4,0
stable,1,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,6,0
hundred,0,0,0,0,0,5,0,0,0
million,0,0,0,0,0,8,62,0,0
early,15,0,5,0,0,0,0,0,0
help,0,0,0,0,0,0,0,4,0
study,0,0,0,0,0,0,0,5,0
devise,0,0,0,0,0,0,0,1,0
scale,0,0,0,0,0,6,0,0,0
geologic,8,0,0,0,0,0,0,0,0
time,0,0,0,0,0,57,0,0,0
provide,0,0,0,0,0,0,0,1,0
framework,0,0,0,0,0,1,0,0,0
evolution,0,0,0,0,0,5,0,0,0
continent,0,0,0,0,0,22,0,0,0
ocean,0,0,0,0,0,13,0,0,0
atmosphere,0,0,0,0,0,11,0,0,0
biosphere,0,0,0,0,0,6,0,0,0
zone,0,0,0,0,0,1,0,0,0
consist,0,0,0,0,0,0,0,7,0
live,0,0,0,0,0,0,0,19,0
thing,0,0,0,0,0,8,0,0,0
pebble,0,0,0,0,0,1,0,0,0
sand,0,0,0,0,0,2,0,0,0
mud,0,0,0,0,0,3,0,0,0
deposit,0,0,0,0,0,7,0,2,0
water,0,0,0,0,0,13,0,0,0
wind,0,0,0,0,0,4,0,0,0
glacier,0,0,0,0,0,6,0,0,0
lower,0,0,1,0,0,0,0,1,0
recent,4,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,17,0
contain,0,0,0,0,0,0,0,6,0
distinctive,1,0,0,0,0,0,0,0,0
fossil,0,0,0,0,0,16,0,0,0
similar,4,0,0,0,0,0,0,0,0
world,0,0,0,0,0,9,0,0,0
classify,0,0,0,0,0,0,0,1,0
create,0,0,0,0,0,0,0,2,0
occupy,0,0,0,0,0,0,0,2,0
mind,0,0,0,0,0,1,0,0,0
age,0,0,0,0,0,17,0,0,0
divide,0,0,0,0,0,0,0,6,0
eon,0,0,0,0,0,11,0,0,0
small,15,0,0,0,0,0,0,0,0
unit,0,0,0,0,0,1,0,0,0
last,0,0,0,0,0,0,0,10,0
period,0,0,0,0,0,55,0,0,0
appear,0,0,0,0,0,0,0,23,0
little,8,0,0,0,0,0,0,0,0
oxygen,0,0,0,0,0,34,0,0,0
limit,0,0,0,0,0,0,0,2,0
microorganism,0,0,0,0,0,5,0,0,0
survive,0,0,0,0,0,0,0,9,0
level,0,0,0,0,0,22,0,0,0
increase,0,0,0,0,0,1,0,11,0
significantly,0,0,3,0,0,0,0,0,0
proterozoic,2,0,0,0,0,1,0,0,0
bacteria,0,0,0,0,0,9,0,0,0
fungus,0,0,0,0,0,3,0,0,0
simple,1,0,0,0,0,0,0,0,0
organism,0,0,0,0,0,23,0,0,0
include,0,0,0,0,0,0,0,10,0
phanerozoic,2,0,0,0,0,0,0,0,0
stretch,0,0,0,0,0,1,0,2,0
present,21,0,0,0,0,5,0,1,0
see,0,0,0,0,0,0,0,7,0
rapid,3,0,0,0,0,0,0,0,0
expansion,0,0,0,0,0,1,0,0,0
major,8,0,0,0,0,0,0,0,0
largely,0,0,6,0,0,0,0,0,0
basis,0,0,0,0,0,3,0,0,0
characteristic,1,0,0,0,0,2,0,0,0
paleozoic,3,0,0,0,0,0,0,0,0
mesozoic,1,0,0,0,0,0,0,0,0
cenozoic,2,0,0,0,0,0,0,0,0
era,0,0,0,0,0,13,0,0,0
cambrian,6,0,0,0,0,0,0,0,0
explosion,0,0,0,0,0,3,0,0,0
extraordinary,1,0,0,0,0,0,0,0,0
diversification,0,0,0,0,0,1,0,0,0
marine,9,0,0,0,0,0,0,0,0
end,0,0,0,0,0,9,0,7,0
extinction,0,0,0,0,0,20,0,0,0
