word,ADJ,ADP,ADV,AUX,NOUN,NUM,SCONJ,VERB
introduction,0,0,0,0,1,0,0,0
think,0,0,0,0,0,0,0,5
man,0,0,0,0,9,0,0,0
good,2,0,0,0,2,0,0,0
ruler,0,0,0,0,9,0,0,0
want,0,0,0,0,0,0,0,12
son,0,0,0,0,11,0,0,0
place,0,0,0,0,7,0,0,1
king,0,0,0,0,11,0,0,0
english,11,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,5
male,4,0,0,0,0,0,0,0
heir,0,0,0,0,10,0,0,0
quest,0,0,0,0,2,0,0,0
begin,0,0,0,0,0,0,0,4
age,0,0,0,0,9,0,0,0
seventeen,0,0,0,0,0,2,0,0
marry,0,0,0,0,0,0,0,23
year,0,0,0,0,16,0,0,0
old,9,0,0,0,0,0,0,0
widow,0,0,0,0,1,0,0,0
brother,0,0,0,0,11,0,0,0
day,0,0,0,0,5,0,0,0
people,0,0,0,0,11,0,0,0
young,2,0,0,0,0,0,0,0
time,0,0,0,0,21,0,0,0
wedding,0,0,0,0,1,0,0,0
fourteen,0,0,0,0,0,3,0,0
marriage,0,0,0,0,21,0,0,0
last,0,0,0,0,0,0,0,1
married,4,0,0,0,0,0,0,0
pregnant,2,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,2
child,0,0,0,0,10,0,0,0
girl,0,0,0,0,3,0,0,0
name,0,0,0,0,0,0,0,7
desperate,1,0,0,0,0,0,0,0
end,0,0,0,0,0,0,0,7
woman,0,0,0,0,13,0,0,0
letter,0,0,0,0,3,0,0,0
send,0,0,0,0,0,0,0,3
announce,0,0,0,0,0,0,0,3
arrival,0,0,0,0,1,0,0,0
boy,0,0,0,0,1,0,0,0
instead,0,0,1,0,0,0,0,0
baby,0,0,0,0,1,0,0,0
parent,0,0,0,0,5,0,0,0
grandmother,0,0,0,0,1,0,0,0
kill,0,0,0,0,0,0,0,6
beheading,0,0,0,0,3,0,0,0
execution,0,0,0,0,3,0,0,0
choose,0,0,0,0,0,0,0,5
wife,0,0,0,0,4,0,0,0
likely,1,0,0,0,0,0,0,0
eighteen,0,0,0,0,0,3,0,0
month,0,0,0,0,3,0,0,0
give,0,0,0,0,0,0,0,4
birth,0,0,0,0,3,0,0,0
die,0,0,0,0,0,0,0,10
shortly,0,0,1,0,0,0,0,0
childbirth,0,0,0,0,1,0,0,0
death,0,0,0,0,8,0,0,0
later,2,0,13,0,0,0,0,0
paint,0,0,0,0,0,0,0,5
portrait,0,0,0,0,4,0,0,0
commission,0,0,0,0,1,0,0,1
stand,0,0,0,0,0,0,0,2
world,0,0,0,0,3,0,0,0
foot,0,0,0,0,1,0,0,0
reside,0,0,0,0,0,0,0,1
roman,7,0,0,0,0,0,0,0
catholic,8,0,0,0,0,0,0,0
country,0,0,0,0,18,0,0,0
recognize,0,0,0,0,0,0,0,5
divorce,0,0,0,0,2,0,0,0
go,0,0,0,0,0,0,0,4
church,0,0,0,0,4,0,0,0
break,0,0,0,0,0,0,0,1
away,0,1,2,0,0,0,0,0
establish,0,0,0,0,0,0,0,4
independent,2,0,0,0,0,0,0,0
action,0,0,0,0,3,0,0,0
result,0,0,0,0,1,0,0,2
great,11,0,0,0,0,0,0,0
religious,12,0,0,0,0,0,0,0
battle,0,0,0,0,4,0,0,0
refuse,0,0,0,0,0,0,0,3
accept,0,0,0,0,0,0,0,1
annulment,0,0,0,0,4,0,0,0
cancel,0,0,0,0,0,0,0,1
reportedly,0,0,1,0,0,0,0,0
proclaim,0,0,0,0,0,0,0,1
respond,0,0,0,0,0,0,0,1
long,2,0,4,0,0,0,0,0
allow,0,0,0,0,0,0,0,4
daughter,0,0,0,0,7,0,0,0
cause,0,0,0,0,1,0,0,6
suffering,0,0,0,0,1,0,0,0
bring,0,0,0,0,0,0,0,3
tremendous,2,0,0,0,0,0,0,0
political,5,0,0,0,0,0,0,0
upheaval,0,0,0,0,1,0,0,0
like,0,10,0,0,0,0,0,1
believe,0,0,0,0,0,0,0,5
well,1,0,1,0,0,0,0,0
remember,0,0,0,0,0,0,0,1
monarch,0,0,0,0,4,0,0,0
rise,0,0,0,0,1,0,0,3
power,0,0,0,0,5,0,0,0
dominate,0,0,0,0,0,0,0,3
scene,0,0,0,0,2,0,0,0
reign,0,0,0,0,10,0,0,1
prosperous,1,0,0,0,0,0,0,0
period,0,0,0,0,4,0,0,0
despite,0,0,0,0,0,0,1,0
father,0,0,0,0,5,0,0,0
obsession,0,0,0,0,1,0,0,0
queen,0,0,0,0,23,0,0,0
bear,0,0,0,0,0,0,0,2
new,3,0,0,0,0,0,0,0
princess,0,0,0,0,2,0,0,0
fair,1,0,0,0,0,0,0,0
skin,0,0,0,0,1,0,0,0
wavy,1,0,0,0,0,0,0,0
red,1,0,0,0,0,0,0,0
hair,0,0,0,0,1,0,0,0
dark,2,0,0,0,0,0,0,0
brown,1,0,0,0,0,0,0,0
eye,0,0,0,0,2,0,0,0
grandfather,0,0,0,0,1,0,0,0
have,0,0,0,0,0,0,0,3
defeat,0,0,0,0,1,0,0,3
war,0,0,0,0,7,0,0,0
line,0,0,0,0,7,0,0,0
change,0,0,0,0,0,0,0,4
mother,0,0,0,0,12,0,0,0
declare,0,0,0,0,0,0,0,9
illegitimate,3,0,0,0,0,0,0,0
legal,1,0,0,0,0,0,0,0
painting,0,0,0,0,8,0,0,0
hang,0,0,0,0,0,0,0,2
unknown,1,0,0,0,0,0,0,0
artist,0,0,0,0,3,0,0,0
early,1,0,2,0,0,0,0,0
live,0,0,0,0,0,0,0,5
locate,0,0,0,0,0,0,0,1
mile,0,0,0,0,1,0,0,0
kilometer,0,0,0,0,1,0,0,0
palace,0,0,0,0,2,0,0,0
home,0,0,0,0,1,0,0,0
half,12,0,0,0,0,0,0,0
sister,0,0,0,0,8,0,0,0
care,0,0,0,0,4,0,0,0
nurse,0,0,0,0,1,0,0,0
tutor,0,0,0,0,4,0,0,0
neglect,0,0,0,0,0,0,0,1
write,0,0,0,0,0,0,0,4
ask,0,0,0,0,0,0,0,2
clothe,0,0,0,0,1,0,0,0
small,2,0,0,0,0,0,0,0
second,1,0,0,0,0,0,0,0
order,0,0,0,0,0,0,0,1
accuse,0,0,0,0,0,0,0,5
adultery,0,0,0,0,2,0,0,0
historian,0,0,0,0,1,0,0,0
charge,0,0,0,0,4,0,0,0
opportunity,0,0,0,0,1,0,0,0
remarry,0,0,0,0,0,0,0,1
see,0,0,0,0,0,0,0,1
probably,0,0,2,0,0,0,0,0
raise,0,0,0,0,0,0,0,1
life,0,0,0,0,3,0,0,0
overnight,0,0,1,0,0,0,0,0
way,0,0,0,0,2,0,0,0
BEYOND,1,0,0,0,0,0,0,0
void,1,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,2
consider,0,0,0,0,0,0,0,2
royal,5,0,0,0,0,0,0,0
throne,0,0,0,0,10,0,0,0
blame,0,0,0,0,1,0,0,1
trouble,1,0,0,0,3,0,0,0
transfer,0,0,0,0,0,0,0,2
resentment,0,0,0,0,2,0,0,0
treat,0,0,0,0,0,0,0,1
badly,0,0,1,0,0,0,0,0
continue,0,0,0,0,0,0,0,2
take,0,0,0,0,0,0,0,11
learn,0,0,0,0,0,0,0,4
subject,0,0,0,0,1,0,0,0
history,0,0,0,0,2,0,0,0
geography,0,0,0,0,1,0,0,0
architecture,0,0,0,0,1,0,0,0
horseback,0,0,0,0,1,0,0,0
