word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB
tsunami,0,0,0,0,127,0,0
huge,8,0,0,0,0,0,0
wave,0,0,0,0,46,0,0
flood,0,0,0,0,3,0,7
land,0,0,0,0,21,0,1
devastating,3,0,0,0,0,0,0
effect,0,0,0,0,5,0,0
word,0,0,0,0,1,0,0
japanese,1,0,0,0,0,0,0
harbour,0,0,0,0,2,0,0
appropriate,2,0,0,0,0,0,0
hit,0,0,0,0,0,0,12
harbor,0,0,0,0,5,0,0
area,0,0,0,0,43,0,0
people,0,0,0,0,50,0,0
destructive,3,0,0,0,0,0,0
power,0,0,0,0,1,0,0
feel,0,0,0,0,0,0,3
town,0,0,0,0,2,0,0
village,0,0,0,0,3,0,0
little,2,0,0,0,0,0,0
warning,0,0,0,0,14,0,0
destroy,0,0,0,0,0,0,14
path,0,0,0,0,1,0,0
kill,0,0,0,0,0,0,9
animal,0,0,0,0,6,0,0
retreat,0,0,0,0,0,0,2
sweep,0,0,0,0,0,0,11
sea,0,0,0,0,38,0,0
time,0,0,0,0,9,0,0
probably,0,0,2,0,0,0,0
long,2,0,1,0,0,0,0
early,7,0,1,0,0,0,0
description,0,0,0,0,1,0,0
leave,0,0,0,0,0,0,5
greek,4,0,0,0,0,0,0
historian,0,0,0,0,1,0,0
describe,0,0,0,0,0,0,2
near,1,10,1,0,0,0,0
bce,0,0,0,0,2,0,0
return,0,0,0,0,0,0,4
invade,0,0,0,0,0,0,1
great,3,0,0,0,0,0,0
underwater,2,0,1,0,0,0,0
inhabitant,0,0,0,0,2,0,0
perish,0,0,0,0,0,0,1
run,0,0,0,0,0,0,5
high,4,0,0,0,0,0,0
ground,0,0,0,0,4,0,0
link,0,0,0,0,2,0,1
recent,1,0,0,0,0,0,0
earthquake,0,0,0,0,37,0,0
modern,3,0,0,0,0,0,0
scientist,0,0,0,0,4,0,0
house,0,0,0,0,6,0,1
cause,0,0,0,0,0,0,28
disturbance,0,0,0,0,2,0,0
make,0,0,0,0,0,0,7
large,12,0,0,0,0,0,0
volume,0,0,0,0,2,0,0
water,0,0,0,0,32,0,0
suddenly,0,0,2,0,0,0,0
landslide,0,0,0,0,3,0,0
volcanic,14,0,0,0,0,0,0
eruption,0,0,0,0,21,0,0
meteorite,0,0,0,0,7,0,0
fall,0,0,0,0,0,0,8
flow,0,0,0,0,1,0,2
outward,0,0,2,0,0,0,0
circle,0,0,0,0,2,0,1
point,0,0,0,0,2,0,1
happen,0,0,0,0,0,0,7
like,0,5,0,0,0,0,0
ripple,0,0,0,0,3,0,0
spread,0,0,0,0,0,0,4
stone,0,0,0,0,2,0,0
drop,0,0,0,0,0,0,4
pond,0,0,0,0,2,0,0
strike,0,0,0,0,0,0,15
live,0,0,0,0,0,0,7
work,0,0,0,0,3,0,1
case,0,0,0,0,3,0,0
study,0,0,0,0,2,0,0
sky,0,0,0,0,3,0,0
geologist,0,0,0,0,1,0,0
evidence,0,0,0,0,2,0,0
year,0,0,0,0,14,0,0
ago,0,0,4,0,0,0,0
explain,0,0,0,0,0,0,1
legend,0,0,0,0,1,0,0
tell,0,0,0,0,0,0,3
steamy,1,0,0,0,0,0,0
hot,4,0,0,0,0,0,0
night,0,0,0,0,1,0,0
lie,0,0,0,0,0,0,3
unable,1,0,0,0,0,0,0
sleep,0,0,0,0,0,0,2
camp,0,0,0,0,1,0,0
sunset,0,0,0,0,1,0,0
shudder,0,0,0,0,0,0,1
heave,0,0,0,0,0,0,1
tumble,0,0,0,0,0,0,1
crash,0,0,0,0,0,0,4
split,0,0,0,0,0,0,1
star,0,0,0,0,2,0,0
include,0,0,0,0,0,0,3
gigantic,3,0,0,0,0,0,0
burn,0,0,0,0,0,0,1
blue,1,0,0,0,0,0,0
tear,0,0,0,0,0,0,1
apart,0,0,4,0,0,0,0
shower,0,0,0,0,0,0,1
chunk,0,0,0,0,3,0,0
earth,0,0,0,0,11,0,0
rock,0,0,0,0,9,0,2
later,0,0,2,0,0,0,0
tribe,0,0,0,0,1,0,0
ocean,0,0,0,0,11,0,0
rain,0,0,0,0,0,0,1
week,0,0,0,0,1,0,0
native,1,0,0,0,0,0,0
believe,0,0,0,0,0,0,3
event,0,0,0,0,7,0,0
angry,1,0,0,0,0,0,0
ancestor,0,0,0,0,1,0,0
occur,0,0,0,0,0,0,6
common,2,0,0,0,0,0,0
edge,0,0,0,0,4,0,0
inland,3,0,4,0,0,0,0
coast,0,0,0,0,25,0,0
trigger,0,0,0,0,0,0,4
lake,0,0,0,0,2,0,0
form,0,0,0,0,0,0,1
enclose,0,0,0,0,0,0,1
activity,0,0,0,0,3,0,0
disastrous,3,0,0,0,0,0,0
history,0,0,0,0,3,0,0
ancient,1,0,0,0,0,0,0
minoan,1,0,0,0,0,0,0
city,0,0,0,0,2,0,0
thousand,0,0,0,0,2,2,0
small,6,0,0,0,0,0,0
body,0,0,0,0,9,0,0
river,0,0,0,0,5,0,0
affect,0,0,0,0,0,0,4
severe,1,0,0,0,0,0,0
damage,0,0,0,0,3,0,2
far,0,0,10,0,0,0,0
nearby,1,0,1,0,0,0,0
zone,0,0,0,0,1,0,0
prone,1,0,0,0,0,0,0
landfall,0,0,0,0,1,0,0
way,0,0,0,0,5,0,0
middle,0,0,0,0,1,0,0
hour,0,0,0,0,7,0,0
mile,0,0,0,0,10,0,0
kilometer,0,0,0,0,5,0,0
region,0,0,0,0,2,0,0
come,0,0,0,0,0,0,5
reach,0,0,0,0,0,0,5
shore,0,0,0,0,6,0,0
quickly,0,0,9,0,0,0,0
source,0,0,0,0,1,0,0
bring,0,0,0,0,0,0,3
new,4,0,0,0,0,0,0
devastation,0,0,0,0,5,0,0
minute,0,0,0,0,9,0,0
surface,0,0,0,0,4,0,1
crust,0,0,0,0,5,0,0
divide,0,0,0,0,0,0,1
call,0,0,0,0,0,0,3
tectonic,3,0,0,0,0,0,0
plate,0,0,0,0,16,0,0
fit,0,0,0,0,0,0,1
giant,3,0,0,0,0,0,0
jigsaw,0,0,0,0,1,0,0
puzzle,0,0,0,0,1,0,0
seven,0,0,0,0,0,1,0
one,0,0,0,0,1,0,0
hold,0,0,0,0,1,0,3
single,1,0,0,0,0,0,0
vast,2,0,0,0,0,0,0
semi,2,0,0,0,0,0,0
liquid,1,0,0,0,0,0,0
red,1,0,0,0,0,0,0
move,0,0,0,0,0,0,3
slowly,0,0,3,0,0,0,0
globe,0,0,0,0,1,0,0
drag,0,0,0,0,0,0,2
join,0,0,0,0,1,0,1
rub,0,0,0,0,0,0,1
push,0,0,0,0,0,0,5
geologically,0,0,1,0,0,0,0
active,1,0,0,0,0,0,0
speed,0,0,0,0,2,0,0
fingernail,0,0,0,0,1,0,0
grow,0,0,0,0,0,0,7
