word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,SCONJ,VERB
interesting,1,0,0,0,0,0,0,0
question,0,0,0,0,1,0,0,0
willing,1,0,0,0,0,0,0,0
sure,3,0,0,0,0,0,0,0
family,0,0,0,0,1,0,0,0
happy,1,0,0,0,0,0,0,0
safe,1,0,0,0,0,0,0,0
people,0,0,0,0,11,0,0,0
likely,2,0,0,0,0,0,0,0
work,0,0,0,0,2,0,0,3
hard,0,0,1,0,0,0,0,0
earn,0,0,0,0,0,0,0,1
money,0,0,0,0,1,0,0,0
defend,0,0,0,0,0,0,0,1
love,0,0,0,0,0,0,0,1
one,0,0,0,0,4,0,0,0
threat,0,0,0,0,3,0,0,0
smart,1,0,0,0,0,0,0,0
folk,0,0,0,0,1,0,0,0
consider,0,0,0,0,0,0,0,10
take,0,0,0,0,0,0,0,7
step,0,0,0,0,3,0,0,0
protect,0,0,0,0,0,0,0,12
environment,0,0,0,0,6,0,0,0
important,9,0,0,0,0,0,0,0
nature,0,0,0,0,9,0,0,0
human,13,0,0,0,10,0,0,0
survival,0,0,0,0,4,0,0,0
pretty,0,0,1,0,0,0,0,0
thing,0,0,0,0,4,0,0,0
safeguard,0,0,0,0,0,0,0,3
future,1,0,0,0,5,0,0,0
conservation,0,0,0,0,55,0,0,0
science,0,0,0,0,1,0,0,0
make,0,0,0,0,0,0,0,3
keep,0,0,0,0,0,0,0,8
way,0,0,0,0,6,0,0,0
time,0,0,0,0,5,0,0,0
account,0,0,0,0,1,0,0,1
need,0,0,0,0,9,0,0,6
natural,67,0,0,0,0,0,0,0
resource,0,0,0,0,38,0,0,0
indicate,0,0,0,0,0,0,0,1
conserve,0,0,0,0,0,0,0,7
carefully,0,0,3,0,0,0,0,0
maintain,0,0,0,0,0,0,0,4
level,2,0,0,0,12,0,0,0
provide,0,0,0,0,0,0,0,19
include,0,0,0,0,0,0,0,27
water,0,0,0,0,70,0,0,2
forest,0,0,0,0,30,0,0,0
wood,0,0,0,0,4,0,0,0
soil,0,0,0,0,63,0,0,0
mineral,1,0,0,0,10,0,0,0
fossil,11,0,0,0,2,0,0,0
fuel,0,0,0,0,22,0,0,1
wildlife,0,0,0,0,43,0,0,0
book,0,0,0,0,1,0,0,0
examine,0,0,0,0,0,0,0,1
detail,0,0,0,0,0,0,0,1
protection,0,0,0,0,6,0,0,0
effort,0,0,0,0,12,0,0,0
past,1,0,0,0,2,0,0,0
present,3,0,0,0,1,0,0,1
consequence,0,0,0,0,1,0,0,0
particular,2,0,0,0,0,0,0,0
sector,0,0,0,0,1,0,0,0
volunteer,0,0,0,0,1,0,0,0
clean,5,0,1,0,0,0,0,3
rubbish,0,0,0,0,1,0,0,0
bank,0,0,0,0,2,0,0,0
oxygen,0,0,0,0,2,0,0,0
single,4,0,0,0,0,0,0,0
vital,8,0,0,0,0,0,0,0
element,0,0,0,0,3,0,0,0
live,0,0,0,0,0,0,0,9
renewable,6,0,0,0,0,0,0,0
plentiful,1,0,0,0,0,0,0,0
part,0,0,0,0,3,0,0,0
world,0,0,0,0,8,0,0,0
area,0,0,0,0,26,0,0,0
naturally,0,0,1,0,0,0,0,0
arid,1,0,0,0,0,0,0,0
experience,0,0,0,0,1,0,0,1
drought,0,0,0,0,4,0,0,0
pollution,0,0,0,0,12,0,0,0
ruin,0,0,0,0,0,0,0,1
body,0,0,0,0,1,0,0,0
method,0,0,0,0,6,0,0,0
source,0,0,0,0,8,0,0,0
plant,0,0,0,0,45,0,0,12
greenery,0,0,0,0,1,0,0,0
help,0,0,0,0,0,0,0,8
ground,0,0,0,0,10,0,0,0
soak,0,0,0,0,0,0,0,5
rain,0,0,0,0,11,0,0,0
good,2,0,0,0,1,0,0,0
access,0,0,0,0,1,0,0,0
drinking,0,0,0,0,4,0,0,0
grow,0,0,0,0,0,0,0,21
food,0,0,0,0,12,0,0,0
crop,0,0,0,0,22,0,0,0
heating,0,0,0,0,2,0,0,0
building,0,0,0,0,3,0,0,0
plus,0,0,0,1,0,0,0,0
home,0,0,0,0,10,0,0,0
number,0,0,0,0,12,0,0,0
unique,2,0,0,0,0,0,0,0
animal,0,0,0,0,25,0,0,0
tree,0,0,0,0,21,0,0,0
point,0,0,0,0,1,0,0,0
useful,1,0,0,0,0,0,0,0
reduce,0,0,0,0,0,0,0,13
cut,0,0,0,0,0,0,0,6
slow,0,0,0,0,0,0,0,2
rate,0,0,0,0,1,0,0,0
necessary,2,0,0,0,0,0,0,0
logging,0,0,0,0,3,0,0,0
occur,0,0,0,0,0,0,0,5
save,0,0,0,0,0,0,0,2
slang,0,0,0,0,1,0,0,0
term,0,0,0,0,1,0,0,0
valuable,5,0,0,0,0,0,0,0
treat,0,0,0,0,0,0,0,2
like,1,3,0,0,0,0,0,0
dirt,0,0,0,0,3,0,0,0
feel,0,0,0,0,0,0,0,1
worthless,1,0,0,0,0,0,0,0
truth,0,0,0,0,1,0,0,0
precious,1,0,0,0,0,0,0,0
shelter,0,0,0,0,5,0,0,0
creature,0,0,0,0,1,0,0,0
nutrient,0,0,0,0,4,0,0,0
find,0,0,0,0,0,0,0,4
layer,0,0,0,0,5,0,0,0
mainly,0,0,3,0,0,0,0,0
involve,0,0,0,0,0,0,0,8
life,0,0,0,0,10,0,0,0
give,0,0,0,0,0,0,0,3
wash,0,0,0,0,0,0,0,8
away,0,7,3,0,0,0,0,0
blow,0,0,0,0,0,0,0,6
wind,0,0,0,0,11,0,0,0
deep,5,0,1,0,0,0,0,0
coal,0,0,0,0,14,0,0,0
oil,0,0,0,0,10,0,0,0
gas,0,0,0,0,13,0,0,0
dependent,2,0,0,0,0,0,0,0
nonrenewable,5,0,0,0,0,0,0,0
nutrition,0,0,0,0,1,0,0,0
