word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB,X
caption,0,0,0,0,22,0,0,7
astronaut,0,0,0,0,39,0,0,0
pilot,0,0,0,0,19,0,1,0
spacecraft,0,0,0,0,16,0,0,0
perform,0,0,0,0,0,0,2,0
extravehicular,2,0,0,0,0,0,0,0
activity,0,0,0,0,6,0,0,0
eva,0,0,0,0,1,0,0,0
second,13,0,0,0,2,0,0,0
day,0,0,0,0,20,0,0,0
mission,0,0,0,0,31,0,0,0
space,0,0,0,0,103,0,0,0
position,0,0,0,0,15,0,2,0
workstation,0,0,0,0,1,0,0,0
pioneer,0,0,0,0,8,0,3,0
bold,2,0,0,0,0,0,0,0
daring,1,0,0,0,0,0,0,0
individual,1,0,0,0,2,0,0,0
go,0,0,0,0,0,0,12,0
pioneering,0,0,0,0,2,0,0,0
mental,1,0,0,0,0,0,0,0
explore,0,0,0,0,0,0,3,0
unknown,1,0,0,0,0,0,0,0
theory,0,0,0,0,39,0,0,0
physical,3,0,0,0,0,0,0,0
person,0,0,0,0,8,0,0,0
actually,0,0,4,0,0,0,0,0
travel,0,0,0,0,6,0,18,0
distant,4,0,0,0,0,0,0,0
location,0,0,0,0,5,0,0,0
astronomy,0,0,0,0,26,0,0,0
exploration,0,0,0,0,9,0,0,0
fall,0,0,0,0,1,0,4,0
camp,0,0,0,0,1,0,0,0
book,0,0,0,0,16,0,0,0
detail,0,0,0,0,2,0,1,0
astronomer,0,0,0,0,48,0,0,0
century,0,0,0,0,24,0,0,0
attempt,0,0,0,0,2,0,1,0
explain,0,0,0,0,0,0,7,0
mystery,0,0,0,0,2,0,0,0
universe,0,0,0,0,24,0,0,0
observation,0,0,0,0,26,0,0,0
scientific,17,0,0,0,0,0,0,0
foot,0,0,0,0,5,0,0,0
plant,0,0,0,0,0,0,2,0
firmly,0,0,1,0,0,0,0,0
begin,0,0,0,0,0,0,26,0
man,0,0,0,0,13,0,3,0
woman,0,0,0,0,15,0,0,0
board,0,0,0,0,4,0,1,0
rocket,0,0,0,0,31,0,1,0
ship,0,0,0,0,3,0,0,0
launch,0,0,0,0,7,0,19,0
firsthand,1,0,0,0,0,0,0,0
ancient,15,0,0,0,0,0,0,0
people,0,0,0,0,2,0,0,0
notice,0,0,0,0,0,0,1,0
wonder,0,0,0,0,1,0,2,0
star,0,0,0,0,46,0,0,0
apply,0,0,0,0,0,0,4,0
reason,0,0,0,0,2,0,0,0
order,0,0,0,0,2,0,0,0
consider,0,0,0,0,0,0,5,0
early,14,0,5,0,0,0,0,0
record,0,0,0,0,7,0,4,0
date,0,0,0,0,6,0,0,0
visibility,0,0,0,0,1,0,0,0
constellation,0,0,0,0,6,0,0,0
conclude,0,0,0,0,0,0,3,0
know,0,0,0,0,0,0,31,0
planet,0,0,0,0,35,0,0,0
consistent,1,0,0,0,0,0,0,0
path,0,0,0,0,6,0,0,0
orbit,0,0,0,0,37,0,11,0
mark,0,0,0,0,2,0,0,0
claim,0,0,0,0,0,0,1,0
center,0,0,0,0,17,0,7,0
great,19,0,0,0,0,0,0,0
thinker,0,0,0,0,3,0,0,0
time,0,0,0,0,41,0,1,0
include,0,0,0,0,0,0,11,0
base,0,0,0,0,0,0,7,0
work,0,0,0,0,44,0,12,0
model,0,0,0,0,11,0,0,0
amend,0,0,0,0,0,0,1,0
part,0,0,0,0,3,0,0,0
new,10,0,0,0,0,0,0,0
information,0,0,0,0,4,0,0,0
come,0,0,0,0,0,0,6,0
light,1,0,0,0,20,0,0,0
set,0,0,0,0,1,0,9,0
pattern,0,0,0,0,2,0,0,0
advancement,0,0,0,0,2,0,0,0
science,0,0,0,0,18,0,0,0
build,0,0,0,0,0,0,10,0
method,0,0,0,0,10,0,0,0
devise,0,0,0,0,0,0,2,0
figure,0,0,0,0,3,0,1,0
size,0,0,0,0,13,0,0,0
distance,0,0,0,0,20,0,0,0
influence,0,0,0,0,2,0,6,0
father,0,0,0,0,22,0,0,0
modern,13,0,0,0,0,0,0,0
later,1,0,42,0,0,0,0,0
champion,0,0,0,0,0,0,1,0
share,0,0,0,0,0,0,1,0
datum,0,0,0,0,3,0,0,0
turn,0,0,0,0,2,0,5,0
greatly,0,0,7,0,0,0,0,0
intrigued,1,0,0,0,0,0,0,0
case,0,0,0,0,2,0,0,0
fiction,0,0,0,0,2,0,0,0
story,0,0,0,0,2,0,0,0
physicist,0,0,0,0,7,0,0,0
engineer,0,0,0,0,2,0,0,0
develop,0,0,0,0,0,0,12,0
technology,0,0,0,0,4,0,0,0
allow,0,0,0,0,0,0,3,0
scientist,0,0,0,0,12,0,0,0
lead,0,0,0,0,1,0,14,0
human,1,0,0,0,6,0,0,0
ride,0,0,0,0,0,0,1,0
race,0,0,0,0,2,0,0,0
country,0,0,0,0,2,0,0,0
try,0,0,0,0,0,0,6,0
outdo,0,0,0,0,0,0,1,0
achievement,0,0,0,0,4,0,0,0
call,0,0,0,0,0,0,10,0
final,4,0,0,0,0,0,0,0
frontier,0,0,0,0,1,0,0,0
soviet,14,0,0,0,0,0,0,0
cosmonaut,0,0,0,0,14,0,0,0
win,0,0,0,0,0,0,4,0
title,0,0,0,0,1,0,1,0
american,16,0,0,0,0,0,0,0
suborbital,2,0,0,0,0,0,0,0
flight,0,0,0,0,32,0,0,0
week,0,0,0,0,1,0,0,0
land,0,0,0,0,2,0,8,0
surface,0,0,0,0,7,0,0,0
flag,0,0,0,0,2,0,0,0
explorer,0,0,0,0,1,0,0,0
tragedy,0,0,0,0,1,0,0,0
cut,0,0,0,0,0,0,2,0
journey,0,0,0,0,1,0,1,0
short,2,0,1,0,0,0,0,0
goal,0,0,0,0,1,0,0,0
teacher,0,0,0,0,6,0,0,0
choose,0,0,0,0,0,0,7,0
private,6,0,0,0,0,0,0,0
citizen,0,0,0,0,6,0,0,0
aboard,0,6,1,0,0,0,0,0
shuttle,0,0,0,0,23,0,0,0
unmanned,3,0,0,0,0,0,0,0
satellite,0,0,0,0,11,0,0,0
beam,0,0,0,0,0,0,1,0
image,0,0,0,0,2,0,0,0
venture,0,0,0,0,0,0,1,0
deep,0,0,1,0,0,0,0,0
spur,0,0,0,0,0,0,1,0
accomplishment,0,0,0,0,2,0,0,0
greek,8,0,0,0,0,0,0,0
mathematician,0,0,0,0,10,0,0,0
contribute,0,0,0,0,0,0,1,0
identification,0,0,0,0,2,0,0,0
development,0,0,0,0,5,0,0,0
establish,0,0,0,0,0,0,9,0
sophisticated,1,0,0,0,0,0,0,0
planetary,11,0,0,0,0,0,0,0
motion,0,0,0,0,20,0,0,0
bear,0,0,0,0,0,0,41,0
bce,0,0,0,0,10,0,0,0
study,0,0,0,0,19,0,21,0
mathematic,0,0,0,0,19,0,0,0
medicine,0,0,0,0,3,0,0,0
take,0,0,0,0,0,0,16,0
philosophical,2,0,0,0,0,0,0,0
discussion,0,0,0,0,1,0,0,0
famous,2,0,0,0,0,0,0,0
direct,0,0,0,0,0,0,2,0
philosopher,0,0,0,0,7,0,0,0
eventually,0,0,4,0,0,0,0,0
return,0,0,0,0,4,0,13,0
legislator,0,0,0,0,1,0,0,0
continue,0,0,0,0,0,0,7,0
research,0,0,0,0,16,0,0,0
death,0,0,0,0,8,0,0,0
age,0,0,0,0,13,0,1,0
astronomical,19,0,0,0,0,0,0,0
map,0,0,0,0,2,0,1,0
describe,0,0,0,0,0,0,5,0
phase,0,0,0,0,1,0,0,0
fix,0,0,0,0,0,0,5,0
visible,4,0,0,0,0,0,0,0
discuss,0,0,0,0,0,0,2,0
fame,0,0,0,0,3,0,0,0
stem,0,0,0,0,0,0,1,0
create,0,0,0,0,0,0,3,0
geometric,1,0,0,0,0,0,0,0
consist,0,0,0,0,0,0,1,0
complex,2,0,0,0,0,0,0,0
system,0,0,0,0,27,0,0,0
interconnected,1,0,0,0,0,0,0,0
sphere,0,0,0,0,11,0,0,0
hold,0,0,0,0,0,0,9,0
occupy,0,0,0,0,0,0,1,0
modify,0,0,0,0,0,0,2,0
endorsement,0,0,0,0,1,0,0,0
basic,4,0,0,0,0,0,0,0
principle,0,0,0,0,8,0,0,0
guarantee,0,0,0,0,0,0,1,0
endure,0,0,0,0,0,0,3,0
interest,0,0,0,0,9,0,0,0
renaissance,0,0,0,0,1,0,0,0
abandon,0,0,0,0,0,0,1,0
view,0,0,0,0,9,0,1,0
middle,0,0,0,0,1,0,0,0
celestial,7,0,0,0,0,0,0,0
uniform,3,0,0,0,0,0,0,0
circular,8,0,0,0,0,0,0,0
rank,0,0,0,0,0,0,2,0
natural,6,0,0,0,0,0,0,0
social,1,0,0,0,0,0,0,0
virtually,0,0,2,0,0,0,0,0
area,0,0,0,0,4,0,0,0
thinking,0,0,0,0,3,0,0,0
northwest,1,0,0,0,0,0,0,0
coast,0,0,0,0,2,0,0,0
friend,0,0,0,0,2,0,0,0
physician,0,0,0,0,2,0,0,0
king,0,0,0,0,2,0,0,0
boy,0,0,0,0,3,0,0,0
spend,0,0,0,0,0,0,12,0
childhood,0,0,0,0,4,0,0,0
court,0,0,0,0,2,0,0,0
enrol,0,0,0,0,0,0,1,0
soon,0,0,5,0,0,0,0,0
mind,0,0,0,0,2,0,0,0
school,0,0,0,0,10,0,1,0
stay,0,0,0,0,0,0,1,0
year,0,0,0,0,56,0,0,0
leave,0,0,0,0,0,0,11,0
beloved,1,0,0,0,0,0,0,0
master,0,0,0,0,5,0,0,0
die,0,0,0,0,0,0,23,0
late,4,0,1,0,0,0,0,0
renounce,0,0,0,0,0,0,1,0
far,1,0,2,0,0,0,0,0
breadth,0,0,0,0,1,0,0,0
knowledge,0,0,0,0,7,0,0,0
marine,1,0,0,0,0,0,0,0
biology,0,0,0,0,1,0,0,0
invite,0,0,0,0,0,0,1,0
macedonian,2,0,0,0,0,0,0,0
teach,0,0,0,0,0,0,6,0
old,5,0,0,0,0,0,0,0
son,0,0,0,0,6,0,0,0
world,0,0,0,0,10,0,0,0
conqueror,0,0,0,0,1,0,0,0
give,0,0,0,0,0,0,6,0
large,11,0,0,0,0,0,0,0
sum,0,0,0,0,1,0,1,0
money,0,0,0,0,2,0,0,0
painting,0,0,0,0,1,0,0,0
cosmos,0,0,0,0,3,0,0,0
incorporate,0,0,0,0,0,0,1,0
element,0,0,0,0,7,0,0,0
concern,0,0,0,0,0,0,7,0
brilliantly,0,0,1,0,0,0,0,0
sacred,1,0,0,0,0,0,0,0
grove,0,0,0,0,1,0,0,0
collect,0,0,0,0,0,0,3,0
library,0,0,0,0,1,0,0,0
museum,0,0,0,0,1,0,0,0
