word,ADJ,ADP,ADV,AUX,NOUN,NUM,VERB,X
introduction,0,0,0,0,1,0,0,0
think,0,0,0,0,0,0,4,0
naturally,0,0,2,0,0,0,0,0
visualize,0,0,0,0,0,0,1,0
grand,2,0,0,0,0,0,0,0
roman,47,0,0,0,0,0,0,0
building,0,0,0,0,2,0,0,0
great,7,0,0,0,0,0,0,0
government,0,0,0,0,15,0,0,0
contribute,0,0,0,0,0,0,2,0
build,0,0,0,0,0,0,10,0
approach,0,0,0,0,1,0,0,0
modern,6,0,0,0,0,0,0,0
democracy,0,0,0,0,2,0,0,0
image,0,0,0,0,1,0,0,0
come,0,0,0,0,0,0,11,0
mind,0,0,0,0,1,0,0,0
aqueduct,0,0,0,0,8,0,0,0
system,0,0,0,0,16,0,0,0
bring,0,0,0,0,0,0,8,0
fresh,2,0,0,0,0,0,0,0
clean,3,0,0,0,0,0,0,0
water,0,0,0,0,5,0,0,0
countryside,0,0,0,0,3,0,0,0
people,0,0,0,0,17,0,0,0
impress,0,0,0,0,0,0,1,0
stay,0,0,0,0,0,0,2,0
power,0,0,0,0,5,0,0,0
republic,0,0,0,0,15,0,0,0
year,0,0,0,0,19,0,0,0
empire,0,0,0,0,26,0,0,0
last,0,0,0,0,0,0,5,0
long,6,0,1,0,0,0,0,0
accomplish,0,0,0,0,0,0,1,0
book,0,0,0,0,1,0,0,0
treat,0,0,0,0,0,0,1,0
ancient,13,0,0,0,0,0,0,0
distinct,2,0,0,0,0,0,0,0
chapter,0,0,0,0,7,0,0,0
describe,0,0,0,0,0,0,1,0
rise,0,0,0,0,2,0,0,0
second,4,0,0,0,0,0,0,0
fall,0,0,0,0,2,0,5,0
transition,0,0,0,0,1,0,0,0
kingdom,0,0,0,0,2,0,0,0
discuss,0,0,0,0,0,0,1,0
examine,0,0,0,0,0,0,2,0
live,0,0,0,0,0,0,8,0
experience,0,0,0,0,0,0,2,0
world,0,0,0,0,21,0,0,0
fourth,3,0,0,0,0,0,0,0
final,1,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,2,0
accomplishment,0,0,0,0,1,0,0,0
continue,0,0,0,0,0,0,3,0
influence,0,0,0,0,1,0,2,0
today,0,0,0,0,13,0,0,0
say,0,0,0,0,0,0,2,0
reveal,0,0,0,0,0,0,1,0
builder,0,0,0,0,3,0,0,0
day,0,0,0,0,6,0,0,0
fact,0,0,0,0,1,0,0,0
take,0,0,0,0,0,0,6,0
seven,0,0,0,0,0,2,0,0
progress,0,0,0,0,0,0,1,0
small,4,0,0,0,0,0,0,0
town,0,0,0,0,1,0,0,0
straddle,0,0,0,0,0,0,1,0
entire,2,0,0,0,0,0,0,0
mediterranean,5,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,8,0
island,0,0,0,0,1,0,0,0
inland,1,0,0,0,0,0,0,0
sea,0,0,0,0,1,0,0,0
myth,0,0,0,0,1,0,0,0
legend,0,0,0,0,1,0,0,0
feel,0,0,0,0,0,0,2,0
special,1,0,0,0,0,0,0,0
right,0,0,4,0,1,0,0,0
beginning,0,0,0,0,1,0,0,0
foundation,0,0,0,0,2,0,0,0
story,0,0,0,0,2,0,0,0
probably,0,0,1,0,0,0,0,0
mythical,1,0,0,0,0,0,0,0
prince,0,0,0,0,1,0,0,0
escape,0,0,0,0,0,0,2,0
greek,4,0,0,0,0,0,0,0
destruction,0,0,0,0,1,0,0,0
city,0,0,0,0,24,0,0,0
wander,0,0,0,0,0,0,1,0
found,0,0,0,0,0,0,3,0
brother,0,0,0,0,1,0,0,0
raise,0,0,0,0,0,0,2,0
wolf,0,0,0,0,2,0,0,0
early,11,0,1,0,0,0,0,0
roughly,0,0,1,0,0,0,0,0
bce,0,0,0,0,22,0,0,0
develop,0,0,0,0,0,0,4,0
complex,2,0,0,0,0,0,0,0
religious,1,0,0,0,0,0,0,0
belief,0,0,0,0,1,0,0,0
base,0,0,0,0,0,0,3,0
worship,0,0,0,0,1,0,2,0
god,0,0,0,0,6,0,0,0
goddess,0,0,0,0,2,0,0,0
jealous,1,0,0,0,0,0,0,0
envious,1,0,0,0,0,0,0,0
human,2,0,0,0,1,0,0,0
like,1,3,0,0,0,0,2,0
group,0,0,0,0,4,0,0,0
fight,0,0,0,0,2,0,10,0
frequently,0,0,1,0,0,0,0,0
involve,0,0,0,0,0,0,2,0
quarrel,0,0,0,0,2,0,0,0
believe,0,0,0,0,0,0,5,0
founder,0,0,0,0,1,0,0,0
father,0,0,0,0,1,0,0,0
mark,0,0,0,0,0,0,3,0
traditional,1,0,0,0,0,0,0,0
date,0,0,0,0,1,0,0,0
settler,0,0,0,0,2,0,0,0
know,0,0,0,0,0,0,11,0
area,0,0,0,0,3,0,0,0
