word,ADJ,ADP,ADV,DET,NOUN,VERB,X
live,0,0,0,0,0,4,0
thing,0,0,0,0,3,0,0
average,15,0,0,0,0,0,0
temperature,0,0,0,0,54,0,0
human,15,0,0,0,11,0,0
normal,2,0,0,0,0,0,0
body,0,0,0,0,3,0,0
bird,0,0,0,0,4,0,0
little,1,0,0,0,0,0,0
high,13,0,0,0,0,0,0
planet,0,0,0,0,10,0,0
entity,0,0,0,0,1,0,0
hot,4,0,0,0,0,0,0
solar,6,0,0,0,0,0,0
system,0,0,0,0,8,0,0
surface,0,0,0,0,30,0,0
melt,0,0,0,0,2,5,0
lead,0,0,0,0,1,13,0
current,4,0,0,0,2,0,0
figure,0,0,0,0,2,0,0
scientist,0,0,0,0,19,0,0
observe,0,0,0,0,0,2,0
note,0,0,0,0,0,1,0
past,6,0,0,0,0,0,0
year,0,0,0,0,19,0,0
rise,0,0,0,0,9,20,0
warning,0,0,0,0,2,0,0
sign,0,0,0,0,3,1,0
illness,0,0,0,0,2,0,0
grow,0,0,0,0,0,5,0
number,0,0,0,0,7,0,0
assert,0,0,0,0,0,1,0
phenomenon,0,0,0,0,6,0,0
know,0,0,0,0,0,4,0
global,64,0,0,0,0,0,0
warming,0,0,0,0,71,0,0
need,0,0,0,0,1,3,0
heed,0,0,0,0,0,1,0
shrink,0,0,0,0,0,2,0
habitat,0,0,0,0,4,0,0
polar,6,0,0,0,0,0,0
bear,0,0,0,0,5,0,0
cub,0,0,0,0,1,0,0
possible,4,0,0,0,0,0,0
outcome,0,0,0,0,1,0,0
increasingly,0,0,1,0,0,0,0
predict,0,0,0,0,0,6,0
sea,0,0,0,0,24,0,0
ice,0,0,0,0,33,0,0
continue,0,0,0,0,0,11,0
project,0,0,0,0,0,13,0
population,0,0,0,0,5,0,0
today,0,0,0,0,3,0,0
book,0,0,0,0,2,0,0
reader,0,0,0,0,2,0,0
learn,0,0,0,0,0,1,0
greenhouse,0,0,0,0,48,0,0
effect,0,0,0,0,23,0,0
connect,0,0,0,0,0,1,0
like,1,3,0,0,0,0,0
plant,0,0,0,0,11,2,0
encase,0,0,0,0,0,1,0
atmosphere,0,0,0,0,35,0,0
trap,0,0,0,0,0,10,0
heat,0,0,0,0,19,1,0
carbon,0,0,0,0,53,0,0
dioxide,0,0,0,0,45,0,0
water,0,0,0,0,24,0,0
vapor,0,0,0,0,3,0,0
methane,0,0,0,0,12,0,0
gas,0,0,0,0,51,0,0
trapping,0,0,0,0,1,0,0
responsible,5,0,0,0,0,0,0
keep,0,0,0,0,0,2,0
warm,5,0,0,0,0,17,0
life,0,0,0,0,4,0,0
thrive,0,0,0,0,0,1,0
issue,0,0,0,0,3,0,0
call,0,0,0,0,0,11,0
increase,0,0,0,0,26,19,0
believe,0,0,0,0,0,2,0
dramatically,0,0,2,0,0,0,0
property,0,0,0,0,2,0,0
impact,0,0,0,0,9,0,0
climate,0,0,0,0,51,0,0
great,11,0,0,0,0,0,0
concern,0,0,0,0,6,1,0
discover,0,0,0,0,0,3,0
onset,0,0,0,0,1,0,0
ago,0,0,2,0,0,0,0
machine,0,0,0,0,3,0,0
begin,0,0,0,0,0,9,0
make,0,0,0,0,0,3,0
product,0,0,0,0,1,0,0
people,0,0,0,0,6,0,0
hand,0,0,0,0,2,0,0
development,0,0,0,0,5,0,0
follow,0,0,0,0,0,2,0
advance,0,0,0,0,1,0,0
transportation,0,0,0,0,4,0,0
advent,0,0,0,0,1,0,0
steam,0,0,0,0,1,0,0
engine,0,0,0,0,1,0,0
car,0,0,0,0,2,0,0
airplane,0,0,0,0,1,0,0
run,0,0,0,0,1,2,0
fossil,15,0,0,0,0,0,0
fuel,0,0,0,0,18,0,0
emit,0,0,0,0,0,8,0
exhaust,0,0,0,0,1,0,0
sharply,0,0,1,0,0,0,0
raise,0,0,0,0,0,5,0
concentration,0,0,0,0,15,0,0
atmospheric,10,0,0,0,0,0,0
prior,0,0,2,0,0,0,0
relatively,0,0,3,0,0,0,0
stable,2,0,0,0,0,0,0
thousand,0,0,0,0,6,0,0
percent,0,0,0,0,26,0,0
power,0,0,0,0,12,1,0
come,0,0,0,0,0,9,0
burning,0,0,0,0,8,0,0
complicate,0,0,0,0,0,2,0
matter,0,0,0,0,2,0,0
widespread,1,0,0,0,0,0,0
cutting,0,0,0,0,1,0,0
forest,0,0,0,0,6,0,0
mean,0,0,0,0,0,2,0
tree,0,0,0,0,8,0,0
nature,0,0,0,0,4,0,0
eater,0,0,0,0,1,0,0
food,0,0,0,0,5,0,0
remove,0,0,0,0,0,4,0
equation,0,0,0,0,1,0,0
help,0,0,0,0,0,2,0
balance,0,0,0,0,0,2,0
natural,16,0,0,0,0,0,0
fluctuation,0,0,0,0,1,0,0
cause,0,0,0,0,5,18,0
debate,0,0,0,0,3,1,0
medium,0,0,0,0,1,0,0
widely,0,0,4,0,0,0,0
agree,0,0,0,0,0,3,0
century,0,0,0,0,14,0,0
steep,1,0,0,0,0,0,0
evidence,0,0,0,0,4,0,0
collect,0,0,0,0,0,4,0
thermometer,0,0,0,0,2,0,0
roughly,0,0,3,0,0,0,0
paleoclimatic,4,0,0,0,0,0,0
datum,0,0,0,0,11,0,0
take,0,0,0,0,0,6,0
glacial,4,0,0,0,0,0,0
core,0,0,0,0,8,0,0
ring,0,0,0,0,3,0,0
source,0,0,0,0,22,0,0
glacier,0,0,0,0,10,0,0
animal,0,0,0,0,11,0,0
dwindle,0,0,0,0,0,2,0
weather,0,0,0,0,6,0,0
event,0,0,0,0,2,0,0
hurricane,0,0,0,0,4,0,0
typhoon,0,0,0,0,3,0,0
wave,0,0,0,0,2,0,0
read,0,0,0,0,0,1,0
science,0,0,0,0,5,0,0
have,0,0,0,0,0,1,0
world,0,0,0,0,16,0,0
response,0,0,0,0,5,0,0
air,0,0,0,0,12,0,0
near,0,8,0,0,0,0,0
experience,0,0,0,0,0,3,0
period,0,0,0,0,11,0,0
gradual,1,0,0,0,0,0,0
cooling,0,0,0,0,1,0,0
existence,0,0,0,0,1,0,0
volcanic,1,0,0,0,0,0,0
eruption,0,0,0,0,1,0,0
variation,0,0,0,0,3,0,0
output,0,0,0,0,1,0,0
attribute,0,0,0,0,0,1,0
primarily,0,0,3,0,0,0,0
release,0,0,0,0,2,1,0
certain,3,0,0,0,0,0,0
result,0,0,0,0,7,5,0
industrial,6,0,0,0,0,0,0
activity,0,0,0,0,9,0,0
collectively,0,0,1,0,0,0,0
term,0,0,0,0,6,1,0
absorb,0,0,0,0,0,5,0
addition,0,0,0,0,4,0,0
encompass,0,0,0,0,0,1,0
climatic,5,0,0,0,0,0,0
change,0,0,0,0,50,6,0
precipitation,0,0,0,0,8,0,0
pattern,0,0,0,0,6,0,0
wind,0,0,0,0,10,0,0
ocean,0,0,0,0,12,0,0
reason,0,0,0,0,3,0,0
interchangeably,0,0,1,0,0,0,0
incoming,1,0,0,0,0,0,0
sunlight,0,0,0,0,2,0,0
reflect,0,0,0,0,0,3,0
infrared,3,0,0,0,0,0,0
radiation,0,0,0,0,7,0,0
escape,0,0,0,0,0,5,0
space,0,0,0,0,7,0,0
reradiate,0,0,0,0,0,1,0
low,16,0,1,0,0,0,0
name,0,0,0,0,0,1,0
resemble,0,0,0,0,0,1,0
botanical,1,0,0,0,0,0,0
comparison,0,0,0,0,2,0,0
perfect,1,0,0,0,0,0,0
glass,0,0,0,0,1,0,0
wall,0,0,0,0,2,0,0
hold,0,0,0,0,0,3,0
inside,0,2,0,0,0,0,0
building,0,0,0,0,2,0,0
prevent,0,0,0,0,0,3,0
loss,0,0,0,0,4,0,0
convection,0,0,0,0,1,0,0
contrast,0,0,0,0,2,0,0
direct,0,0,0,0,0,3,0
radiant,1,0,0,0,0,0,0
maintain,0,0,0,0,0,4,0
suitable,1,0,0,0,0,0,0
enter,0,0,0,0,0,1,0
pass,0,0,0,0,0,2,0
turn,0,0,0,0,2,1,0
energy,0,0,0,0,25,0,0
cold,2,0,0,0,1,0,0
model,0,0,0,0,12,1,0
allow,0,0,0,0,0,5,0
extreme,2,0,0,0,1,0,0
contain,0,0,0,0,0,3,0
nearly,0,0,2,0,0,0,0
thermal,4,0,0,0,0,0,0
word,0,0,0,0,2,0,0
weak,1,0,0,0,0,0,0
strong,1,0,0,0,0,0,0
enclose,0,0,0,0,0,1,0
thin,1,0,0,0,0,0,0
shell,0,0,0,0,1,0,0
cling,0,0,0,0,0,1,0
tightly,0,0,1,0,0,0,0
attraction,0,0,0,0,1,0,0
gravity,0,0,0,0,1,0,0
compose,0,0,0,0,0,1,0
move,0,0,0,0,0,2,0
freely,0,0,1,0,0,0,0
violently,0,0,1,0,0,0,0
consist,0,0,0,0,0,1,0
mainly,0,0,2,0,0,0,0
nitrogen,0,0,0,0,1,0,0
oxygen,0,0,0,0,3,0,0
argon,0,0,0,0,1,0,0
small,3,0,0,0,0,0,0
amount,0,0,0,0,2,0,0
solid,1,0,0,0,0,0,0
liquid,1,0,0,0,0,0,0
particle,0,0,0,0,2,0,0
rainbow,0,0,0,0,2,0,0
scottish,1,0,0,0,0,0,0
countryside,0,0,0,0,1,0,0
serve,0,0,0,0,0,1,0
moderate,0,0,0,0,0,1,0
day,0,0,0,0,1,0,0
penetrate,0,0,0,0,0,1,0
slowly,0,0,2,0,0,0,0
night,0,0,0,0,1,0,0
protect,0,0,0,0,0,1,0
inhabitant,0,0,0,0,1,0,0
extent,0,0,0,0,3,0,0
meteor,0,0,0,0,1,0,0
cosmic,4,0,0,0,0,0,0
ray,0,0,0,0,1,0,0
sun,0,0,0,0,1,0,0
star,0,0,0,0,1,1,0
dust,0,0,0,0,1,0,0
hazard,0,0,0,0,1,0,0
constant,1,0,0,0,0,0,0
motion,0,0,0,0,1,0,0
rotation,0,0,0,0,2,0,0
pressure,0,0,0,0,1,0,0
violent,1,0,0,0,0,0,0
place,0,0,0,0,10,0,0
lightning,0,0,0,0,1,0,0
important,3,0,0,0,0,0,0
occur,0,0,0,0,0,7,0
naturally,0,0,5,0,0,0,0
produce,0,0,0,0,0,12,0
main,1,0,0,0,0,0,0
nitrous,5,0,0,0,0,0,0
oxide,0,0,0,0,5,0,0
halocarbon,0,0,0,0,5,0,0
respiration,0,0,0,0,1,0,0
primary,1,0,0,0,0,0,0
coal,0,0,0,0,3,0,0
oil,0,0,0,0,2,0,0
electricity,0,0,0,0,11,0,0
generation,0,0,0,0,3,0,0
industry,0,0,0,0,3,0,0
clearing,0,0,0,0,1,0,0
agriculture,0,0,0,0,6,0,0
purpose,0,0,0,0,1,0,0
potent,1,0,0,0,0,0,0
weight,0,0,0,0,4,0,0
time,0,0,0,0,12,0,0
powerful,1,0,0,0,0,0,0
example,0,0,0,0,15,0,0
decay,0,0,0,0,1,0,0
vegetation,0,0,0,0,2,0,0
environment,0,0,0,0,2,0,0
wetland,0,0,0,0,1,0,0
major,6,0,0,0,0,0,0
induce,0,0,0,0,0,4,0
include,0,0,0,0,0,18,0
rice,0,0,0,0,1,0,0
cultivation,0,0,0,0,1,0,0
livestock,0,0,0,0,2,0,0
raising,0,0,0,0,1,0,0
use,0,0,0,0,8,7,0
decomposition,0,0,0,0,1,0,0
organic,1,0,0,0,0,0,0
landfill,0,0,0,0,1,0,0
biological,3,0,0,0,0,0,0
reaction,0,0,0,0,1,0,0
soil,0,0,0,0,2,0,0
fertilizer,0,0,0,0,1,0,0
potential,1,0,0,0,2,0,0
horizon,0,0,0,0,1,0,0
remain,0,0,0,0,0,3,0
era,0,0,0,0,1,0,0
extremely,0,0,1,0,0,0,0
potency,0,0,0,0,1,0,0
rare,1,0,0,0,0,0,0
synthesize,0,0,0,0,0,1,0
application,0,0,0,0,1,0,0
refrigerant,0,0,0,0,1,0,0
aerosol,0,0,0,0,1,0,0
propellant,0,0,0,0,1,0,0
insulation,0,0,0,0,1,0,0
cleaning,0,0,0,0,1,0,0
solvent,0,0,0,0,1,0,0
chlorofluorocarbon,0,0,0,0,1,0,0
cfc,0,0,0,0,1,0,0
hydrochlorofluorocarbon,0,0,0,0,1,0,0
hcfc,0,0,0,0,1,0,0
hydrofluorocarbon,0,0,0,0,1,0,0
hfc,0,0,0,0,1,0,0
cite,0,0,0,0,0,2,0
cow,0,0,0,0,1,0,0
large,8,0,0,0,0,0,0
contributor,0,0,0,0,1,0,0
particularly,0,0,5,0,0,0,0
statistic,0,0,0,0,1,0,0
cattle,0,0,0,0,1,0,0
emission,0,0,0,0,46,0,0
physical,5,0,0,0,0,0,0
chemical,1,0,0,0,1,0,0
process,0,0,0,0,9,0,0
sink,0,0,0,0,3,0,0
photosynthesis,0,0,0,0,2,0,0
green,1,0,0,0,0,0,0
quantity,0,0,0,0,3,0,0
far,0,0,4,0,0,0,0
exceed,0,0,0,0,0,3,0
offset,0,0,0,0,0,2,0
capacity,0,0,0,0,1,0,0
accumulation,0,0,0,0,3,0,0
true,1,0,0,0,0,0,0
aware,1,0,0,0,0,0,0
french,1,0,0,0,0,0,0
mathematician,0,0,0,0,1,0,0
later,0,0,3,0,0,0,0
swedish,1,0,0,0,0,0,0
chemist,0,0,0,0,1,0,0
physicist,0,0,0,0,1,0,0
propose,0,0,0,0,0,2,0
additional,6,0,0,0,0,0,0
accumulate,0,0,0,0,0,1,0
scale,0,0,0,0,3,0,0
hypothesize,0,0,0,0,0,1,0
growth,0,0,0,0,6,0,0
level,0,0,0,0,29,0,0
gather,0,0,0,0,0,1,0
concrete,1,0,0,0,0,0,0
prove,0,0,0,0,0,1,0
theory,0,0,0,0,2,0,0
measure,0,0,0,0,1,4,0
summit,0,0,0,0,1,0,0
dormant,1,0,0,0,0,0,0
volcano,0,0,0,0,1,0,0
decade,0,0,0,0,3,0,0
chart,0,0,0,0,1,2,0
steady,2,0,0,0,0,0,0
work,0,0,0,0,3,1,0
provide,0,0,0,0,0,6,0
connection,0,0,0,0,1,0,0
observation,0,0,0,0,1,0,0
monthly,1,0,0,0,0,0,0
short,1,0,0,0,0,0,0
dip,0,0,0,0,1,0,0
spike,0,0,0,0,1,0,0
summer,0,0,0,0,6,0,0
winter,0,0,0,0,4,0,0
majority,0,0,0,0,1,0,0
bloom,0,0,0,0,0,1,0
reduce,0,0,0,0,0,17,0
slightly,0,0,1,0,0,0,0
build,0,0,0,0,0,1,0
pioneering,1,0,0,0,0,0,0
research,0,0,0,0,3,0,0
demonstrate,0,0,0,0,0,1,0
role,0,0,0,0,4,0,0
play,0,0,0,0,0,2,0
present,2,0,0,0,1,1,0
globally,0,0,2,0,0,0,0
deforestation,0,0,0,0,1,0,0
break,0,0,0,0,0,1,0
sector,0,0,0,0,1,0,0
account,0,0,0,0,0,5,0
single,1,0,0,0,0,0,0
burn,0,0,0,0,0,2,0
double,0,0,0,0,0,1,0
significantly,0,0,2,0,0,0,0
different,3,0,0,0,0,0,0
specialty,0,0,0,0,1,0,0
broad,1,0,0,0,0,0,0
field,0,0,0,0,2,0,0
physics,0,0,0,0,4,0,0
chemistry,0,0,0,0,4,0,0
immunology,0,0,0,0,1,0,0
contribution,0,0,0,0,1,0,0
earn,0,0,0,0,0,2,0
study,0,0,0,0,6,2,0
colleague,0,0,0,0,1,0,0
attempt,0,0,0,0,2,0,0
develop,0,0,0,0,0,10,0
link,0,0,0,0,0,3,0
land,0,0,0,0,10,0,0
society,0,0,0,0,2,0,0
age,0,0,0,0,1,0,0
construct,0,0,0,0,0,1,0
influence,0,0,0,0,1,2,0
publish,0,0,0,0,0,2,0
decrease,0,0,0,0,8,3,0
apply,0,0,0,0,0,1,0
calculation,0,0,0,0,1,0,0
estimate,0,0,0,0,1,3,0
doubling,0,0,0,0,1,0,0
probably,0,0,1,0,0,0,0
reputation,0,0,0,0,1,0,0
person,0,0,0,0,2,0,0
laboratory,0,0,0,0,1,0,0
dramatic,1,0,0,0,0,0,0
computer,0,0,0,0,2,0,0
assess,0,0,0,0,0,2,0
report,0,0,0,0,6,0,0
projection,0,0,0,0,2,0,0
base,0,0,0,0,0,6,0
scientific,4,0,0,0,0,0,0
scenario,0,0,0,0,6,0,0
assume,0,0,0,0,0,1,0
trend,0,0,0,0,5,0,0
modern,2,0,0,0,0,0,0
civilization,0,0,0,0,1,0,0
expect,0,0,0,0,0,11,0
substantially,0,0,1,0,0,0,0
alter,0,0,0,0,0,2,0
agricultural,2,0,0,0,0,0,0
ecosystem,0,0,0,0,3,0,0
health,0,0,0,0,3,0,0
incidence,0,0,0,0,1,0,0
drought,0,0,0,0,23,1,0
storm,0,0,0,0,2,0,0
disrupt,0,0,0,0,0,1,0
interrelationship,0,0,0,0,1,0,0
variety,0,0,0,0,1,0,0
method,0,0,0,0,3,0,0
analyze,0,0,0,0,0,1,0
instrument,0,0,0,0,1,0,0
lake,0,0,0,0,4,0,0
sediment,0,0,0,0,2,0,0
sample,0,0,0,0,4,0,0
finally,0,0,1,0,0,0,0
understand,0,0,0,0,0,1,0
future,4,0,0,0,2,0,0
long,10,0,0,0,0,0,0
cylinder,0,0,0,0,1,0,0
recover,0,0,0,0,0,1,0
drill,0,0,0,0,0,1,0
mountain,0,0,0,0,2,0,0
retrieve,0,0,0,0,0,2,0
see,0,0,0,0,0,6,0
frozen,1,0,0,0,0,0,0
subsection,0,0,0,0,1,0,0
look,0,0,0,0,0,1,0
record,0,0,0,0,4,1,0
drilling,0,0,0,0,1,0,0
reveal,0,0,0,0,0,2,0
previously,0,0,1,0,0,0,0
unknown,1,0,0,0,0,0,0
detail,0,0,0,0,1,0,0
composition,0,0,0,0,3,0,0
abrupt,2,0,0,0,0,0,0
flicker,0,0,0,0,1,0,0
appear,0,0,0,0,0,3,0
last,0,0,0,0,0,1,0
quickly,0,0,1,0,0,0,0
traditional,2,0,0,0,0,0,0
view,0,0,0,0,1,0,0
pace,0,0,0,0,1,0,0
shift,0,0,0,0,1,1,0
millennium,0,0,0,0,1,0,0
ancient,2,0,0,0,0,0,0
snowfall,0,0,0,0,1,0,0
gradually,0,0,1,0,0,0,0
area,0,0,0,0,14,0,0
latitude,0,0,0,0,5,0,0
sheet,0,0,0,0,5,0,0
annual,2,0,0,0,0,0,0
layer,0,0,0,0,2,0,0
represent,0,0,0,0,0,1,0
ten,0,0,0,0,2,0,0
count,0,0,0,0,0,2,0
unaided,1,0,0,0,0,0,0
eye,0,0,0,0,1,0,0
ratio,0,0,0,0,3,0,0
hydrogen,0,0,0,0,1,0,0
isotope,0,0,0,0,4,0,0
directly,0,0,1,0,0,0,0
snow,0,0,0,0,9,0,0
atom,0,0,0,0,1,0,0
element,0,0,0,0,2,0,0
vary,0,0,0,0,0,2,0
representative,2,0,0,0,2,0,0
ultimately,0,0,3,0,0,0,0
moisture,0,0,0,0,2,0,0
distance,0,0,0,0,1,0,0
cloud,0,0,0,0,1,0,0
travel,0,0,0,0,0,2,0
indicator,0,0,0,0,1,0,0
bubble,0,0,0,0,3,0,0
compress,0,0,0,0,0,1,0
recrystallize,0,0,0,0,0,1,0
measurement,0,0,0,0,5,0,0
pre,2,0,0,0,0,0,0
suggest,0,0,0,0,0,2,0
available,1,0,0,0,0,0,0
systematic,1,0,0,0,0,0,0
satellite,0,0,0,0,1,0,0
data,0,0,0,0,1,0,0
collection,0,0,0,0,2,0,0
platform,0,0,0,0,1,0,0
seawater,0,0,0,0,2,0,0
reconstruct,0,0,0,0,0,1,0
pollen,0,0,0,0,2,0,0
detailed,2,0,0,0,0,0,0
describe,0,0,0,0,0,3,0
extract,0,0,0,0,0,2,0
yearly,1,0,0,0,0,0,0
seasonal,7,0,0,0,0,0,0
foot,0,0,0,0,4,0,0
meter,0,0,0,0,4,0,0
beneath,0,1,0,0,0,0,0
computerized,1,0,0,0,0,0,0
investigate,0,0,0,0,0,1,0
variability,0,0,0,0,1,0,0
considerably,0,0,1,0,0,0,0
degree,0,0,0,0,2,0,0
complexity,0,0,0,0,1,0,0
affect,0,0,0,0,0,11,0
perform,0,0,0,0,0,1,0
reproduce,0,0,0,0,0,1,0
basic,2,0,0,0,0,0,0
factor,0,0,0,0,2,0,0
image,0,0,0,0,1,0,0
show,0,0,0,0,0,4,0
location,0,0,0,0,1,0,0
red,0,0,0,0,1,0,0
celsius,0,0,0,0,1,0,0
international,6,0,0,0,0,0,0
organization,0,0,0,0,3,0,0
establish,0,0,0,0,0,4,0
summarize,0,0,0,0,0,1,0
late,1,0,0,0,0,0,0
technical,1,0,0,0,0,0,0
socioeconomic,2,0,0,0,0,0,0
finding,0,0,0,0,2,0,0
policy,0,0,0,0,16,0,0
maker,0,0,0,0,2,0,0
expert,0,0,0,0,2,0,0
prominent,1,0,0,0,0,0,0
voice,0,0,0,0,1,0,0
warn,0,0,0,0,0,1,0
danger,0,0,0,0,1,0,0
unsuccessful,1,0,0,0,0,0,0
presidency,0,0,0,0,1,0,0
devote,0,0,0,0,0,1,0
environmental,1,0,0,0,0,0,0
documentary,0,0,0,0,2,0,0
feature,0,0,0,0,2,1,0
multimedia,0,0,0,0,1,0,0
presentation,0,0,0,0,2,0,0
deliver,0,0,0,0,0,1,0
stage,0,0,0,0,1,0,0
theater,0,0,0,0,1,0,0
film,0,0,0,0,6,0,0
form,0,0,0,0,3,2,0
basis,0,0,0,0,1,0,0
lecture,0,0,0,0,1,0,0
tour,0,0,0,0,1,0,0
emerge,0,0,0,0,0,2,0
challenge,0,0,0,0,4,2,0
movie,0,0,0,0,1,0,0
poster,0,0,0,0,1,0,0
division,0,0,0,0,1,0,0
right,0,0,0,0,2,0,0
reserve,0,0,0,0,0,1,0
juxtapose,0,0,0,0,0,1,0
personal,1,0,0,0,0,0,0
political,1,0,0,0,0,0,0
mix,0,0,0,0,0,2,0
seriousness,0,0,0,0,2,0,0
humor,0,0,0,0,1,0,0
convey,0,0,0,0,0,1,0
message,0,0,0,0,1,0,0
graph,0,0,0,0,1,0,0
photograph,0,0,0,0,1,0,0
imagery,0,0,0,0,1,0,0
history,0,0,0,0,2,0,0
force,0,0,0,0,3,0,0
contribute,0,0,0,0,0,2,0
second,2,0,0,0,0,0,0
half,0,0,0,1,1,0,0
early,5,0,5,0,0,0,0
condition,0,0,0,0,3,0,0
conclude,0,0,0,0,0,2,0
address,0,0,0,0,0,6,0
common,1,0,0,0,0,0,0
misconception,0,0,0,0,1,0,0
surround,0,0,0,0,0,1,0
viewer,0,0,0,0,1,0,0
bring,0,0,0,0,0,2,0
description,0,0,0,0,1,0,0
extrapolation,0,0,0,0,1,0,0
criticize,0,0,0,0,0,1,0
skeptic,0,0,0,0,1,0,0
depict,0,0,0,0,0,1,0
largely,0,0,2,0,0,0,0
accurate,1,0,0,0,0,0,0
win,0,0,0,0,0,1,0
good,2,0,0,0,0,0,0
length,0,0,0,0,1,0,0
song,0,0,0,0,1,0,0
curricula,0,0,0,0,1,0,0
school,0,0,0,0,1,0,0
award,0,0,0,0,0,1,0
effort,0,0,0,0,2,0,0
awareness,0,0,0,0,1,0,0
document,0,0,0,0,0,1,0
progress,0,0,0,0,1,0,0
consensus,0,0,0,0,2,0,0
state,0,0,0,0,1,3,0
forecast,0,0,0,0,0,1,0
author,0,0,0,0,1,0,0
certainty,0,0,0,0,1,0,0
endorse,0,0,0,0,0,1,0
national,2,0,0,0,0,0,0
academy,0,0,0,0,1,0,0
industrialized,2,0,0,0,0,0,0
country,0,0,0,0,34,0,0
depend,0,0,0,0,0,3,0
rate,0,0,0,0,6,0,0
range,0,0,0,0,7,0,0
design,0,0,0,0,0,2,0
severe,7,0,0,0,0,0,0
total,4,0,0,0,1,0,0
reduction,0,0,0,0,10,0,0
likely,3,0,3,0,0,0,0
uniformly,0,0,1,0,0,0,0
rapidly,0,0,2,0,0,0,0
cover,0,0,0,0,0,2,0
fast,1,0,2,0,0,0,0
melting,0,0,0,0,10,0,0
stay,0,0,0,0,0,1,0
twice,0,0,1,0,0,0,0
rest,0,0,0,0,1,0,0
northern,2,0,0,0,0,0,0
map,0,0,0,0,2,0,0
midrange,1,0,0,0,0,0,0
relative,1,0,0,0,0,0,0
resident,0,0,0,0,1,0,0
indonesian,1,0,0,0,0,0,0
city,0,0,0,0,2,0,0
capital,0,0,0,0,1,0,0
way,0,0,0,0,2,0,0
flood,0,0,0,0,1,1,0
street,0,0,0,0,1,0,0
normally,0,0,3,0,0,0,0
region,0,0,0,0,18,0,0
dry,3,0,0,0,0,0,0
season,0,0,0,0,6,0,0
globe,0,0,0,0,2,0,0
heavy,2,0,0,0,0,0,0
downpour,0,0,0,0,1,0,0
subpolar,1,0,0,0,0,0,0
middle,1,0,0,0,1,0,0
rainfall,0,0,0,0,5,0,0
subtropic,0,0,0,0,2,0,0
chance,0,0,0,0,2,0,0
decreased,1,0,0,0,0,0,0
combine,0,0,0,0,0,1,0
evaporation,0,0,0,0,3,0,0
flooding,0,0,0,0,2,0,0
lack,0,0,0,0,3,0,0
insufficient,1,0,0,0,0,0,0
rain,0,0,0,0,1,0,0
extended,2,0,0,0,0,0,0
shortage,0,0,0,0,3,0,0
crop,0,0,0,0,5,0,0
damage,0,0,0,0,1,0,0
streamflow,0,0,0,0,1,0,0
depletion,0,0,0,0,1,0,0
groundwater,0,0,0,0,1,0,0
negative,1,0,0,0,0,0,0
type,0,0,0,0,6,0,0
unpredictable,3,0,0,0,0,0,0
permanent,3,0,0,0,0,0,0
invisible,2,0,0,0,0,0,0
abnormal,1,0,0,0,0,0,0
failure,0,0,0,0,3,0,0
adequate,1,0,0,0,0,0,0
usually,0,0,1,0,0,0,0
generally,0,0,1,0,0,0,0
scientifically,0,0,1,0,0,0,0
classify,0,0,0,0,0,1,0
humid,1,0,0,0,0,0,0
subhumid,1,0,0,0,0,0,0
bad,1,0,0,0,0,0,0
american,2,0,0,0,0,0,0
carry,0,0,0,0,0,2,0
away,0,1,1,0,0,0,0
topsoil,0,0,0,0,1,0,0
million,0,0,0,0,2,0,0
acre,0,0,0,0,1,0,0
farmland,0,0,0,0,1,0,0
drive,0,0,0,0,0,3,0
characterize,0,0,0,0,0,1,0
arid,1,0,0,0,0,0,0
part,0,0,0,0,3,0,0
impossible,1,0,0,0,0,0,0
irrigation,0,0,0,0,1,0,0
border,0,0,0,0,1,0,0
cracked,1,0,0,0,0,0,0
earth,0,0,0,0,1,0,0
couple,0,0,0,0,0,1,0
