word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB,X
tempting,1,0,0,0,0,0,0,0
think,0,0,0,0,0,0,1,0
geologist,0,0,0,0,4,0,0,0
people,0,0,0,0,4,0,0,0
study,0,0,0,0,3,0,5,0
rock,0,0,0,0,113,0,0,0
mineral,0,0,0,0,144,0,0,0
science,0,0,0,0,12,0,0,0
pirate,0,0,0,0,1,0,0,0
like,0,7,0,0,0,0,0,0
buccaneer,0,0,0,0,1,0,0,0
old,9,0,0,0,0,0,0,0
spend,0,0,0,0,0,0,1,0
great,7,0,0,0,0,0,0,0
deal,0,0,0,0,1,0,1,0
time,0,0,0,0,9,0,0,0
search,0,0,0,0,0,0,1,0
bury,0,0,0,0,0,0,7,0
treasure,0,0,0,0,5,0,0,0
case,0,0,0,0,4,0,0,0
geology,0,0,0,0,5,0,0,0
chest,0,0,0,0,1,0,0,0
fill,0,0,0,0,0,0,4,0
money,0,0,0,0,1,0,0,0
jewel,0,0,0,0,2,0,0,0
rich,5,0,0,0,1,0,0,0
uncover,0,0,0,0,0,0,4,0
stone,0,0,0,0,17,0,0,0
nature,0,0,0,0,1,0,0,0
importance,0,0,0,0,2,0,0,0
earthy,2,0,0,0,0,0,0,0
focus,0,0,0,0,1,0,0,0
book,0,0,0,0,1,0,0,0
building,0,0,0,0,15,0,0,0
block,0,0,0,0,5,0,0,0
stuff,0,0,0,0,1,0,0,0
world,0,0,0,0,8,0,0,0
priceless,1,0,0,0,0,0,0,0
worth,0,0,0,0,1,0,0,0
measure,0,0,0,0,0,0,1,0
usefulness,0,0,0,0,1,0,0,0
instance,0,0,0,0,2,0,0,0
important,9,0,0,0,0,0,0,0
nutrient,0,0,0,0,1,0,0,0
live,0,0,0,0,0,0,10,0
thing,0,0,0,0,4,0,0,0
order,0,0,0,0,2,0,0,0
survive,0,0,0,0,0,0,3,0
type,0,0,0,0,9,0,0,0
component,0,0,0,0,6,0,0,0
natural,11,0,0,0,0,0,0,0
manmade,1,0,0,0,0,0,0,0
creation,0,0,0,0,1,0,0,0
hill,0,0,0,0,1,0,0,0
continent,0,0,0,0,2,0,0,0
fine,6,0,1,0,0,0,0,0
sculpture,0,0,0,0,1,0,0,0
polish,0,0,0,0,1,0,3,0
cut,0,0,0,0,3,0,5,0
transform,0,0,0,0,0,0,1,0
valuable,4,0,0,0,0,0,0,0
gemstone,0,0,0,0,2,0,0,0
place,0,0,0,0,2,0,1,0
setting,0,0,0,0,1,0,0,0
gold,0,0,0,0,8,0,0,0
silver,0,0,0,0,6,0,0,0
precious,1,0,0,0,0,0,0,0
metal,0,0,0,0,19,0,0,0
native,9,0,0,0,0,0,0,0
fossilized,5,0,0,0,0,0,0,0
