word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
funny,6,0,0,0,0,0,0,0,0,0,0,0,0
sight,0,0,0,0,0,0,13,0,0,0,0,0,0
brood,0,0,0,0,0,0,1,0,0,0,0,0,0
duckling,0,0,0,0,0,0,2,0,0,0,0,0,0
hen,0,0,0,0,0,0,23,0,0,0,0,0,0
listen,0,0,0,0,0,0,0,0,0,0,0,22,0
story,0,0,0,0,0,0,8,0,0,0,0,0,0
annoy,0,0,0,0,0,0,0,0,0,0,0,2,0
farmer,0,0,0,0,0,0,6,0,0,0,0,0,0
wife,0,0,0,0,0,0,9,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,24,0
hatch,0,0,0,0,0,0,0,0,0,0,0,5,0
egg,0,0,0,0,0,0,34,0,0,0,0,0,0
sister,0,0,0,0,0,0,1,0,0,0,0,0,0
law,0,0,0,0,0,0,2,0,0,0,0,0,0
perfectly,0,0,7,0,0,0,0,0,0,0,0,0,0
willing,1,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,3,0,0,0,0,35,0
hatching,0,0,0,0,0,0,1,0,0,0,0,0,0
patience,0,0,0,0,0,0,1,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,44,0
nest,0,0,0,0,0,0,16,0,0,0,0,0,0
day,0,0,0,0,0,0,37,0,0,0,0,0,0
cold,5,0,0,0,0,0,1,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,29,0
wish,0,0,0,0,0,0,0,0,0,0,0,14,0
quack,0,0,0,0,0,0,0,0,0,0,0,2,0
try,0,0,0,0,0,0,0,0,0,0,0,16,0
hide,0,0,0,0,0,0,0,0,0,0,0,17,0
find,0,0,0,0,0,0,0,0,0,0,0,40,0
carry,0,0,0,0,0,0,0,0,0,0,0,16,0
desperate,1,0,0,0,0,0,0,0,0,0,0,0,0
determine,0,0,0,0,0,0,0,0,0,0,0,5,0
right,4,0,7,0,0,0,0,0,0,0,0,0,0
away,0,3,49,0,0,0,0,0,0,0,0,0,0
farm,0,0,0,0,0,0,10,0,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,0,19,0
fine,5,0,1,0,0,0,0,0,0,0,0,0,0
spring,0,0,0,0,0,0,16,0,0,0,0,1,0
afternoon,0,0,0,0,0,0,8,0,0,0,0,0,0
cart,0,0,0,0,0,0,25,0,0,0,0,0,0
road,0,0,0,0,0,0,20,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,0,0,0,12,0
hill,0,0,0,0,0,0,22,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,0,2,0
shawl,0,0,0,0,0,0,4,0,0,0,0,0,0
poke,0,0,0,0,0,0,1,0,0,0,0,2,0
bonnet,0,0,0,0,0,0,4,0,0,0,0,0,0
reach,0,0,0,0,0,0,0,0,0,0,0,5,0
see,0,0,0,0,0,0,0,0,0,0,0,28,0
wood,0,0,0,0,0,0,26,0,0,0,0,0,0
distance,0,0,0,0,0,0,8,0,0,0,0,0,0
