word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,VERB,X
introduction,0,0,0,0,0,1,0,0,0
life,0,0,0,0,0,2,0,0,0
depend,0,0,0,0,0,0,0,2,0
energy,0,0,0,0,0,96,0,0,0
sun,0,0,0,0,0,34,0,0,0
solar,120,0,0,0,0,0,0,0,0
source,0,0,0,0,0,9,0,0,0
photosynthesis,0,0,0,0,0,3,0,0,0
provide,0,0,0,0,0,0,0,13,0
warmth,0,0,0,0,0,2,0,0,0
necessary,3,0,0,0,0,0,0,0,0
plant,0,0,0,0,0,7,0,0,0
animal,0,0,0,0,0,1,0,0,0
survive,0,0,0,0,0,0,0,1,0
heat,0,0,0,0,0,21,0,12,0
cause,0,0,0,0,0,0,0,3,0
water,0,0,0,0,0,17,0,0,0
surface,0,0,0,0,0,19,0,0,0
evaporate,0,0,0,0,0,0,0,1,0
form,0,0,0,0,0,6,0,7,0
cloud,0,0,0,0,0,2,0,0,0
eventually,0,0,1,0,0,0,0,0,0
fresh,1,0,0,0,0,0,0,0,0
rainwater,0,0,0,0,0,1,0,0,0
light,1,0,0,0,0,34,0,0,0
give,0,0,0,0,0,0,0,4,0
collect,0,0,0,0,0,0,0,8,0
building,0,0,0,0,0,11,0,0,0
electricity,0,0,0,0,0,16,0,0,0
result,0,0,0,0,0,1,0,1,0
thermonuclear,3,0,0,0,0,0,0,0,0
fusion,0,0,0,0,0,3,0,0,0
reaction,0,0,0,0,0,9,0,0,0
deep,0,0,2,0,0,0,0,0,0
produce,0,0,0,0,0,0,0,17,0
temperature,0,0,0,0,0,9,0,0,0
degree,0,0,0,0,0,4,0,0,0
fahrenheit,0,0,0,0,0,1,0,0,0
celsius,0,0,0,0,0,1,0,0,0
large,17,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,8,0
intensity,0,0,0,0,0,4,0,0,0
actually,0,0,1,0,0,0,0,0,0
low,5,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,2,0,0,0
fact,0,0,0,0,0,2,0,0,0
atmosphere,0,0,0,0,0,10,0,0,0
absorb,0,0,0,0,0,0,0,11,0
scatter,0,0,0,0,0,0,0,1,0
radiation,0,0,0,0,0,25,0,0,0
clear,1,0,0,0,0,0,0,0,0
day,0,0,0,0,0,6,0,0,0
directly,0,0,7,0,0,0,0,0,0
overhead,0,0,1,0,0,0,0,0,0
reach,0,0,0,0,0,0,0,2,0
reduce,0,0,0,0,0,0,0,3,0
percent,0,0,0,0,0,11,0,0,0
near,0,2,0,0,0,0,0,0,0
horizon,0,0,0,0,0,1,0,0,0
sky,0,0,0,0,0,1,0,0,0
overcast,2,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,2,0,0,0
level,0,0,0,0,0,2,0,0,0
negligible,1,0,0,0,0,0,0,0,0
vary,0,0,0,0,0,0,0,2,0
point,0,0,0,0,0,2,0,0,0
number,0,0,0,0,0,2,0,0,0
device,0,0,0,0,0,8,0,0,0
convert,0,0,0,0,0,0,0,14,0
usable,1,0,0,0,0,0,0,0,0
develop,0,0,0,0,0,0,0,3,0
include,0,0,0,0,0,0,0,5,0
concentrate,0,0,0,0,0,0,0,9,0
collector,0,0,0,0,0,27,0,0,0
flat,11,0,0,0,0,0,0,0,0
plate,0,0,0,0,0,17,0,0,0
photovoltaic,14,0,0,0,0,4,0,0,0
cell,0,0,0,0,0,56,0,0,0
use,0,0,0,0,0,7,0,9,0
mirror,0,0,0,0,0,5,0,0,0
focus,0,0,0,0,0,0,0,4,0
amount,0,0,0,0,0,5,0,0,0
small,6,0,0,0,0,0,0,0,0
area,0,0,0,0,0,6,0,0,0
black,2,0,0,0,0,0,0,0,0
metal,0,0,0,0,0,8,0,0,0
cover,0,0,0,0,0,1,0,4,0
sheet,0,0,0,0,0,2,0,0,0
glass,0,0,0,0,0,10,0,0,0
usually,0,0,2,0,0,0,0,0,0
place,0,0,0,0,0,2,0,1,0
roof,0,0,0,0,0,3,0,0,0
sunlight,0,0,0,0,0,20,0,0,0
air,0,0,0,0,0,17,0,0,0
flow,0,0,0,0,0,1,0,5,0
pipe,0,0,0,0,0,2,0,0,0
go,0,0,0,0,0,0,0,2,0
heating,0,0,0,0,0,12,0,0,0
plumbing,0,0,0,0,0,1,0,0,0
system,0,0,0,0,0,32,0,0,0
call,0,0,0,0,0,0,0,10,0
shine,0,0,0,0,0,0,0,3,0
turn,0,0,0,0,0,2,0,1,0
single,2,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,3,0
little,2,0,0,0,0,0,0,0,0
group,0,0,0,0,0,1,0,0,0
design,0,0,0,0,0,4,0,2,0
capture,0,0,0,0,0,0,0,3,0
sunny,4,0,0,0,0,0,0,0,0
part,0,0,0,0,0,4,0,0,0
world,0,0,0,0,0,6,0,0,0
temperate,1,0,0,0,0,0,0,0,0
region,0,0,0,0,0,3,0,0,0
instance,0,0,0,0,0,3,0,0,0
square,4,0,0,0,0,0,0,0,0
foot,0,0,0,0,0,1,0,0,0
meter,0,0,0,0,0,1,0,0,0
gather,0,0,0,0,0,0,0,1,0
serve,0,0,0,0,0,0,0,1,0
need,0,0,0,1,0,3,0,5,0
person,0,0,0,0,0,1,0,0,0
calculator,0,0,0,0,0,3,0,0,0
photo,0,0,0,0,0,1,0,0,0
strip,0,0,0,0,0,1,0,1,0
left,1,0,0,0,0,0,0,0,0
corner,0,0,0,0,0,1,0,0,0
button,0,0,0,0,0,1,0,0,0
total,5,0,0,0,0,0,0,0,0
incident,1,0,0,0,0,2,0,0,0
vastly,0,0,1,0,0,0,0,0,0
excess,1,0,0,0,0,1,0,0,0
current,2,0,0,0,0,9,0,0,0
anticipate,0,0,0,0,0,0,0,1,0
requirement,0,0,0,0,0,5,0,0,0
suitably,0,0,1,0,0,0,0,0,0
harness,0,0,0,0,0,0,0,1,0
highly,0,0,1,0,0,0,0,0,0
diffused,1,0,0,0,0,0,0,0,0
potential,1,0,0,0,0,2,0,0,0
satisfy,0,0,0,0,0,0,0,2,0
future,2,0,0,0,0,1,0,0,0
century,0,0,0,0,0,1,0,0,0
expect,0,0,0,0,0,0,0,2,0
increasingly,0,0,1,0,0,0,0,0,0
attractive,2,0,0,0,0,0,0,0,0
inexhaustible,1,0,0,0,0,0,0,0,0
supply,0,0,0,0,0,5,0,5,0
nonpolluting,1,0,0,0,0,0,0,0,0
character,0,0,0,0,0,1,0,0,0
stark,1,0,0,0,0,0,0,0,0
contrast,0,0,0,0,0,1,0,0,0
finite,1,0,0,0,0,0,0,0,0
fossil,9,0,0,0,0,1,0,0,0
fuel,0,0,0,0,0,16,0,0,0
coal,0,0,0,0,0,2,0,0,0
petroleum,0,0,0,0,0,1,0,0,0
natural,3,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,7,0,0,0
ordinary,2,0,0,0,0,0,0,0,0
star,0,0,0,0,0,3,0,0,0
important,4,0,0,0,0,0,0,0,0
inhabitant,0,0,0,0,0,1,0,0,0
virtually,0,0,1,0,0,0,0,0,0
possible,3,0,0,0,0,0,0,0,0
half,0,0,0,0,1,2,0,0,0
billionth,0,0,0,0,0,1,0,0,0
leave,0,0,0,0,0,0,0,1,0
huge,3,0,0,0,0,0,0,0,0
ball,0,0,0,0,0,1,0,0,0
hot,12,0,0,0,0,0,0,0,0
like,0,4,0,0,0,0,0,0,0
enormous,5,0,0,0,0,0,0,0,0
hydrogen,0,0,0,0,0,4,0,0,0
helium,0,0,0,0,0,4,0,0,0
