word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB
imagine,0,0,0,0,0,0,0,0,0,0,0,0,6
morning,0,0,0,0,0,0,0,15,0,0,0,0,0
late,2,0,2,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,0,0,34
winter,0,0,0,0,0,0,0,11,0,0,0,0,0
year,0,0,0,0,0,0,0,37,0,0,0,0,0
ago,0,0,6,0,0,0,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,0,0,4
kitchen,0,0,0,0,0,0,0,22,0,0,0,0,0
spread,0,0,0,0,0,0,0,0,0,0,0,0,2
old,30,0,0,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,0,37,0,0,0,0,0
country,0,0,0,0,0,0,0,4,0,0,0,0,0
town,0,0,0,0,0,0,0,13,0,0,0,0,0
great,4,0,0,0,0,0,0,0,0,0,0,0,0
black,8,0,0,0,0,0,0,0,0,0,0,0,0
stove,0,0,0,0,0,0,0,8,0,0,0,0,0
main,3,0,0,0,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,0,3,0,0,0,0,0
big,13,0,0,0,0,0,0,0,0,0,0,0,0
round,2,2,2,0,0,0,0,0,0,0,0,0,1
table,0,0,0,0,0,0,0,13,0,0,0,0,0
fireplace,0,0,0,0,0,0,0,6,0,0,0,0,0
rocking,0,0,0,0,0,0,0,2,0,0,0,0,0
chair,0,0,0,0,0,0,0,4,0,0,0,0,0
place,0,0,0,0,0,0,0,9,0,0,0,0,4
today,0,0,0,0,0,0,0,4,0,0,0,0,0
commence,0,0,0,0,0,0,0,0,0,0,0,0,2
seasonal,1,0,0,0,0,0,0,0,0,0,0,0,0
roar,0,0,0,0,0,0,0,2,0,0,0,0,2
woman,0,0,0,0,0,0,0,13,0,0,0,0,0
shorn,0,0,0,0,0,0,0,0,0,0,0,0,1
white,6,0,0,0,0,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,0,0,14,0,0,0,0,0
stand,0,0,0,0,0,0,0,1,0,0,0,0,9
window,0,0,0,0,0,0,0,14,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,0,0,9
tennis,0,0,0,0,0,0,0,4,0,0,0,0,0
shoe,0,0,0,0,0,0,0,13,0,0,0,0,0
shapeless,1,0,0,0,0,0,0,0,0,0,0,0,0
gray,3,0,0,0,0,0,0,0,0,0,0,0,0
sweater,0,0,0,0,0,0,0,5,0,0,0,0,0
summery,1,0,0,0,0,0,0,0,0,0,0,0,0
calico,0,0,0,0,0,0,0,3,0,0,0,0,0
dress,0,0,0,0,0,0,0,6,0,0,0,0,2
small,7,0,0,0,0,0,0,0,0,0,0,0,0
sprightly,2,0,0,0,0,0,0,0,0,0,0,0,0
like,2,54,0,0,0,0,0,0,0,0,0,0,11
bantam,0,0,0,0,0,0,0,1,0,0,0,0,0
hen,0,0,0,0,0,0,0,3,0,0,0,0,0
long,7,0,7,0,0,0,0,0,0,0,0,0,0
youthful,2,0,0,0,0,0,0,0,0,0,0,0,0
illness,0,0,0,0,0,0,0,2,0,0,0,0,0
shoulder,0,0,0,0,0,0,0,6,0,0,0,0,0
pitifully,0,0,1,0,0,0,0,0,0,0,0,0,0
hunch,0,0,0,0,0,0,0,0,0,0,0,0,1
face,0,0,0,0,0,0,0,6,0,0,0,0,0
remarkable,1,0,0,0,0,0,0,0,0,0,0,0,0
unlike,0,2,0,0,0,0,0,0,0,0,0,0,0
craggy,1,0,0,0,0,0,0,0,0,0,0,0,0
tint,0,0,0,0,0,0,0,0,0,0,0,0,1
sun,0,0,0,0,0,0,0,10,0,0,0,0,0
