word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
dollar,0,0,0,0,0,0,8,0,0,0
eighty,0,0,0,0,0,0,0,4,0,0
seven,0,0,0,0,0,0,0,5,0,0
cent,0,0,0,0,0,0,5,0,0,0
day,0,0,0,0,0,0,18,0,0,0
go,0,0,0,0,0,0,0,0,0,28
shop,0,0,0,0,0,0,11,0,0,0
spend,0,0,0,0,0,0,0,0,0,3
little,19,0,0,0,0,0,0,0,0,0
money,0,0,0,0,0,0,11,0,0,0
buy,0,0,0,0,0,0,0,0,0,9
cheap,4,0,0,0,0,0,0,0,0,0
meat,0,0,0,0,0,0,1,0,0,0
vegetable,0,0,0,0,0,0,1,0,0,0
tired,9,0,0,0,0,0,0,0,0,0
walk,0,0,0,0,0,0,1,0,0,17
round,0,12,5,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,8
food,0,0,0,0,0,0,3,0,0,0
save,0,0,0,0,0,0,0,0,0,2
possible,4,0,0,0,0,0,0,0,0,0
count,0,0,0,0,0,0,0,0,0,1
mistake,0,0,0,0,0,0,3,0,0,0
sit,0,0,0,0,0,0,0,0,0,15
cry,0,0,0,0,0,0,1,0,0,13
poor,5,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,16,0,0,0
live,0,0,0,0,0,0,0,0,0,5
husband,0,0,0,0,0,0,1,0,0,0
bedroom,0,0,0,0,0,0,1,0,0,0
kitchen,0,0,0,0,0,0,3,0,0,0
bathroom,0,0,0,0,0,0,1,0,0,0
lucky,1,0,0,0,0,0,0,0,0,0
job,0,0,0,0,0,0,2,0,0,0
good,19,0,0,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,18
try,0,0,0,0,0,0,0,0,0,9
work,0,0,0,0,0,0,8,0,0,11
time,0,0,0,0,0,0,22,0,0,0
bad,4,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,31
home,0,0,3,0,0,0,2,0,0,0
call,0,0,0,0,0,0,0,0,0,7
arm,0,0,0,0,0,0,12,0,0,0
stop,0,0,0,0,0,0,0,0,0,7
wash,0,0,0,0,0,0,0,0,0,1
face,0,0,0,0,0,0,9,0,0,0
stand,0,0,0,0,0,0,0,0,0,15
window,0,0,0,0,0,0,10,0,0,0
look,0,0,0,0,0,0,3,0,0,42
grey,4,0,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,0,1,0,0,0
wall,0,0,0,0,0,0,2,0,0,0
road,0,0,0,0,0,0,4,0,0,0
tomorrow,0,0,0,0,0,0,2,0,0,0
